SOS_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
SOS10,1171,2657,2329,1901,2763,1423,820,13071,423,837,712,624,787,383,260,4026,198,345,262,218,288,179,109,1600,105,128,69,63,74,50,30,517,1897,3969,3371,2812,3916,2034,1220,19219,130,192,172,133,197,94,59,978,42,77,81,51,58,25,22,354,171,272,255,182,258,117,79,1328,2071,4241,3623,2996,4170,2153,1302,20547,825,1595,1244,999,1305,686,393,7045,77,98,61,51,36,14,9,354,2968,5930,4932,4043,5511,2853,1702,27942,4266,10494,8982,7162,10223,5417,3101,49647,5879,10944,7806,5613,7230,3332,1791,42600,2064,2415,1674,1189,1527,825,552,10249,317,445,326,220,251,148,99,1805,12532,24304,18796,14183,19234,9714,5535,104299,419,797,560,463,599,287,181,3306,749,1116,713,512,605,264,157,4110,1169,1913,1272,968,1200,553,338,7414,13701,26215,20066,15153,20433,10270,5882,111714,18285,19599,11461,7912,9177,4303,2590,73326,361,454,313,194,154,63,39,1578,32343,46272,31843,23258,29765,14640,8505,186624,5440,13148,11313,9063,12987,6840,3919,62713
SOS11,517,1118,1044,904,1144,249,86,5069,159,404,362,285,328,57,27,1625,40,73,64,40,56,13,13,298,32,57,32,26,23,0,0,181,747,1655,1501,1256,1555,322,121,7168,54,102,100,71,81,15,3,416,21,61,34,23,32,3,0,171,69,166,127,91,107,15,3,583,818,1825,1631,1346,1664,337,127,7755,400,741,554,511,436,90,35,2769,18,43,34,37,26,0,0,160,1239,2603,2224,1902,2125,427,160,10682,1606,4062,3469,2705,3620,830,281,16568,3815,6899,4507,3114,3274,581,172,22369,766,747,471,306,284,57,27,2659,223,310,183,116,108,21,4,970,6415,12021,8630,6250,7282,1492,480,42567,216,466,304,199,188,35,8,1422,526,733,376,264,210,29,6,2141,743,1197,683,463,399,65,15,3565,7155,13219,9311,6708,7681,1555,506,46132,8839,7927,4309,2765,2367,356,152,26714,239,258,168,127,70,6,4,864,16226,21400,13786,9598,10118,1917,654,73712,2128,5185,4509,3604,4765,1084,366,21635
SOS12,44,77,98,64,100,20,9,411,7,42,49,35,37,5,0,174,5,4,0,10,5,3,0,34,0,8,7,0,6,4,0,21,62,126,154,118,145,25,10,638,7,14,11,4,3,0,0,35,3,7,3,0,0,0,0,8,12,17,8,9,6,0,0,47,71,141,161,122,155,25,10,692,28,75,57,57,55,4,0,280,6,6,3,4,0,0,0,23,104,231,228,184,205,33,8,992,98,261,253,200,233,58,20,1127,277,552,371,236,248,46,10,1729,45,46,45,25,33,8,0,204,15,27,17,10,13,4,0,81,433,884,681,469,524,121,28,3143,7,22,18,25,10,3,0,91,27,51,38,18,19,0,0,152,36,76,58,46,35,8,0,246,462,961,737,517,555,130,28,3390,601,575,313,206,213,27,15,1957,18,30,14,9,10,0,0,89,1088,1563,1067,731,784,156,46,5435,140,338,348,267,336,74,27,1541
SOS13,145,274,281,228,330,93,44,1395,34,109,100,89,100,21,10,458,18,21,17,6,21,0,3,95,14,17,12,3,9,3,0,57,208,424,405,329,457,122,56,1999,12,14,19,8,11,0,0,62,6,11,10,6,3,0,0,40,14,24,31,12,16,0,0,105,226,447,436,343,474,122,56,2107,92,184,145,116,108,16,16,671,5,16,19,15,8,0,0,71,328,649,597,476,590,141,68,2848,257,664,648,477,619,177,64,2902,576,1029,817,602,582,142,54,3807,151,133,94,67,84,21,8,560,34,46,45,15,29,3,3,179,1015,1877,1604,1170,1313,343,127,7448,38,63,46,35,33,4,3,222,77,79,57,31,32,4,0,280,113,144,104,65,59,10,3,504,1128,2022,1708,1231,1371,353,135,7943,1336,1255,724,472,459,79,36,4355,47,49,47,31,17,5,3,197,2518,3331,2486,1730,1846,428,168,12499,404,937,934,709,941,268,110,4302
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,1168,2593,2171,1814,2810,1626,966,13149,339,685,609,536,724,406,206,3506,58,118,87,85,122,74,43,589,70,105,61,61,58,38,25,413,1634,3499,2932,2489,3707,2148,1249,17656,95,163,126,123,127,85,41,768,32,100,71,61,55,29,22,371,129,266,202,186,186,110,62,1138,1758,3763,3133,2677,3899,2261,1309,18797,530,1049,811,685,930,558,350,4922,68,72,55,55,38,10,14,321,2352,4893,4005,3416,4868,2826,1679,24042,3442,8616,7590,6100,9391,5492,3054,43687,5738,11689,8380,6119,8120,4068,2185,46301,1152,1148,722,528,742,376,228,4899,288,456,284,212,281,140,59,1721,10616,21910,16980,12956,18543,10079,5528,96607,379,777,523,404,571,309,185,3152,723,1399,746,510,648,297,160,4493,1104,2179,1270,916,1220,613,349,7645,11718,24093,18250,13876,19762,10687,5874,104256,12353,13758,7915,5767,6920,3661,2316,52687,366,466,261,193,132,70,41,1530,24433,38319,26424,19837,26815,14415,8231,158473,4612,11208,9765,7913,12196,7113,4019,56835
SOS21,282,628,555,443,711,233,87,2947,83,204,209,149,201,33,19,888,29,26,35,25,35,9,0,158,20,34,19,15,22,9,0,121,413,899,814,629,964,282,113,4118,21,66,56,45,46,13,6,250,14,27,23,19,13,0,3,98,37,91,77,65,55,21,11,351,454,994,889,693,1017,299,122,4469,211,371,254,197,238,82,37,1387,23,20,29,27,10,0,0,104,680,1388,1174,911,1266,382,160,5962,729,2041,1919,1462,2106,617,246,9121,2141,4165,2793,2034,2260,610,200,14203,396,429,241,170,187,34,17,1468,91,153,112,69,86,23,12,548,3359,6789,5070,3728,4639,1277,473,25334,116,219,163,114,130,31,8,785,290,437,207,143,134,43,11,1265,406,656,369,258,266,75,19,2050,3761,7442,5439,3989,4901,1355,493,27382,4687,4665,2455,1597,1517,342,143,15401,93,140,94,56,32,10,4,422,8542,12244,7987,5641,6451,1709,642,43206,1010,2677,2474,1908,2814,853,330,12065
SOS22,25,69,33,37,59,5,8,235,9,20,7,14,19,0,0,79,0,8,5,3,0,0,0,16,0,8,5,0,0,0,0,9,31,103,49,54,80,12,7,332,0,5,6,0,3,0,0,16,0,0,5,0,4,0,0,7,3,5,10,4,10,0,0,24,32,102,56,57,83,12,7,362,16,35,26,30,28,5,3,132,0,0,0,3,0,0,0,8,51,140,82,91,110,16,11,505,54,120,135,110,132,37,11,601,123,275,212,135,149,32,11,931,24,29,14,14,14,6,0,95,4,5,13,8,10,5,0,47,201,432,372,271,300,74,24,1677,4,10,11,6,3,0,0,37,14,29,13,15,11,0,0,83,19,33,28,24,17,0,0,126,221,467,399,298,316,76,24,1797,287,281,172,124,95,18,8,985,3,5,0,0,0,0,0,11,505,750,575,423,410,93,32,2787,79,188,170,147,187,49,14,837
SOS23,75,199,209,201,264,75,32,1059,28,65,65,48,65,17,9,306,6,7,7,7,5,6,0,37,9,14,3,7,11,5,0,41,125,286,291,260,344,94,50,1445,6,14,15,7,12,4,0,51,0,9,0,6,11,0,0,25,11,19,14,13,19,3,0,77,129,308,303,276,359,100,50,1527,42,108,88,76,83,21,10,434,5,12,14,7,3,5,0,43,172,428,411,359,453,124,59,2007,133,415,352,310,394,110,52,1763,347,779,545,409,482,123,41,2723,81,73,44,23,35,12,11,287,26,34,25,13,17,6,4,111,588,1299,957,754,927,251,112,4894,14,27,35,24,28,4,7,123,26,48,28,28,19,5,0,156,40,75,59,49,49,8,3,284,627,1378,1020,808,972,262,115,5177,754,750,487,316,270,88,29,2688,21,24,19,9,13,0,0,91,1403,2150,1529,1129,1258,346,144,7954,212,613,563,510,658,184,91,2828
