SOS_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS10,2036,51310,64372,39905,27835,17406,6871,1450,211183,469,6213,8818,7971,6388,4965,1595,305,36721,31886,129915,110202,74604,53767,36712,15345,4114,456545,13795,36927,44133,39864,30566,19008,8586,2530,195408,30501,73725,68357,69212,65321,45407,26184,8091,386807,3214,3139,2786,2367,2110,1490,693,142,15934,2193,4029,5506,6483,7006,6307,3330,913,35763,35910,80894,76653,78065,74437,53194,30203,9147,438501,1218,3183,3397,2812,2442,2197,1460,539,17252,21773,33543,28620,21889,18950,16280,13634,8668,163357,107079,341986,336194,265106,214378,149766,77693,26756,1518967,3184,65923,68630,37640,21997,11838,3510,570,213298,1869,12658,14938,13090,10596,7859,2326,430,63760,42624,165682,137433,90755,57017,34107,12787,3733,544143,17666,47014,52608,54139,42277,27241,12027,3852,256830,24125,43618,41657,39757,31787,14638,4841,1680,202102,4309,4022,4745,5661,5469,3491,1104,314,29123,3012,4769,6956,11816,13257,10624,5127,1861,57419,31447,52410,53356,57232,50512,28757,11077,3853,288645,1150,3068,3389,3126,3558,3623,2193,740,20840,18982,30410,25811,20399,19748,20556,20356,17799,174056,116919,377163,356171,276378,205709,133987,64276,30979,1561578,5219,117236
SOS11,129,3180,3906,3416,3233,3248,1432,334,18882,31,746,1240,1420,1612,1859,571,68,7546,1917,11317,11126,9402,8012,8486,3608,926,54793,1075,5425,7537,8197,7985,7059,3306,887,41465,12227,31975,28295,27580,29840,24845,13413,3570,171736,1469,1520,1025,832,775,671,258,60,6618,567,999,1198,1405,1810,2225,1330,342,9885,14264,34495,30525,29817,32426,27737,15007,3965,188246,206,385,427,436,476,633,484,178,3219,7813,9406,8428,7957,7604,8005,6738,3539,59496,25433,64958,63198,60644,61351,57030,31145,9887,373643,214,5237,5532,4355,3783,2743,817,139,22820,383,2589,3185,3173,3215,2844,823,115,16334,4076,21494,20070,15359,12238,10325,4348,1179,89085,2852,10526,11908,13125,13542,10668,4874,1423,68915,11301,22382,19453,18466,16560,8185,2214,644,99203,1930,2213,1766,1934,2332,1797,542,132,12650,988,1494,1735,2908,4257,4185,2086,670,18322,14225,26085,22946,23313,23145,14177,4837,1440,130171,176,419,440,533,826,1197,833,309,4739,6714,7485,6985,6935,8192,10086,10638,7330,64370,28635,73833,71079,66792,64941,52043,27178,11939,396433,341,8422
SOS12,0,148,294,318,329,364,164,20,1629,0,40,96,144,179,224,51,0,732,143,657,863,920,993,917,340,42,4879,81,377,634,846,913,803,275,46,3974,1078,2676,2804,3297,3691,3121,1207,227,18111,99,102,74,72,85,84,26,5,550,41,90,123,147,214,264,118,20,1025,1222,2868,3001,3520,3993,3477,1353,251,19682,14,24,30,36,57,75,44,11,296,720,657,699,844,1015,1138,696,258,6032,2189,4771,5627,6624,7489,6985,2916,632,37222,13,282,458,426,448,325,70,4,2025,24,186,278,332,370,328,65,10,1588,263,1509,1761,1678,1500,1137,296,51,8198,222,794,1112,1409,1513,1112,371,74,6600,906,1665,1708,1857,1905,858,184,25,9107,178,183,187,203,290,170,50,18,1280,89,108,130,300,467,414,126,24,1656,1174,1956,2020,2368,2657,1450,362,69,12040,19,23,32,57,98,124,59,19,427,676,666,694,813,1020,1192,865,418,6347,2388,5415,6352,7083,7606,5668,2080,644,37232,14,432
SOS13,22,460,944,1437,1750,1637,648,95,6982,9,135,319,559,673,708,144,10,2559,724,2885,3642,4647,4484,4446,1336,215,22374,399,1315,2455,3910,4088,3078,1103,178,16518,4777,9469,10926,13820,15294,10407,4116,714,69522,447,355,330,353,433,264,87,13,2280,191,278,463,736,998,990,392,59,4106,5418,10100,11717,14911,16727,11670,4594,786,75911,55,90,137,171,262,256,152,31,1148,3557,3488,3795,4289,4968,4424,2513,704,27731,10185,18463,23008,29925,32943,26212,10476,2016,153229,58,1067,1793,2096,1990,1366,295,26,8690,89,598,1086,1452,1602,1180,217,28,6253,1287,5846,7890,8180,6747,4615,1280,208,36061,880,2783,4074,5965,6394,4257,1403,237,26003,3156,5418,5945,6875,6257,2618,571,95,30946,581,536,639,918,1065,622,135,27,4515,376,421,671,1357,1915,1489,525,92,6847,4109,6381,7252,9158,9238,4732,1228,208,42299,85,122,147,235,389,418,225,42,1673,2922,2541,3103,3903,4728,4346,2580,838,24952,9432,19333,25352,30993,31088,20912,7240,1592,145937,78,1522
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,6,38,38,23,22,21,6,0,146,0,4,8,6,5,8,0,0,33,23,151,73,72,52,47,12,0,425,10,61,52,43,56,40,12,0,274,54,176,143,132,186,130,32,6,858,11,21,8,3,6,4,0,0,55,5,13,14,9,13,18,4,0,74,72,203,167,145,204,153,35,6,985,0,0,4,10,3,8,0,0,30,236,431,500,464,326,151,46,5,2149,346,894,838,763,667,419,99,17,4042,0,62,40,31,28,14,0,0,181,0,20,14,13,20,11,0,0,76,25,207,99,86,70,45,11,0,540,27,64,54,64,81,40,8,0,339,63,107,77,86,91,34,9,0,463,17,12,11,9,10,12,0,0,72,6,10,8,11,36,21,9,0,104,87,127,100,109,137,63,15,0,636,3,3,0,0,8,5,0,0,25,229,352,309,221,156,85,31,11,1390,375,843,611,522,498,255,66,20,3187,5,107
SOS20,3441,52157,52419,29893,19835,12454,5313,957,176473,577,7027,9859,9231,7724,5593,1648,279,41947,28780,112501,99224,65046,42888,28550,11501,3136,391636,12876,37865,41478,33148,24896,18303,8947,2469,179970,26961,69195,59780,59644,53276,34686,19875,6256,329674,3440,3153,2450,1874,1437,826,325,69,13571,1614,3413,4414,4695,4458,3443,1788,527,24350,32015,75765,66644,66216,59173,38957,21983,6854,367601,925,2492,2682,1798,1569,1460,1010,400,12341,17233,27715,21892,17453,14567,12675,10799,6210,128546,95835,315528,294200,222780,170655,117991,61205,20306,1298506,4203,64473,57609,29326,16894,8971,2648,487,184606,1962,16609,19854,18141,13339,8301,2503,410,81126,38862,143653,120379,78011,45917,28655,11060,3124,469663,15010,44362,48605,45969,34442,22100,9701,3193,223377,19004,39023,36174,35022,27541,13024,4180,1423,175402,3362,3545,3677,3525,3272,2174,675,149,20400,2243,4094,5523,7775,7639,5466,2820,1125,36690,24614,46669,45374,46326,38457,20670,7679,2698,232489,872,2373,2424,1880,1936,2025,1387,620,13518,15530,25378,20770,16785,15587,17003,16532,12824,140417,101055,343510,315035,236435,166572,107725,51510,23354,1345195,7639,116626
SOS21,108,2149,2791,1987,1692,1549,633,104,11022,38,563,1086,1133,1249,1302,372,48,5796,1331,7800,8124,6001,4740,4594,1885,387,34870,1043,4796,5764,5321,5087,4993,2267,497,29767,7622,21503,18756,17746,17294,13727,6722,1775,105142,902,856,649,462,364,289,98,18,3640,311,620,751,816,892,1034,521,139,5081,8833,22986,20156,19022,18548,15053,7333,1936,113865,97,236,310,216,232,297,212,75,1682,3999,4529,4365,4296,4461,4836,4220,2155,32863,15448,43062,42601,37980,36011,32620,16923,5209,229863,248,3910,3825,2510,2000,1360,363,45,14263,340,2646,3079,2770,2474,1919,540,64,13835,2738,14526,13744,9600,7101,6036,2407,584,56738,2109,8480,9272,8913,8179,6331,2820,724,46821,5687,13480,11965,10961,9612,4918,1217,302,58145,974,1147,1171,1072,1052,768,203,58,6457,511,837,1076,1469,1471,1283,571,202,7424,7175,15466,14217,13500,12136,6974,1992,561,72023,93,288,281,256,313,468,381,158,2240,3693,4554,4425,4307,4933,6464,6256,4335,38971,16395,49874,48849,41862,37133,29552,14761,6470,244895,356,6058
SOS22,6,92,178,174,193,231,91,12,976,0,39,94,124,146,164,44,6,609,78,494,603,556,569,608,184,34,3114,59,283,448,507,593,588,231,38,2736,609,1844,1985,2053,2382,1701,696,148,11429,61,58,46,42,36,50,13,4,313,15,42,65,68,108,124,57,18,504,690,1952,2101,2170,2535,1874,768,171,12245,0,16,18,26,28,40,20,10,156,460,400,414,565,685,779,484,206,4004,1290,3272,3860,4120,4740,4276,1816,469,23848,8,226,287,257,273,209,46,4,1311,19,182,261,311,299,209,45,10,1330,194,1066,1199,1061,964,714,253,46,5503,142,606,827,875,1007,752,267,62,4538,451,1027,1026,1060,1135,531,133,15,5372,85,100,103,107,145,86,25,0,656,35,65,83,122,161,143,62,9,678,576,1198,1207,1285,1443,762,216,27,6706,7,10,13,34,31,39,33,9,182,402,333,442,498,726,755,600,397,4157,1345,3631,4226,4324,4749,3441,1456,558,23730,15,316
SOS23,33,360,592,930,1112,1046,374,51,4504,13,133,328,504,667,691,133,14,2485,551,2137,2809,3134,3092,2984,952,117,15782,374,1144,2054,2796,3029,2835,1018,121,13377,3381,7360,8513,10887,11650,7333,2627,427,52180,328,254,221,168,227,177,53,4,1431,109,202,300,414,569,522,197,29,2337,3811,7813,9042,11473,12449,8027,2875,457,55945,27,55,92,112,143,149,108,23,706,2298,1919,2311,2971,3535,3444,1927,529,18924,7102,13561,17229,21918,24029,19190,7385,1310,111724,63,880,1252,1514,1398,907,192,18,6218,101,709,1170,1524,1483,1013,211,14,6222,1023,4445,5805,5675,4849,3475,961,148,26379,752,2399,3457,4622,4808,3136,989,150,20317,1828,3793,4231,4789,4502,1934,398,74,21546,424,354,514,482,541,309,61,9,2702,198,273,407,705,807,573,185,36,3176,2450,4422,5154,5977,5844,2821,647,115,27419,29,100,90,144,192,219,107,33,913,2131,1663,2117,2791,3511,3348,1991,638,18193,6545,14625,19044,22244,22089,14913,5102,1111,105669,96,1239
