SOS_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
SOS10,110202,83808,56435,31519,11670,3593,421869,18163,59281,57183,48037,35394,19828,6641,1505,246037,10145,28110,21163,13688,7839,4070,1825,642,87479,9316,19666,17715,14298,8744,5246,2152,558,77683,488,385,262,295,393,355,284,304,2772,1565,4941,5778,4982,3286,2141,927,413,24029,18923,31497,26778,19970,17350,16811,17014,16263,164612,116919,377163,356171,276378,205709,133987,64276,30979,1561578,8209,23433,21113,18183,15092,10401,4853,1165,102450,12858,40720,55388,26099,12763,4461,781,63,153132,15222,72796,71465,64996,67991,49376,27192,8715,377756,13924,36241,31201,27670,20509,12989,6932,2210,151676,2358,7193,6954,6385,5049,2832,1272,357,32400,19356,73382,56627,46408,40202,27053,12687,4478,280191,8795,42919,39415,36825,33988,31539,13729,3868,211082,41114,177894,192489,144351,98762,58546,22546,6183,741882,26316,89516,83909,72392,54330,33711,12514,2927,375623,16598,45740,35081,22070,13011,7026,2955,935,143422,13793,31789,29943,22685,14056,8267,3702,879,125104,1029,853,539,513,641,613,455,434,5061,2971,9222,10744,9512,6832,4410,2079,813,46588,41464,67447,57489,43399,36851,32527,30267,24725,334180,223994,719149,692365,541485
SOS11,15980,15924,14941,10662,4330,1224,82694,4486,12355,12713,12437,11684,7173,2189,395,63422,997,2965,2965,2325,1942,1493,647,204,13545,3653,7344,5912,4678,3298,2316,931,246,28382,171,139,61,51,66,53,55,24,632,237,664,768,863,692,506,245,74,4053,6801,7714,7131,6791,7073,8192,8916,6652,59281,28635,73833,71079,66792,64941,52043,27178,11939,396433,581,2412,2549,2431,2291,2351,1130,267,14004,840,2844,2936,1911,1724,1199,305,31,11784,5489,18656,16823,17312,20115,18776,10665,2888,110731,3739,8970,7934,7233,7817,6418,3271,983,46358,1474,3859,3936,3891,3413,2467,1290,350,20679,4737,16737,14553,13687,15513,12357,5697,1873,85165,2527,11217,12070,11652,12185,13305,5775,1579,70313,6251,21975,23825,23456,22108,17169,7353,1924,124063,5740,16720,17426,17326,15901,11084,3803,807,88806,1737,4718,4620,3656,3037,2492,1032,299,21604,5066,11052,9409,7512,5396,3831,1646,415,44324,310,263,140,87,112,99,83,38,1134,557,1481,1740,1888,1674,1355,654,226,9567,15028,17883,16310,15388,14998,16166,15617,10146,121532,54064,138786,134272,127436
SOS12,1374,1570,1684,1054,321,58,7453,314,893,1120,1229,1273,796,174,18,5816,95,261,291,286,265,161,68,8,1433,295,535,512,508,363,233,79,11,2530,9,4,0,9,4,3,0,5,32,25,39,75,90,82,62,22,3,396,687,677,713,767,888,990,738,378,5829,2388,5415,6352,7083,7606,5668,2080,644,37232,47,158,227,277,322,301,93,18,1431,55,142,173,171,181,127,22,4,873,483,1487,1617,2068,2495,2324,924,189,11579,384,823,885,967,1054,898,288,68,5362,153,380,465,518,501,339,130,15,2501,342,1068,1205,1392,1770,1326,403,91,7594,191,873,1069,1258,1460,1496,433,85,6861,462,1378,1938,2276,2444,1672,554,83,10817,404,1203,1531,1691,1733,1206,337,38,8142,155,395,444,432,406,276,137,17,2255,388,772,772,781,583,404,154,20,3878,12,11,5,14,10,9,5,5,73,42,105,155,193,213,160,61,10,946,1453,1394,1487,1670,1924,2117,1451,636,12138,4572,10183,11981,13702
SOS13,5746,7424,6659,3767,1033,156,29631,1215,2836,3617,4587,4461,2581,554,71,19919,412,962,1108,1141,1080,671,221,61,5658,948,1717,1663,1911,1362,746,223,24,8594,41,15,6,16,26,14,5,0,133,72,177,301,410,374,243,74,13,1663,2899,2521,3187,3849,4196,3581,2149,752,23141,9432,19333,25352,30993,31088,20912,7240,1592,145937,232,685,967,1453,1484,1420,468,78,6784,234,435,665,770,799,457,76,0,3449,2242,5661,6703,9193,10730,8011,3227,594,46355,1610,2949,3420,4132,4178,2798,1095,182,20370,1278,2712,3385,4101,4005,2463,881,146,18975,1272,3674,4433,5663,7156,5055,1745,320,29321,627,2697,4146,4867,5552,5395,1615,242,25134,1755,4918,7967,10618,9907,6222,1882,271,43539,1582,3742,4801,6303,6245,4275,1093,160,28205,653,1435,1600,1636,1587,1151,367,74,8497,1269,2304,2416,2835,2187,1241,425,62,12740,72,32,22,38,43,31,8,8,246,179,384,596,862,844,621,219,43,3752,6615,6171,7259,8446,9309,7976,4610,1429,51814,19612,37803,48362,60917
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,84,86,92,40,13,0,455,26,97,52,61,74,38,6,0,352,21,64,26,15,16,8,0,0,158,25,50,26,26,23,19,0,0,162,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,0,21,230,350,305,213,159,77,26,10,1373,375,843,611,522,498,255,66,20,3187,3,46,24,17,17,6,5,0,120,10,37,27,13,17,11,0,0,119,26,130,93,81,129,107,25,3,602,16,75,36,38,49,32,4,0,256,10,27,17,24,24,13,9,0,126,19,97,71,83,66,43,12,0,395,9,39,27,40,48,41,10,0,217,45,170,141,131,132,74,23,0,714,35,144,95,92,114,66,4,0,551,39,88,49,26,26,17,3,0,245,31,82,49,48,38,25,0,0,265,0,3,0,0,0,0,0,0,8,3,17,19,11,19,13,0,0,80,465,780,809,676,484,226,71,21,3539,718,1736,1449,1281
SOS20,83705,60806,36702,18286,6367,2287,299853,15278,54512,52256,44750,32396,18403,5861,1246,224704,9151,25397,18135,10704,5870,3146,1403,505,74306,8275,20262,17380,12690,7950,4937,2147,570,74213,444,313,229,191,182,231,114,55,1749,1801,5525,6532,5353,3293,2088,854,325,25775,15506,26182,21340,16328,13539,13662,13566,11455,131576,101055,343510,315035,236435,166572,107725,51510,23354,1345195,11089,24602,21264,17193,12769,8460,3758,889,100026,9252,40079,49433,22237,10805,3996,579,53,136432,15714,68201,63509,55994,52276,38135,21233,6952,322013,12363,39220,29089,23054,16180,9676,5348,1658,136585,2729,7727,7287,5928,4234,2231,973,290,31396,18909,76276,56778,43054,34422,23430,10838,4017,267722,7709,40545,37715,34896,32626,28962,13507,3373,199336,30270,136446,149144,108930,68745,38099,14297,4289,550219,23129,80890,74902,64066,46917,29345,10277,2304,331837,15922,44008,31816,18378,10148,5580,2450,784,129088,12190,33659,30163,19816,12620,7241,3275,866,119833,902,754,512,352,344,365,199,78,3519,3130,10306,12202,9976,6544,4188,1856,648,48849,33571,56325,45414,35333,28594,26005,24128,17468,266836,196892,659034,609231,459214
SOS21,10161,8470,6431,3813,1336,395,40816,2734,8815,8894,8796,7916,4979,1232,198,43567,710,1962,1853,1253,937,662,264,105,7752,2046,5367,4156,2949,2091,1462,626,135,18831,68,94,45,39,44,37,16,5,340,145,542,733,610,467,336,131,59,3029,3696,4687,4524,4160,4229,5254,5283,3956,35800,16395,49874,48849,41862,37133,29552,14761,6470,244895,567,1727,1997,1745,1380,1269,508,101,9296,535,2212,2695,1358,965,623,129,8,8516,3335,11350,11010,11275,11896,10870,5477,1486,66701,2587,8071,6195,4782,4323,3361,1579,472,31369,913,2595,2863,2515,1990,1324,624,188,13009,2929,11813,9931,8610,9119,7306,3193,1004,53904,1732,8161,8428,7279,7324,8419,4021,801,46169,2881,12913,15895,13500,10842,7517,2727,649,66919,3798,11808,11738,11563,10285,6959,2045,356,58555,1347,3374,3060,2092,1501,1191,463,156,13194,2842,7734,6483,4679,3358,2317,1026,216,28644,137,183,89,75,69,63,25,8,643,330,1195,1632,1416,1167,866,397,149,7147,7917,9799,9438,8959,8931,10095,9473,6085,70692,31846,92933,91452,79841
SOS22,817,783,735,401,126,15,3543,188,604,710,832,987,607,135,18,4080,62,154,219,174,166,121,41,15,954,173,418,362,268,239,152,60,6,1688,3,3,0,0,3,3,0,0,19,10,43,49,78,69,53,22,4,323,410,343,474,482,624,633,486,361,3812,1345,3631,4226,4324,4749,3441,1456,558,23730,24,110,177,207,144,174,48,14,892,22,95,140,115,122,72,20,3,585,251,990,1023,1207,1537,1310,581,116,7010,206,659,673,606,641,436,173,47,3448,128,356,427,415,373,193,84,18,1990,214,768,751,843,1161,785,297,78,4890,123,658,794,799,890,1022,410,74,4765,160,786,1203,1193,1169,796,233,37,5571,248,793,931,1077,1247,903,232,42,5463,112,255,346,276,278,213,65,19,1571,218,570,557,440,418,259,95,16,2569,8,13,4,3,6,10,3,0,38,22,77,120,172,162,119,57,14,733,895,782,954,1094,1333,1434,979,559,8046,2634,6902,8087,8443
SOS23,3756,4208,3561,1764,430,61,16598,814,2227,2786,3604,3762,2119,453,43,15800,230,625,792,720,711,419,116,25,3643,598,1395,1380,1403,1017,577,183,33,6591,18,19,10,11,5,4,4,4,74,59,134,285,376,323,214,52,10,1460,2146,1661,2175,2760,3081,2734,1630,566,16751,6545,14625,19044,22244,22089,14913,5102,1111,105669,224,564,859,1111,1061,894,301,41,5057,144,309,566,622,543,311,49,3,2549,1626,4062,5105,6803,7816,5838,2224,347,33824,1065,2540,2763,3135,2853,1838,687,108,14996,1082,2413,3166,3542,3355,1665,489,89,15804,1069,3249,3712,4601,5576,3773,1209,244,23413,472,2119,2905,3451,4074,4587,1498,168,19284,911,3223,5275,6309,5753,3526,996,120,26113,1137,2825,3501,4615,4912,3306,804,89,21191,434,979,1182,1115,1031,751,216,39,5754,778,1788,1886,2028,1634,905,298,49,9367,25,34,30,20,16,12,9,0,150,129,292,586,798,732,519,163,34,3254,4543,3769,4738,6007,6766,6170,3540,1096,36635,13649,28184,36269,44161
