SOS_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
SOS10,338,744,570,326,914,1135,319,819,75,5238,537,232,251,144,1770,2592,972,2469,76,9036,6556,6286,5594,3689,27078,25956,8249,13144,751,97307,904,682,523,475,4471,5457,1479,3030,132,17142,37106,16318,12022,7112,22564,47427,10086,25961,3059,181672,2285,3331,2777,1800,13315,14931,3875,7626,276,50231,11271,21091,14983,7232,20738,19081,4828,9538,1286,110043,18391,23967,10578,3989,7353,5929,1588,3887,1102,76781,9102,8984,9476,4914,19569,23025,7167,15719,1542,99497,1683,2099,1553,996,8909,12033,2732,6117,258,36383,1607,2670,2660,2691,22017,32355,7803,20025,543,92365,1336,2632,1808,1004,4680,6987,1941,4986,208,25579,3895,10101,8126,5335,30597,55512,11524,29492,952,155537,5250,6948,5415,2547,8069,8662,1717,3511,538,42660,4815,3419,3262,2028,28928,21856,7919,9327,703,82261,4655,11193,4653,3178,15651,13452,3859,8777,409,65827,4642,9935,9620,7616,21369,21610,4559,10902,785,91033,5082,2709,1687,1027,3373,3717,723,1822,196,20331,6096,5928,3828,2196,9373,10344,2749,5162,530,46201,5889,6687,5429,2969,14484,16448,3327,7574,12584,75377
SOS11,393,1069,1014,796,2263,2674,881,2826,241,12152,849,239,417,160,1713,3209,1966,6357,210,15122,905,1403,1170,1274,8168,8756,3222,4874,286,30049,278,220,178,247,2040,2169,657,1206,56,7042,2390,3190,2949,2882,10124,17207,4685,10457,801,54692,274,531,390,359,2185,2893,1075,2199,78,9990,1154,6024,3359,2061,6061,4729,1643,2901,306,28232,1995,7853,3267,1627,3454,2446,798,2065,343,23842,1036,1815,1704,1091,3220,3747,1469,5263,301,19642,149,300,191,144,782,674,180,424,14,2864,127,219,218,203,982,1214,366,814,24,4174,128,391,226,193,656,845,356,874,36,3699,330,1353,1023,823,2701,3802,1057,2714,92,13895,555,2162,1449,929,1907,1843,500,1175,152,10666,1540,1085,987,745,9833,7056,2448,2939,237,26876,642,2062,1338,1220,3755,3305,1269,2522,111,16231,1011,2533,2811,2752,5806,4859,1180,2295,214,23454,331,809,424,260,823,699,156,435,54,4004,484,1234,941,710,3458,4010,1194,2466,163,14659,723,1405,961,725,3187,3416,871,2041,3053,16392
SOS12,71,177,154,112,267,430,154,524,42,1943,75,25,27,13,137,233,104,446,16,1075,95,123,108,106,595,753,266,422,36,2502,31,21,15,31,183,222,54,134,7,707,323,412,441,383,997,1796,445,1141,100,6038,32,54,47,40,200,267,73,182,18,905,96,478,263,174,453,379,117,263,19,2249,180,651,238,132,212,206,70,235,35,1943,132,181,200,83,263,389,140,601,48,2036,16,29,16,7,45,71,14,41,0,246,11,29,16,16,73,113,35,80,3,378,17,35,23,11,52,77,26,82,3,317,45,147,117,97,225,324,89,254,7,1310,71,211,142,81,153,187,36,122,19,1020,180,118,89,91,960,630,210,241,23,2546,64,180,138,100,288,302,82,237,13,1403,97,211,240,176,426,344,82,186,19,1788,42,85,58,23,104,93,13,51,9,478,59,129,88,80,288,431,124,248,20,1483,96,161,88,84,294,354,77,229,316,1694
SOS13,669,1972,1880,1534,2418,5738,2130,14942,674,31965,341,97,148,71,526,1115,628,2257,103,5277,393,543,484,460,1998,2527,864,2000,133,9408,115,100,88,68,629,742,212,487,25,2462,1770,1945,1447,1308,3334,7080,1748,5398,448,24468,129,294,207,141,719,1020,375,1123,45,4047,420,1567,824,474,1258,1240,404,1103,94,7386,530,1801,622,301,465,474,144,529,76,4953,436,709,654,358,899,1341,520,2285,177,7374,52,101,62,33,179,246,44,211,6,941,45,126,102,77,242,449,138,421,16,1617,65,199,141,80,202,383,123,470,29,1693,193,692,531,382,771,1477,439,1457,63,5997,215,633,390,279,424,614,155,381,56,3149,571,365,268,269,2762,2396,788,1182,102,8696,261,784,486,345,987,987,311,806,58,5024,296,731,689,556,1029,1038,264,783,58,5439,170,337,163,102,342,285,55,259,21,1733,283,546,351,272,1018,1424,425,1228,80,5628,451,680,442,326,924,1357,308,1181,1279,6946
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,10,9,0,6,13,6,16,8,76,3,6,4,0,5,4,0,23,0,35,7,5,11,6,29,18,6,8,4,90,0,0,4,0,4,5,0,0,0,10,33,21,11,16,30,51,10,35,5,210,4,0,9,4,17,10,5,9,0,48,6,14,16,3,19,9,3,3,5,80,13,34,18,9,12,12,3,0,5,100,12,14,16,0,14,11,10,20,0,110,0,0,0,6,3,10,0,3,0,26,6,4,0,0,7,16,4,4,0,42,4,0,0,0,0,0,0,0,0,6,10,11,9,10,14,23,4,22,0,97,11,11,6,7,5,0,0,8,0,56,10,5,3,5,19,15,6,21,4,86,3,5,6,0,11,4,4,6,0,45,0,11,13,9,15,20,3,13,3,87,10,0,8,0,7,4,5,4,0,38,0,5,5,0,6,3,0,4,3,34,14,16,7,7,13,12,4,11,31,112
SOS20,301,895,781,552,1884,1975,601,1303,95,8381,285,155,114,91,397,947,419,1665,50,4119,2360,5495,5363,4374,35525,34641,10627,16803,790,115978,402,588,527,559,4973,5794,1593,2964,132,17523,4957,9998,11146,9756,33365,65672,16776,34778,2714,189163,985,2405,2264,1822,12990,14364,4229,7066,256,46377,4468,22472,13856,7435,22201,19196,5413,9781,1009,105823,7072,25416,12382,4770,9516,7251,2075,4995,973,74448,3698,7695,9634,5302,17447,22613,7078,13929,1373,88769,934,1795,1430,1030,7382,8602,1907,3859,193,27132,1223,1720,1928,1777,14019,24487,4985,11152,364,61657,605,1391,1275,933,4130,5337,1685,4135,168,19662,2091,7778,6403,5157,27737,47584,10358,24171,735,132017,1696,6358,6334,3199,8708,8126,1868,3652,497,40424,3193,3358,2823,2576,20822,21114,5722,7773,510,67890,2231,10563,5008,3594,15143,13592,4650,9303,369,64467,2862,8231,8784,8808,18355,18265,4633,9541,626,80106,3098,4353,2066,1462,4110,4335,998,2267,197,22889,1970,4422,4149,2502,10410,10809,2871,5355,442,42933,2032,5472,4785,3131,15864,16646,3511,7579,11509,70526
SOS21,362,851,813,595,1808,2266,694,1994,223,9598,215,41,41,40,201,340,162,835,21,1909,811,1057,909,960,6634,7593,3068,3688,253,24965,229,140,147,166,1377,1689,519,949,50,5276,1279,1870,1769,1988,7469,15517,4024,8295,685,42887,206,421,293,285,1896,2265,803,1291,66,7534,760,3965,1982,1311,4010,3423,1040,1697,217,18410,1168,4469,1577,718,1530,1168,316,1031,200,12187,867,1119,1228,857,2833,3894,1497,4128,291,16703,108,209,125,110,664,593,160,297,22,2292,98,120,125,137,893,1257,315,637,25,3609,68,185,138,122,452,537,200,536,20,2251,232,843,660,550,1919,2922,720,1761,71,9671,308,1196,775,534,1294,1185,295,573,98,6254,904,623,504,468,4124,5178,1236,1671,131,14829,367,1114,792,675,2563,1900,779,1494,62,9747,621,1257,1454,1531,2843,2725,654,1158,114,12360,348,499,262,212,678,563,113,271,42,2988,364,806,586,432,2200,2673,741,1387,127,9319,462,913,606,530,2237,2536,580,1373,2066,11292
SOS22,74,159,149,102,251,394,151,475,28,1788,25,8,10,7,22,50,32,109,5,266,79,102,92,86,507,622,249,342,23,2093,21,14,23,18,94,165,53,104,9,506,165,236,217,233,691,1446,379,771,86,4222,26,50,35,28,131,198,65,129,17,683,76,285,145,99,273,253,73,177,24,1400,142,352,153,80,114,139,45,160,22,1207,76,114,129,78,181,315,95,391,27,1401,7,22,14,3,32,36,15,27,0,163,10,21,11,7,54,84,17,58,4,260,7,13,15,14,31,55,24,46,0,201,32,117,78,74,126,208,67,159,8,869,32,136,93,48,92,101,32,67,15,626,127,67,38,53,390,439,92,137,14,1360,44,133,77,73,215,189,74,152,7,968,56,120,117,129,154,191,23,78,13,877,38,50,36,25,88,70,11,36,7,373,25,82,79,48,178,244,74,163,19,906,68,89,64,51,186,228,45,149,203,1092
SOS23,622,1801,1549,1297,2098,4404,1608,11373,573,25316,134,45,43,31,122,262,141,622,36,1449,370,549,448,402,2114,2793,1058,1981,136,9851,99,89,83,81,508,611,204,419,34,2134,744,1059,972,985,3010,6740,1739,4581,401,20227,104,219,158,155,562,960,345,783,45,3327,252,1401,586,354,884,972,301,765,93,5610,440,1341,410,188,320,339,82,400,66,3585,393,467,465,301,786,1279,487,1771,169,6128,28,83,54,32,162,192,46,125,10,725,31,90,64,59,198,338,110,284,13,1187,45,68,79,42,155,248,70,244,17,974,115,472,384,270,607,1182,364,1041,46,4487,156,469,286,229,339,445,122,312,35,2389,399,238,186,212,1430,1898,453,840,63,5714,140,490,321,232,777,649,224,597,49,3489,276,482,509,437,633,767,235,483,47,3863,143,232,129,112,299,289,82,283,25,1599,170,393,272,228,784,1241,306,899,71,4367,270,501,308,235,741,1178,333,867,1121,5558
