SOS_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
SOS10,131433,145945,104804,61256,285217,348507,87428,189892,26001,1380487,241,650,583,348,663,485,143,245,47,3405,89,102,156,84,347,411,119,267,10,1589,3774,6056,5089,3121,12406,9526,2503,3303,295,46069,290,335,440,310,1921,1486,336,590,21,5725,4813,6258,4590,2152,5863,6982,1262,2567,406,34889,2115,3025,3057,2009,9053,8117,1782,2680,146,31981,24944,29238,20424,9915,19942,13297,3024,4808,1272,126863,21344,27293,10939,3939,5827,3988,916,1850,909,77000,3365,3856,3909,1913,7863,6968,1553,2328,306,32057,1674,1779,1840,1361,5878,6619,1542,3523,129,24341,4164,3997,6872,5589,23757,25098,5417,9975,469,85337,1640,3226,2684,1621,5807,5661,1285,2084,173,24183,6241,14172,14325,8796,27279,32775,7641,13809,689,125730,5427,8701,6585,3051,8630,6788,1321,2074,414,42991,5168,4123,7395,3547,26310,14509,4265,5434,401,71148,13098,29119,22397,15071,32280,25829,7875,18058,1045,164762,21513,46171,50509,34310,58659,48561,8423,15054,2367,285564,5520,3423,2235,1112,2726,2332,522,898,155,18922,11873,7211,4908,2404,6220,4170,954,1446,393,39590
SOS11,15295,35905,25013,19213,73120,79549,25967,56854,6759,337677,208,888,744,435,935,728,168,401,69,4573,165,106,163,74,292,421,269,718,27,2240,521,1823,1370,1018,2709,2265,566,710,81,11049,91,96,152,129,551,436,93,140,13,1693,395,1564,1270,705,1467,1410,285,542,88,7737,166,544,484,365,972,798,187,263,21,3807,2896,12000,8279,4417,6951,3576,1053,1372,427,40958,3442,12784,5358,2353,3244,2009,566,1453,453,31653,340,1025,941,465,1028,853,260,453,47,5410,162,369,331,173,598,329,117,170,18,2262,426,541,1017,684,2081,1298,294,443,35,6828,205,545,542,407,1572,891,200,368,31,4754,667,2455,2450,1647,3571,2414,668,1132,100,15111,897,3798,2142,1051,2260,1325,285,589,168,12520,1662,1451,2457,1411,8220,3772,1175,1280,158,21588,2490,7301,6973,5536,8746,6609,2800,5452,286,46192,5622,12785,17156,13571,18497,13572,2753,4539,856,89356,403,1136,706,292,611,414,119,212,38,3941,1056,2877,2233,1301,2313,1488,358,543,135,12302
SOS12,1734,3471,2520,1844,6227,7593,2196,5707,768,32064,28,150,94,62,86,93,33,73,12,630,14,7,5,13,17,23,14,38,0,131,31,179,123,89,210,184,40,73,7,944,8,23,20,14,34,28,9,9,6,148,45,228,152,90,143,147,26,66,4,898,21,66,47,31,94,74,16,26,0,376,235,1021,697,382,572,305,96,155,26,3481,327,1226,504,190,234,191,52,184,47,2940,34,168,126,62,101,96,27,69,9,687,9,25,31,16,44,36,10,11,3,189,33,57,116,66,150,112,20,63,0,613,23,56,33,28,121,68,23,31,0,385,70,281,273,171,272,216,54,134,5,1485,105,371,193,102,166,107,28,52,18,1137,170,150,270,130,724,327,88,107,17,1982,270,761,751,572,791,623,248,559,46,4621,511,1208,1526,1131,1318,1071,204,361,72,7397,34,118,73,28,50,37,14,40,3,401,120,237,190,121,187,121,34,50,22,1082
SOS13,7411,14216,9972,7421,21111,31948,10086,38495,3545,144209,416,2576,2216,1316,1305,2356,620,3541,357,14706,69,61,87,48,114,173,101,229,11,905,247,821,577,426,786,698,184,392,47,4182,24,67,92,53,160,147,32,64,4,650,379,1151,902,410,743,795,132,297,66,4885,93,311,288,205,427,401,115,218,17,2071,1019,3688,2347,1129,1701,1075,339,621,156,12082,1048,3338,1290,520,612,540,119,487,146,8106,181,606,534,233,392,425,90,273,41,2772,61,137,121,64,154,123,33,98,7,800,143,225,370,228,547,449,108,210,14,2298,103,319,278,190,472,342,85,184,21,2002,326,1277,1305,828,1263,1201,344,742,65,7349,269,1147,635,315,560,408,99,220,69,3729,600,533,872,522,2650,1406,410,607,60,7663,1085,3122,2990,2157,2922,2499,897,2200,156,18031,1737,4157,5224,3645,4029,3674,746,1362,277,24851,230,458,285,176,288,231,58,149,21,1896,531,1004,746,405,683,542,119,262,58,4362
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,152,170,146,86,224,249,75,208,66,1388,4,13,0,5,7,12,0,14,0,57,0,0,0,0,0,0,0,0,0,0,5,7,9,0,16,7,6,0,0,44,0,0,0,0,4,0,0,0,0,9,7,5,0,0,4,9,0,0,0,30,4,0,0,0,0,3,0,0,0,13,20,27,16,21,17,12,6,0,0,113,17,52,31,9,6,10,3,4,0,137,4,9,0,0,3,7,0,0,0,27,0,0,0,0,4,9,0,3,0,14,0,6,4,0,14,6,3,0,0,34,0,4,0,0,4,4,0,0,0,14,8,20,9,6,19,13,5,8,0,87,8,20,10,0,8,4,0,10,0,56,6,4,10,0,14,9,3,8,0,63,13,21,17,16,4,13,0,7,0,94,30,33,36,28,28,26,0,18,3,199,7,13,0,3,4,5,0,6,0,39,0,3,5,3,9,8,0,6,0,42
SOS20,46461,130571,101051,68830,284987,351349,91980,182059,22992,1280281,218,958,809,587,1262,841,190,262,63,5190,64,71,102,76,132,300,89,207,9,1054,1939,7521,6442,4416,15407,11258,2601,3573,315,53477,387,372,747,693,2612,2285,524,648,42,8321,1114,4965,4737,2651,6643,7205,1392,2457,316,31473,1073,2692,3165,2214,7691,6241,1444,1853,97,26471,10453,39538,23938,11114,21078,13301,3251,4741,1137,128547,8779,34371,14608,5175,7400,4779,1153,2328,902,79496,1640,3286,3727,1998,6769,5776,1300,1716,275,26482,1054,1990,1716,1222,4198,3902,1049,1723,83,16937,2777,2900,5185,4043,13794,16941,3175,5145,307,54256,794,2245,2345,1434,5352,4434,902,1475,115,19092,4201,11893,12796,8873,23554,26076,5883,10328,481,104086,2372,9289,7841,3265,8201,5286,1095,1729,392,39469,4130,5110,7355,5962,20603,14211,3835,5514,373,67095,7841,28350,23879,15636,31443,21552,8739,16277,920,154621,15565,42279,51899,43645,51718,38515,7788,12439,2045,265894,3164,5771,3098,1695,3077,2641,586,1162,153,21352,4656,9514,8132,3954,6837,4416,1088,1581,365,40540
SOS21,9770,21695,14783,12216,47639,60234,17911,35047,4774,224078,202,726,624,429,853,598,168,257,94,3952,9,26,27,23,35,64,26,47,0,269,475,1671,1124,767,2254,1837,466,509,74,9183,70,107,161,137,436,395,72,81,6,1471,236,1164,920,547,1084,1184,240,324,72,5764,159,422,385,297,778,593,146,172,18,2976,1965,8382,5134,2659,4123,2223,572,744,312,26115,2050,7536,2753,1091,1609,986,232,766,249,17265,325,726,808,413,1113,965,259,355,59,5022,135,265,239,148,423,233,65,96,10,1615,345,385,701,495,1469,1161,215,331,33,5136,156,354,345,260,861,503,110,180,28,2800,410,1527,1605,1074,2160,1696,401,726,55,9654,492,2241,1210,637,1330,648,144,224,107,7024,1036,1484,1837,1349,3894,2933,684,878,120,14215,1639,4640,4745,3539,5966,3437,1674,3076,240,28958,3997,8803,11753,10329,10153,7315,1452,2366,535,56703,426,880,467,282,468,318,65,138,29,3076,851,2001,1588,820,1216,774,170,311,112,7833
SOS22,1125,2167,1583,1265,3821,5418,1614,3730,525,21257,32,147,106,49,102,97,26,53,17,624,0,3,5,5,6,4,3,11,0,34,57,151,113,72,168,118,36,57,14,786,3,13,11,6,23,40,6,9,0,117,28,132,102,51,96,98,16,39,11,567,13,37,47,21,63,60,10,10,3,264,183,710,442,246,321,182,58,77,31,2252,225,738,234,116,154,109,35,104,37,1753,24,101,101,53,83,94,25,51,10,530,9,25,17,11,33,18,13,8,0,127,30,43,78,38,103,77,16,35,0,414,13,41,35,26,62,32,10,12,3,226,53,177,170,120,161,138,36,71,11,922,54,258,105,48,88,39,13,25,19,646,97,143,190,131,293,246,53,71,3,1234,166,529,470,331,484,338,153,285,27,2780,400,856,1023,890,722,609,115,199,63,4882,50,95,79,35,81,35,9,17,4,396,68,160,126,70,105,66,13,31,13,640
SOS23,4933,10508,7311,5885,16528,26780,8307,28669,3061,111976,409,2355,1884,1187,1102,1858,437,2708,336,12282,22,37,29,18,23,63,17,47,5,260,239,961,603,373,798,796,197,349,51,4374,43,61,79,50,152,186,24,58,3,649,158,872,591,350,521,651,91,212,46,3482,78,281,248,158,327,315,83,143,28,1665,666,2990,1818,920,1201,842,214,395,146,9191,847,2735,899,352,404,377,91,339,129,6174,125,459,382,197,312,322,77,192,31,2106,53,130,103,49,123,94,42,60,5,661,115,196,302,180,366,345,90,176,16,1797,52,178,144,87,216,223,30,95,16,1032,237,961,897,598,814,834,255,468,44,5113,200,819,441,224,360,211,53,117,55,2483,411,609,820,554,1258,1234,269,421,56,5638,714,2295,2157,1316,1967,1401,666,1350,110,11970,1665,3788,4661,3662,2959,2578,514,928,256,21016,207,437,288,191,283,204,46,179,31,1868,295,862,636,310,446,355,64,162,50,3179
