SOS_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS10,17970,13141,8738,4601,15588,14514,3703,6609,921,85789,10446,13708,11158,6097,24201,25194,4776,10258,21600,127438,273285,351702,279481,165032,556348,580867,139749,283568,44661,2674698
SOS11,1540,4109,3170,2016,5766,5499,1550,3014,298,26963,1400,3279,2137,1482,4713,4540,1078,2510,5276,26414,37794,101862,80943,55997,141266,125277,38391,78106,12042,671681
SOS12,172,372,281,197,475,553,161,300,46,2564,171,385,228,169,453,465,96,280,517,2767,3889,10016,7889,5216,11711,11570,3258,7847,1277,62678
SOS13,815,1548,1098,678,1704,1970,546,1489,139,9992,833,1620,1076,676,1554,1948,408,1543,2348,11997,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
SOS20,6623,13939,12277,6450,17250,15227,3958,6936,810,83464,4148,12350,10455,6420,24973,23636,4656,9736,19609,115979,120800,350558,289244,190759,531867,548288,139205,259376,39491,2469590
SOS21,1211,2805,2169,1258,3414,3450,910,1697,239,17153,881,2098,1423,1002,3240,3303,723,1635,3530,17845,25172,66225,52025,37986,88883,88866,25211,46901,8401,439658
SOS22,94,249,197,115,281,308,89,190,35,1550,134,211,141,94,287,281,60,179,365,1746,2694,6645,5089,3630,7054,7871,2264,4917,948,41112
SOS23,459,1257,908,544,1227,1597,373,1064,123,7549,554,1194,797,505,1181,1628,405,1092,2017,9381,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOS29,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
SOS30,10013,9502,7403,4706,13932,12312,3506,6693,708,68775,3723,8291,6795,4375,15610,15082,3454,7990,13105,78424,133354,238729,198294,138069,385321,349977,99980,208772,27762,1780257
SOS31,990,2365,1749,1202,3563,3306,1172,2329,190,16867,822,1929,1325,964,2976,2719,830,2214,3552,17326,22238,51770,43789,32197,79719,69410,26119,64805,8156,398196
SOS32,190,302,192,129,409,428,119,325,33,2122,173,323,212,153,373,393,115,337,673,2745,3554,7471,6166,4464,9999,9551,3048,9458,1508,55220
SOS33,658,1177,762,558,1268,1533,482,1369,92,7906,601,1210,802,565,1356,1575,382,1547,2154,10202,12323,27606,21830,15441,31112,34997,11620,46939,5305,207163
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0,26,5,29
SOS39,14,12,11,7,23,12,4,5,0,95,14,23,10,14,17,25,0,27,57,194,371,466,404,251,535,500,136,436,124,3219
SOS40,727,3905,3414,2085,5892,4294,1275,2063,204,23860,682,2301,1956,1232,4545,3160,785,1568,3315,19542,24619,89863,78747,53966,145287,107432,34249,57851,7680,599698
SOS41,204,909,703,487,1279,1175,350,611,53,5768,235,582,413,268,899,721,218,469,951,4752,7127,22426,18628,13021,29634,25616,9166,17587,2508,145710
SOS42,31,102,94,83,162,169,65,106,16,823,58,107,73,47,127,112,34,78,154,787,1154,3340,2752,1947,3722,3551,1252,2969,450,21143
SOS43,86,389,307,220,474,527,154,328,51,2526,181,360,238,160,347,325,91,336,571,2609,3306,10822,8812,6061,10726,12779,4274,13648,1692,72129
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOS49,0,8,0,0,4,6,6,0,0,22,4,6,0,3,7,3,4,5,16,42,70,122,87,60,133,94,31,93,38,724
SOS50,1189,6844,5455,3236,7802,7663,2481,4666,439,39786,1449,5749,4297,2730,8228,10103,2496,5867,7251,48169,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOS51,281,1077,742,500,1242,1433,518,1347,80,7228,328,903,564,392,877,1117,408,1276,1306,7170,9854,23718,18831,13231,28616,31740,12660,35352,3241,177243
SOS52,32,107,95,61,124,143,57,146,9,778,88,131,73,39,129,141,56,160,274,1102,1442,2971,2393,1584,3166,4013,1554,4866,661,22648
SOS53,115,418,285,218,382,531,191,517,44,2699,221,468,306,194,331,520,145,534,626,3337,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOS57,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
SOS59,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
SOS60,103,572,530,319,790,591,172,290,32,3405,89,280,260,134,416,339,77,161,574,2331,4015,14787,13598,9125,22546,16299,4954,8142,1357,94821
SOS61,131,640,529,361,885,777,197,357,40,3919,131,337,241,176,456,426,114,218,604,2697,4544,14832,12880,8846,20801,17120,5452,9622,1550,95653
SOS62,13,65,58,45,92,103,29,65,10,472,29,62,37,27,44,65,16,38,93,423,755,2168,1829,1216,2391,2366,712,1547,293,13276
SOS63,55,294,259,148,345,378,102,214,39,1836,97,263,164,97,204,237,67,184,347,1671,2667,7866,6808,4520,8841,9020,2849,7018,1060,50648
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOS69,0,0,0,5,3,6,0,0,0,10,5,0,0,0,0,4,0,4,7,18,26,48,49,24,56,56,18,23,10,309
SOS70,68,257,260,172,621,569,177,299,27,2443,88,218,192,116,500,509,104,330,540,2598,3052,5959,5842,4532,16408,14488,4387,9502,1183,65347
SOS71,30,80,67,45,287,196,46,107,13,878,57,74,44,40,136,140,31,92,248,856,1023,1679,1440,1298,5722,4424,1469,2921,510,20477
SOS72,11,28,27,24,54,48,6,32,8,232,30,20,18,3,21,22,3,13,131,264,355,653,647,462,1467,1233,316,1014,238,6382
SOS73,28,53,45,40,110,148,39,131,12,604,30,55,54,37,102,133,37,108,138,694,798,1297,1071,858,2823,2797,943,3325,363,14269
SOS77,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,7,5,4,0,0,0,0,0,42,3,56
SOS79,0,0,0,0,0,0,0,0,0,11,5,6,0,4,3,0,0,4,15,39,92,62,38,34,83,59,22,82,27,500
SOS80,244,1203,990,554,1505,1400,430,698,54,7080,135,508,437,234,957,879,163,364,1130,4812,10950,29416,24781,16911,63919,56757,16302,26038,2631,247706
SOS82,0,0,5,0,4,0,0,0,0,15,0,0,0,0,0,6,0,0,5,10,20,41,37,30,62,87,21,34,7,335
SOS83,0,0,0,0,0,0,0,4,0,9,0,0,0,3,0,0,0,3,0,4,20,31,24,26,42,64,21,122,0,352
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,6,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,16,45,20,12,45,33,12,25,3,216
SOS91,3,0,0,3,0,6,0,9,0,17,0,11,0,0,7,6,4,0,10,40,27,97,39,30,171,139,45,110,25,686
SOS92,0,5,4,0,8,3,4,4,0,29,6,5,0,3,11,11,6,9,6,60,81,191,145,114,259,226,61,148,13,1234
SOS93,0,0,3,4,6,0,0,0,0,16,0,7,4,3,3,0,0,6,3,24,21,50,31,32,94,48,11,26,8,329
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
