SOS_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SOS10,2551,706,914,42,778,307,589,2632,118,8644,1632,1957,2600,38,807,53,3111,324,109,10626,27600,19370,29985,1520,15418,7352,19348,21041,1740,143382,4185,5464,3788,92,3233,561,3582,1616,343,22867,34591,15995,96139,438,22784,3081,11637,29071,2832,216556,21562,17247,5202,190,13880,9928,10144,3147,917,82216,40856,18643,12071,1826,15148,113254,14512,18891,1702,236902,28696,3695,22119,39036,5893,20914,4386,27905,1138,153784,14364,10537,5315,2852,27328,5405,56301,7534,1919,131552,11778,30198,6645,258,6519,3370,683,602,660,60725,35295,76240,1726,623,55081,5031,126,229,3348,177704,8434,8264,1298,370,8441,20125,847,1186,796,49763,44051,170648,18475,688,37739,4680,865,1567,2540,281263,12157,14666,5621,5634,10166,1930,3605,31059,813,85649,23430,39206,9954,31693,36911,910,2630,5543,3135,153405,20992,139852,4641,36171,23425,591,676,2936,1301,230589,23656,158800,12141,111767,51210,2134,2610,11650,2640,376598,7786,10596,3353,8896,4211,1529,300,2015,568,39256,9382,10969,32279,13902,9869,1608,1264,5804,708,85789,19229,21840,12406,4764,15658,7421,12043,10799,23278,127438
SOS11,5262,830,1720,79,1041,395,1386,5779,240,16722,1074,1573,5045,82,778,45,7919,687,161,17360,5507,2461,10482,526,3415,2096,5246,10845,524,41100,1035,1124,2561,45,1214,194,1642,805,120,8735,6941,1469,31510,121,5296,788,5919,9711,663,62430,2460,1195,1958,44,1944,2964,2071,1004,144,13792,10331,1936,4496,626,3241,38705,2457,7091,297,69190,9385,388,7565,14875,2377,6422,1380,12774,332,55496,2301,847,1323,380,5093,866,12816,1175,249,25055,813,1830,803,38,675,698,70,128,68,5129,1506,3172,155,99,5411,369,26,60,196,10995,929,583,356,96,1567,4220,212,381,120,8459,2712,14227,3820,140,6866,358,193,473,214,29011,1475,1979,2318,1543,2155,281,1188,12041,219,23185,6169,9351,4280,11140,11137,259,2157,3033,949,48471,4843,34832,1436,13445,5850,136,193,1394,295,62421,5512,38543,3501,44773,13638,514,685,4911,733,112806,1248,1734,1022,1816,728,297,107,882,111,7944,1757,1930,13092,4371,2498,468,379,2315,154,26963,2467,2013,3856,1597,2553,1602,2638,3656,6043,26414
SOS12,868,65,296,9,130,40,235,893,38,2570,88,58,336,0,51,5,598,47,13,1201,496,216,988,37,317,194,457,691,47,3448,85,86,280,7,125,13,182,66,9,855,830,137,3347,23,625,54,810,1042,78,6942,252,124,199,7,192,246,165,73,14,1284,924,176,454,72,298,3122,167,499,27,5730,977,31,559,1339,276,462,79,1132,37,4885,311,96,138,42,567,104,1329,106,25,2722,74,145,91,0,58,50,5,0,0,435,144,317,14,6,453,29,3,10,19,990,102,47,33,8,138,317,24,29,6,703,296,1288,421,11,649,40,13,43,29,2791,162,174,246,145,208,28,90,1097,20,2158,548,820,351,1032,980,26,325,349,85,4530,489,3253,133,1319,617,10,9,161,36,6028,492,3088,296,3681,1054,40,55,410,71,9180,132,229,111,164,68,21,29,122,9,881,175,157,1396,291,246,48,32,190,24,2564,287,244,388,149,259,157,255,348,667,2767
SOS13,31630,739,1898,90,1828,350,1699,7968,466,46668,592,484,1759,10,310,12,2701,234,70,6178,2739,952,3900,174,1470,625,1395,2173,161,13597,472,308,956,10,440,39,601,233,51,3110,4648,605,12202,41,3479,244,3628,4163,336,29352,1427,605,745,18,908,1331,627,400,63,6121,3413,744,1500,205,1078,10146,603,1697,91,19466,2733,118,1330,3538,602,1451,272,2925,93,13057,1428,401,513,129,1982,316,4913,354,111,10146,305,626,310,19,224,165,24,39,16,1743,774,1279,50,35,1526,106,12,18,104,3916,508,326,149,35,656,1716,101,129,76,3694,1713,6559,1596,56,2948,146,70,142,120,13344,714,567,935,407,734,78,350,3032,58,6880,2586,3242,1234,3604,3540,82,811,898,356,16357,2047,12364,635,4611,2465,32,85,700,123,23058,1917,11667,949,10292,3993,123,155,1003,196,30293,522,910,531,638,304,94,46,548,43,3634,895,510,5400,1059,1236,144,109,573,70,9992,1823,943,1647,514,1337,643,927,1310,2852,11997
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,7,3,4,0,4,3,17,89,0,130,0,4,10,0,0,0,23,5,0,41,13,12,28,3,5,4,21,48,4,135,0,7,0,0,3,0,4,3,0,23,25,6,95,0,10,0,31,63,3,246,7,8,9,0,0,11,15,4,0,57,24,8,10,6,12,103,16,19,0,196,25,5,35,81,8,23,5,61,0,235,4,8,5,3,17,5,80,11,0,134,6,21,7,0,3,3,0,3,0,40,14,26,6,0,32,4,0,0,0,78,0,0,0,0,5,5,0,4,0,20,30,105,16,0,26,0,0,5,0,187,9,14,10,3,15,0,4,50,0,113,23,31,8,48,22,0,3,7,5,150,4,76,7,32,11,0,0,0,0,137,10,119,3,115,31,0,0,12,0,287,10,22,9,15,0,3,9,11,0,76,7,12,13,20,7,0,3,9,0,68,9,26,19,8,11,4,12,25,53,166
SOS20,4071,1056,1395,88,1045,480,969,4257,204,13578,967,1437,818,32,399,31,1168,240,86,5173,31647,21198,33971,2127,16308,8902,22801,30328,2168,169450,5048,6916,2844,58,4776,1141,3140,1375,544,25841,30256,13286,107856,426,20336,3064,11392,30798,3221,220638,17914,12536,4711,259,12442,10140,10290,3735,815,72848,39542,18250,11639,1971,15111,116646,12118,17385,1702,234370,25062,2301,23622,43065,4364,20851,2570,31072,1041,153946,12562,9433,4213,2424,22970,4522,52369,4993,1772,115253,8220,19847,5318,301,5582,3180,503,546,569,44063,19415,48072,1239,757,40519,3420,188,228,2075,115910,6211,5556,1175,413,6690,16102,893,1040,678,38759,34986,143254,17129,778,32032,3357,798,1488,2281,236106,9737,12158,7193,5071,10025,1475,3211,30058,961,79887,19666,36402,6147,31591,31449,538,1102,5606,2470,134981,18438,133327,5170,39042,18776,494,367,2147,1324,219093,19953,149458,11199,103155,45566,1921,2138,10221,2385,345994,8347,11205,3305,12272,4099,1790,296,2137,788,44245,8969,9490,32213,14565,8726,1658,1130,5912,795,83464,15803,17235,12368,4655,13291,6412,12157,11749,22312,115979
SOS21,4193,590,1303,56,738,264,1136,5068,203,13555,211,218,594,13,124,13,832,139,33,2175,4879,2146,8186,524,2905,1790,4670,8558,485,34147,890,851,1608,24,1125,119,1310,678,138,6744,5094,1137,24932,106,4043,562,4515,7652,616,48661,1873,942,1064,35,1576,2242,1742,938,102,10512,6531,1365,2954,369,2202,24375,2096,4415,218,44526,5034,206,3750,7218,955,4279,551,7281,171,29448,2090,937,1146,475,4313,873,10575,1021,288,21725,592,1321,715,35,634,402,61,105,50,3908,1243,2725,116,60,4079,302,21,41,150,8742,607,356,259,70,1054,2251,175,194,77,5055,2017,9301,2683,114,4447,269,69,237,188,19331,979,1301,1700,946,1307,158,535,6248,114,13277,3433,5624,1861,9052,6214,104,665,1610,478,29043,2751,21833,925,8808,3257,62,116,730,221,38703,3540,23810,2334,26051,8739,309,366,3449,461,69055,1077,1238,750,1438,508,283,52,620,90,6063,1185,1137,8359,2596,1601,272,258,1614,123,17153,1717,1326,2581,878,1726,984,1997,2428,4205,17845
SOS22,941,88,254,14,116,35,208,742,23,2410,33,22,78,0,13,0,137,11,5,303,450,183,801,51,224,142,333,690,21,2882,90,62,172,0,85,4,139,58,11,622,573,75,2401,10,378,46,534,726,47,4788,163,89,106,6,112,223,143,91,9,944,606,93,263,43,167,2029,119,318,21,3654,647,14,383,769,93,290,31,698,26,2953,227,55,80,58,353,109,937,86,17,1934,58,104,45,8,35,20,3,7,3,292,112,197,11,4,309,16,5,3,19,673,60,31,36,9,83,191,9,20,5,436,200,815,241,13,442,27,8,25,18,1797,86,103,265,90,98,19,38,556,13,1271,329,488,164,737,521,8,124,178,43,2588,273,2170,72,783,341,3,14,70,16,3748,335,1921,180,2139,729,30,30,359,37,5758,106,237,106,142,57,18,9,85,4,772,97,93,826,167,160,35,33,128,15,1550,190,111,279,81,154,84,183,222,448,1746
SOS23,25876,584,1506,76,1203,283,1262,6467,341,37598,206,148,470,7,98,6,636,106,22,1708,2798,1034,3757,211,1283,784,1524,2657,170,14225,450,302,701,6,402,33,586,243,49,2782,3337,498,10790,51,2432,183,2726,3424,271,23712,1192,446,540,17,693,1137,556,368,40,4994,2492,488,1106,153,798,7891,461,1329,76,14790,2030,71,937,2623,370,1214,118,2319,73,9757,1187,375,500,162,1473,320,3775,356,85,8232,271,495,241,11,206,105,17,28,13,1388,527,1020,36,12,1201,80,10,17,90,2984,281,172,138,29,349,844,67,77,48,2005,1197,4589,1328,25,2110,110,47,109,80,9604,529,386,973,281,483,55,128,1999,45,4872,1693,2252,719,3340,2155,25,432,554,177,11351,1272,8560,538,3267,1327,36,58,321,76,15461,1485,9659,755,8264,3208,105,103,1150,154,24882,526,725,647,638,241,87,39,509,54,3468,693,427,4126,780,782,94,98,480,67,7549,1561,651,1277,361,969,429,704,1023,2407,9381
