SOS_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS10,392234,774905,286678,260805,364504,210177,149265,185548,50595,2674698
SOS11,73736,122010,101314,95818,77479,61674,48670,79159,11821,671681
SOS12,7730,10755,10084,8350,7323,5020,4870,7297,1253,62678
SOS13,62882,43960,38237,25472,31073,17847,19128,28537,5451,272591
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,234,500,279,334,236,171,253,419,77,2511
SOS20,336839,672403,293546,263064,314496,206112,139613,195328,48200,2469590
SOS21,49923,78371,67824,58866,51548,39929,31735,53034,8432,439658
SOS22,5570,6951,6755,5112,4479,3323,3049,5078,805,41112
SOS23,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
SOS27,0,4,0,0,0,0,0,4,0,15
SOS29,174,334,250,227,143,129,177,308,49,1797
SOS30,219485,425217,227273,221722,233897,157377,103967,159223,32096,1780257
SOS31,38299,61311,66059,52318,45749,35853,38318,52365,7937,398196
SOS32,6145,7780,8806,7074,6160,4390,5742,7762,1365,55220
SOS33,41538,28588,31392,19497,23291,13610,18392,26301,4555,207163
SOS37,0,10,0,0,0,0,0,17,0,29
SOS39,290,488,386,429,275,208,319,732,98,3219
SOS40,70595,143421,75934,79822,79448,51114,33035,55991,10343,599698
SOS41,17089,23979,21694,20134,15970,13679,11124,19432,2608,145710
SOS42,2962,2829,3335,2694,2234,1621,1826,3213,431,21143
SOS43,18693,10107,9399,6799,7246,4527,4628,9308,1434,72129
SOS47,0,0,0,0,0,0,0,0,0,8
SOS49,66,123,106,76,64,57,66,141,27,724
SOS50,120974,246123,148990,123372,127920,81572,70332,88524,16875,1024680
SOS51,17687,27373,33376,21435,19407,14474,18692,21559,3235,177243
SOS52,2921,2897,3756,2796,2286,1381,2909,3169,540,22648
SOS53,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
SOS57,9,33,83,9,10,0,31,98,6,277
SOS59,107,257,272,223,150,77,213,292,33,1614
SOS60,11452,23906,11618,13539,12205,8022,3979,8428,1668,94821
SOS61,10061,16513,13779,14011,10863,9344,7318,12040,1720,95653
SOS62,1682,2230,2087,1603,1450,1045,1051,1827,293,13276
SOS63,9188,8211,7948,5479,5224,3406,3850,6313,1033,50648
SOS67,0,0,0,0,0,0,0,5,0,12
SOS69,24,50,48,39,27,21,37,50,11,309
SOS70,8280,14866,8906,10020,9119,4654,3284,4979,1228,65347
SOS71,2410,5084,2554,3774,2500,1204,808,1528,614,20477
SOS72,804,1397,700,1349,599,330,331,691,181,6382
SOS73,2286,2104,2543,1602,1829,729,1093,1764,317,14269
SOS77,0,18,9,5,0,0,4,26,0,56
SOS79,54,107,49,62,46,19,31,107,22,500
SOS80,44172,77965,23759,27051,36048,15159,5994,12315,5253,247706
SOS82,62,96,42,29,46,13,13,21,10,335
SOS83,132,58,49,29,37,9,0,30,6,352
SOS87,0,0,0,0,0,0,0,0,0,0
SOS89,28,51,25,30,27,21,5,19,0,216
SOS91,90,91,124,108,82,10,71,90,18,686
SOS92,212,163,212,185,154,105,45,138,14,1234
SOS93,50,39,53,38,42,20,21,42,10,329
SOS97,0,0,0,0,0,0,0,0,0,0
SOS99,0,4,0,0,0,0,0,0,0,3
