SOS_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOS10,54,40,31,34,8,98,11,121,111,14982,191,15682,11,58,14,13,4,31,6,183,77,4042,29,4464,8,43,8,13,0,31,8,411,137,2452,22,3130,0,12,3,10,0,57,3,376,155,1960,27,2599,20,154,48,28,12,86,37,846,288,11000,150,12669,26,166,54,40,16,293,69,1517,544,6082,75,8866,66,459,142,109,29,913,136,2620,954,41200,539,47160,135,965,287,263,53,2106,291,3611,1218,21211,258,30397,311,1958,467,844,202,4062,612,4441,1421,19767,205,34289,1010,3207,780,2963,755,5220,1198,4817,1580,19061,215,40802,1208,1886,554,3475,974,4946,955,3004,999,7236,99,25350,2998,2334,678,4666,1376,4777,1024,2646,847,7512,101,28951,14990,4266,1357,12109,4358,10147,2152,4337,1315,9706,201,64941,17553,2518,772,10511,3720,4494,1185,2246,595,4675,96,48375,16843,1565,472,7543,2549,4055,641,1315,361,3056,109,38507,15430,851,263,4296,1460,1539,350,631,139,1442,39,26436,45160,2539,476,11270,3050,8433,592,2766
SOS11,33,20,11,22,3,25,3,47,19,2712,74,2971,14,33,3,7,0,17,4,94,15,1261,9,1456,8,25,7,8,0,21,4,189,18,660,17,958,3,7,0,10,0,27,3,122,21,596,11,807,27,90,12,36,0,64,13,371,69,4163,84,4932,16,94,6,40,5,157,19,726,99,2237,42,3450,76,325,43,120,22,361,53,1680,221,22150,351,25404,137,544,38,268,39,912,80,2116,246,11139,129,15651,298,994,69,649,86,1730,151,2056,336,10161,116,16642,859,1547,128,2342,179,1834,268,1834,311,9558,138,18999,997,782,90,2203,173,1487,179,949,219,2794,48,9913,2041,850,99,2607,269,1331,149,780,191,2798,61,11171,6957,1334,244,5203,666,2453,353,1076,290,2984,51,21621,5504,605,129,3501,477,888,212,513,97,1331,31,13289,4170,345,105,2108,366,774,123,254,91,868,46,9254,2610,169,55,886,176,242,57,122,29,351,8,4715,4728,413,122,1850,357,1044,105,404
SOS12,3,0,0,6,0,5,0,5,5,299,3,327,4,4,0,0,0,0,0,12,6,155,4,181,0,3,0,0,0,6,0,25,5,73,0,105,0,0,0,0,0,9,3,23,0,68,0,105,8,13,3,5,0,8,5,50,13,474,3,577,0,10,0,8,0,26,5,105,20,269,5,449,16,38,6,23,0,44,3,194,30,2384,47,2784,18,77,3,30,5,126,6,225,52,1062,15,1617,46,101,3,102,8,193,18,224,54,997,9,1754,93,170,14,231,26,195,32,212,46,933,15,1974,77,82,11,207,21,166,25,97,27,280,3,989,179,90,13,244,25,142,16,66,17,266,4,1068,540,145,25,485,62,253,43,135,31,288,7,2007,432,77,18,327,63,98,29,52,14,146,3,1259,343,40,8,204,38,69,7,36,12,95,8,865,244,14,0,104,23,26,9,11,6,30,0,463,448,44,20,188,47,121,14,47
SOS13,209,48,29,83,12,55,3,38,21,1275,33,1814,59,30,10,26,5,32,3,66,20,566,8,831,11,27,4,19,0,30,0,84,20,280,7,487,14,7,3,17,0,29,0,91,7,285,3,461,136,106,19,101,10,78,14,224,36,1505,38,2261,55,69,3,71,5,108,14,317,39,812,14,1508,241,219,33,188,15,234,28,656,104,5929,85,7740,306,328,53,276,27,411,63,773,133,2872,54,5291,481,522,60,550,37,711,66,749,126,2707,33,6058,673,669,112,1025,83,725,132,770,135,2545,57,6921,405,320,38,841,78,567,88,398,100,853,13,3695,1011,412,64,966,90,562,68,319,85,988,21,4594,2396,637,111,1899,219,966,147,499,154,1164,36,8223,1915,361,76,1405,196,419,104,264,63,567,16,5390,1527,220,62,907,146,329,72,170,39,352,22,3844,1066,125,38,459,93,143,39,84,21,180,7,2236,2641,408,80,1342,224,773,76,323
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,80,37,33,37,9,126,3,133,74,12399,180,13113,26,67,20,16,0,34,8,293,55,3404,52,3981,4,55,8,16,0,44,15,564,95,1998,22,2821,3,9,0,11,0,50,6,533,86,1453,20,2185,35,217,20,44,8,115,35,995,161,9172,125,10935,33,247,21,91,13,372,64,1808,275,4747,74,7749,118,734,83,223,34,1133,147,3085,472,35016,516,41566,178,1389,97,494,77,2524,227,4046,591,18344,223,28189,454,2706,161,1440,173,4556,400,4293,698,16518,197,31598,1466,3788,237,4876,497,5340,618,4204,654,15281,237,37205,1767,2126,155,5180,558,4624,419,2441,413,4958,64,22716,4069,2315,215,6303,722,4224,446,1946,358,5356,97,26043,18724,3750,457,14425,1759,7936,805,3066,592,6445,162,58123,21062,2068,328,11015,1478,3090,476,1505,267,3330,97,44710,17976,1184,243,7270,1077,2841,294,887,178,2123,97,34174,14854,578,163,3837,687,1016,130,497,65,973,28,22830,32603,1699,389,8956,1518,5756,345,1848
SOS21,26,22,5,12,4,23,6,28,16,1894,50,2073,10,9,6,10,5,4,3,76,14,775,23,938,0,13,3,5,0,19,3,119,11,409,6,594,6,6,0,5,0,6,3,103,15,351,9,502,18,69,8,15,4,43,7,295,46,2543,51,3097,5,76,3,36,3,87,7,495,63,1381,20,2181,39,201,27,84,10,267,40,987,138,12426,233,14448,77,332,37,178,28,615,55,1315,204,6851,74,9766,183,600,43,460,45,1155,86,1278,201,6052,69,10177,515,929,83,1404,126,1259,158,1160,234,5086,93,11060,534,432,56,1475,141,995,122,541,131,1301,16,5746,1253,506,87,1661,165,906,126,450,109,1490,21,6774,4575,807,142,3507,419,1617,249,609,185,1445,45,13596,3846,402,106,2389,358,528,158,282,70,618,26,8770,2729,202,58,1428,217,461,69,146,40,423,20,5799,1658,106,38,633,111,130,37,56,19,153,5,2940,2734,240,60,1173,237,684,74,221
SOS22,0,0,0,0,0,0,0,0,6,207,5,219,5,4,0,0,0,0,0,10,0,80,0,101,0,0,0,0,0,5,0,18,6,53,0,79,0,0,0,0,0,0,0,11,0,59,0,73,6,6,0,8,0,7,4,42,0,322,4,402,0,15,0,0,0,16,0,49,15,161,0,272,15,25,7,12,3,48,3,147,23,1459,23,1770,25,37,0,27,0,73,9,179,32,689,16,1091,32,92,10,53,6,128,19,164,26,565,7,1099,58,122,10,155,16,156,25,143,21,540,9,1256,57,76,5,153,6,116,14,56,23,150,5,662,129,67,8,183,16,95,13,50,10,163,4,734,372,122,23,370,40,180,23,67,30,125,6,1348,318,44,20,220,43,55,15,38,10,63,6,841,203,22,7,146,29,38,14,20,4,41,0,531,146,11,5,63,16,10,4,5,4,11,0,263,234,27,9,137,22,68,7,27
SOS23,93,27,11,33,11,25,0,33,15,900,33,1190,27,33,13,16,8,18,0,37,11,407,10,570,19,14,6,13,0,20,4,73,18,211,5,375,9,0,0,4,6,15,8,68,18,227,4,352,106,63,18,66,9,59,5,163,36,1160,27,1724,27,67,8,40,8,70,12,258,47,600,17,1156,141,183,26,128,12,208,26,535,87,4245,93,5686,220,273,43,224,26,324,53,641,115,2311,43,4259,310,439,56,432,56,564,65,657,132,2155,38,4907,547,532,79,841,79,540,109,557,122,1889,38,5329,305,263,26,700,78,465,69,313,64,500,9,2788,732,332,73,882,98,452,52,277,60,646,21,3622,1948,506,116,1722,223,773,136,366,98,767,20,6679,1527,293,58,1265,150,299,89,196,46,341,18,4273,1200,180,52,737,106,267,46,117,38,231,9,2977,806,85,32,390,54,93,25,53,11,112,5,1662,1839,297,72,1002,144,498,65,243
