SOS_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS10,1802,5389,244,214770,5172,1088,865,4166,1352,3319,733,1551,1186,4332,17282,41035,398,78,405,338,177,248,92,108,260,716,2926,5735,165110,33689,13633,156762,45084,114712,18390,42859,20780,88930,22002,721949
SOS11,119,325,35,22381,1847,335,163,1655,299,717,163,389,145,862,6039,12617,100,14,95,120,35,42,14,16,46,168,471,1130,36070,7933,1759,46182,7679,19934,2782,7599,2230,12461,6916,151543
SOS12,16,41,9,2310,212,64,13,193,33,93,26,76,25,120,642,1491,18,3,11,17,9,4,0,0,8,21,54,148,3381,936,166,4504,716,1889,310,874,256,1378,745,15152
SOS13,96,289,25,13706,1549,229,103,1292,185,475,89,268,95,465,2521,7275,111,20,76,103,32,38,10,8,36,73,262,772,17128,3623,1065,19824,3026,7581,1370,3186,1037,5114,2990,65939
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,703,2693,198,153729,4965,1008,627,4932,852,3115,473,1438,791,2962,14992,36144,465,84,369,514,172,260,71,94,197,502,2227,4950,144088,30009,5582,177970,27640,106846,8187,36062,8372,55010,18850,618623
SOS21,92,188,18,14250,1169,240,108,1260,187,594,125,275,129,564,3245,7899,95,13,89,108,45,48,21,19,38,96,362,940,21811,5211,1209,34697,5395,15825,1890,5234,1567,7751,3896,104491
SOS22,8,23,3,1171,140,42,15,167,17,65,20,35,8,67,348,934,8,3,7,15,0,4,0,0,6,14,38,107,1789,540,146,3245,494,1253,215,476,152,690,412,9416
SOS23,57,121,26,8862,958,218,107,1071,127,396,78,182,82,305,1665,5192,106,9,78,107,22,35,18,15,13,68,206,681,11758,2655,776,17274,2210,6093,898,2143,704,3215,2049,49784
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,571,1220,110,91592,4162,685,458,3397,834,1959,386,892,495,1788,16753,31822,280,40,251,264,111,128,33,38,97,233,1311,2788,103675,19298,4943,113166,24044,62287,7730,20316,6563,28463,18945,409421
SOS31,91,151,25,12563,1236,169,127,989,194,513,100,224,109,572,7220,11450,97,0,101,71,31,26,11,16,35,106,397,898,21759,3388,1124,25160,4141,13405,1577,4136,1478,7478,7843,91481
SOS32,8,28,0,1374,213,41,20,158,25,98,25,59,28,138,949,1752,18,3,13,12,0,7,3,0,11,30,91,197,2748,597,192,3261,514,1773,247,673,240,1543,1082,12876
SOS33,52,136,18,7782,1258,134,90,853,141,419,70,171,89,369,3436,7031,115,4,65,72,17,34,11,14,30,54,239,649,12672,2135,746,13809,2161,6331,953,2100,806,3973,3853,49545
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,120,394,30,26306,1394,257,105,1409,176,693,126,346,149,703,4863,10214,62,13,53,91,35,48,11,17,32,96,317,777,31579,7833,1115,45268,5619,20799,2022,8159,1524,12296,5504,141701
SOS41,28,56,8,4307,466,77,27,493,65,166,33,109,32,147,1809,3428,27,6,17,25,12,10,7,0,10,31,71,213,7139,1645,345,10735,1398,4345,603,1636,427,2450,1967,32700
SOS42,0,11,0,408,62,22,7,101,11,42,6,22,0,45,310,613,3,0,3,5,0,0,0,4,0,16,21,58,827,253,38,1512,202,592,81,261,68,436,345,4614
SOS43,19,31,6,2418,438,58,21,498,40,116,22,68,23,110,870,2262,20,5,20,22,6,13,3,0,7,18,62,165,3864,847,236,6016,617,1937,280,700,184,1042,995,16722
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,492,848,80,61996,2541,458,266,2607,382,1434,238,610,285,1163,19740,29736,139,16,150,147,53,65,22,19,58,100,769,1535,53164,10453,2119,78203,9631,43774,3504,11552,3312,15090,21046,251858
SOS51,105,43,15,7249,602,93,46,568,93,263,49,107,53,220,4191,6275,24,0,26,38,13,9,7,7,8,26,170,333,8457,1500,456,12118,1590,6292,819,1543,676,2024,4454,39936
SOS52,11,7,0,538,79,23,10,86,15,53,3,9,16,86,474,856,3,3,0,0,0,10,3,7,0,13,37,81,794,185,67,1204,172,810,91,242,115,818,541,5035
SOS53,46,45,8,3059,584,80,35,545,58,176,39,68,24,129,1630,3374,36,3,19,29,5,8,0,4,9,13,67,205,3715,757,258,5281,572,2266,302,630,261,1050,1737,16840
SOS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS60,25,67,3,3706,273,68,19,242,30,96,10,46,12,94,656,1558,5,0,5,5,0,3,5,0,0,13,45,90,4357,1473,186,6570,835,2499,292,1107,207,1576,741,19832
SOS61,17,28,4,2092,259,48,15,315,44,107,32,57,32,128,897,1930,10,4,8,12,0,4,4,0,4,20,48,117,3840,1111,211,6978,861,2946,349,1222,277,1892,1001,20694
SOS62,3,3,0,317,49,12,5,58,6,31,0,14,3,30,125,336,6,0,0,3,0,0,0,0,0,3,4,21,544,198,46,983,117,399,61,195,48,272,132,2992
SOS63,9,19,0,1404,202,63,19,268,25,104,23,57,22,101,549,1426,9,0,8,8,3,3,0,4,0,8,34,79,2374,763,147,3957,466,1526,229,690,190,967,611,11923
SOS67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS70,23,47,5,3137,250,16,16,82,29,68,16,19,15,49,1088,1646,4,0,10,4,3,0,0,0,5,7,35,80,4661,497,157,2942,677,1913,187,460,160,650,1160,13475
SOS71,5,10,0,739,83,12,8,32,7,31,11,20,8,115,276,595,5,0,4,0,0,0,0,0,0,17,32,66,1391,151,68,821,188,602,52,238,67,1060,348,4981
SOS72,0,4,0,126,24,0,6,15,6,21,0,27,10,76,58,237,6,4,0,0,0,0,0,0,0,18,30,59,267,109,31,208,36,288,16,225,42,1126,103,2436
SOS73,13,7,0,680,102,9,6,28,10,26,0,13,8,68,291,559,7,0,10,3,0,0,0,0,4,15,49,88,1070,102,54,566,149,352,29,153,57,581,360,3477
SOS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS80,82,334,10,21618,647,49,43,323,75,200,29,74,39,145,1377,3007,38,0,15,11,5,14,0,3,10,16,90,199,19252,2227,621,14723,2928,6964,728,1933,457,2743,1548,54131
SOS82,0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,35,6,6,0,4,0,6,3,92
SOS83,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,18,6,3,0,0,0,4,0,45
SOS87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS91,0,0,0,31,9,0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,0,0,0,50,3,4,45,3,26,0,0,3,3,10,149
SOS92,0,0,0,12,3,0,0,6,0,0,0,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,64,18,5,51,7,21,5,23,5,4,12,212
SOS93,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,7,7,9,6,0,16,4,5,0,4,0,10,12,54
SOS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
