SOS_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOS10,303,676,25,13,40,714,1201,1480,3393,66532,42052,13877,122467,4041,3562,7610,130070,102349,2771,235194
SOS11,130,294,6,17,24,314,619,653,1585,21458,19139,3283,43881,1523,1631,3150,47036,31404,1184,79619
SOS12,7,25,0,0,0,22,63,75,158,1501,1467,278,3250,111,107,224,3470,2621,132,6226
SOS13,35,101,3,0,4,101,117,161,386,4571,3689,804,9067,267,248,516,9584,6795,313,16692
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS20,290,678,23,24,47,725,1010,1218,2950,60913,44222,7239,112375,3648,3806,7451,119831,78005,2327,200167
SOS21,74,214,9,8,12,229,348,353,928,12532,12146,1986,26656,844,950,1794,28453,17813,664,46930
SOS22,9,19,0,0,0,19,29,40,86,889,861,156,1907,57,65,130,2038,1386,61,3484
SOS23,31,81,0,0,3,84,98,93,272,3318,2761,523,6603,163,151,315,6919,4364,182,11459
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS30,236,550,23,25,47,596,648,948,2189,54454,36098,8799,99353,3798,3610,7412,106763,56701,1701,165158
SOS31,81,192,15,12,31,221,323,363,910,12544,10067,1889,24499,1253,1164,2420,26920,17823,616,45360
SOS32,25,47,4,0,12,56,69,86,210,1382,1202,279,2858,211,134,347,3210,2821,153,6184
SOS33,35,78,3,5,8,90,99,131,321,3625,2768,597,6987,283,246,531,7514,5568,243,13328
SOS37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS40,65,162,12,13,25,191,234,239,660,17779,13609,1727,33114,1220,1328,2546,35657,22195,508,58358
SOS41,23,60,10,0,12,70,105,86,258,4244,4244,547,9038,368,345,714,9757,5763,176,15689
SOS42,0,4,0,0,0,3,22,26,55,423,493,65,986,45,43,84,1073,749,39,1855
SOS43,11,29,0,4,0,32,37,29,91,1116,856,143,2116,73,53,126,2246,1382,52,3680
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,133,272,17,21,34,309,290,449,1050,28161,20268,2610,51041,1959,2149,4104,55145,27632,809,83590
SOS51,26,54,7,4,5,64,101,147,312,5120,3929,596,9641,362,385,745,10390,5441,242,16070
SOS52,5,9,0,0,4,11,51,49,114,531,493,78,1098,68,73,135,1240,1330,79,2645
