SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS10,26082,26560,22951,16948,72800,106417,32432,84786,3252,392234,34063,72349,65843,47858,174036,221449,48781,104346,6169,774905,49560,30777,24052,13809,57483,68020,14194,23774,5008,286678,49185,54177,41463,24197,41580,26134,8896,11063,4108,260805,25309,48297,46176,26073,104448,74475,14580,21971,3176,364504,35512,53328,30378,13212,32164,26678,5958,10274,2677,210177,16414,17693,16710,9087,34782,27496,8475,15588,3009,149265,32201,43945,28085,11949,30515,22097,4937,8127,3697,185548,4952,4582,3823,1903,8542,8103,1484,3640,13570,50595,273285,351702,279481,165032,556348,580867,139749,283568,44661,2674698
SOS11,3108,4519,4754,3867,14367,17450,6753,18283,644,73736,6361,12714,13916,10966,26385,27023,8238,15548,862,122010,4804,7957,7134,5669,24155,27698,7766,14584,1541,101314,7361,20338,17822,12890,17836,9879,3352,4824,1507,95818,3785,11002,11650,7995,22467,12864,3000,4095,623,77479,3881,19304,10488,5299,10478,6519,1893,2948,857,61674,2577,4085,3701,2345,9423,9993,4015,11610,920,48670,5079,20744,10687,6437,14174,12199,2981,5215,1637,79159,840,1190,794,539,1963,1647,396,1003,3449,11821,37794,101862,80943,55997,141266,125277,38391,78106,12042,671681
SOS12,347,521,565,411,1288,1782,616,2101,98,7730,590,1286,1359,1040,2094,2308,595,1384,99,10755,573,890,797,649,2135,2743,685,1421,190,10084,713,1965,1646,1028,1393,805,273,409,121,8350,398,1289,1284,783,1794,1100,241,365,65,7323,335,1602,845,445,797,533,152,254,60,5020,296,412,353,225,874,1006,377,1225,111,4870,540,1917,967,574,1156,1116,293,577,166,7297,95,132,82,59,188,178,34,108,368,1253,3889,10016,7889,5216,11711,11570,3258,7847,1277,62678
SOS13,2147,4474,4607,3526,6387,12220,4322,24049,1146,62882,2456,5688,5798,4174,7200,9029,2670,6538,408,43960,2466,3596,2918,2225,7180,10003,2588,6602,662,38237,2505,5888,4679,2986,3960,2753,801,1413,489,25472,1719,5786,5524,3112,6902,4785,1007,1886,360,31073,1393,5587,2829,1389,2442,2019,532,1325,325,17847,1230,1693,1462,881,2774,3844,1469,5288,489,19128,1973,6892,3577,2128,4095,4639,1255,3282,695,28537,469,554,389,228,609,755,182,619,1639,5451,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
SOS20,10968,16842,21141,18220,67425,91867,30924,76902,2539,336839,25575,61133,62408,56394,150382,183712,44669,83308,4828,672403,12416,25516,27204,18416,70132,85336,19777,30118,4629,293546,25906,66935,50382,29425,40386,28344,6820,10935,3928,263064,11872,40794,43179,27459,90840,66534,13207,18007,2597,314496,15495,68681,33137,13824,31831,24875,6080,9789,2395,206112,5262,14525,15797,9625,34667,31617,9383,15975,2762,139613,10815,51487,32196,15011,37164,27759,6789,10608,3501,195328,2485,4648,3806,2379,9039,8249,1554,3735,12300,48200,120800,350558,289244,190759,531867,548288,139205,259376,39491,2469590
SOS21,2069,2885,3283,2828,9332,12470,4641,11894,528,49923,4269,8058,9215,8899,16375,17051,5038,8872,599,78371,2850,4990,4695,3799,15826,20895,5095,8569,1103,67824,5614,12580,10936,7469,9582,7162,1793,2790,937,58866,2350,7313,7899,5391,14045,9461,2035,2597,459,51548,2780,13589,6468,3240,6265,4256,1064,1718,546,39929,1500,2383,2388,1728,6396,7517,2867,6305,649,31735,3156,13620,6595,4225,9693,8656,2397,3481,1220,53034,588,813,539,413,1371,1391,285,680,2356,8432,25172,66225,52025,37986,88883,88866,25211,46901,8401,439658
SOS22,235,425,390,342,852,1286,462,1500,75,5570,446,930,920,822,1260,1330,403,788,55,6951,334,626,539,424,1392,1928,485,894,138,6755,574,1212,931,664,679,578,143,240,105,5112,239,800,797,498,1015,728,144,215,49,4479,243,1033,570,289,484,373,95,164,66,3323,161,215,278,155,500,716,266,689,74,3049,384,1331,618,411,781,830,244,355,131,5078,82,82,55,35,87,102,22,80,258,805,2694,6645,5089,3630,7054,7871,2264,4917,948,41112
SOS23,1465,3749,3755,2878,4825,9708,3324,18802,1097,49603,1948,4420,4619,3785,5223,6258,2039,4246,351,32892,1399,2714,2310,1844,5814,9003,2218,5139,642,31088,2210,4930,3823,2242,2647,2457,598,1034,354,20303,1052,4283,3968,2389,4439,3496,679,1182,297,21775,955,4800,2209,1085,1758,1554,376,817,268,13827,804,1052,972,665,2126,3046,1146,3222,334,13365,1580,5804,2837,1846,3343,4039,1113,2380,599,23534,349,480,285,195,436,551,141,467,1428,4329,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
