SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR101,2324431,2374220,4698656,145583,137189,282767,299504,283855,583355,135176,126802,261971,161493,152436,313934,372776,380866,753648,354942,359568,714513,292439,304077,596518,248972,260048,509021,179630,198163,377790,98353,114713,213068,35570,56501,92069,2265425,2315514,4580940,59003,58711,117715,32039,32598,64636,804,765,1568,706,755,1460,33544,34123,67668,1275083,1273824,2548914,940433,995247,1935675,1271220,1260853,2532072,924984,989479,1914464,1849508,1895916,3745421,42934,40432,83358,280719,266752,547471,110933,108731,219669,76815,77472,154287,96541,133524,230060,1245230,1306100,2551333,94262,85536,179799,264731,265806,530535,73060,75920,148981,60113,71269,131382,26266,35312,61581,2182245,2236003,4418247,133255,127716,260976
SOSR102,514266,540905,1055174,30095,28459,58553,65799,61441,127238,31448,29980,61418,33526,32608,66135,65404,67067,132466,63218,66817,130034,64262,67991,132254,62818,68238,131061,53798,60452,114242,32519,38742,71267,11378,19113,30494,495586,523731,1019318,18684,17172,35855,22857,23475,46328,516,486,995,473,511,989,23844,24471,48310,409025,426996,836025,81775,89665,171437,441299,461761,903059,48292,53517,101812,462049,486530,948579,9920,9321,19245,62147,58008,120154,23100,23250,46355,12215,14020,26238,15583,25283,40868,198371,222168,420546,31229,28239,59465,115617,119909,235527,30580,34001,64581,16226,17849,34075,2041,2345,4389,482589,507867,990451,28587,31248,59844
SOSR111,93659,100680,194335,6201,6017,12218,13072,12629,25704,5812,5724,11534,5592,5687,11277,12602,13334,25933,11839,12628,24467,11161,12167,23325,10713,12026,22736,9580,10801,20378,5351,6687,12040,1737,2981,4715,89762,97263,187023,3891,3418,7308,5510,6131,11639,109,117,224,146,134,284,5757,6387,12148,77812,83728,161542,10974,12094,23074,81995,88318,170315,6805,7508,14317,84366,90957,175321,1869,1858,3727,12252,11852,24102,3961,4171,8133,1479,2020,3492,2719,4817,7532,30795,36824,67624,6980,6774,13753,22012,22911,44922,6195,6685,12877,3362,3419,6780,487,539,1026,87594,94474,182068,5751,6229,11976
SOSR112,254071,270318,524391,15974,15027,31005,33428,32429,65858,15845,15182,31027,15316,15136,30457,33457,34351,67805,29638,30854,60489,29387,31444,60830,29795,33159,62954,27849,31469,59320,17249,20989,38241,6127,10278,16410,243518,260420,503937,10554,9897,20459,20693,20876,41568,315,327,639,432,452,881,21437,21648,43087,205448,219363,424813,33002,34724,67723,215478,233250,448724,19789,20938,40719,220815,239615,460436,4819,4459,9274,30805,29887,60694,10598,10696,21293,3714,5068,8778,6905,12573,19475,85280,101656,186938,15760,15999,31761,57829,60858,118690,16809,17829,34638,9928,9485,19410,1111,1160,2270,230610,248614,479226,25324,22822,48149
SOSR113,114105,120152,234258,6392,6020,12413,14524,13830,28351,6766,6018,12787,5932,5547,11479,13168,13814,26977,12557,13279,25839,13273,14165,27435,14884,16213,31098,14900,16020,30922,8843,10253,19095,2868,4991,7856,108650,115204,223855,5449,4947,10401,9242,9623,18861,170,147,321,222,202,431,9636,9977,19612,93798,98218,192018,12412,14035,26453,100455,106332,206785,5293,6222,11518,101608,107780,209383,1900,1804,3705,13275,12637,25911,4227,4099,8325,1118,1396,2513,2337,4922,7255,34035,39890,73927,7840,7306,15142,29195,30633,59831,8496,9309,17805,5008,4839,9848,354,322,677,103760,110272,214031,10943,10060,21004
SOSR114,126221,135174,261391,7877,7500,15375,16722,16117,32840,7265,6922,14190,6586,6674,13258,14476,15561,30040,13787,15020,28809,14292,15260,29552,15678,17322,32999,15942,17270,33212,10077,11893,21969,3513,5633,9144,120673,130028,250695,5544,5148,10694,9334,9931,19266,150,138,290,215,215,433,9702,10290,19986,103563,111165,214733,13685,14889,28568,110283,118834,229120,7201,7752,14955,112473,121351,233823,2298,2188,4481,15256,14730,29990,4713,4835,9548,1296,2085,3383,2467,5256,7722,37839,47083,84924,8202,8332,16536,31690,32697,64388,9156,9269,18418,5697,5099,10804,457,411,859,115361,123764,239120,12471,12184,24661
SOSR115,180592,188916,369508,10391,9967,20357,23185,21809,44990,10144,9539,19681,8544,7943,16491,18668,19796,38468,18881,20385,39268,20666,22209,42877,24580,26907,51481,26088,26813,52903,14889,16251,31139,4552,7304,11859,171963,181208,353170,8630,7708,16337,13414,13426,26843,202,166,371,276,274,554,13894,13871,27762,148422,154742,303168,18704,20585,39285,160053,168095,328145,7117,8120,15232,161327,169867,331193,3166,3057,6224,20997,19828,40830,6623,6634,13262,1645,2194,3838,3239,7098,10338,53348,65840,119188,11631,11781,23418,46183,45869,92051,14087,13510,27593,8133,6868,15000,552,474,1024,163638,172817,336456,18894,17309,36203
SOSR121,49118,49733,98845,2718,2578,5307,6535,6232,12771,2929,2804,5735,2201,1993,4192,4535,4811,9347,5125,5549,10674,6199,6590,12789,7321,7684,14998,7184,6915,14096,3482,3368,6858,879,1199,2080,46635,47783,94412,2480,1954,4429,3385,3494,6884,68,55,120,77,79,153,3526,3630,7155,41014,41300,82319,4661,5046,9711,44395,44926,89324,1538,1749,3289,44659,45207,89864,843,842,1688,6020,5741,11758,2014,2043,4054,497,551,1050,881,1979,2856,14549,17771,32318,3163,3062,6225,13204,12169,25373,3633,3325,6960,2015,1507,3520,132,89,221,45260,46333,91583,4032,3796,7825
SOSR122,25218,24744,49959,1181,1152,2327,3142,2845,5989,1346,1247,2599,1138,1053,2187,2300,2372,4676,2489,2585,5073,3188,3328,6515,4241,4223,8463,3877,3645,7524,1895,1710,3607,427,575,1000,23842,23588,47428,1373,1161,2534,2040,2115,4154,45,31,75,39,36,77,2126,2186,4311,20548,20047,40591,2346,2539,4880,22299,21829,44130,776,951,1725,22377,21972,44349,353,317,674,2826,2550,5377,842,822,1661,215,302,511,360,880,1241,6880,8358,15232,1537,1494,3027,6840,6084,12918,1963,1782,3749,1414,979,2392,106,69,168,22515,22341,44857,4200,3625,7831
SOSR131,296123,278147,574269,14047,13225,27273,38580,35471,74053,19179,17250,36426,14066,11874,25946,25644,24836,50478,30595,31539,62140,41279,41886,83164,48733,46587,95316,41527,35755,77284,18477,15494,33967,4005,4215,8221,281670,266886,548555,14457,11258,25711,13440,12272,25707,276,227,504,292,260,549,14006,12759,26772,242069,225493,467555,28613,29618,58228,256950,242939,499886,13164,13743,26901,262750,248346,511098,4089,4043,8130,35093,32255,67346,13028,12776,25810,3414,4118,7531,4095,9506,13597,91640,110063,201705,17251,15816,33065,77303,61330,138630,20010,14636,34645,11678,7022,18702,899,644,1542,265236,255150,520384,32087,25512,57596
