SOSR_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR101,36,2500,898,475,2412,1,2122,2.7
SOSR102,41,2000,762,395,2062,0.8,1604,2.5
SOSR111,39,1731,753,340,1895,0.8,1481,2.5
SOSR112,40,1608,733,320,1826,0.7,1401,2.4
SOSR113,44,1517,659,320,1625,0.7,1268,2.3
SOSR114,43,1520,687,300,1699,0.7,1292,2.3
SOSR115,46,1551,672,300,1661,0.7,1291,2.3
SOSR121,46,1690,694,320,1762,0.8,1424,2.5
SOSR122,48,1400,640,250,1615,0.8,1227,2.3
SOSR131,46,1900,753,300,1996,0.8,1704,2.7
SOSR179,56,0,1649,0,0,0,0,0
SOSR199,39,0,487,0,0,0,0,0
SOSR201,37,2000,844,391,2255,0.9,1906,2.6
SOSR203,38,1517,753,310,1936,0.8,1475,2.4
SOSR211,34,1560,734,320,1768,0.8,1494,2.7
SOSR212,39,1517,773,300,1991,0.8,1559,2.5
SOSR213,41,1460,704,285,1778,0.7,1351,2.4
SOSR214,48,1400,645,280,1598,0.7,1206,2.2
SOSR215,45,1460,685,270,1755,0.7,1311,2.3
SOSR221,48,1300,671,260,1704,0.7,1284,2.3
SOSR222,47,1274,672,240,1663,0.7,1285,2.3
SOSR231,47,1603,752,250,1978,0.8,1659,2.6
SOSR279,50,0,2200,0,0,0,0,0
SOSR299,37,0,464,0,0,0,0,0
SOSR301,36,1889,860,380,2214,0.8,1885,2.6
SOSR302,40,1950,782,450,1987,0.8,1656,2.5
SOSR303,37,1517,813,315,1967,0.8,1571,2.4
SOSR311,41,1480,700,300,1723,0.8,1359,2.4
SOSR312,45,1500,615,280,1504,0.7,1213,2.3
SOSR313,37,1517,764,310,1847,0.8,1516,2.5
SOSR314,38,1587,744,290,1890,0.8,1522,2.5
SOSR315,42,1517,665,270,1643,0.8,1333,2.5
SOSR321,45,1478,626,231,1571,0.8,1289,2.5
SOSR322,47,1300,602,175,1391,0.8,1159,2.3
SOSR331,46,1712,707,277,1839,0.8,1557,2.7
SOSR379,39,0,1196,0,2750,1,1749,1.5
SOSR399,43,0,471,0,0,0,0,0
SOSR401,39,1552,757,320,1972,0.8,1527,2.4
SOSR412,40,1300,722,250,1828,0.7,1360,2.3
SOSR413,45,1300,647,235,1561,0.7,1201,2.3
SOSR414,48,1300,643,280,1497,0.7,1179,2.3
SOSR415,46,1300,672,230,1637,0.7,1248,2.3
SOSR421,48,1200,652,200,1599,0.7,1217,2.3
SOSR422,50,1000,550,175,1336,0.7,1039,2.2
SOSR431,47,1400,734,200,1841,0.8,1491,2.5
SOSR479,48,0,1812,0,0,0,0,0
SOSR499,39,0,437,0,0,0,0,0
SOSR501,37,1900,862,350,2262,0.8,1863,2.6
SOSR511,39,1625,769,320,2003,0.7,1598,2.5
SOSR512,40,1564,795,300,2032,0.7,1572,2.4
SOSR513,34,1842,1165,300,2711,0.8,2305,2.6
SOSR514,41,1517,742,300,1807,0.7,1418,2.4
SOSR515,39,1500,774,231,1958,0.8,1519,2.4
SOSR521,43,1300,660,200,1640,0.8,1292,2.3
SOSR522,41,1199,547,140,1314,0.8,1162,2.4
SOSR531,45,1950,838,245,2042,0.8,1725,2.6
SOSR579,40,1733,2123,0,1375,0.7,2250,1.7
SOSR599,40,0,420,0,0,0,0,0
SOSR603,38,1517,779,350,1923,0.8,1534,2.4
SOSR611,39,1300,705,280,1704,0.8,1322,2.3
SOSR612,42,1148,629,249,1486,0.8,1142,2.2
SOSR613,49,1200,593,250,1432,0.7,1070,2.2
SOSR614,43,1257,635,270,1525,0.8,1179,2.3
SOSR615,45,1300,623,260,1501,0.8,1163,2.3
SOSR621,48,1300,656,250,1601,0.8,1221,2.3
SOSR622,52,1083,587,250,1445,0.8,1106,2.2
SOSR631,46,1350,690,250,1736,0.8,1426,2.5
SOSR679,43,0,2249,0,0,0,0,0
SOSR699,41,0,431,0,0,0,0,0
SOSR703,33,2006,1121,380,2459,0.9,2187,2.6
SOSR712,34,1785,1130,380,2476,0.9,2140,2.6
SOSR714,32,1509,1025,340,2175,0.9,1936,2.6
SOSR715,29,1100,321,100,898,1.4,1665,3.9
SOSR721,30,2383,362,80,968,1.4,1535,3.5
SOSR722,29,1625,313,85,784,1.4,1247,3.7
SOSR731,36,2167,817,235,2121,1.1,1960,3
SOSR779,40,0,1478,0,0,0.7,4150,2.3
SOSR799,41,0,441,0,0,0,0,0
SOSR802,35,2080,1204,450,2871,0.8,2372,2.5
SOSR822,41,2441,1319,380,3524,0.8,3183,3
SOSR831,30,1800,1129,380,2697,1,2562,3
SOSR879,0,0,0,0,0,0,0,0
SOSR899,35,0,537,0,0,0,0,0
SOSR915,39,1300,1251,150,2656,1,2113,2.5
SOSR921,50,1300,750,230,1631,0.7,1185,2
SOSR922,38,1972,804,250,1837,1.1,2485,3.6
SOSR931,43,1250,662,129,1447,0.8,1142,2.5
SOSR979,0,0,0,0,0,0,0,0
SOSR999,62,0,710,0,0,0,0,0
