SOSR_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR101,3629,3519,7150,136159,128152,264305,5795,5519,11317,145583,137189,282767,3685,3318,7002,141692,134760,276449,6603,6201,12805,151977,144283,296258,3627,3422,7052,137853,130647,268499,6045,5504,11548,147526,139573,287098,3454,3141,6598,126316,118828,245148,5404,4830,10231,135176,126802,261971,3208,3223,6434,150421,142346,292771,7872,6867,14733,161493,152436,313934,2958,2977,5940,170312,170256,340569,9743,9270,19009,183013,182506,365516,2255,2366,4620,178044,186866,364909,9467,9134,18605,189765,198365,388131,1810,1981,3790,178086,182712,360798,8789,8415,17197,188690,193105,381789,1615,1783,3399,157355,158045,315407,7284,6635,13917,166256,166470,332724,1703,1875,3578,144721,149465,294191,6196,5701,11900,152620,157039,309662,1524,1774,3289,132751,140312,273061,5544,4957,10499,139817,147038,286852,1253,1423,2675,125850,129823,255665,5242,4532,9776,132341,135778,268118,1042,1126,2167,111286,119109,230390,4310,4034,8342,116630,124266,240902,1781,2196,3976,297993,349728,647721,13772,17463,31232,313547,369376,682927,33544,34123,67668,2188841,2241039,4429877,102054,99057,201106,2324431,2374220,4698656
SOSR102,2650,2501,5146,26420,24909,51328,1026,1056,2081,30095,28459,58553,2769,2528,5296,28647,26451,55103,1353,1297,2649,32772,30275,63046,2759,2634,5393,28936,27232,56176,1334,1299,2634,33030,31163,64201,2595,2393,4986,27531,26360,53889,1323,1226,2547,31448,29980,61418,2267,2240,4507,29770,29011,58780,1489,1358,2843,33526,32608,66135,1833,1900,3737,29558,29508,59063,1567,1424,2988,32962,32830,65793,1513,1564,3079,29476,31293,60763,1448,1381,2830,32438,34237,66673,1257,1400,2660,29829,31463,61290,1405,1365,2770,32490,34237,66724,1058,1210,2266,28353,30120,58473,1320,1259,2579,30728,32587,63316,1101,1262,2360,29938,31705,61641,1383,1307,2689,32415,34274,66692,1065,1223,2289,29519,31525,61045,1266,969,2233,31846,33719,65563,908,1082,1989,29676,31715,61391,1234,1209,2435,31810,34005,65816,742,893,1631,29160,32344,61507,1109,997,2108,31007,34234,65244,1343,1634,2977,92131,110934,203067,4219,5739,9958,97692,118307,216001,23844,24471,48310,468950,494551,963503,21474,21884,43360,514266,540905,1055174
SOSR111,761,731,1495,5169,5027,10198,270,262,525,6201,6017,12218,791,733,1525,5503,5352,10856,336,277,617,6632,6371,12997,724,730,1448,5409,5259,10666,311,277,584,6441,6258,12704,608,636,1247,4924,4849,9770,276,236,511,5812,5724,11534,470,547,1018,4860,4902,9755,264,235,496,5592,5687,11277,399,461,856,5585,5712,11302,329,306,637,6319,6475,12799,340,453,796,5597,6112,11711,346,298,638,6281,6862,13140,309,392,699,5520,5919,11438,324,313,634,6158,6619,12775,256,305,570,5145,5461,10605,282,245,521,5684,6008,11693,271,277,544,5042,5583,10626,257,218,470,5573,6075,11646,221,313,535,5124,5569,10697,240,214,456,5589,6095,11684,168,251,418,4927,5440,10368,227,222,446,5317,5912,11230,162,200,366,5008,5697,10701,225,217,441,5395,6115,11512,260,359,620,15641,19031,34672,764,1074,1836,16663,20466,37128,5757,6387,12148,83454,89916,173367,4445,4377,8819,93659,100680,194335
SOSR112,2671,2485,5161,12422,11733,24157,877,806,1683,15974,15027,31005,2621,2529,5150,13021,12593,25613,976,1002,1981,16621,16122,32745,2448,2394,4840,13365,12936,26303,991,982,1972,16803,16315,33113,2120,2140,4257,12728,12086,24816,992,955,1952,15845,15182,31027,1975,1901,3871,12317,12251,24569,1028,987,2014,15316,15136,30457,1700,1679,3382,14146,14366,28509,979,1019,1999,16830,17063,33889,1452,1342,2799,14231,15012,29245,945,926,1869,16632,17283,33919,1155,1177,2333,13629,14208,27835,868,908,1779,15652,16285,31941,941,948,1887,12275,12835,25113,768,784,1544,13986,14564,28551,944,1039,1979,12949,13650,26597,835,799,1632,14723,15483,30209,846,1019,1864,13032,14239,27273,781,703,1484,14661,15965,30626,780,857,1638,13209,14438,27650,728,680,1406,14719,15978,30692,649,758,1413,13742,15750,29486,687,673,1362,15078,17181,32260,1127,1382,2507,47521,58109,105628,2587,3246,5836,51234,62738,113970,21437,21648,43087,218582,234206,452791,14050,14463,28514,254071,270318,524391
SOSR113,1113,1009,2121,4900,4687,9587,373,327,703,6392,6020,12413,1159,1173,2330,5493,5223,10711,469,438,908,7120,6828,13952,1184,1151,2335,5743,5386,11129,472,466,933,7401,7001,14405,1054,927,1974,5253,4751,10006,459,344,802,6766,6018,12787,855,788,1637,4680,4415,9096,394,347,740,5932,5547,11479,693,709,1401,5316,5581,10894,439,429,867,6446,6716,13162,604,683,1288,5679,5962,11646,435,445,883,6722,7098,13816,498,549,1049,5637,5855,11484,452,436,887,6583,6841,13425,419,454,872,5142,5619,10762,409,371,773,5973,6437,12413,419,556,978,5745,6068,11812,409,376,784,6578,6997,13577,414,460,883,5864,6317,12180,413,382,803,6697,7171,13865,357,464,818,6445,6855,13302,410,359,771,7215,7681,14894,335,381,717,6938,7789,14719,404,364,771,7669,8534,16203,527,668,1197,24730,28922,53650,1360,1666,3029,26611,31267,57877,9636,9977,19612,97559,103425,200986,6902,6753,13660,114105,120152,234258
SOSR114,1214,1166,2379,6256,5905,12162,406,425,836,7877,7500,15375,1268,1144,2412,6377,6291,12669,554,587,1141,8201,8022,16226,1191,1159,2351,6731,6416,13154,598,525,1121,8524,8097,16615,975,910,1882,5839,5582,11424,452,427,885,7265,6922,14190,740,828,1568,5325,5429,10757,520,419,936,6586,6674,13258,675,741,1419,5957,6284,12235,508,505,1017,7135,7536,14669,536,633,1174,6292,6879,13170,509,517,1023,7334,8031,15363,450,538,991,6105,6779,12886,498,497,1000,7054,7816,14869,408,503,908,5863,6255,12120,461,447,908,6734,7205,13941,435,509,948,6208,6624,12832,486,410,892,7131,7547,14674,420,503,923,6297,6841,13140,445,367,810,7163,7713,14874,367,448,814,6778,7388,14166,453,440,894,7598,8279,15873,372,420,790,7322,8204,15525,389,419,808,8078,9043,17127,655,786,1440,27309,32155,59467,1570,1845,3418,29533,34792,64330,9702,10290,19986,108663,117053,225715,7857,7836,15688,126221,135174,261391
SOSR115,1603,1471,3076,8174,7883,16056,613,610,1223,10391,9967,20357,1703,1475,3176,8894,8534,17426,847,806,1653,11442,10814,22259,1588,1522,3113,9263,8687,17949,892,783,1676,11739,10993,22732,1351,1343,2691,8085,7566,15650,709,631,1339,10144,9539,19681,1057,1025,2084,6869,6371,13239,622,556,1176,8544,7943,16491,930,950,1879,7459,7681,15141,665,656,1320,9049,9282,18336,769,840,1612,8187,9037,17222,656,640,1301,9615,10516,20131,719,687,1401,8352,9047,17402,648,688,1332,9721,10422,20138,586,648,1238,7954,8629,16585,621,685,1304,9162,9969,19126,633,700,1334,8795,9435,18234,707,678,1382,10132,10818,20949,673,738,1415,9234,9999,19229,635,654,1283,10537,11392,21928,629,713,1342,10153,11346,21504,722,702,1425,11508,12764,24272,526,599,1124,11762,12867,24628,784,672,1459,13071,14140,27208,1138,1152,2285,41750,46329,88080,2642,2896,5537,45529,50371,95899,13894,13871,27762,154930,163404,318335,11767,11645,23416,180592,188916,369508
SOSR121,397,367,759,2160,2044,4206,168,171,337,2718,2578,5307,431,394,824,2556,2354,4911,202,177,383,3184,2926,6112,435,441,881,2725,2676,5398,187,194,380,3350,3304,6654,362,364,726,2382,2274,4657,178,166,348,2929,2804,5735,249,236,487,1809,1628,3437,138,132,270,2201,1993,4192,204,220,424,1774,1813,3583,147,144,296,2125,2180,4298,172,237,404,2075,2236,4311,169,169,335,2412,2638,5049,166,197,363,2181,2345,4524,187,158,347,2540,2695,5226,151,161,317,2279,2508,4784,164,178,345,2590,2857,5446,157,199,357,2640,2866,5511,192,154,344,2989,3215,6208,189,211,401,2826,3004,5825,190,164,354,3205,3377,6579,162,188,348,3202,3307,6505,203,182,388,3568,3680,7249,150,149,303,3409,3657,7065,187,194,382,3749,4005,7748,300,275,572,10547,10566,21110,703,644,1353,11549,11487,23036,3526,3630,7155,42561,43282,85843,3023,2824,5847,49118,49733,98845
SOSR122,189,206,391,927,873,1794,68,77,141,1181,1152,2327,245,218,460,1118,1030,2146,131,121,246,1492,1363,2856,253,252,506,1260,1118,2371,132,120,255,1644,1486,3136,172,195,370,1052,928,1982,122,126,249,1346,1247,2599,138,155,293,906,808,1712,97,79,174,1138,1053,2187,117,132,251,923,908,1831,108,84,193,1151,1117,2271,105,114,226,931,1021,1953,98,124,225,1141,1255,2398,90,110,197,1013,1058,2070,110,112,224,1218,1280,2495,103,104,208,1065,1100,2167,105,101,205,1271,1305,2579,118,122,241,1259,1303,2562,139,112,249,1512,1541,3048,126,143,273,1411,1503,2916,141,144,286,1679,1788,3472,133,109,238,1645,1758,3400,144,125,265,1916,1991,3908,128,132,256,2017,1967,3980,180,136,313,2324,2233,4555,205,194,396,5524,5309,10835,473,427,895,6200,5936,12125,2126,2186,4311,21050,20682,41736,2044,1879,3924,25218,24744,49959
SOSR131,1284,1167,2444,11769,11128,22900,990,927,1925,14047,13225,27273,1531,1323,2854,14857,13589,28446,1391,1242,2640,17787,16152,33938,1677,1557,3237,17574,16254,33828,1544,1505,3042,20793,19320,40115,1388,1300,2684,16339,14683,31017,1449,1271,2724,19179,17250,36426,1080,894,1973,11841,10071,21911,1148,918,2062,14066,11874,25946,908,749,1658,10595,9970,20562,1016,883,1898,12519,11600,24119,791,650,1437,11273,11592,22866,1061,999,2062,13125,13237,26363,749,705,1452,12781,13306,26087,1143,1160,2302,14674,15167,29844,666,669,1336,13918,14426,28346,1339,1276,2617,15925,16371,32295,731,785,1519,17195,17718,34916,1451,1501,2953,19376,20007,39379,780,780,1567,19400,19589,38986,1722,1513,3233,21900,21882,43783,722,697,1416,21197,20985,42179,1949,1709,3659,23871,23387,47257,649,594,1240,22322,21037,43360,1889,1568,3459,24859,23200,48059,1049,903,1952,58155,50417,108574,4803,4145,8951,64006,55467,119473,14006,12759,26772,259210,244769,503985,22902,20612,43516,296123,278147,574269
