SOSR_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
SOSR101,..,3472,10116,2596,2637,2788,2774,1741,846,1206,28177,..,4019,18079,7333,6920,6668,6883,2805,963,1659,55330,..,28,273,265,424,742,1489,973,816,444,5461,..,5,26,16,29,63,131,142,89,54,559,..,4064,18383,7613,7372,7481,8504,3923,1868,2158,61357,..,8,25,17,8,14,17,24,27,132,273,..,7542,28522,10225,10019,10277,11291,5689,2736,3494,89801,9108,11741,5064,1086,1302,1710,2128,1164,415,854,34574,10760,20238,19237,7983,10652,14925,16047,5850,672,1767,108129,214,185,626,482,748,1142,1576,537,173,206,5873,19,18,17,11,24,34,31,9,4,22,188,10997,20440,19877,8471,11418,16096,17656,6396,850,1998,114198,15,32,22,8,17,42,42,8,0,359,539,20116,32212,24964,9567,12735,17849,19823,7574,1268,3204,149311,24308,8569,17713,5636,6073,6856,7160,2653,725,1563,81262,36905,43222,64324,20000,22606,25183,25821,7168,1548,3359,250129,939,3375,7205,2493,2973,3286,3682,987,291,790,26018,52,47,73,23,29,48,57,11,0,68,409,37905,46643
SOSR102,..,567,1435,331,284,269,328,222,126,147,3706,..,263,1187,402,385,458,466,163,55,104,3479,..,0,12,19,21,40,97,58,57,30,341,..,0,3,5,0,6,5,5,5,0,25,..,267,1203,430,405,499,566,219,115,143,3850,..,0,0,0,0,0,4,0,0,10,20,..,832,2640,764,693,768,901,442,242,296,7569,1258,1849,806,116,130,134,178,129,50,118,4760,409,1023,1060,422,459,595,748,363,34,84,5190,8,7,23,27,23,44,57,20,6,13,225,0,3,0,0,0,0,3,0,0,0,10,411,1029,1088,449,482,641,813,381,45,100,5435,4,3,0,0,0,0,0,0,0,13,26,1671,2881,1890,564,617,778,986,507,94,230,10218,2879,1074,1588,355,392,375,421,228,68,173,7542,1117,1500,3549,1238,1416,1445,1297,485,79,156,12275,17,76,214,98,91,119,143,35,16,28,834,0,3,3,6,4,0,0,3,0,0,20,1133,1577
SOSR111,..,84,212,51,51,52,51,26,10,19,547,..,48,227,59,105,148,137,41,4,36,817,..,0,12,0,5,16,43,17,3,13,111,..,0,0,0,0,0,0,0,3,3,11,..,48,238,65,110,167,190,59,13,51,935,..,0,0,0,0,0,0,0,0,5,3,..,134,448,116,163,210,236,85,23,70,1486,135,268,107,20,17,18,13,12,6,22,613,42,211,286,76,94,114,121,24,9,11,982,4,5,15,4,9,20,27,8,6,0,92,0,0,0,0,0,0,0,0,0,0,4,41,216,297,82,103,130,146,25,11,12,1070,0,0,0,0,0,0,0,0,0,0,4,175,483,406,98,121,152,159,36,18,37,1690,398,160,200,52,37,53,44,23,7,27,996,118,341,746,220,242,243,204,60,42,22,2242,8,16,77,26,40,65,97,18,4,4,364,0,0,0,0,0,0,0,0,5,5,14,123,361
SOSR112,..,188,537,112,122,136,173,79,33,75,1449,..,86,515,226,222,418,520,118,41,59,2205,..,3,9,7,11,48,126,48,22,16,294,..,0,4,0,0,7,4,0,0,0,21,..,89,524,233,232,467,650,171,63,77,2521,..,0,0,0,0,0,0,0,0,3,8,..,285,1057,342,352,598,835,248,98,158,3973,381,581,272,58,58,53,44,43,21,53,1564,114,412,494,199,236,312,387,136,39,42,2372,4,6,4,5,11,30,85,26,7,6,183,0,0,3,0,0,0,0,0,0,0,9,115,417,496,209,249,345,475,162,43,44,2566,4,0,0,0,0,0,0,0,0,48,45,498,996,772,267,304,398,521,209,62,147,4175,899,391,557,144,150,139,163,71,41,94,2645,377,882,2133,815,976,1086,982,306,121,113,7780,28,46,115,65,112,162,246,50,15,27,866,0,3,3,0,0,0,0,0,3,4,18,399,925
SOSR113,..,79,216,47,49,59,75,64,32,34,659,..,20,93,37,38,51,70,51,12,7,366,..,0,0,0,0,0,10,12,9,3,42,..,0,0,0,0,0,0,0,0,0,5,..,23,92,37,38,53,89,59,24,9,417,..,0,0,0,0,0,0,0,0,0,0,..,99,308,83,89,109,162,124,54,48,1080,124,252,99,14,24,22,31,26,7,14,609,23,83,87,33,47,49,75,41,8,20,461,0,0,4,0,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,23,80,94,34,46,53,91,39,13,27,487,0,0,0,0,0,0,0,0,0,17,10,141,331,194,46,71,77,120,64,17,52,1107,340,166,296,108,78,104,121,64,20,44,1340,81,178,412,167,178,281,323,109,26,41,1798,3,9,18,12,9,28,21,3,0,3,105,0,0,0,0,0,0,0,0,0,0,7,84,190
SOSR114,..,91,268,45,52,47,52,33,35,40,663,..,39,190,44,89,72,106,49,24,20,632,..,0,3,0,9,6,21,13,13,3,73,..,0,0,0,0,0,0,3,0,0,9,..,39,195,48,97,74,128,62,35,21,711,..,0,0,0,0,0,0,4,0,0,5,..,127,464,88,150,121,182,100,70,69,1382,133,231,113,15,21,16,26,19,4,28,616,25,152,175,29,63,56,113,28,17,15,676,0,0,7,0,3,14,13,3,3,0,47,0,0,0,0,0,0,0,0,0,0,3,25,149,180,32,65,69,125,34,20,15,722,0,0,0,0,0,0,3,0,0,0,8,158,383,297,50,86,90,158,54,26,42,1345,371,181,286,75,66,61,88,47,21,36,1234,157,292,650,206,253,261,317,118,64,28,2359,4,6,30,14,28,50,64,22,9,3,239,0,0,4,0,0,0,6,0,3,0,9,165,303
SOSR115,..,133,301,64,72,56,82,37,19,60,828,..,20,118,49,39,64,72,29,21,23,425,..,0,0,0,0,4,23,7,11,8,53,..,0,0,0,0,0,0,3,0,0,9,..,20,119,48,38,67,92,36,28,33,484,..,0,0,0,0,0,0,0,0,6,8,..,152,421,113,108,124,176,84,46,100,1323,199,298,151,17,24,26,35,24,13,19,809,34,117,106,39,48,47,98,29,9,9,532,7,0,0,4,3,9,12,8,9,3,54,0,0,0,0,0,0,0,0,0,0,3,37,119,110,39,55,55,109,35,16,11,590,0,0,0,0,0,0,0,0,0,4,8,233,418,255,54,76,82,146,62,35,41,1403,527,245,351,61,87,72,118,37,16,38,1551,135,216,495,176,237,248,371,131,37,29,2086,12,10,22,25,32,54,94,24,8,6,297,0,0,0,0,0,4,3,0,0,0,6,150,227
SOSR121,..,40,113,15,10,16,3,15,3,14,231,..,9,17,9,5,8,15,4,6,3,68,..,0,0,0,0,0,6,0,4,0,10,..,0,0,0,0,0,0,0,0,0,0,..,9,17,9,5,8,17,4,4,7,83,..,0,0,0,0,0,0,0,0,0,0,..,48,132,22,15,25,20,21,7,24,308,50,68,38,10,7,13,3,0,3,11,207,0,13,17,10,13,11,18,0,0,3,84,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,18,10,13,11,15,5,0,3,92,0,0,0,0,0,0,0,0,0,0,0,52,84,61,18,14,22,21,5,5,13,291,130,51,83,20,19,23,11,5,6,8,367,34,32,67,24,36,44,57,10,0,0,315,8,0,4,0,0,0,10,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,38,31
SOSR122,..,9,33,7,7,4,3,0,0,0,73,..,0,4,0,4,3,13,3,0,3,36,..,0,0,0,0,0,0,3,0,0,9,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,4,3,15,8,0,3,40,..,0,0,0,0,0,0,0,0,0,0,..,12,40,10,12,7,16,10,0,10,118,14,49,12,3,0,0,4,0,0,0,81,3,9,4,0,3,0,9,0,0,0,39,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,9,4,5,3,6,9,4,0,0,44,0,0,0,0,0,0,0,0,0,0,0,18,55,12,8,8,3,17,4,0,6,130,54,22,39,7,9,6,15,3,0,0,157,15,13,32,25,13,18,49,16,0,12,187,0,0,5,3,0,7,9,5,0,3,36,0,0,0,0,0,0,0,0,0,0,0,15,17
SOSR131,..,201,358,91,98,61,73,65,29,82,1060,..,50,136,42,35,49,56,34,14,38,438,..,0,4,3,0,8,9,10,7,4,49,..,0,0,0,0,0,0,0,0,3,3,..,50,132,44,30,55,69,49,17,42,491,..,0,0,0,0,0,0,0,0,9,11,..,248,497,138,133,112,138,114,52,122,1559,306,508,195,18,25,38,63,33,17,68,1274,75,171,136,35,43,38,72,34,9,24,625,0,0,0,4,0,3,16,0,3,0,37,0,0,0,0,0,0,0,0,0,0,3,78,174,137,39,45,44,86,34,10,22,669,0,0,0,0,0,0,5,0,0,51,55,386,681,329,64,70,85,148,62,30,138,1998,712,323,466,107,94,119,170,77,16,71,2149,264,223,397,107,114,160,226,87,32,44,1654,14,30,49,21,17,29,57,8,3,6,226,0,0,0,0,0,0,0,0,0,3,9,274,250
