SOSR_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR101,2483,36112,385,36493,..,16745,5563,22309,156,22459,..,17248,4159,21405,144,21553,..,74995,36526,111523,754,112277,..,164004,33505,197509,3928,201435,..,1572627,324868,1897501,16964,1914464,..,24263,6107,30369,221756,252123,2532072,1596891,330979,1927868,238718,4698656
SOSR102,22,870,9,876,..,1869,432,2304,18,2319,..,1307,282,1592,13,1599,..,2122,641,2767,27,2792,..,12532,1930,14457,370,14834,..,87407,13279,100678,1126,101812,..,3454,428,3886,46418,50304,903059,90861,13706,104568,47548,1055174
SOSR111,9,119,0,118,..,261,51,314,0,314,..,24,7,24,0,24,..,211,83,292,0,294,..,2787,933,3720,109,3833,..,11701,2413,14107,207,14317,..,563,83,645,9060,9705,170315,12262,2497,14755,9268,194335
SOSR112,41,487,4,494,..,690,209,899,4,906,..,156,64,222,0,222,..,815,302,1123,21,1139,..,6829,1540,8366,182,8552,..,34662,5514,40175,545,40719,..,1639,220,1858,33083,34942,448724,36300,5738,42039,33628,524391
SOSR113,7,71,0,71,..,371,85,461,0,460,..,51,9,55,0,58,..,242,75,317,4,318,..,1894,212,2108,51,2159,..,10211,1171,11380,138,11518,..,697,55,754,15198,15953,206785,10912,1225,12141,15333,234258
SOSR114,5,132,6,134,..,360,84,438,0,441,..,54,7,63,6,70,..,179,68,242,0,241,..,2376,305,2683,72,2759,..,12879,1860,14742,209,14955,..,749,72,826,16490,17315,229120,13631,1940,15572,16698,261391
SOSR115,10,106,6,108,..,344,65,410,3,415,..,81,4,87,0,81,..,251,98,347,0,352,..,3080,326,3411,65,3477,..,13354,1665,15014,221,15232,..,1064,83,1153,24980,26132,328145,14416,1748,16165,25197,369508
SOSR121,0,20,0,20,..,72,12,78,6,85,..,15,0,15,0,15,..,52,7,56,0,56,..,680,67,749,23,769,..,2969,281,3248,45,3289,..,229,11,245,5992,6234,89324,3200,294,3485,6031,98845
SOSR122,0,12,0,12,..,52,14,65,0,65,..,0,0,0,0,0,..,12,3,14,0,14,..,368,61,427,10,435,..,1504,196,1703,23,1725,..,113,9,118,3980,4106,44130,1617,207,1825,4007,49959
SOSR131,17,103,0,106,..,449,110,553,0,560,..,178,19,197,3,205,..,289,88,379,4,381,..,5253,523,5773,96,5870,..,23463,3121,26588,315,26901,..,1079,82,1164,46320,47484,499886,24549,3204,27752,46634,574269
