SOSR_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,84254,110802,195057,179622,209822,389449,7253,7823,15072,24885,28421,53309,1378,1419,2798,516423,568191,1084619,1569,1790,3349,83835,88438,172274,4423,5790,10218,5093,5428,10522,3042,3711,6751,14231,14466,28691,10083,11212,21288,19703,23575,43279,32804,37830,70632,1510,2040,3548,4402,5340,9736,29168,36375,65539,56418,63554,119969,1640,1826,3471,997476,1117047,2114519,131284,119049,250322,169509,156341,325846,18042,19152,37190,166,177,339,20180,17646,37831,12636,13921,26553,32982,31741,64725,721167,661538,1382703,7120,5671,12792,2691,4220,6911,730979,671436,1402409,159925,148662,308585,2324431,2374220,4698656
SOSR102,4086,6255,10336,69768,85754,155518,23,22,39,6255,7287,13544,430,466,901,103907,119745,223651,316,465,785,9701,9864,19566,1731,2321,4051,777,906,1685,1073,1394,2468,524,474,999,2890,3244,6135,4710,5675,10382,9358,11114,20470,951,1347,2301,1446,1743,3189,12268,17103,29371,12301,14057,26359,419,489,903,238848,283476,522322,4758,3988,8739,6495,5705,12199,458,478,936,126,105,235,1133,977,2110,1240,1857,3094,2501,2939,5442,221359,203187,424548,1950,1558,3506,803,1362,2165,224114,206103,430223,33007,31958,64968,514266,540905,1055174
SOSR111,635,914,1543,13648,16776,30423,0,0,0,1340,1471,2815,157,148,310,19066,22269,41331,60,83,145,343,349,692,281,425,697,129,145,271,445,682,1125,35,50,86,384,502,886,996,1272,2268,2237,2689,4926,213,299,517,251,308,562,2414,3441,5855,1916,2302,4216,50,51,105,43971,53254,97224,1152,1024,2179,615,518,1133,56,53,112,27,27,56,749,643,1392,460,646,1107,1232,1319,2554,39093,37113,76207,283,231,512,128,189,310,39496,37531,77033,6502,6071,12574,93659,100680,194335
SOSR112,1945,2752,4702,38817,48021,86843,4,7,9,2801,3183,5980,743,754,1503,53946,62903,116849,178,232,410,974,962,1935,876,1115,1992,350,397,750,612,778,1393,208,197,406,1238,1339,2580,1866,2379,4245,6146,7703,13847,585,741,1321,1790,2131,3924,7249,9878,17121,5397,6253,11654,246,281,528,124033,149257,273290,3705,3288,6990,2150,1746,3890,211,202,412,95,92,186,1228,1060,2290,1331,1843,3174,2656,2998,5649,95347,89635,184986,843,642,1482,334,594,929,96529,90869,187400,22849,19207,42054,254071,270318,524391
SOSR113,696,1150,1847,18855,22591,41452,0,0,0,1361,1635,2990,134,124,256,21137,24508,45652,53,77,127,538,533,1071,456,628,1079,110,147,255,246,298,547,52,40,94,336,387,722,733,937,1663,2630,3096,5723,299,461,757,276,356,636,3399,4588,7987,1856,2220,4080,64,94,161,52532,62707,115245,543,452,998,377,295,673,121,120,246,43,64,99,166,160,327,236,411,647,440,632,1075,48681,45186,93864,341,259,598,195,325,517,49219,45762,94977,10182,9025,19204,114105,120152,234258
SOSR114,754,1138,1884,22115,26730,48840,14,8,19,1350,1648,2998,272,277,544,27617,31549,59170,44,65,109,561,538,1099,465,625,1091,122,150,270,297,400,695,58,67,122,347,335,684,913,1259,2171,3469,4148,7623,238,333,574,338,465,806,3508,4856,8367,2179,2592,4766,66,89,155,63973,76131,140104,921,855,1776,663,603,1268,82,97,185,48,49,96,869,776,1643,243,448,693,1163,1267,2431,47397,44259,91661,289,260,546,146,272,416,47835,44794,92629,10828,10286,21110,126221,135174,261391
SOSR115,984,1627,2611,33015,38468,71493,6,9,4,1753,1982,3735,195,195,394,36185,40704,76887,76,86,165,727,761,1482,600,845,1444,184,238,420,544,674,1221,32,39,75,541,580,1121,1116,1386,2499,4637,5239,9875,353,416,770,415,483,901,5266,7020,12286,2997,3578,6575,92,123,213,88746,102815,191558,680,600,1277,563,446,1005,203,234,440,62,55,124,267,262,527,412,711,1127,745,1029,1775,71407,66208,137617,506,435,944,248,504,752,72161,67149,139308,16510,15018,31530,180592,188916,369508
SOSR121,228,381,618,8666,9582,18249,0,0,6,522,615,1136,25,26,46,9392,10195,19589,27,31,49,205,179,386,207,247,452,52,49,100,259,268,524,7,12,21,129,147,276,348,470,816,1275,1417,2687,83,115,191,161,203,367,1541,1790,3333,967,1108,2076,46,43,91,23911,26481,50388,106,100,209,99,94,195,51,46,103,21,24,36,76,74,151,123,173,295,216,265,484,20154,18266,38420,157,120,276,88,128,216,20403,18513,38913,4097,3842,7936,49118,49733,98845
SOSR122,141,226,365,4685,4933,9611,0,0,0,274,300,573,36,24,60,4583,4901,9488,16,24,36,105,94,198,85,95,179,28,27,56,59,82,139,11,14,20,83,64,146,161,191,348,619,658,1275,66,66,131,68,87,155,755,884,1637,520,540,1064,32,37,71,12174,13022,25191,45,44,89,47,33,72,21,14,35,28,37,67,15,7,23,61,112,177,104,161,267,9926,8782,18705,87,66,153,39,55,91,10049,8899,18955,2634,2349,4983,25218,24744,49959
SOSR131,1596,2087,3680,52823,54704,107533,51,55,102,3223,3230,6452,172,172,341,65247,64041,129288,111,154,263,1701,1513,3220,1005,1149,2156,268,278,551,1096,1187,2282,144,133,279,852,877,1729,1841,2039,3877,8387,7896,16285,434,510,945,1183,1262,2444,9860,10605,20470,6133,6625,12753,306,278,588,154846,156697,311545,595,538,1133,1470,1319,2792,292,284,575,86,85,169,459,405,866,700,991,1691,1248,1476,2727,103226,88564,191785,745,566,1308,454,648,1100,104421,89776,194200,31654,25974,57629,296123,278147,574269
