SOSR_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOSR101,35473,130444,292793,277538,200530,147660,98982,42040,11594,1237070,4657,7630,13876,12187,12149,10338,5964,3193,964,70952,8518,10143,29297,30844,47481,54439,34371,19660,6155,240898,1570,1644,4668,5776,7488,9157,11242,8110,3037,52697,345,604,3004,4409,5855,9093,13188,12325,5917,54744,122,675,3245,3249,3681,5145,4684,3504,1941,26242,5802,9788,25315,20540,14827,12767,10883,9384,5910,115216,56481,160929,372203,354552,292014,248589,179306,98223,35517,1797820,38064,131138,320051,297877,218682,151270,91175,36941,12311,1297515,3103,5120,10768,10002,11562,9854,6538,3870,1428,62244,4329,6009,19315,22323,43307,58778,48572,28747,11461,242839,816,898,3350,4506,6606,9913,14639,10844,5733,57314,207,399,2042,3578,5870,11051,17879,16446,9879,67352,78,446,2602,3003,4624,6971,7191,6211,4175,35296,5183,8017,22345,17885,13015,11724,11761,11451,11438,112803,51784,152023,380460,359178,303657,259555,197759,114511,56431,1875366,73533,261586,612843,575422,419207,298932,190156,78985,23912,2534579,7766,12751,24645,22193,23708,20192,12497,7058,2391,133198,12847,16157,48611,53167,90789,113213,82944,48402,17620,483741,2391,2545,8018,10283,14097,19065,25881,18965,8772,110008
SOSR102,6434,23145,42480,39627,31678,22551,19952,9080,2416,197352,2028,3286,4947,4744,4362,3549,2502,1425,356,27195,3748,4467,12223,12910,21007,26905,17376,9675,2531,110840,747,662,1438,1853,2804,4323,6586,5069,1771,25256,181,164,550,710,1071,2159,3806,3737,1983,14354,25,59,175,223,263,313,404,357,213,2041,1371,1706,3552,3122,3055,2973,3133,3149,2104,24169,14530,33487,65365,63194,64236,62779,53757,32491,11368,401207,7749,25118,49397,47755,37516,25697,17465,7811,2517,221013,1396,2344,3768,3919,4271,3655,2448,1493,525,23814,2415,3091,9019,9987,19935,28489,23592,13854,4811,115179,498,408,1125,1529,2576,4951,8395,6210,3364,29060,105,89,380,525,848,2258,4413,4417,3435,16465,27,33,144,191,245,329,416,495,449,2343,1268,1483,3209,2884,2580,2831,3684,4439,4005,26367,13451,32568,67040,66790,67965,68206,60405,38715,19109,434249,14185,48258,91873,87381,69185,48244,37415,16885,4932,418365,3417,5632,8717,8663,8632,7202,4947,2913,879,51014,6160,7551,21242,22897,40944,55393,40967,23525,7341,226021,1243,1075,2567,3381,5386,9275,14979,11279,5137,54313
SOSR111,966,3268,7056,6512,4829,3147,3126,1306,380,30593,472,724,1206,1058,1036,818,598,274,79,6269,758,1061,2926,2824,3746,4678,3182,1646,381,21205,213,172,378,442,587,930,1306,899,257,5192,42,44,164,236,266,496,756,684,320,3002,5,13,83,79,91,95,66,37,15,483,293,287,774,678,592,546,538,487,308,4506,2739,5581,12588,11833,11156,10703,9575,5346,1732,71250,1146,3854,8809,8180,6087,3989,2841,1283,395,36589,356,578,948,946,1027,926,711,370,96,5960,614,776,2287,2251,3653,5020,4198,2407,766,21974,124,121,361,331,602,972,1607,1091,520,5735,38,40,151,213,202,440,731,712,596,3121,5,17,84,85,105,100,71,43,32,534,248,287,677,612,489,562,634,760,569,4841,2525,5668,13322,12617,12164,12014,10791,6683,2974,78756,2107,7122,15864,14693,10915,7134,5969,2593,775,67184,828,1308,2157,2000,2063,1744,1308,646,176,12230,1372,1839,5217,5072,7400,9701,7382,4058,1146,43185,336,294,738,777,1194,1904,2918,1989,776,10924
SOSR112,2574,8791,18611,15889,13005,9737,9748,4918,1439,84709,1053,1713,2532,2359,2056,1788,1337,728,245,13815,2116,2612,7179,6675,9315,12380,8825,4957,1414,55476,518,502,1079,1202,1602,2347,3428,2631,879,14180,146,130,425,526,771,1382,2418,2144,1092,9032,13,40,166,173,179,166,190,122,68,1105,1057,1507,3437,2806,2425,1981,1892,1736,996,17829,7478,15290,33429,29622,29353,29772,27837,17237,6125,196157,3227,10370,22962,20107,16468,12095,9287,4832,1682,101029,766,1328,2398,2139,2243,2096,1551,984,330,13831,1478,1880,5417,5228,8852,13424,11990,7451,2753,58473,372,309,919,980,1438,2480,4098,3200,1686,15469,94,93,296,384,573,1197,2260,2073,1794,8769,16,33,158,152,155,180,182,154,123,1155,997,1082,2185,1846,1700,1677,2085,2278,1921,15770,6946,15097,34332,30837,31422,33146,31456,20979,10275,214493,5802,19156,41573,35994,29473,21835,19038,9749,3120,185740,1821,3039,4929,4497,4300,3887,2881,1714,573,27642,3591,4490,12598,11907,18168,25802,20816,12416,4167,113952,889,815,1991,2179,3031,4825,7522,5838,2562,29652
SOSR113,1033,3118,6723,6142,5085,4171,4741,2249,576,33830,543,821,1277,1115,1127,938,753,401,112,7101,1028,1154,3127,3248,4731,6654,4978,2686,662,28274,260,197,490,566,870,1270,1903,1419,463,7439,76,60,171,262,359,731,1335,1085,542,4632,3,10,41,33,39,75,57,61,36,356,492,565,1336,1188,1039,1033,1118,936,473,8177,3440,5925,13166,12551,13265,14872,14890,8840,2859,89805,1112,3547,8563,8047,6425,5073,4213,1990,648,39626,365,585,1060,962,1102,1046,796,474,127,6517,658,819,2523,2666,4678,7022,6284,3696,1342,29691,188,145,461,503,788,1445,2276,1659,860,8314,48,32,141,154,261,660,1210,1115,942,4569,10,9,26,34,35,56,65,56,36,322,377,400,1024,904,867,904,1174,1247,1032,7929,2749,5540,13799,13270,14153,16210,16017,10241,4991,96971,2143,6667,15280,14191,11507,9243,8949,4245,1228,73460,908,1405,2338,2081,2233,1987,1550,875,237,13618,1684,1977,5653,5906,9409,13680,11259,6385,2001,57966,452,340,946,1069,1654,2716,4177,3082,1325,15757
SOSR114,1106,3672,7650,7209,5766,4297,4790,2373,703,37567,522,833,1275,1104,1112,989,846,503,143,7334,1139,1265,3579,3420,4997,7038,5340,3055,813,30643,266,200,496,601,818,1346,2116,1685,511,8052,55,31,181,238,407,804,1507,1344,735,5304,3,10,41,46,58,87,88,85,36,454,460,566,1252,1152,1126,1101,1247,1028,573,8500,3556,6582,14465,13775,14283,15672,15936,10076,3513,97858,1375,4592,10368,9637,7612,5573,4387,2433,799,46784,386,597,1089,1100,1227,1286,891,599,209,7391,705,870,2450,2623,4586,7436,7102,4295,1506,31562,184,124,391,468,669,1285,2325,1787,983,8214,32,24,94,150,200,600,1282,1312,1064,4765,0,13,25,32,55,58,87,77,48,411,445,457,1149,991,898,1070,1188,1381,1016,8594,3135,6667,15562,15009,15250,17318,17259,11885,5627,107715,2484,8264,18018,16853,13377,9874,9177,4807,1502,84353,912,1432,2362,2202,2339,2275,1743,1104,348,14723,1841,2136,6024,6037,9576,14477,12443,7350,2317,62208,459,319,881,1070,1490,2633,4439,3468,1501,16267
SOSR115,1516,4574,9374,9477,8169,7085,8208,3738,882,53020,780,1053,1667,1633,1665,1563,1347,675,157,10541,1480,1728,4895,4947,7373,10775,8428,4167,963,44752,414,335,737,806,1182,2137,3542,2497,765,12415,84,69,232,315,486,1080,2351,2003,961,7580,14,11,41,48,61,62,134,123,50,546,705,765,1723,1651,1715,1870,2076,1681,778,12962,4998,8542,18660,18875,20653,24575,26084,14889,4554,141817,1953,5312,12850,13041,10977,9315,7554,3387,1041,65430,516,807,1476,1531,1777,1912,1413,756,261,10442,922,988,3322,3538,6656,11092,10323,5716,1846,44416,191,163,539,585,976,2020,3581,2572,1324,11952,47,44,112,163,298,846,1812,1719,1367,6410,9,15,38,41,56,73,92,95,65,469,623,605,1444,1480,1455,1639,2030,2010,1393,12684,4255,7932,19783,20373,22202,26897,26804,16244,7299,151807,3462,9893,22221,22515,19147,16397,15760,7121,1919,118447,1298,1860,3146,3162,3442,3471,2758,1435,412,20988,2405,2716,8221,8489,14035,21868,18751,9881,2809,89168,609,501,1278,1390,2159,4156,7120,5065,2094,24366
SOSR121,411,1199,2236,2565,2495,2157,2307,893,176,14439,192,270,429,442,498,433,361,145,33,2797,418,478,1264,1443,2287,3262,2412,1046,190,12797,103,73,179,208,348,618,906,556,132,3118,29,16,62,80,134,326,571,455,180,1856,3,3,9,5,18,30,28,32,6,132,172,146,358,384,418,495,604,365,159,3103,1331,2196,4538,5128,6194,7313,7184,3482,879,38242,543,1328,3087,3618,3372,2747,2064,713,161,17626,173,192,338,370,508,535,343,158,46,2659,247,275,873,995,2012,3161,2668,1170,298,11696,68,37,142,152,272,575,873,559,210,2883,14,8,27,24,79,207,447,345,239,1395,3,3,9,15,11,13,19,19,9,89,151,147,342,367,345,444,501,410,231,2946,1199,1993,4810,5547,6588,7684,6912,3368,1199,39292,952,2531,5329,6183,5866,4906,4371,1600,340,32070,362,467,764,806,1000,973,700,305,82,5455,668,747,2134,2440,4297,6425,5082,2219,482,24492,172,108,321,363,618,1195,1779,1111,344,6000
SOSR122,194,590,1053,1088,1127,1163,1105,450,65,6834,102,129,195,205,238,230,189,87,12,1396,192,252,650,750,1173,1801,1241,513,94,6669,45,39,99,132,222,363,522,274,72,1765,17,12,39,64,109,263,425,284,109,1331,3,0,11,11,9,16,19,27,9,106,142,106,252,240,313,402,375,254,66,2140,694,1138,2294,2483,3188,4238,3877,1895,427,20239,221,683,1479,1584,1533,1382,995,352,66,8303,68,107,162,185,249,279,177,73,19,1313,103,134,418,469,1020,1741,1319,564,131,5900,32,35,76,84,160,353,508,249,98,1582,4,3,16,27,57,159,278,232,141,922,4,3,7,0,14,5,13,11,4,69,131,87,221,227,284,308,362,226,113,1959,560,1049,2378,2591,3327,4224,3648,1710,575,20051,415,1275,2525,2677,2660,2545,2101,802,134,15130,169,240,358,394,485,508,363,162,27,2714,295,384,1065,1224,2194,3537,2561,1076,231,12570,78,72,177,214,381,715,1025,524,165,3350
SOSR131,2990,7877,12209,14284,16812,15863,14884,5163,893,90968,1211,1442,1996,2270,2596,2674,1925,765,133,15016,2922,2752,6929,8820,14933,20170,12325,4913,856,74619,622,420,827,1233,2177,3540,4867,2824,533,17043,121,69,341,470,832,1917,3495,2453,908,10610,14,18,85,93,100,157,177,170,74,897,1442,1469,3237,3419,3799,4389,3836,2190,607,24386,9320,14054,25627,30579,41255,48716,41512,18471,4001,233544,3606,8534,16605,21041,22835,19082,12543,4222,776,109247,745,822,1506,1854,2690,2908,1799,725,129,13177,1312,1323,3856,5021,11284,17208,12522,4903,1098,58533,265,143,478,659,1367,2558,3685,2081,615,11847,47,24,133,206,403,1086,1964,1575,800,6231,6,10,38,45,66,100,148,135,97,640,1227,1010,2218,2705,3216,3636,3075,1843,710,19634,7203,11863,24828,31529,41867,46573,35738,15488,4212,219307,6593,16413,28814,35323,39653,34948,27428,9385,1666,200215,1956,2267,3504,4122,5288,5579,3723,1488,268,28196,4229,4077,10792,13842,26218,37378,24849,9813,1954,133145,894,560,1304,1890,3548,6098,8559,4903,1140,28890
