SOSR_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
SOSR101,305,328,696,1169,1685,2489,3386,3646,2587,16298,260,256,445,845,2161,4808,7438,6733,3202,26141,5171,29813,35994,28625,27133,22606,13943,8450,5755,177488,58,100,221,554,1199,2084,3337,4101,3033,14697,11109,13431,21601,24495,28034,32787,28672,17986,11867,189989,357180,203303,278511,257106,193202,135346,76504,29402,8468,1539025,30203,20041,27550,24425,20172,16758,12339,8842,7893,168221,421042,279236,380866,359568,304077,260048,198163,114713,56501,2374220,629,1962,6738,14706,32883,61846,80789,63683,30709,293938,47339,42295,49182,46387,39068,33156,26831,15225,5829,305318,719,992,2623,5861,12434,22220,29973,23105,9234,107166,42,61,96,136,430,1184,3876,10907,14170,30900,1084,2537,5984,15501,28381,49886,57884,37079,12451,210786,1193,1184,1944,4279,11294,26867,43117,39038,21118,150036,791,702,1351,2340,3575,5696,8101,8023,4837,35424,651,543,924,1715,4077,9246,14493,13156,5859,50660,11349,45355,56711,47705,46154,38702,23852,13355,7923,291098,161,213,435,1097,2547,5276,8499,9237,5574,33038,28661,25060,35259,42206,49654,59109,51444,30838,17800,340039,719966,430735,565059,519912,386443,268204,145316,56196,15148,3106972
SOSR102,91,87,212,318,553,914,1508,1922,1308,6908,90,91,136,345,1041,2808,4143,3526,1471,13643,2473,12015,13088,11302,11172,9862,6504,3474,2207,72083,25,29,103,175,469,837,1395,1732,1252,6011,3322,4116,5716,6475,7665,9433,8449,5227,3706,54103,71496,38739,40222,39338,36495,29768,19216,8291,2481,286046,7212,4957,4721,4504,4511,4424,3820,3047,2301,39493,89901,62582,67067,66817,67991,68238,60452,38742,19113,540905,176,676,2148,4888,11740,23758,33318,26479,12131,115319,15205,12449,13711,13566,12403,12021,10947,6682,2331,99320,189,265,628,1492,3409,7112,11003,8993,3335,36447,11,23,13,43,109,421,1423,3919,4780,10734,329,793,1459,2755,6217,11525,16061,11933,3944,55009,314,328,473,1010,3066,8139,14549,14492,7651,50021,212,197,351,580,1048,1837,3178,3645,2167,13208,202,190,291,624,1897,4920,7578,6739,2695,25123,5290,18477,20367,18427,18568,16749,11034,5705,3017,117632,63,72,177,305,910,1878,3290,3731,2135,12564,8601,7518,9007,10589,13068,16411,14949,9057,5436,94630,144120,83790,85348,80559,74144,58983,36649,15455,4223,583273
SOSR111,17,18,39,71,109,129,257,327,195,1151,27,21,36,87,241,527,754,639,230,2567,615,2400,2928,2456,2278,1999,1229,624,334,14847,9,7,30,33,94,146,256,303,238,1123,760,766,1191,1285,1473,1687,1434,820,518,9925,14478,6724,7607,6936,6067,4984,3388,1389,368,51938,1650,954,976,978,838,816,642,535,332,7733,18651,11407,13334,12628,12167,12026,10801,6687,2981,100680,41,143,487,1127,2368,4552,6293,4564,1972,21555,3298,2383,3076,2801,2470,2316,2206,1182,394,20132,46,40,134,279,643,1221,1973,1506,581,6431,0,3,14,17,31,105,251,610,655,1683,86,148,372,652,1364,2139,2884,2008,590,10249,71,74,128,227,642,1583,2810,2616,1350,9505,43,44,65,119,191,292,520,627,325,2227,50,44,72,163,419,961,1520,1169,412,4808,1304,3662,4500,4035,3780,3291,2123,1020,450,24160,15,16,36,65,185,331,604,649,373,2275,1967,1385,1882,2064,2476,2878,2563,1393,727,17339,28611,14478,15803,14235,12153,9689,6387,2599,642,104592
SOSR112,46,70,99,136,304,489,833,946,653,3571,60,50,88,205,650,1464,2232,1873,745,7368,1412,6100,6813,5702,5622,5201,3317,1834,1314,37302,17,19,39,105,254,471,714,886,671,3188,1816,1984,2892,3221,3690,4534,4066,2705,1850,26755,36162,17591,20022,17036,15725,13601,10075,4757,1432,136401,4910,3065,2860,2610,2537,2344,2058,1641,1137,23152,47458,30323,34351,30854,31444,33159,31469,20989,10278,270318,90,380,1185,2538,5702,12050,17641,14053,6454,60099,8784,6669,7428,6925,6426,6791,6516,3837,1378,54753,101,150,335,687,1586,3511,5853,4819,1855,18887,12,10,21,15,70,207,768,2138,2649,5889,180,418,903,1663,3457,6166,8242,5870,1897,28800,203,212,364,574,1561,4187,7581,7491,4164,26340,106,137,212,272,558,974,1734,1860,1085,6935,153,112,189,411,1122,2680,4222,3548,1359,13788,3074,9565,10683,9270,9382,8691,5815,3036,1791,61310,40,46,78,200,478,1012,1719,1960,1144,6670,4773,3685,4600,5217,6263,7885,7267,4610,2740,47037,71835,37742,41306,34816,31570,26565,18871,8748,2521,273981
SOSR113,9,25,54,74,150,243,444,482,355,1830,35,22,33,95,330,741,1089,889,370,3601,627,2250,2608,2544,2716,2564,1701,826,543,16380,5,6,14,46,136,230,406,414,307,1564,700,693,1114,1315,1603,2145,2010,1231,863,11682,15075,6805,7998,7216,6899,6792,5152,2297,673,58907,2167,1202,1301,1196,1211,1163,1109,867,630,10851,19853,11569,13814,13279,14165,16213,16020,10253,4991,120152,61,144,522,1227,2809,6272,9090,6954,3060,30144,3586,2539,2816,2839,2832,3120,3220,1856,631,23418,33,41,124,281,722,1590,2870,2259,884,8803,3,3,6,11,30,103,391,1015,1158,2723,79,185,318,686,1547,3028,4405,3076,1029,14357,87,88,137,264,746,2095,3931,3711,2087,13140,35,48,84,121,274,493,922,946,594,3524,78,49,74,184,580,1438,2168,1754,663,6988,1386,3639,4139,4091,4497,4351,3057,1425,769,27351,3,13,34,88,226,499,914,959,551,3297,1912,1373,1756,2159,2767,3882,3675,2205,1295,21021,30029,15011,16435,14717,14081,13143,9890,4375,1176,118861
SOSR114,4,25,59,81,119,219,435,505,356,1805,35,25,32,101,285,802,1281,1012,398,3980,638,2384,2745,2580,2418,2448,1696,938,599,16444,8,15,14,45,109,211,364,464,367,1599,857,751,1139,1437,1666,2106,2103,1292,914,12260,18160,8307,9197,8428,7922,7401,5621,2751,812,68604,2543,1375,1477,1380,1270,1366,1202,1051,683,12342,23624,13594,15561,15020,15260,17322,17270,11893,5633,135174,56,175,543,1298,2808,6346,9760,7919,3599,32499,4005,2835,3208,3058,2901,3405,3534,2115,755,25823,43,61,136,332,731,1784,3200,2653,1069,10009,0,0,5,19,20,109,347,1061,1302,2863,91,198,372,694,1543,3031,4635,3343,1084,15000,82,81,139,286,763,2031,4297,4294,2282,14265,38,53,90,169,239,458,905,1012,603,3570,74,55,69,176,523,1473,2435,2076,742,7617,1447,3660,4172,4095,4150,4187,3021,1595,846,27169,21,21,32,90,204,481,916,1038,655,3460,2225,1397,1770,2294,2822,3835,3740,2281,1397,21767,36140,17702,18933,16962,15860,14312,10690,5112,1391,137103
SOSR115,30,25,64,103,161,349,650,766,489,2638,44,34,60,123,416,1127,1828,1423,501,5547,778,2942,3391,3324,3588,3739,2549,1240,765,22314,4,6,28,64,160,351,546,630,435,2223,1050,966,1414,1862,2440,3336,3181,1857,1226,17332,24413,10731,11813,11445,11469,11660,8760,3651,1000,94939,3437,1839,1873,2024,1990,2144,2034,1473,879,17685,31770,17487,19796,20385,22209,26907,26813,16251,7304,188916,69,206,744,1631,4154,10012,15360,11363,4872,48412,5635,3600,4020,4226,4130,4979,5249,2980,992,35804,54,74,203,421,1093,2784,5095,3748,1273,14748,0,5,10,14,53,136,572,1476,1775,4042,124,242,398,888,2040,4439,7104,4912,1439,21592,96,106,178,345,1049,3341,6651,6194,2972,20931,64,51,119,185,326,761,1354,1535,793,5191,83,60,126,240,731,2155,3702,2887,972,10955,1756,4633,5183,5472,5939,6384,4669,2209,1106,37356,11,16,54,105,316,797,1399,1454,810,4976,2666,1897,2304,3018,4147,6027,5997,3377,1834,31261,48803,23321,24278,23076,23097,22358,17148,7198,1763,191047
SOSR121,0,9,14,17,46,87,135,161,87,560,4,3,15,33,106,289,461,280,96,1300,221,756,884,899,1045,1009,639,211,81,5747,4,0,4,18,52,76,129,151,67,499,294,240,355,505,707,890,774,347,144,4260,6809,3009,2894,3193,3485,3479,2413,751,192,26229,903,510,414,499,526,584,534,313,171,4465,8815,4800,4811,5549,6590,7684,6915,3368,1199,49733,18,61,183,445,1183,2900,3890,2428,769,11872,1554,995,948,1129,1233,1430,1386,681,182,9538,21,28,45,133,309,791,1329,862,207,3723,3,3,3,4,13,40,124,251,223,666,30,60,104,221,559,1164,1699,1083,277,5208,39,23,52,90,270,861,1702,1296,502,4838,12,22,33,43,111,179,328,328,148,1191,12,12,37,56,176,559,959,599,202,2618,512,1215,1352,1457,1720,1767,1233,417,125,9789,7,10,10,33,88,196,337,332,113,1132,737,470,590,797,1183,1701,1566,674,240,7950,13720,6549,5944,6466,7120,6787,4818,1608,364,53388
SOSR122,3,0,10,5,26,53,74,71,52,296,0,0,7,23,84,191,235,149,48,738,95,355,388,420,533,578,359,122,49,2890,0,0,11,5,30,60,74,60,30,269,127,135,168,226,352,524,413,189,85,2209,3065,1414,1409,1432,1673,1770,1172,385,86,12406,474,290,261,282,356,385,365,160,78,2656,3997,2295,2372,2585,3328,4223,3645,1710,575,24744,10,34,98,224,640,1725,2158,1242,399,6532,618,434,491,522,643,797,767,340,97,4707,9,10,19,67,156,442,671,420,125,1904,0,0,0,4,8,22,72,153,120,385,20,28,65,130,327,732,1009,560,123,2987,15,15,28,42,201,557,956,701,280,2802,10,11,14,25,53,113,163,161,88,644,9,9,11,41,146,384,535,328,99,1562,189,564,623,689,882,1055,652,217,72,4938,0,0,13,7,49,128,203,171,74,651,332,258,281,370,606,991,798,373,130,4132,6300,3050,2899,2952,3418,3610,2403,838,166,25632
SOSR131,34,40,76,124,272,411,587,507,227,2271,50,30,49,163,495,1275,1784,1023,283,5148,922,3536,3452,3989,4855,4878,2579,826,300,25340,9,10,23,73,211,418,551,503,232,2030,1354,1382,1669,2490,3685,4956,3694,1564,575,21371,38512,19481,15501,19021,23682,22243,13408,4366,784,156998,5289,3170,2729,3464,4262,4494,3484,1692,512,29106,48701,29127,24836,31539,41886,46587,35755,15494,4215,278147,101,308,830,2337,6599,15342,19217,10443,2997,58179,6952,4856,4407,5607,6907,7838,6474,2580,604,46237,103,100,209,669,2034,4696,6897,3966,925,19591,5,0,7,15,59,169,551,1155,833,2803,174,322,467,943,2876,6057,8037,4564,958,24398,177,173,206,439,1682,5168,8648,6102,2009,24589,111,100,129,231,520,948,1497,1254,478,5266,122,79,110,313,937,2728,4114,2476,649,11524,2119,5578,5394,6541,8268,8750,5165,1719,480,44018,22,22,57,144,404,1015,1604,1349,512,5128,3494,2710,2779,4067,6552,9299,7680,3167,1005,40752,78531,43113,32417,38502,48245,46060,28565,9447,1614,326490
