SOSR_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
SOSR101,1456,3063,1654,1010,362,0,0,0,7545,316,732,514,396,415,0,0,0,2382,364,2460,3301,4950,6104,8947,7813,5325,39254,2130,6259,5469,6357,6885,8947,7813,5325,49180,278053,341137,329201,271891,230771,162390,83830,25290,1722563,16486,25380,20273,14192,11320,8287,6718,4956,107607,296670,372776,354942,292439,248972,179630,98353,35570,1879348,594,886,366,180,59,0,0,0,2093,68,134,114,88,59,0,0,0,463,121,384,553,899,969,717,427,472,4529,781,1399,1033,1167,1090,717,427,472,7081,264554,357364,341203,290785,249104,188921,105667,45876,1843470,13906,22109,17330,12126,9852,8527,8620,10154,102629,279236,380866,359568,304077,260048,198163,114713,56501,1953176,2051,3953,2020,1187,424,0,0,0,9632,375,866,632,483,476,0,0,0,2837,483,2840,3853,5849,7070,9660,8237,5796,43789,2912,7659,6508,7523,7972,9660,8237,5796,56261,542605,698503,670402,562675,479875,351315,189493,71164,3566037,30383,47482,37604,26317,21173,16815,15332,15112,210231,575904,753648,714513,596518,509021,377790,213068,92069,3832530
SOSR102,216,545,499,375,106,0,0,0,1752,107,291,243,212,183,0,0,0,1036,201,1278,1610,2506,3147,4934,4213,2655,20549,527,2115,2353,3101,3440,4934,4213,2655,23341,61187,59792,57826,58272,56806,46419,26083,7023,373409,3254,3495,3038,2891,2578,2436,2221,1705,21614,64971,65404,63218,64262,62818,53798,32519,11378,418370,97,193,145,89,25,0,0,0,557,25,57,65,60,41,0,0,0,251,73,220,351,619,629,472,238,198,2805,206,469,566,771,694,472,238,198,3613,59430,63370,63392,64780,65199,57211,35279,15363,424018,2952,3231,2862,2438,2351,2763,3224,3553,23381,62582,67067,66817,67991,68238,60452,38742,19113,451009,322,742,642,470,136,0,0,0,2309,129,348,314,274,222,0,0,0,1285,277,1497,1964,3123,3775,5410,4459,2851,23359,729,2586,2920,3864,4137,5410,4459,2851,26953,120620,123158,121213,123059,122000,103631,61358,22378,797427,6205,6727,5901,5335,4924,5201,5450,5258,44994,127556,132466,130034,132254,131061,114242,71267,30494,869377
SOSR111,57,195,155,93,18,0,0,0,512,7,52,45,19,29,0,0,0,155,39,271,401,574,651,1137,836,469,4382,108,513,594,688,704,1137,836,469,5051,10660,11333,10589,9928,9535,8036,4155,1036,65282,631,749,659,548,475,408,353,228,4053,11401,12602,11839,11161,10713,9580,5351,1737,74382,21,65,21,8,6,0,0,0,119,0,7,12,5,3,0,0,0,35,25,45,80,157,157,131,62,29,688,48,118,108,169,161,131,62,29,838,10799,12534,11910,11540,11403,10222,6084,2484,76968,561,680,608,459,463,448,549,460,4228,11407,13334,12628,12167,12026,10801,6687,2981,82029,76,257,175,97,23,0,0,0,635,10,58,55,30,31,0,0,0,185,73,322,477,726,802,1269,896,504,5066,160,638,705,858,866,1269,896,504,5891,21461,23869,22497,21464,20945,18254,10238,3521,142246,1193,1432,1268,1009,937,854,897,688,8281,22815,25933,24467,23325,22736,20378,12040,4715,156414
SOSR112,103,351,254,168,59,0,0,0,930,28,116,82,88,98,0,0,0,417,91,556,742,1277,1749,2949,2344,1595,11308,232,1019,1074,1535,1905,2949,2344,1595,12652,28234,29038,25812,25551,26161,23404,13693,3726,175631,2697,3402,2748,2301,1727,1505,1212,801,16390,31162,33457,29638,29387,29795,27849,17249,6127,204668,51,89,52,20,9,0,0,0,221,13,27,22,22,14,0,0,0,105,32,105,174,307,360,308,144,147,1573,93,228,250,350,377,308,144,147,1895,28024,31981,28806,29522,31354,29629,19132,8574,207024,2206,2143,1792,1576,1421,1529,1709,1559,13941,30323,34351,30854,31444,33159,31469,20989,10278,222863,153,439,305,187,67,0,0,0,1153,44,146,107,111,112,0,0,0,515,123,659,914,1582,2108,3253,2490,1743,12885,320,1244,1323,1883,2286,3253,2490,1743,14551,56255,61017,54625,55077,57514,53036,32829,12298,382646,4900,5546,4542,3874,3154,3033,2923,2362,30330,61479,67805,60489,60830,62954,59320,38241,16410,427530
SOSR113,63,245,215,166,46,0,0,0,734,10,47,52,67,74,0,0,0,256,44,251,385,610,965,1765,1300,820,6140,116,540,651,845,1084,1765,1300,820,7123,11478,11328,10749,11466,12922,12340,6911,1699,78890,1105,1300,1155,961,879,802,633,343,7178,12697,13168,12557,13273,14884,14900,8843,2868,93193,25,77,44,32,6,0,0,0,193,4,8,18,15,15,0,0,0,52,17,56,89,175,238,179,92,70,900,43,150,146,220,255,179,92,70,1146,10680,12669,12264,13133,15204,15018,9273,4110,92356,844,997,866,810,755,828,886,816,6801,11569,13814,13279,14165,16213,16020,10253,4991,100303,83,323,255,206,49,0,0,0,918,15,62,69,77,91,0,0,0,306,59,304,471,781,1199,1943,1390,889,7039,154,687,799,1065,1343,1943,1390,889,8270,22162,23996,23014,24599,28129,27353,16181,5810,171244,1947,2299,2026,1776,1631,1623,1526,1158,13981,24263,26977,25839,27435,31098,30922,19095,7856,193489
SOSR114,24,141,125,118,32,0,0,0,442,11,50,70,48,44,0,0,0,221,35,252,410,597,860,1738,1420,906,6222,76,437,608,758,934,1738,1420,906,6880,12654,12842,12066,12502,13834,13263,7950,2171,87282,1121,1195,1111,1033,911,935,705,438,7456,13848,14476,13787,14292,15678,15942,10077,3513,101622,19,50,43,26,11,0,0,0,151,8,20,24,15,3,0,0,0,65,15,58,90,148,182,201,97,88,866,42,130,158,191,195,201,97,88,1092,12560,14317,13891,14260,16227,16176,10723,4732,102896,990,1111,973,815,897,899,1065,814,7564,13594,15561,15020,15260,17322,17270,11893,5633,111551,52,193,176,143,39,0,0,0,598,13,72,90,61,42,0,0,0,290,50,312,499,737,1041,1938,1521,993,7095,118,570,767,941,1128,1938,1521,993,7976,25217,27162,25955,26759,30058,29446,18676,6906,190182,2105,2308,2086,1847,1809,1830,1773,1251,15013,27447,30040,28809,29552,32999,33212,21969,9144,213174
SOSR115,305,219,193,131,50,0,0,0,889,16,64,71,69,105,0,0,0,318,56,382,566,944,1461,2897,1983,1162,9449,374,667,827,1133,1617,2897,1983,1162,10664,16701,16302,16493,17968,21330,21582,11689,2800,124857,1608,1700,1566,1570,1637,1606,1216,597,11496,18690,18668,18881,20666,24580,26088,14889,4552,147017,120,75,53,37,3,0,0,0,295,3,13,19,24,15,0,0,0,83,18,75,164,266,300,256,133,106,1319,137,167,236,330,330,256,133,106,1694,15977,18198,18725,20518,25176,24974,14638,6080,144291,1369,1427,1430,1353,1397,1582,1478,1122,11160,17487,19796,20385,22209,26907,26813,16251,7304,157150,426,297,243,169,55,0,0,0,1188,21,76,90,93,122,0,0,0,401,71,462,724,1211,1762,3158,2116,1266,10771,513,838,1059,1470,1943,3158,2116,1266,12359,32683,34503,35213,38489,46507,46559,26331,8880,269154,2973,3128,3001,2926,3034,3185,2699,1716,22653,36173,38468,39268,42877,51481,52903,31139,11859,304163
SOSR121,11,22,19,18,14,0,0,0,89,3,15,20,17,16,0,0,0,63,8,108,145,290,430,747,460,232,2415,19,142,180,325,456,747,460,232,2571,4721,4045,4582,5484,6449,5974,2767,523,34548,382,352,366,391,416,460,251,124,2733,5123,4535,5125,6199,7321,7184,3482,879,39852,5,5,4,11,0,0,0,0,21,0,0,3,8,3,0,0,0,20,3,19,29,78,79,75,24,19,331,6,22,38,87,84,75,24,19,366,4413,4440,5163,6196,7221,6458,3034,965,37880,382,345,348,308,380,384,309,210,2668,4800,4811,5549,6590,7684,6915,3368,1199,40916,15,29,26,32,14,0,0,0,107,3,16,23,23,23,0,0,0,83,14,127,176,365,504,825,491,252,2746,27,165,227,418,537,825,491,252,2936,9130,8483,9741,11673,13671,12432,5801,1485,72426,765,700,711,701,794,840,561,339,5403,9925,9347,10674,12789,14998,14096,6858,2080,80771
SOSR122,3,4,20,5,9,0,0,0,38,0,8,12,9,11,0,0,0,33,8,35,74,126,211,409,240,107,1203,12,46,95,141,231,409,240,107,1280,2198,2003,2172,2758,3673,3172,1486,273,17733,272,245,222,290,343,290,175,50,1887,2483,2300,2489,3188,4241,3877,1895,427,20901,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,16,38,49,46,9,3,163,4,8,18,36,47,46,9,3,171,2060,2139,2347,3027,3909,3315,1525,491,18800,240,232,222,266,268,290,175,84,1769,2295,2372,2585,3328,4223,3645,1710,575,20745,3,8,15,6,9,0,0,0,47,0,8,12,9,13,0,0,0,35,7,42,88,164,260,457,246,108,1368,14,60,119,175,276,457,246,108,1452,4261,4146,4517,5782,7579,6482,3012,760,36537,511,475,441,555,609,588,349,136,3657,4783,4676,5073,6515,8463,7524,3607,1000,41640
SOSR131,577,227,142,133,57,0,0,0,1135,34,76,86,109,135,0,0,0,442,75,398,746,1537,2242,3681,2002,960,11631,683,700,974,1777,2434,3681,2002,960,13207,29178,21740,26293,35853,42252,34583,14805,2581,207282,3386,3199,3333,3639,4041,3269,1669,470,23006,33245,25644,30595,41279,48733,41527,18477,4005,243500,109,55,43,24,7,0,0,0,241,9,18,32,32,21,0,0,0,111,39,93,204,413,493,291,112,50,1693,152,169,281,468,523,291,112,50,2049,26368,22501,28583,38285,42705,32790,13880,3598,208703,2604,2172,2677,3140,3364,2675,1496,567,18700,29127,24836,31539,41886,46587,35755,15494,4215,229449,682,280,184,153,66,0,0,0,1378,43,92,115,151,155,0,0,0,556,108,494,950,1942,2731,3971,2119,1006,13324,834,870,1256,2246,2954,3971,2119,1006,15257,55545,44246,54870,74138,84953,67371,28689,6177,415988,5990,5367,6013,6778,7407,5946,3164,1035,41709,62369,50478,62140,83164,95316,77284,33967,8221,472950
