SOSR_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SOSR101,304,3311,23,3634,124448,7085,135176,1995,2853,62,4912,145638,10941,161493,58798,4291,580,63663,281515,27598,372776,176012,3071,1399,180483,152399,22062,354942,109716,3172,917,113805,163295,15347,292439,21999,9041,301,31335,205372,12263,248972,3593,15247,152,18994,151651,8984,179630,530,3746,28,4309,86901,7140,98353,65,200,0,268,30276,5027,35570,373012,44925,3469,421407,1341496,116446,1879348,433,5751,44,6219,114231,6346,126802,5349,5081,170,10599,132971,8874,152436,102582,7097,1569,111245,245764,23865,380866,215290,4933,2609,222831,118006,18735,359568,107927,7558,1295,116775,174064,13231,304077,10763,25484,535,36777,212433,10837,260048,2650,26424,366,29437,159475,9252,198163,535,4569,69,5172,100579,8968,114713,73,260,6,341,46052,10106,56501,445596,87149,6649,539393,1303571,110217,1953176,730,9055,65,9859,238680,13434,261971,7342,7934,231,15510,278612,19816,313934,161376,11389,2145,174914,527275,51461,753648,391303,8006,4003,403307,270405,40797,714513,217643,10728,2213,230581,337361,28576,596518,32761,34523,830,68119,417804,23101,509021,6242,41669,517,48426,311130,18234,377790,1060,8317,96,9477,187479,16110,213068,147,459,6,609
SOSR102,82,1178,9,1259,28481,1695,31448,914,792,22,1727,29966,1834,33526,15921,1301,365,17588,44054,3758,65404,35364,1069,775,37204,22782,3232,63218,21532,1612,418,23557,37614,3089,64262,3539,4919,88,8545,51501,2771,62818,559,6199,28,6782,44377,2636,53798,123,1218,8,1352,28774,2402,32519,20,58,0,78,9514,1783,11378,78038,18338,1711,98096,297069,23199,418370,178,1961,19,2161,26258,1563,29980,1951,1580,96,3624,27324,1654,32608,24860,2313,931,28099,35538,3434,67067,43487,1593,1477,46556,17244,3016,66817,21135,3758,597,25493,39854,2643,67991,1705,12185,114,14001,51642,2601,68238,401,9811,70,10284,47224,2943,60452,96,1527,11,1630,33759,3350,38742,18,93,3,116,15475,3523,19113,93826,34826,3310,131967,294321,24725,451009,259,3137,29,3418,54741,3260,61418,2862,2374,114,5351,57289,3486,66135,40779,3612,1293,45686,79591,7188,132466,78850,2660,2252,83765,40030,6245,130034,42668,5370,1012,49057,77474,5734,132254,5238,17103,205,22549,103145,5371,131061,957,16012,101,17064,91602,5581,114242,215,2743,20,2982,62533,5752,71267,36,155,5,191
SOSR111,24,216,0,248,5180,386,5812,289,158,11,461,4829,309,5592,3844,324,110,4271,7531,792,12602,6362,243,240,6845,4301,699,11839,3329,364,108,3799,6763,597,11161,579,941,15,1532,8672,504,10713,66,1163,4,1242,7892,450,9580,22,247,0,266,4699,382,5351,3,11,0,17,1484,239,1737,14518,3674,490,18676,51350,4355,74382,40,469,8,515,4896,309,5724,611,358,30,996,4379,311,5687,5748,542,315,6606,6006,720,13334,7705,416,435,8554,3432,646,12628,3295,944,176,4410,7274,487,12167,264,2426,26,2719,8811,500,12026,78,1893,7,1978,8344,484,10801,21,280,0,303,5821,564,6687,3,21,3,32,2474,474,2981,17758,7343,1007,26114,51436,4485,82029,67,689,6,766,10076,698,11534,905,518,41,1455,9203,620,11277,9589,866,426,10884,13542,1509,25933,14061,657,679,15395,7732,1340,24467,6622,1306,282,8214,14033,1084,23325,845,3365,44,4250,17486,1001,22736,145,3062,11,3215,16229,927,20378,39,528,3,572,10525,951,12040,7,35,3,43
SOSR112,56,681,5,744,13794,1303,15845,813,491,15,1327,12393,1604,15316,9100,872,286,10259,19656,3543,33457,14524,604,489,15622,11174,2849,29638,8215,951,243,9412,17582,2396,29387,1669,2349,68,4081,23887,1829,29795,295,2707,12,3017,23255,1585,27849,44,596,7,644,15295,1313,17249,4,40,0,47,5253,828,6127,34731,9293,1124,45150,142278,17242,204668,153,1233,16,1397,12568,1215,15182,1769,1032,84,2892,11087,1159,15136,14087,1475,841,16399,15697,2259,34351,18088,965,983,20036,8927,1882,30854,8257,2479,373,11114,18629,1704,31444,801,5863,68,6734,24886,1544,33159,201,4607,24,4841,25034,1600,31469,51,927,9,991,18256,1748,20989,16,68,0,80,8629,1568,10278,43441,18656,2391,64485,143705,14671,222863,212,1912,21,2142,26369,2517,31027,2584,1529,99,4216,23481,2762,30457,23194,2347,1121,26661,35349,5794,67805,32613,1572,1472,35653,20105,4726,60489,16472,3433,614,20526,36210,4094,60830,2468,8208,129,10813,48769,3369,62954,497,7319,38,7857,48282,3183,59320,102,1521,17,1632,33547,3062,38241,28,108,0,129
SOSR113,35,264,0,297,5846,622,6766,312,193,14,519,4843,570,5932,3711,332,134,4180,7623,1368,13168,6003,287,226,6516,4834,1204,12557,3455,489,124,4068,8179,1035,13273,695,1182,23,1900,12040,943,14884,143,1312,11,1468,12569,862,14900,33,288,0,322,7832,691,8843,3,12,0,17,2492,358,2868,14388,4356,539,19281,66251,7651,93193,71,419,6,495,5038,487,6018,692,398,38,1123,4001,421,5547,5784,539,342,6665,6104,1044,13814,7622,459,430,8514,3860,906,13279,3493,1101,158,4753,8555,856,14165,308,2763,28,3098,12319,794,16213,80,2129,13,2219,12923,881,16020,29,375,0,405,8943,909,10253,6,21,0,31,4156,807,4991,18075,8208,1019,27302,65901,7101,100303,107,677,8,789,10885,1107,12787,1007,589,51,1645,8843,989,11479,9492,872,482,10846,13727,2411,26977,13622,743,656,15030,8692,2112,25839,6947,1592,280,8821,16731,1887,27435,1005,3943,51,5004,24361,1737,31098,226,3443,20,3684,25494,1744,30922,61,665,0,729,16773,1600,19095,6,40,0,48
SOSR114,34,282,0,308,6339,613,7265,337,206,5,545,5453,589,6586,4588,369,131,5089,8131,1254,14476,7111,288,220,7617,5023,1149,13787,3995,469,108,4576,8636,1085,14292,753,1120,19,1889,12803,985,15678,119,1327,8,1451,13480,1006,15942,34,307,6,345,8955,781,10077,4,21,0,26,3036,452,3513,16978,4387,493,21852,71857,7912,101622,85,539,3,628,5718,580,6922,791,407,36,1230,4964,479,6674,6927,609,392,7930,6488,1146,15561,8907,467,488,9864,4150,1010,15020,3969,1126,194,5287,9119,856,15260,318,2849,29,3196,13171,956,17322,92,2299,9,2392,13927,954,17270,29,438,5,468,10361,1065,11893,6,25,0,25,4822,779,5633,21118,8754,1151,31020,72714,7819,111551,114,819,6,938,12059,1194,14190,1129,611,44,1782,10414,1065,13258,11519,979,523,13018,14620,2398,30040,16019,754,704,17481,9174,2159,28809,7960,1601,296,9855,17755,1941,29552,1071,3969,52,5090,25971,1937,32999,207,3620,17,3843,27407,1961,33212,66,738,8,809,19310,1846,21969,9,46,0,54
SOSR115,40,408,5,450,8748,952,10144,455,241,15,704,7018,821,8544,5864,470,153,6491,10408,1772,18668,9814,384,323,10524,6718,1640,18881,5844,630,174,6644,12413,1620,20666,1199,1737,33,2966,19872,1739,24580,240,2024,18,2283,22053,1751,26088,36,381,3,423,13157,1308,14889,4,21,0,29,3926,608,4552,23495,6290,722,30513,104301,12202,147017,96,760,9,857,7826,849,9539,968,492,68,1529,5782,631,7943,9009,693,510,10208,8119,1465,19796,12402,599,714,13716,5194,1476,20385,5827,1632,237,7698,13085,1424,22209,528,4250,52,4832,20588,1484,26907,139,3118,23,3281,21881,1654,26813,30,550,0,585,14076,1590,16251,6,34,0,38,6172,1092,7304,29012,12136,1613,42752,102724,11666,157150,135,1162,11,1304,16566,1801,19681,1423,734,83,2237,12804,1451,16491,14873,1166,662,16705,18522,3240,38468,22224,985,1036,24239,11912,3112,39268,11666,2266,409,14342,25498,3045,42877,1733,5990,82,7801,40454,3224,51481,379,5138,41,5561,43937,3409,52903,71,928,4,1006,27239,2895,31139,10,57,0,65
SOSR121,13,106,0,121,2535,274,2929,91,64,9,167,1885,148,2201,1455,108,39,1604,2562,370,4535,2853,96,86,3033,1704,388,5125,1884,192,65,2140,3640,416,6199,380,517,12,910,5964,448,7321,76,602,4,686,6001,499,7184,4,114,0,121,3092,275,3482,0,3,0,3,741,135,879,6765,1805,211,8782,28114,2954,39852,25,215,0,241,2325,243,2804,220,126,11,358,1477,160,1993,2226,162,109,2505,1947,361,4811,3479,162,206,3847,1341,356,5549,1864,461,75,2397,3852,337,6590,181,1242,9,1432,5841,403,7684,40,888,3,936,5590,394,6915,0,117,0,125,2929,319,3368,3,7,0,7,989,202,1199,8041,3383,422,11852,26290,2777,40916,34,320,4,358,4855,518,5735,313,187,22,524,3362,311,4192,3687,269,154,4108,4513,730,9347,6334,263,286,6882,3045,745,10674,3754,653,137,4539,7492,757,12789,564,1760,22,2344,11804,851,14998,119,1491,6,1617,11590,892,14096,8,236,3,239,6019,592,6858,3,13,0,13
SOSR122,10,57,0,62,1097,187,1346,65,46,0,117,916,105,1138,711,63,20,793,1247,259,2300,1244,60,32,1334,916,237,2489,833,98,17,947,1929,306,3188,173,286,8,470,3425,353,4241,34,277,4,312,3245,320,3877,8,61,0,61,1634,196,1895,0,5,0,9,372,54,427,3069,939,83,4101,14785,2013,20901,13,99,0,110,973,159,1247,114,72,0,193,766,86,1053,1025,101,70,1199,942,235,2372,1525,63,97,1686,685,223,2585,764,252,37,1053,2000,274,3328,88,673,7,767,3171,288,4223,17,381,0,398,2938,306,3645,4,71,0,79,1455,178,1710,0,5,0,5,490,84,575,3558,1715,212,5489,13425,1838,20745,24,156,0,179,2074,345,2599,180,122,3,308,1690,193,2187,1734,168,89,1990,2190,494,4676,2772,120,129,3017,1593,459,5073,1598,344,56,2005,3931,582,6515,258,956,16,1232,6594,639,8463,51,656,0,710,6189,626,7524,11,126,0,136,3092,375,3607,0,4,0,10
SOSR131,72,625,8,706,16400,2069,19179,423,373,15,813,11717,1537,14066,7328,577,187,8089,14270,3282,25644,16273,561,477,17309,9837,3453,30595,12438,1157,312,13909,23580,3783,41279,2646,3488,79,6215,38287,4232,48733,473,3702,21,4194,33859,3470,41527,81,713,8,798,15849,1831,18477,12,45,0,54,3456,493,4005,39744,11230,1108,52086,167259,24158,243500,104,1148,10,1256,14280,1712,17250,894,751,38,1681,9146,1052,11874,10986,957,529,12469,10131,2241,24836,19896,795,982,21672,7130,2744,31539,11723,2862,425,15008,23636,3247,41886,1082,8218,93,9393,33721,3470,46587,255,5528,38,5819,27145,2787,35755,68,827,8,906,13035,1554,15494,11,54,0,66,3559,594,4215,45016,21127,2129,68271,141777,19401,229449,180,1770,18,1962,30687,3783,36426,1319,1120,61,2493,20862,2589,25946,18314,1531,712,20557,24400,5524,50478,36163,1353,1456,38978,16968,6199,62140,24160,4015,746,28920,47215,7029,83164,3736,11703,174,15607,72006,7704,95316,730,9223,60,10014,61007,6265,77284,148,1537,13,1699,28882,3387,33967,21,92,4,116
