SOSR_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOSR101,76325,15134,92069,818606,132071,10120,960792,2645072,226666,3832530
SOSR102,24989,5313,30494,171868,53165,5023,230064,591387,47929,869377
SOSR111,3963,707,4715,32283,11018,1492,44792,102783,8838,156414
SOSR112,13882,2399,16410,78167,27951,3513,109632,285985,31910,427530
SOSR113,6648,1160,7856,32468,12564,1554,46583,132150,14754,193489
SOSR114,7862,1235,9144,38093,13138,1641,52871,144564,15734,213174
SOSR115,10093,1696,11859,52508,18425,2330,73263,207028,23872,304163
SOSR121,1720,338,2080,14811,5184,635,20630,54406,5730,80771
SOSR122,860,136,1000,6630,2654,299,9583,28209,3846,41640
SOSR131,7016,1088,8221,84764,32353,3236,120360,309035,43557,472950
SOSR179,0,0,0,0,0,0,0,0,0,0
SOSR199,33,16,49,818,332,37,1191,5556,3362,10112
SOSR201,83769,10894,95489,782918,189670,16438,989023,2573738,200073,3762827
SOSR203,8786,1311,10152,63067,20852,2143,86065,212195,17851,316110
SOSR211,1135,119,1265,20809,5279,690,26778,54568,5944,87292
SOSR212,5659,941,6635,44050,14211,1483,59747,140387,13636,213775
SOSR213,6407,1247,7715,39102,13530,1584,54219,136956,13153,204331
SOSR214,4839,830,5699,19910,7740,766,28420,84979,8471,121867
SOSR215,6132,961,7150,33853,12000,1432,47287,123987,13496,184765
SOSR221,1351,293,1658,9026,3248,323,12596,34731,3852,51183
SOSR222,609,103,714,4639,1748,198,6585,18591,2436,27613
SOSR231,5010,892,5963,63230,25755,2227,91213,232337,32737,356286
SOSR279,0,0,0,0,0,0,0,12,27,38
SOSR299,17,17,29,695,281,39,1013,3668,3262,7946
SOSR301,33549,5025,38897,397327,107797,12498,517623,1230087,99895,1847605
SOSR302,17291,3516,20942,145257,40710,4338,190295,498385,48712,737390
SOSR303,6848,1035,7954,66462,22037,3234,91736,230928,29610,352278
SOSR311,5791,1016,6854,36694,13026,1857,51581,138621,16730,206931
SOSR312,2457,351,2822,13737,4842,669,19247,57074,5370,81697
SOSR313,2727,379,3127,26654,8006,1397,36055,81381,9893,127325
SOSR314,3025,569,3636,26367,7575,1117,35061,85391,12485,132939
SOSR315,4536,886,5464,36732,12138,1846,50721,135704,20468,206897
SOSR321,1333,204,1556,13403,4965,626,18991,52338,7909,79232
