SOSR_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,..,17664,31300,7650,5000,5476,3883,1442,424,72820,..,7224,27495,23046,22318,33809,41553,35003,18771,209216,4043,6178,6686,3578,2768,2913,2720,1505,972,31372,402541,263341,358840,342077,291316,249222,188380,104395,39932,2240047,..,11088,235055,432312,361537,303605,224096,109459,24248,1701399,..,26945,140622,73059,47669,29930,13258,3870,515,335870,..,2762,16747,38105,53344,36424,17065,11459,7598,183513,819280,..,..,..,..,..,..,..,..,819280,..,259949,..,..,..,..,..,..,..,259949,..,136498,116686,33859,20992,10219,1898,84,0,320238,..,24388,24942,9487,9855,18370,19981,13649,7947,128613,..,15430,26031,9500,6204,4699,2177,643,198,64892,..,39330,76117,21129,13140,12721,8739,3185,784,175128,..,14388,57060,51390,49285,63420,65472,49571,25417,376004,8383,11290,12920,7550,5915,5470,4477,2285,1269,59560,827657,542065,706186,676391,567945,484857,357165,194202,67976,4424447
SOSR102,..,5295,4302,1028,1361,1908,1430,572,157,16061,..,1448,4166,3489,5528,11537,15312,13550,7696,62726,1284,2490,1438,770,761,939,828,440,244,9191,86024,58992,63632,63739,65243,65065,56852,35120,13584,508250,..,1354,37450,70516,70874,70529,63866,35426,7400,357418,..,10293,33694,18660,14833,10559,5256,1793,253,95334,..,1168,6316,11786,14737,8348,3974,3115,2232,51682,175298,..,..,..,..,..,..,..,..,175298,..,45242,..,..,..,..,..,..,..,45242,..,36206,17863,6373,4835,3124,638,27,0,69061,..,4467,3153,1332,1768,3508,3781,2622,1484,22119,..,3608,3624,1297,1136,930,430,155,47,11226,..,10300,10707,2782,3189,4120,3002,1249,295,35651,..,2922,9221,8851,12884,21495,24474,19683,10414,109939,2678,4494,3086,1868,1741,1733,1526,719,353,18192,177973,120046,125118,123461,125999,124338,106949,64789,22470,991148
SOSR111,..,636,557,213,257,345,244,85,11,2361,..,383,873,711,1135,2279,2799,2444,1253,11876,273,368,248,149,141,201,174,97,44,1691,17798,10749,12605,11960,11647,11336,10031,5999,2108,94220,..,315,8090,12548,12033,11874,11248,5995,1195,63303,..,2487,6480,3522,2683,1840,891,293,31,18234,..,359,1726,2610,2691,1347,647,465,294,10146,35565,..,..,..,..,..,..,..,..,35565,..,7501,..,..,..,..,..,..,..,7501,..,6484,2723,971,715,403,95,0,0,11388,..,944,633,301,340,635,625,361,190,4030,..,706,651,289,227,138,70,28,5,2107,..,1243,1425,527,593,717,548,183,27,5254,..,752,2035,1812,2539,3997,4433,3381,1653,20610,574,674,579,358,316,359,292,132,62,3355,36134,21469,24341,22961,22140,21312,18847,10835,3458,181495
SOSR112,..,1846,1787,564,731,956,739,317,66,7001,..,1186,2577,1885,3357,6564,8468,7786,4156,35978,795,1152,696,387,433,546,487,311,166,4964,44461,27236,31934,28858,29634,31136,29157,18736,6981,248128,..,950,19899,29476,29109,31550,31579,18711,4052,165331,..,6574,15426,8272,6929,5122,2820,889,152,46182,..,1123,4554,6385,6870,3738,1894,1293,940,26802,89194,..,..,..,..,..,..,..,..,89194,..,18547,..,..,..,..,..,..,..,18547,..,15772,6727,2746,2043,1251,283,10,0,28840,..,2534,1637,628,998,1667,1746,1033,539,10786,..,1765,1829,729,556,397,219,66,15,5569,..,3587,4432,1494,1618,2047,1604,671,125,15579,..,2175,5589,4680,7212,11797,13526,10876,5577,61431,1608,2083,1502,968,964,947,857,497,246,9675,90800,55102,61606,55380,56302,58519,54527,34048,11651,477934
SOSR113,..,551,824,317,347,522,383,155,36,3136,..,332,883,739,1404,3054,3994,3666,1925,16000,329,402,306,203,202,324,298,150,79,2291,18593,10737,12726,12336,13212,15086,14762,9163,3357,109965,..,353,6689,11290,12217,15089,16542,9299,1874,73354,..,2623,6774,4075,3372,2596,1561,500,63,21573,..,431,2148,2963,3284,1741,927,715,501,12707,37457,..,..,..,..,..,..,..,..,37457,..,7344,..,..,..,..,..,..,..,7344,..,7216,2996,1352,1082,722,148,0,0,13517,..,1071,551,268,502,796,842,531,323,4876,..,739,752,348,307,199,115,35,10,2505,..,1060,1835,762,796,1035,839,317,70,6703,..,751,2032,2012,3305,5890,6770,5435,2621,28812,666,751,667,525,455,577,562,275,113,4591,38126,22342,24436,23581,25312,28652,28312,17113,5577,213442
SOSR114,..,665,555,208,298,516,383,178,40,2844,..,496,930,776,1456,3313,4334,4319,2358,17980,320,464,329,168,199,344,319,184,90,2423,21971,12286,14346,13956,14329,16099,16013,10650,3943,123593,..,364,9084,14252,14210,16333,18009,10871,2288,85405,..,3125,7570,4364,3725,2952,1651,635,85,24105,..,467,2090,3046,3285,1684,926,690,551,12734,44280,..,..,..,..,..,..,..,..,44280,..,8237,..,..,..,..,..,..,..,8237,..,7546,3070,1297,1118,768,161,0,0,13957,..,1142,661,333,425,799,885,567,326,5137,..,764,690,280,249,204,100,36,4,2340,..,1292,1368,536,701,1033,830,353,72,6184,..,1011,2184,1959,3234,6213,7355,6258,3192,31407,636,865,731,457,452,583,594,303,120,4736,44914,24810,27445,26525,27407,30556,30519,19708,6640,238517
SOSR115,..,559,811,270,505,841,685,271,107,4050,..,493,1050,857,1939,4517,6114,5509,2779,23252,471,600,376,243,308,509,509,267,108,3391,29530,16024,18225,18837,20623,24892,24578,14502,4938,172143,..,514,11305,19004,20377,25843,28823,15380,2887,124132,..,3598,9677,6414,5691,5083,3018,922,118,34523,..,569,2665,4010,4478,2473,1320,983,740,17234,59832,..,..,..,..,..,..,..,..,59832,..,11709,..,..,..,..,..,..,..,11709,..,10720,4368,1887,1567,1047,237,13,0,19836,..,1401,792,392,612,1149,1333,860,500,7033,..,977,905,451,402,323,187,91,38,3374,..,1186,1845,719,1051,1598,1477,579,182,8641,..,1001,2505,2382,4501,8722,10772,8453,3826,42162,885,1127,879,628,696,920,939,474,158,6706,60714,32801,34943,35874,39384,47164,48106,27755,8445,335183
SOSR121,..,104,137,74,138,224,168,65,17,921,..,71,200,189,446,1049,1336,971,457,4712,111,158,105,60,88,141,124,52,25,861,8256,4466,4445,5165,6218,7118,6413,3093,927,46102,..,105,2856,5607,6920,8086,8159,3596,561,35890,..,755,2296,1767,1701,1546,855,260,20,9200,..,129,598,915,1086,612,327,267,183,4115,16714,..,..,..,..,..,..,..,..,16714,..,3673,..,..,..,..,..,..,..,3673,..,3211,1328,534,447,265,49,0,0,5844,..,352,172,104,128,310,376,275,139,1862,..,298,249,84,113,102,74,30,0,958,..,197,334,153,288,460,384,131,27,1986,..,185,491,504,1048,2157,2458,1603,688,9128,241,305,257,186,205,276,262,101,43,1880,16958,9209,8590,9860,11934,13832,12945,6263,1666,91256
SOSR122,..,48,52,31,70,117,115,20,7,466,..,44,122,109,257,681,795,532,223,2763,81,76,56,31,63,86,76,50,17,542,3670,2046,2112,2349,3028,3859,3296,1535,424,22319,..,68,1276,2378,3045,4060,3827,1721,267,16645,..,423,1115,821,910,946,508,135,17,4874,..,60,292,452,568,338,197,125,76,2109,7487,..,..,..,..,..,..,..,..,7487,..,1532,..,..,..,..,..,..,..,1532,..,1495,696,292,225,116,19,0,0,2844,..,201,84,57,83,212,205,139,62,1040,..,106,103,50,60,43,32,7,3,407,..,92,135,102,167,292,247,55,5,1098,..,109,292,291,661,1477,1579,954,337,5694,168,173,126,104,136,168,146,94,21,1141,7656,4254,4116,4549,5861,7653,6772,3225,785,44874
SOSR131,..,419,612,333,652,1139,802,255,58,4271,..,380,671,744,1656,3887,4458,3141,1170,16105,591,1008,591,357,448,792,608,263,103,4763,44881,26188,22283,28594,38272,42327,32469,14051,3536,252591,..,660,15392,34663,49637,56060,46658,19210,2780,225060,..,3401,10462,8472,9746,9072,4794,1084,129,47151,..,352,1969,3336,4306,2961,1658,1301,805,16688,92190,..,..,..,..,..,..,..,..,92190,..,23844,..,..,..,..,..,..,..,23844,..,19892,9032,3407,2372,1376,209,9,0,36302,..,1516,809,516,899,1755,2300,1755,1028,10582,..,1735,1593,762,853,885,584,206,51,6660,..,853,1344,793,1404,2337,1860,633,121,9348,..,970,2028,2429,4890,9847,10430,5962,1966,38521,1205,2000,1460,1014,1202,1611,1313,544,164,10518,93395,55225,44086,55402,75292,85908,69812,30704,7049,516873
