SOSR_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR101,116530,350,66,6,5,8,9,9828,126802,133152,4825,1698,352,75,11,23,12302,152436,135782,18440,9983,3089,837,199,90,14087,182506,96420,41866,33014,10330,3152,804,401,12379,198365,51321,40871,61010,20603,6042,1791,1002,10457,193105,31345,28424,61794,25086,7721,2394,1532,8171,166470,26752,24730,59064,26674,8392,2608,1707,7116,157039,23631,23273,54629,26130,8500,2712,1759,6399,147038,20491,21533,50112,24839,8397,2701,1819,5888,135778,17389,20229,43735,23825,8704,2844,1967,5577,124266,13392,16682,36928,21392,8361,2713,2033,5160,106656,9954,11001,33346,19823,7710,2492,1922,5256,91508,6281,6254,23094,15031,6449,2249,1888,5006,66252,3726,3878,14732,11162,5486,2239,2275,4966,48463,4156,4587,13473,10941,6304,3014,3754,10278,56501,690317,266936,496679,239284,86121,28781,22191,122872,1953176
SOSR102,27514,175,19,6,0,0,5,2264,29980,27816,1694,589,91,29,0,9,2380,32608,21822,4692,3047,892,206,50,25,2104,32830,12879,7499,8129,2950,776,198,98,1718,34237,6770,5814,12579,5320,1483,421,254,1588,34237,4657,4630,12669,6244,1975,560,382,1462,32587,4603,4579,13470,6824,2234,642,409,1508,34274,4503,4509,13061,7026,2354,656,398,1218,33719,4341,4209,12890,7551,2466,704,391,1453,34005,4020,3825,12992,8145,2821,742,342,1351,34234,3228,3162,11968,7741,2677,684,312,1640,31414,2548,2601,11061,7239,2697,711,349,1829,29031,1716,1766,7713,5812,2356,717,364,1908,22356,1145,1081,4595,4152,2104,786,523,1997,16386,1202,1330,4526,4159,2407,1079,865,3546,19113,128776,51576,129291,74156,26573,7950,4721,27964,451009
SOSR111,5189,47,6,0,0,0,5,476,5724,4513,498,212,52,7,0,0,400,5687,3628,1206,857,259,87,24,14,396,6475,2118,1505,1829,755,195,61,42,360,6862,1215,1031,2280,1184,370,101,78,360,6619,827,783,2137,1256,453,149,105,295,6008,743,769,2210,1334,493,153,122,247,6075,786,747,2241,1322,457,160,120,258,6095,708,691,2114,1381,521,150,103,257,5912,693,600,2162,1596,540,149,97,279,6115,571,505,1995,1500,550,143,86,264,5613,437,433,1794,1353,552,175,122,322,5184,307,267,1218,1046,467,135,104,350,3894,213,154,695,686,403,179,150,314,2792,176,183,597,646,437,226,198,510,2981,22126,9415,22340,14378,5530,1802,1344,5095,82029
SOSR112,13396,167,19,6,7,0,0,1591,15182,11410,1476,641,153,23,7,3,1426,15136,9347,2929,2235,858,257,58,33,1349,17063,5525,3503,4281,1954,624,188,121,1087,17283,3054,2565,5228,2790,1051,340,237,1023,16285,2192,1871,4831,2876,1187,395,316,897,14564,2068,1919,5175,3290,1324,434,345,934,15483,2250,1869,5496,3383,1357,461,313,839,15965,2153,1792,5444,3565,1460,424,290,831,15978,2292,1791,5771,4023,1684,483,258,886,17181,1883,1483,5467,3976,1662,406,230,884,15997,1608,1330,5377,3801,1597,448,252,1057,15471,1189,918,3740,2997,1413,458,301,1046,12066,727,503,2239,2191,1339,515,417,989,8924,833,667,2185,2125,1502,679,679,1609,10278,59947,24780,58133,37979,16477,5300,3796,16451,222863
SOSR113,5349,67,11,0,0,0,0,592,6018,4089,614,250,59,13,5,5,520,5547,3530,1092,969,388,116,45,13,560,6716,2146,1309,1856,793,274,86,75,564,7098,1295,973,2177,1184,450,123,122,514,6841,911,882,2138,1213,525,183,153,434,6437,933,854,2328,1445,630,182,170,462,6997,968,821,2394,1552,624,211,136,463,7171,1042,802,2690,1695,648,201,157,442,7681,1019,825,3016,2043,826,226,93,491,8534,893,759,2895,2079,813,201,99,551,8286,732,647,2777,1900,802,232,134,516,7733,498,404,1980,1493,687,200,152,563,5973,293,242,1085,1050,659,265,173,509,4278,333,298,1045,1068,773,343,280,850,4991,24026,10579,27604,17964,7846,2508,1750,8031,100303
SOSR114,6088,88,13,0,0,0,0,732,6922,5050,646,284,71,12,0,6,605,6674,3827,1367,1106,469,116,29,10,620,7536,2186,1585,2138,1039,298,104,57,622,8031,1273,1182,2588,1451,511,173,99,541,7816,946,910,2496,1460,558,207,131,486,7205,954,894,2590,1631,617,210,166,480,7547,1057,864,2615,1707,686,203,137,445,7713,1067,857,2845,1854,749,232,135,552,8279,1119,846,3064,2153,920,248,152,540,9043,949,723,2917,2203,890,269,141,523,8624,815,648,3028,2172,933,275,163,611,8650,594,443,2126,1630,856,288,191,602,6729,365,281,1179,1269,805,375,283,614,5159,397,322,1087,1209,917,449,454,807,5633,26695,11644,30073,20309,8868,3061,2116,8778,111551
SOSR115,8344,89,10,0,3,0,0,1095,9539,5905,809,365,71,12,0,8,777,7943,4619,1705,1430,541,154,39,12,791,9282,2934,1928,2896,1363,459,110,63,765,10516,1696,1439,3481,1993,669,214,143,785,10422,1292,1253,3343,2098,796,259,191,735,9969,1398,1327,3599,2260,956,303,187,780,10818,1542,1309,3867,2431,954,299,194,797,11392,1782,1398,4300,2834,1129,299,195,833,12764,1758,1347,4831,3401,1381,377,208,834,14140,1569,1274,4630,3463,1409,348,204,897,13794,1305,1026,4560,3182,1371,377,185,1018,13019,805,665,2849,2471,1205,438,224,959,9615,499,343,1580,1652,1043,366,300,849,6632,503,471,1429,1583,1132,561,510,1108,7304,35931,16387,43176,29343,12674,3983,2621,13026,157150
SOSR121,2494,25,0,0,0,0,0,286,2804,1508,181,81,13,0,0,5,208,1993,1111,374,328,134,35,9,9,185,2180,708,475,734,364,121,33,11,196,2638,406,376,929,539,167,46,39,195,2695,366,317,1015,617,221,68,52,202,2857,376,370,1126,731,278,96,65,176,3215,468,351,1148,792,273,98,50,191,3377,485,387,1258,839,326,108,64,208,3680,463,393,1365,969,405,106,66,234,4005,404,313,1292,951,393,111,43,235,3740,263,260,1104,797,372,93,36,249,3178,159,139,678,544,266,75,46,206,2117,92,62,287,294,216,95,53,153,1252,74,59,209,243,210,98,95,211,1199,9378,4067,11568,7832,3282,1034,629,3128,40916
SOSR122,1038,12,3,0,0,0,0,190,1247,787,109,37,14,3,0,0,106,1053,521,210,185,64,12,3,4,110,1117,354,212,304,166,55,23,8,132,1255,203,185,392,242,85,30,16,129,1280,173,156,424,269,101,33,29,117,1305,215,173,487,315,133,48,33,126,1541,229,203,561,407,130,50,43,165,1788,278,244,615,413,189,59,48,150,1991,275,231,680,506,243,80,40,178,2233,248,190,629,465,185,75,23,185,2002,167,136,500,385,197,62,23,165,1643,73,77,302,262,143,46,36,109,1056,43,23,134,153,111,60,40,93,651,33,27,119,112,95,46,51,97,575,4640,2196,5368,3765,1699,620,409,2057,20745
SOSR131,15063,72,8,4,0,0,3,2104,17250,9520,727,289,48,8,0,5,1283,11874,6302,1866,1544,579,132,22,8,1151,11600,3643,2180,3458,1907,585,155,66,1244,13237,2237,1778,4873,3224,1202,311,177,1367,15167,1940,1519,5392,3945,1515,381,259,1433,16371,2239,1852,6719,4784,1885,534,303,1689,20007,2696,2087,7343,5049,2106,587,322,1699,21882,2881,2186,7597,5579,2245,641,357,1898,23387,2706,1991,7273,5776,2587,728,356,1777,23200,2061,1645,6148,4947,2282,649,312,1610,19650,1400,1207,5108,4162,1941,580,289,1417,16102,750,622,2802,2610,1365,440,304,1022,9916,373,312,1253,1370,913,348,304,695,5571,230,240,825,912,678,337,383,600,4215,54052,20276,60632,44898,19432,5713,3451,20995,229449
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,171,8,0,0,0,0,0,93,279,219,27,21,4,0,0,0,147,418,277,43,21,14,6,0,0,170,533,184,51,46,17,12,5,0,175,495,104,37,45,27,5,4,9,153,392,87,19,48,16,12,9,9,149,357,59,39,54,24,20,10,9,121,332,68,33,59,44,14,10,10,91,333,65,34,87,44,22,4,0,96,359,46,28,110,57,24,7,3,64,339,24,29,61,44,17,5,7,53,236,14,10,60,42,11,12,3,18,163,3,4,22,15,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
SOSR201,113970,292,35,4,0,4,15,9605,123919,134192,3774,1274,208,35,7,26,11676,151199,137387,16986,8460,2481,610,156,82,13407,179571,97818,42055,32695,8795,2303,644,338,11400,196055,51542,39537,62569,18754,4880,1397,915,9429,189018,31348,27031,61964,22921,6098,1854,1321,7080,159618,27069,24142,58914,25211,7074,2192,1631,6482,152713,24241,21974,57908,26222,7509,2123,1563,6037,147581,20001,19088,50579,25475,7718,2075,1443,5347,131720,16535,16778,45317,25143,8288,2224,1492,4975,120744,12632,14003,39071,22590,7863,2206,1439,4844,104647,9080,9841,35792,22219,7951,2282,1536,5148,93851,5524,5791,24705,17150,7029,2272,1694,4617,68774,3479,3705,15730,12890,6447,2407,2216,4473,51351,3936,4635,15221,13067,7372,3344,3752,7519,58840,688742,249628,510226,243119,81180,25180,19468,112039,1929594
SOSR203,10101,69,4,0,0,0,0,924,11105,11212,683,257,48,9,0,4,1034,13252,9928,2002,1284,403,102,29,15,1045,14794,5670,3111,3030,1181,296,106,29,760,14177,2921,2360,4529,2055,571,161,92,675,13357,2091,1701,4281,2264,742,223,148,614,12067,1803,1667,4326,2457,858,244,193,619,12174,1729,1520,4203,2407,917,281,195,560,11807,1603,1339,4036,2671,1056,275,191,546,11711,1475,1249,3992,2934,1075,285,185,543,11726,1145,993,3851,2728,1072,297,159,567,10807,873,730,3561,2640,1095,356,183,644,10073,568,452,2114,1902,992,340,247,619,7228,372,282,1250,1311,893,359,329,601,5402,438,424,1274,1329,1026,481,537,894,6406,51928,18575,41986,26326,10700,3431,2503,10645,166091
SOSR211,2920,29,0,0,0,0,4,351,3305,2524,349,133,33,0,0,0,281,3319,2168,842,607,222,71,16,4,354,4292,1336,1324,1381,548,177,86,40,328,5226,849,784,1632,721,272,88,82,324,4749,545,581,1200,701,279,115,123,248,3797,405,433,1066,656,278,118,126,192,3275,366,397,1044,683,289,115,109,200,3204,287,310,1025,670,275,98,66,163,2891,263,244,1047,686,315,101,57,120,2831,180,243,997,728,271,73,34,166,2691,118,179,781,563,287,76,55,155,2205,64,82,411,374,179,69,70,120,1382,48,54,189,193,156,66,67,96,875,41,54,166,171,129,61,74,82,780,12121,5905,11673,6943,2982,1088,899,3199,44812
SOSR212,6692,40,9,0,0,0,6,678,7411,5890,450,161,23,10,0,3,576,7109,5359,1394,862,281,68,24,8,639,8640,3297,2049,2207,832,226,75,33,589,9316,1729,1437,3292,1484,417,138,84,541,9129,1231,1165,3216,1640,538,139,140,462,8529,1157,1054,3157,1888,599,194,150,461,8649,1071,963,3188,1901,670,207,127,454,8578,1047,825,2999,2059,746,197,131,482,8487,956,763,3011,2126,817,192,131,470,8455,693,634,2828,2112,817,200,107,440,7832,470,476,2518,1949,830,238,134,526,7144,341,265,1454,1370,717,250,148,451,4994,212,155,749,956,569,270,246,453,3618,201,255,768,857,669,354,369,706,4177,30338,11929,30426,19492,7691,2469,1819,7911,112074
SOSR213,5983,57,4,4,0,0,4,591,6636,5049,537,198,43,10,0,4,521,6360,4513,1342,1007,324,105,21,7,553,7869,2513,1804,2161,892,246,84,43,483,8219,1571,1270,2770,1413,443,124,56,480,8132,1106,963,2494,1431,524,172,113,421,7223,1098,944,2723,1645,575,184,117,401,7686,1032,903,2831,1804,675,198,144,385,7976,1015,778,2838,1893,702,221,121,410,7981,990,714,2785,2134,884,258,125,414,8306,840,601,2828,2079,872,236,135,480,8063,638,525,2550,2053,850,251,142,574,7592,389,345,1730,1527,800,280,195,533,5805,233,175,909,1076,718,335,270,540,4253,264,252,863,1006,776,356,420,881,4820,27230,11201,28694,19329,8192,2729,1895,7662,106926
SOSR214,3117,25,3,0,0,0,0,352,3501,2504,244,98,19,0,4,0,236,3105,2146,618,498,179,29,10,3,272,3759,1352,833,1079,478,126,25,18,254,4157,788,617,1372,682,237,56,37,312,4111,589,514,1322,774,263,67,55,217,3804,683,501,1400,879,320,104,61,249,4191,739,578,1546,954,380,98,70,245,4596,744,523,1659,1108,429,123,78,284,4941,743,524,1824,1291,522,134,74,357,5480,609,524,2031,1490,603,162,74,372,5863,499,427,1943,1464,598,175,91,437,5635,295,258,1243,1128,525,212,135,408,4201,176,137,622,735,510,202,162,402,2953,208,203,689,742,544,309,263,562,3524,15188,6524,17330,11927,5088,1672,1118,4973,63822
SOSR215,4895,33,10,0,4,0,4,640,5588,3654,346,160,20,3,0,0,398,4582,3231,1077,813,274,71,11,3,433,5915,1923,1331,1795,814,212,56,20,450,6589,1205,1001,2294,1222,386,108,62,456,6738,926,816,2188,1302,464,112,69,422,6301,1012,867,2315,1402,505,189,110,460,6855,1072,815,2427,1516,568,174,114,494,7172,1100,774,2706,1798,719,199,131,463,7889,1117,828,2700,1958,880,212,143,579,8412,909,688,2768,2019,863,255,100,594,8197,748,528,2486,1886,860,256,151,620,7539,478,315,1543,1445,736,251,178,569,5503,268,200,802,904,579,303,238,524,3815,255,251,763,938,750,387,391,709,4441,22787,9870,25755,17504,7605,2506,1713,7810,95544
