SOSR_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SOSR101,108753,116736,62821,38067,48234,33196,20223,428031,24611,23695,14354,9396,12103,6118,2856,93132,24504,22719,12834,7802,9489,4884,2312,84535,81778,75811,46116,30799,39383,19931,9145,302951,1160,1215,544,322,197,96,56,3595,240803,240179,136663,86388,109403,64220,34589,912238,7083,12673,9582,7283,10786,7601,5152,60158,3811,5657,3775,2916,3611,1713,946,22424,2213,3565,2623,1926,2491,1257,694,14770,12624,16596,11289,8198,10365,4365,2169,65602,1103,1228,663,443,386,150,63,4027,26837,39711,27929,20765,27636,15086,9019,166990,267638,279892,164590,107155,137040,79299,43608,1079226
SOSR102,5264,5721,3261,1953,2453,1240,603,20498,3911,4126,2476,1653,2036,852,372,15418,4261,4160,2371,1478,1774,692,297,15039,33337,32650,19195,12640,15427,5667,2558,121480,149,181,105,59,29,3,0,524,46917,46839,27408,17781,21723,8456,3836,172956,310,572,508,401,562,257,159,2770,843,1288,901,669,859,288,152,4996,340,741,606,448,551,203,112,3000,6727,9622,6652,4898,5590,1643,748,35873,255,272,175,126,85,22,8,938,8474,12486,8844,6536,7641,2415,1181,47579,55396,59324,36254,24319,29363,10864,5017,220539
SOSR111,1076,1136,569,308,426,173,72,3754,521,579,314,216,257,56,29,1969,545,525,257,190,184,63,13,1779,7109,6808,4041,2619,2955,810,339,24676,32,39,22,15,12,0,0,113,9290,9077,5201,3339,3827,1101,457,32288,77,127,87,72,104,53,19,549,126,193,136,83,122,35,13,700,61,125,75,66,68,16,6,410,1872,2552,1639,1185,1282,269,105,8898,60,71,34,30,14,4,0,220,2195,3065,1973,1428,1595,380,144,10773,11480,12141,7180,4764,5419,1479,605,43065
SOSR112,2966,2738,1370,806,1026,395,171,9467,1189,1299,854,541,680,174,61,4791,1287,1349,708,487,554,147,53,4592,16943,16551,9782,6598,7640,1730,566,59811,88,107,50,41,29,0,3,314,22469,22046,12760,8474,9932,2449,852,78981,153,271,212,138,217,78,42,1111,339,515,356,263,330,85,45,1934,152,237,244,167,211,44,27,1082,5313,6912,4409,3144,3362,617,200,23950,198,213,133,93,39,13,5,686,6147,8146,5347,3807,4158,835,318,28758,28612,30193,18112,12282,14088,3282,1172,107736
SOSR113,623,637,339,217,287,98,27,2231,490,510,323,207,235,57,22,1846,613,578,332,221,234,58,17,2057,7009,7133,4257,2786,3129,699,193,25214,35,32,23,21,15,0,0,129,8773,8890,5269,3462,3890,923,256,31474,47,81,55,51,72,21,4,325,139,199,169,125,138,35,13,824,61,142,99,78,96,23,4,502,2319,3315,2207,1629,1513,253,70,11308,95,127,76,45,27,4,0,376,2665,3866,2607,1928,1846,331,93,13333,11438,12759,7880,5388,5745,1250,353,44806
SOSR114,1041,958,533,330,355,122,42,3381,654,665,411,283,300,79,31,2426,747,739,412,229,283,62,20,2499,8882,8572,5212,3213,3514,763,250,30400,49,57,43,24,10,0,0,183,11375,10995,6613,4077,4467,1027,336,38886,47,95,80,63,81,22,10,397,178,266,177,125,151,24,5,937,64,133,111,74,106,17,6,504,2475,3289,2186,1535,1566,286,87,11425,118,105,68,40,32,3,0,363,2877,3891,2624,1833,1933,357,113,13628,14252,14882,9235,5908,6403,1378,452,52514
SOSR115,822,835,481,289,381,142,45,2983,820,945,620,388,453,127,41,3389,970,1011,540,337,358,97,37,3353,12514,12392,7339,4711,5152,1180,368,43665,72,92,37,31,19,0,0,256,15196,15276,9006,5757,6359,1546,493,53639,47,102,78,69,90,25,15,421,192,308,242,182,235,57,10,1228,95,217,174,127,168,32,13,829,3131,4286,2864,2056,2184,335,96,14953,121,136,98,73,32,4,5,470,3583,5046,3462,2507,2706,458,144,17901,18778,20324,12468,8256,9064,2005,640,71541
SOSR121,133,153,124,69,96,34,16,633,245,292,172,120,153,44,14,1032,238,277,185,115,126,37,16,1008,3409,3681,2349,1575,1755,435,125,13326,19,24,18,12,4,0,0,80,4048,4436,2842,1892,2133,549,170,16074,4,28,15,20,17,7,6,95,57,73,73,40,53,17,0,312,22,55,37,28,29,9,8,182,704,1011,706,508,540,88,29,3574,31,49,21,18,19,3,0,145,816,1211,850,622,658,118,43,4315,4862,5642,3699,2507,2787,669,213,20388
SOSR122,56,68,46,28,37,19,11,270,75,102,55,66,51,18,0,373,128,112,78,62,58,20,8,462,1479,1670,1015,705,687,139,65,5759,5,13,10,9,8,0,0,44,1742,1967,1208,868,838,193,87,6903,3,8,8,0,10,4,3,42,24,34,32,20,24,8,4,137,5,14,15,13,18,8,4,82,329,503,379,248,273,54,6,1798,16,20,13,8,0,0,0,58,374,583,443,298,330,70,19,2119,2118,2552,1650,1166,1168,264,106,9023
SOSR131,755,1056,786,568,799,374,203,4542,1106,1441,1065,779,935,308,114,5744,1427,1669,1116,744,959,279,112,6306,18675,22656,15449,10392,12116,3162,1182,83630,97,126,92,74,48,17,3,458,22054,26947,18511,12561,14858,4136,1612,100687,54,99,99,73,96,46,29,492,187,296,222,176,218,64,31,1183,102,196,152,127,135,31,22,765,2377,3285,2517,1773,1941,416,158,12464,120,106,98,61,45,19,5,450,2843,3976,3086,2209,2434,570,233,15351,24898,30925,21598,14768,17292,4707,1848,116036
