SOSR_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR101,192392,656521,521440,156037,84961,1611355,23309,1634660
SOSR102,27908,148200,148462,47179,26469,398224,5262,403488
SOSR111,4531,27011,27997,8956,4628,73131,1046,74180
SOSR112,13551,79139,71803,22694,11390,198587,3225,201813
SOSR113,6235,36603,32580,10157,5088,90656,1714,92372
SOSR114,6184,39521,37300,11288,5747,100045,2123,102169
SOSR115,6689,53062,53849,17436,9662,140688,2589,143285
SOSR121,1115,11441,14577,5423,3488,36041,650,36690
SOSR122,772,6391,7212,2633,1652,18658,488,19148
SOSR131,2659,38872,74032,39496,34293,189350,3313,192660
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
SOSR201,147514,625206,604893,176786,92814,1647210,21499,1668713
SOSR203,9452,56750,57054,16909,8727,148893,2006,150904
SOSR211,1833,13600,15632,4966,2519,38554,799,39352
SOSR212,4986,34277,39458,12651,6500,97868,1556,99425
SOSR213,5678,35382,37140,11883,6260,96344,1712,98057
SOSR214,3315,22739,21669,6855,3664,58241,1111,59350
SOSR215,3745,30012,34005,12072,6641,86482,1614,88095
SOSR221,713,7674,9566,3729,2182,23865,453,24321
SOSR222,378,4007,4856,2064,1221,12523,282,12809
SOSR231,1726,26602,56675,32354,29281,146641,2573,149218
SOSR279,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0
SOSR301,55143,302332,309330,98574,52256,817642,10627,828265
SOSR302,15480,120746,128638,40819,21488,327172,4662,331829
SOSR303,10196,60511,60447,18579,8797,158525,2465,160993
SOSR311,6326,36640,34216,11644,5813,94635,1709,96341
SOSR312,2804,15801,13804,4453,2164,39029,689,39721
SOSR313,3124,21071,22401,7426,3786,57802,1148,58955
SOSR314,2921,19936,22489,8328,4534,58206,1144,59355
SOSR315,5137,32344,33530,12107,6739,89860,2061,91922
SOSR321,1807,11341,13141,5141,3096,34532,735,35262
SOSR322,1131,5916,5848,2052,1069,16015,459,16473
SOSR331,2239,32067,57920,30268,24816,147308,3047,150350
SOSR379,0,0,0,0,0,3,0,3
SOSR399,0,0,0,0,0,0,0,0
SOSR401,38870,182575,175082,54119,27921,478563,5547,484112
SOSR412,2987,14085,13906,4825,2721,38523,574,39103
SOSR413,2651,13826,12781,4305,2268,35826,614,36441
SOSR414,585,4933,4888,1627,896,12941,168,13105
SOSR415,2335,16167,17440,6180,3480,45592,779,46376
SOSR421,548,4019,4713,1978,1126,12381,214,12593
SOSR422,401,2639,2888,1125,607,7653,158,7812
SOSR431,813,10268,19517,10798,9525,50919,853,51767
SOSR479,0,0,0,0,0,0,0,0
SOSR499,0,0,0,0,0,0,0,0
SOSR501,37732,264663,298046,95428,50308,746172,9043,755215
SOSR511,1209,9512,11150,3856,1854,27579,407,27979
SOSR512,2167,15499,16860,6005,3161,43692,752,44443
SOSR513,1023,6766,8862,3205,1598,21465,461,21923
SOSR514,446,3567,4172,1350,649,10177,198,10381
SOSR515,1678,11383,12241,4453,2407,32160,687,32849
SOSR521,992,4485,4746,1888,1121,13233,424,13658
SOSR522,828,2585,2460,930,514,7313,229,7539
SOSR531,1033,9396,18252,10777,10312,49766,972,50741
SOSR579,0,0,0,0,0,3,0,3
SOSR599,0,0,0,0,0,0,0,0
SOSR603,6090,29360,26218,8990,5044,75699,985,76686
SOSR611,2433,12400,11030,3862,2035,31756,613,32366
SOSR612,1510,7422,6225,2110,1106,18376,296,18667
SOSR613,327,2028,1882,634,365,5238,91,5328
SOSR614,458,2417,2332,922,547,6678,95,6771
SOSR615,1305,9725,9492,3524,2005,26052,471,26520
SOSR621,281,2868,3431,1320,747,8654,167,8823
SOSR622,97,1146,1421,623,411,3691,64,3758
SOSR631,520,8325,15265,8261,6536,38912,585,39495
SOSR679,0,0,0,0,0,0,0,0
SOSR699,0,0,0,0,0,0,0,0
SOSR703,2505,14658,16237,5116,2353,40877,855,41727
SOSR712,748,3118,2899,1058,502,8319,202,8519
SOSR714,158,675,639,214,92,1777,119,1897
SOSR715,1421,1175,725,173,81,3574,110,3684
SOSR721,936,1090,554,183,121,2879,87,2967
SOSR722,1012,921,389,157,89,2569,95,2661
SOSR731,844,2332,2897,1507,1316,8898,303,9202
SOSR779,0,0,0,0,0,0,0,3
SOSR799,0,0,0,0,0,0,0,0
SOSR802,9267,65384,64499,18216,9210,166576,1482,168058
SOSR822,0,37,86,43,28,198,0,203
SOSR831,0,26,48,28,38,134,0,138
SOSR879,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0
SOSR915,31,169,129,64,24,413,6,416
SOSR921,24,281,258,87,54,701,28,727
SOSR922,8,45,53,23,27,151,5,156
SOSR931,5,69,82,33,12,203,23,227
SOSR979,0,0,0,0,0,0,0,0
SOSR999,0,0,0,0,0,0,0,0
