SOSR_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR101,334169,217623,107252,43776,2538439
SOSR102,85921,66128,34715,13960,542098
SOSR111,14256,11042,5606,2003,93628
SOSR112,40426,33942,18974,7565,259081
SOSR113,19223,17022,8994,3443,113281
SOSR114,20046,17676,9929,3766,123546
SOSR115,32332,29395,14811,5048,180537
SOSR121,9794,8367,3311,899,49680
SOSR122,5295,4285,1691,375,24775
SOSR131,64023,47124,17711,3611,299166
SOSR179,0,0,0,0,0
SOSR199,1165,680,173,28,7237
SOSR201,310307,204701,101983,39436,2448922
SOSR203,26920,21008,10740,4233,194783
SOSR211,5830,4212,1725,421,50233
SOSR212,19111,14616,7142,2817,127621
SOSR213,17791,15142,8282,3183,117844
SOSR214,11558,11489,6297,2361,69763
SOSR215,18849,16709,8237,2891,109299
SOSR221,6140,5161,2246,711,30979
SOSR222,3345,2559,1027,316,16598
SOSR231,46120,34103,12488,2418,217392
SOSR279,15,4,0,0,40
SOSR299,779,411,85,18,5907
SOSR301,156683,101834,47963,16933,1198103
SOSR302,71418,54454,28239,10040,477965
SOSR303,32197,21139,9746,3054,217177
SOSR311,18754,13816,7537,2662,117505
SOSR312,7943,6758,3615,1190,46490
SOSR313,11093,7661,3689,1122,74054
SOSR314,11373,8193,4130,1392,77031
SOSR315,20151,15861,7067,2166,117797
SOSR321,8886,6763,2893,554,45198
SOSR322,4114,3099,1311,278,19662
SOSR331,44653,30398,11198,1929,218368
SOSR379,5,3,0,0,170
SOSR399,1684,1277,239,26,9143
SOSR401,90336,68250,33383,12419,629121
SOSR412,6794,5001,2638,976,44321
SOSR413,7073,6510,3367,1039,41178
SOSR414,2444,2622,1458,434,14892
SOSR415,8722,7653,3933,1431,52255
SOSR421,2771,2318,1032,418,14628
SOSR422,1835,1540,628,132,8413
SOSR431,14326,10278,3691,656,68611
SOSR479,0,0,0,0,9
SOSR499,345,212,26,9,1909
SOSR501,149336,103359,49960,18246,1070039
SOSR511,5734,4004,1804,634,35809
SOSR512,9063,6435,3199,1239,56756
SOSR513,4381,1938,847,223,34132
SOSR514,2065,1720,827,282,13729
SOSR515,6689,4948,2290,779,43066
SOSR521,3058,2222,1011,299,16573
SOSR522,1613,1308,578,146,8681
SOSR531,16365,10962,3884,637,82455
SOSR579,48,15,0,0,428
SOSR599,876,505,105,20,5668
SOSR603,14618,11829,6080,2207,106100
SOSR611,5743,4382,2438,857,39376
SOSR612,3263,2536,1387,491,20025
SOSR613,1066,877,496,152,5782
SOSR614,1377,1044,502,132,7445
SOSR615,4948,4452,2394,745,29563
SOSR621,2142,1823,848,208,10809
SOSR622,1016,921,371,113,4671
SOSR631,11817,8470,2880,507,54307
SOSR679,0,0,0,0,14
SOSR699,137,108,14,3,760
SOSR703,8111,4574,1614,359,65938
SOSR712,1865,927,274,68,12754
SOSR714,382,195,52,11,3053
SOSR715,751,272,47,6,5336
SOSR721,630,246,41,3,3892
SOSR722,562,285,70,9,3105
SOSR731,2706,1507,455,53,15841
SOSR779,12,0,0,0,71
SOSR799,441,228,30,0,2351
SOSR802,33940,24509,12047,3935,264186
SOSR822,62,43,15,4,338
SOSR831,60,36,4,0,375
SOSR879,0,0,0,0,0
SOSR899,64,24,8,4,368
SOSR915,109,68,4,0,710
SOSR921,230,170,77,18,953
SOSR922,65,26,17,0,320
SOSR931,70,69,38,11,623
SOSR979,0,0,0,0,0
SOSR999,3,0,0,0,11
