SOSR_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOSR101,6492,76324,3405,18062,8388,2756,641,1684,896,118664,8406,54065,698,14021,6483,1750,356,1103,535,87408,52046,70862,3985,16412,78354,21063,2837,7144,3674,256382,17903,52511,2302,31647,23273,6025,1206,3323,1836,140023,8894,24078,2487,3966,8081,4874,508,1055,562,54514,3984,1751,6567,6392,6915,3826,741,2464,459,33094,47,96,30,114,172,104,29,126,17,734,2193,3543,442,1543,2845,1050,262,565,347,12790,1356,2348,516,1883,2916,1186,369,1051,3362,14977,115946,329970,29427,100295,152323,48308,8565,22077,13096,820016,10943,27492,5607,3668,7140,2974,1415,2121,844,62199,18912,58124,9964,3703,8676,5163,4533,4511,1775,115358,34506,57614,58999,5058,12893,6820,14658,11508,2744,204792,15734,14532,33209,1545,4161,2212,3191,5582,1071,81239,2689,3169,4788,925,1673,858,1027,2061,227,17412,10240,107483,4992,23161,9794,3688,1813,2690,1296,165166,11499,68479,1500,15503,7319,2251,1168,1740,710,110176,115999,141902,13569,24221,105533,40521,14894,16048,7372,480060,31795,87477,5333,44926,30498,9378,4354,6076,3146,222972,14291,40946,6387,5828,10672,7448,2134,2627,986,91325
SOSR102,1541,21169,1246,6777,2296,790,151,476,190,34630,2007,14592,188,4356,1621,424,67,228,129,23608,7419,7748,814,3476,17773,4174,389,1341,487,43614,2847,9267,546,12137,4844,1381,229,1007,356,32609,1097,3197,474,1034,1327,766,92,281,89,8347,1112,446,2774,2652,2091,1226,186,929,117,11528,12,19,6,38,30,25,5,16,0,151,240,504,113,291,438,120,25,68,43,1840,267,382,166,616,668,320,57,257,519,3257,18048,61818,8030,32422,32966,10016,1541,5326,2068,172227,1238,4011,1080,632,805,349,180,309,93,8707,1490,4157,1127,411,769,512,364,430,114,9370,6535,9015,21823,1610,2325,1492,5378,3674,660,52507,3819,1744,13664,657,832,553,1596,2558,319,25735,723,1104,1925,362,502,302,432,922,75,6360,2337,28429,1667,8493,2571,963,367,738,280,45848,2933,19785,479,4950,1823,551,317,425,183,31455,15317,14254,2365,4840,20998,6655,1940,2634,866,69870,4689,13409,1169,16829,5839,1839,775,1642,521,46707,1756,5264,1218,1516,1700,1192,352,686,146,13816
SOSR111,278,3618,237,1363,463,185,34,120,27,6329,374,2587,42,980,274,94,17,62,26,4450,1164,1168,168,672,3438,860,82,326,95,7984,397,1310,81,2593,734,284,47,198,58,5715,106,355,56,119,161,100,10,65,8,980,238,86,685,685,398,303,43,220,17,2682,0,4,0,8,7,4,0,5,0,33,26,55,15,62,56,22,8,24,7,281,61,65,31,136,95,52,13,100,95,652,2895,9774,1633,6796,5941,2076,333,1295,368,31115,172,445,171,107,122,53,31,52,14,1172,193,395,198,86,126,88,83,86,10,1255,1105,1098,4854,272,417,310,1290,741,125,10206,550,186,2004,100,114,101,300,381,51,3783,211,234,354,70,102,82,122,268,13,1467,403,4805,323,1655,510,206,100,161,40,8219,529,3462,88,1112,311,117,66,92,37,5820,2405,2116,477,946,3929,1312,430,573,142,12318,638,1860,182,3409,869,359,175,326,82,7899,186,553,130,177,215,166,40,119,16,1600
SOSR112,692,9688,540,3664,1073,422,87,384,68,16618,1054,7140,122,2300,671,198,38,159,69,11747,2748,2890,430,1849,7787,2075,147,962,198,19090,1154,4036,260,6231,1939,707,112,651,174,15260,359,1117,160,417,504,266,31,149,32,3050,580,194,1525,1506,878,667,85,645,73,6151,13,12,8,31,26,19,0,19,0,131,95,211,49,169,172,58,14,83,39,892,114,232,77,370,326,231,30,203,293,1887,7474,27042,3954,17093,14153,5028,689,3799,1014,80246,489,1434,430,285,294,142,50,187,42,3352,443,935,590,219,301,220,167,300,44,3223,2420,2288,9990,819,827,756,2427,1972,248,21747,1676,571,5385,275,302,242,687,1106,152,10389,783,847,1154,291,389,290,378,780,67,4982,1013,12889,745,4523,1176,493,208,562,108,21709,1559,9536,284,2605,759,269,129,276,100,15513,5602,5221,1257,2684,9009,3271,828,1794,339,30003,1917,6064,568,8558,2312,927,363,1018,265,21993,587,1848,433,611,650,442,119,316,47,5065
SOSR113,292,3238,224,1466,399,180,47,151,31,6019,339,2530,38,940,286,94,22,79,29,4351,1143,1008,181,790,3191,947,105,372,99,7823,438,1294,109,2813,729,330,64,310,70,6155,154,404,88,183,179,119,18,52,16,1215,301,84,690,708,366,315,76,255,24,2808,3,4,0,6,6,8,0,10,0,24,40,66,21,66,61,28,10,21,13,331,60,87,40,191,130,124,30,121,120,901,3001,9206,1650,7370,5650,2312,483,1524,420,31613,189,411,133,117,114,34,23,62,14,1102,136,249,161,67,91,77,46,83,16,927,1188,1138,5273,329,326,300,1669,872,130,11224,704,215,2304,144,95,86,409,495,63,4516,212,224,395,104,108,101,132,258,22,1555,420,4214,290,1847,446,204,95,201,44,7762,517,3311,108,1077,326,119,80,124,47,5705,2179,1724,524,1065,3577,1362,386,644,149,11608,696,1860,202,3693,831,411,164,436,105,8384,253,631,182,259,220,171,54,123,28,1919
SOSR114,317,3553,300,1640,502,215,43,192,42,6800,515,3496,44,1155,350,107,14,89,25,5802,1380,1273,214,830,3646,1001,102,427,96,8963,554,1555,119,3013,889,349,41,312,69,6904,142,429,58,146,209,125,15,54,18,1185,277,97,757,768,485,337,50,318,25,3106,4,4,0,7,5,7,0,10,0,40,78,81,24,62,69,36,6,31,10,390,81,105,48,208,185,121,17,140,133,1033,3686,11246,1895,8107,6714,2487,353,1812,438,36733,230,490,168,110,121,44,24,76,13,1279,225,423,186,82,118,72,49,92,10,1272,1298,1157,5283,325,416,366,1535,1154,151,11693,908,269,2890,110,134,135,407,598,88,5543,475,458,614,133,200,165,237,475,35,2796,477,4534,387,1988,530,248,104,251,55,8574,722,4577,104,1286,387,135,77,145,46,7467,2640,2176,516,1064,4116,1500,342,706,148,13216,867,2220,244,4030,1025,428,144,465,108,9534,232,710,171,201,248,181,46,132,23,1955
SOSR115,488,5023,414,2339,735,346,64,265,61,9728,795,4961,71,1641,540,129,40,131,48,8356,1885,1505,267,1084,4779,1242,132,577,117,11591,793,2184,209,4101,1306,431,82,469,120,9697,270,750,132,262,320,194,16,92,33,2069,404,136,1035,969,606,441,49,427,48,4111,3,6,0,12,16,12,0,8,0,53,83,127,26,116,104,45,15,32,18,559,112,140,74,280,258,166,21,184,203,1450,5296,15783,2755,11159,9194,3266,554,2483,708,51204,328,776,224,150,190,75,52,103,24,1921,234,501,212,78,127,102,70,107,21,1445,1926,1476,7740,548,566,510,2421,1505,213,16910,1352,421,4328,217,187,154,624,866,110,8261,611,534,951,212,289,174,353,627,58,3802,651,6296,534,2880,777,395,155,345,88,12122,1104,6593,195,1795,596,171,130,212,69,10852,3573,2572,679,1474,5317,1816,528,923,191,17073,1248,3141,395,5471,1508,537,213,661,160,13334,437,1198,308,393,387,259,73,199,42,3287
SOSR121,148,1474,145,632,233,88,20,59,28,2831,229,1418,15,430,167,41,3,29,19,2347,516,470,54,277,1496,365,34,158,43,3421,230,716,46,1049,344,109,13,115,38,2662,89,200,54,81,95,51,11,16,5,601,116,33,262,285,161,119,21,82,13,1101,0,0,0,0,0,4,0,0,0,5,17,34,11,24,39,15,0,12,4,161,21,41,19,79,56,46,10,47,45,363,1545,4656,766,2949,2775,901,131,629,208,14564,122,257,89,37,63,25,14,27,5,642,65,119,50,26,46,21,15,24,4,377,629,406,2345,129,188,143,642,437,79,4997,412,122,1373,58,55,43,188,256,38,2550,204,168,252,59,84,61,102,209,25,1159,215,1864,186,769,236,104,37,93,33,3540,343,1875,50,471,185,51,33,50,25,3080,1009,804,168,357,1645,523,137,266,67,4986,361,973,105,1475,401,135,45,163,57,3718,143,328,99,112,117,71,26,43,11,948
SOSR122,78,597,46,299,110,42,7,43,16,1238,99,575,12,194,81,11,7,11,6,1001,264,206,36,148,680,120,11,78,16,1565,121,311,25,540,166,44,14,51,20,1291,39,110,11,40,44,26,8,17,8,308,61,23,127,118,87,46,8,50,8,518,0,3,0,0,0,0,0,0,0,6,15,18,3,21,12,10,0,8,3,84,23,21,15,36,38,23,3,28,26,215,780,1979,365,1451,1316,371,88,347,97,6795,44,91,37,23,32,4,6,18,0,264,28,58,32,6,21,7,7,21,0,190,275,188,1072,86,100,82,312,238,34,2393,214,60,542,28,26,22,109,121,16,1146,128,54,141,29,57,28,57,104,11,609,105,747,58,364,116,44,24,57,15,1529,149,742,23,221,94,21,31,19,11,1312,488,355,81,189,750,194,57,117,25,2257,199,427,47,738,188,54,30,83,26,1792,69,170,30,52,55,43,13,29,11,468
SOSR131,1936,8541,845,2702,1581,424,101,482,152,16759,2226,7814,135,2035,1092,195,50,261,121,13933,4788,3058,420,1293,8865,1765,231,867,297,21581,1993,3527,306,4724,2083,562,128,568,192,14085,726,1183,244,350,625,254,44,181,61,3666,801,183,1304,1109,1102,506,95,536,102,5734,3,9,9,16,10,8,0,6,0,64,239,239,59,152,213,50,20,59,33,1065,422,267,110,361,453,262,51,276,365,2559,15471,26976,4569,13380,17598,4574,986,4197,1436,89188,1217,1585,431,288,441,130,83,206,66,4451,616,831,271,99,256,94,49,117,32,2362,6923,2657,13194,715,988,766,4298,2601,489,32629,3890,715,6505,246,386,234,1053,1545,230,14802,7066,1572,1774,444,937,562,803,2167,202,15522,2469,10847,1008,3216,1665,469,173,608,185,20639,3039,9578,316,2254,1175,267,164,381,157,17321,9091,5217,967,1638,9683,2792,713,1391,460,31947,3332,5099,567,6232,2392,692,311,870,293,19791,1064,1788,505,501,699,347,115,344,79,5446
