SOSR_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
SOSR101,341,828,53,41,96,38,18,22,22,1463,2499,14769,296,155,394,118,90,98,173,18591,33104,70396,5625,3579,10431,5473,3688,3084,2122,137497,968,1895,131,100,335,165,139,97,96,3939,3583,8472,630,572,1108,419,295,254,161,15481,1386,2108,233,236,395,150,84,79,56,4732,67534,152474,20524,13935,25533,15378,11662,10614,4862,322505,85,87,135,63,40,62,81,95,35,681,10451,9911,7378,4195,3725,3115,3624,3039,693,46135,14084,12430,12006,6557,6130,5248,5530,4767,1102,67863,25018,9584,83766,9081,10320,8384,17792,15326,3272,182545,1040,708,1024,839,744,760,1107,1014,113,7356,3160,2297,2412,1345,1632,1734,2206,1912,290,16998,1634,2592,1228,536,724,585,878,711,245,9137,2276,2584,2047,920,1127,1012,1841,1603,3206,16619,167159,291140,137483,42161,62737,42638,49040,42723,16454,851529,336,1375,24,85,213,40,9,13,17,2112,1766,11658,231,203,577,89,18,37,119,14686,23055,76244,2490,6786,16926,5031,734,1672,1801,134735,716,2306,64,230,496,148,23,62,55,4100
SOSR102,44,140,11,7,4,0,0,8,0,213,313,2565,49,33,50,6,19,15,28,3082,2921,6302,446,473,662,371,358,269,140,11949,75,179,7,14,12,11,5,9,7,316,478,1511,114,183,145,46,45,37,24,2587,300,517,56,67,103,22,26,24,10,1120,7128,21049,2467,2675,2341,1385,924,1136,413,39510,7,25,29,18,9,4,7,5,0,116,1970,2010,1436,1199,592,413,401,392,100,8506,3067,2899,2967,2189,1192,831,814,854,193,15013,8393,3158,36564,4553,3235,2961,8068,7277,1251,75466,247,174,390,334,189,269,356,533,34,2533,590,451,543,420,284,303,532,537,72,3735,179,306,181,121,68,72,115,130,37,1202,367,389,536,289,151,189,448,445,467,3284,26096,41673,45799,12576,9042,6885,12135,11665,2776,168630,39,279,8,19,17,0,0,0,0,377,232,2076,28,34,92,5,0,14,25,2513,2221,9190,218,756,1116,289,35,138,123,14086,81,344,8,23,35,8,5,7,6,500
SOSR111,0,18,0,0,0,0,0,0,0,20,41,210,6,0,10,0,0,3,0,272,305,744,51,74,68,36,39,35,15,1381,13,31,0,5,3,6,0,0,0,49,79,269,25,33,26,3,12,7,0,448,54,79,9,16,10,3,4,7,0,173,909,2899,361,387,270,184,165,189,41,5394,4,7,6,5,3,4,3,0,0,25,287,284,303,187,92,74,81,78,16,1395,550,439,505,394,184,128,212,152,50,2616,1666,573,7241,945,688,671,1973,1458,236,15450,52,17,89,91,35,74,106,100,4,563,106,58,90,73,23,62,107,107,11,639,26,40,41,19,9,8,23,32,5,205,63,60,85,34,39,33,97,126,97,632,4154,5720,8803,2265,1460,1282,2825,2282,472,29262,9,53,0,0,3,0,0,4,0,64,26,200,5,3,12,0,0,0,5,247,271,1184,39,119,124,43,15,29,16,1835,9,65,0,5,4,0,0,0,0,90
SOSR112,11,52,3,8,9,0,0,3,0,78,144,974,30,15,25,6,7,21,9,1229,993,2375,268,257,231,155,130,213,55,4671,26,67,3,11,8,5,0,5,6,124,206,730,47,82,57,36,17,31,9,1223,126,242,26,69,37,3,4,12,5,533,2451,7615,1128,1257,796,538,344,782,144,15061,6,5,10,10,3,3,3,10,4,51,725,733,547,546,253,181,155,194,51,3396,1124,1008,1152,1003,451,335,324,432,88,5915,4239,1337,16894,2705,1434,1694,3988,3919,591,36797,152,71,231,180,81,180,216,342,17,1477,226,155,258,222,91,170,254,301,26,1709,77,112,106,57,31,39,49,94,13,581,186,165,297,156,81,127,237,346,236,1824,10690,15634,21002,6571,3605,3476,5738,6699,1254,74666,13,120,0,7,10,0,0,5,0,164,130,837,16,17,35,5,0,10,4,1051,743,3840,105,495,386,149,11,150,51,5943,31,148,9,10,17,6,0,6,0,222
SOSR113,8,16,0,0,0,0,0,0,6,25,22,186,0,3,5,0,0,0,3,226,327,703,64,64,64,25,16,24,12,1294,20,27,0,3,0,0,0,4,0,49,86,244,21,24,12,3,6,7,6,412,49,71,15,8,10,0,0,6,0,162,907,2442,383,416,240,149,108,194,66,4905,5,0,9,4,0,0,3,0,0,22,288,336,269,215,71,62,67,68,21,1391,462,405,532,429,137,122,144,172,29,2441,1804,557,8177,1131,494,653,2423,1701,297,17236,68,25,103,82,43,70,110,163,5,671,113,53,96,100,39,58,127,142,16,746,37,44,47,16,0,8,27,47,3,237,91,68,137,79,31,66,152,145,127,895,4278,5165,9852,2578,1155,1224,3189,2665,589,30710,5,41,0,0,0,0,0,0,0,45,19,174,5,9,7,0,0,0,0,216,257,1152,28,123,116,24,4,19,10,1729,10,46,0,3,9,0,0,0,3,74
SOSR114,3,16,0,0,0,0,0,0,0,21,27,225,9,9,10,0,0,0,0,285,382,846,67,70,77,32,29,38,15,1558,13,27,0,0,6,0,0,4,0,47,107,291,28,29,21,7,6,5,10,507,65,78,12,15,10,4,3,3,0,184,1138,3105,422,489,273,180,135,291,59,6093,7,8,9,4,0,0,0,0,0,26,344,333,210,248,90,79,87,87,16,1502,572,457,477,460,174,161,146,186,37,2682,2271,629,9005,986,637,795,2371,2195,332,19221,81,39,84,55,42,78,98,171,10,658,150,69,113,90,53,78,130,166,14,869,52,45,45,15,12,25,29,43,11,272,126,80,160,64,34,61,180,236,119,1063,5330,6240,10636,2540,1437,1504,3219,3438,634,34987,6,55,0,3,5,0,0,0,0,69,37,173,6,10,10,3,0,3,4,241,319,1436,50,127,151,34,9,23,21,2157,10,51,0,5,10,4,0,0,0,80
SOSR115,8,22,0,6,3,0,0,0,0,39,52,320,8,4,12,3,0,5,4,406,551,1165,88,89,113,47,23,36,15,2125,13,33,3,3,0,0,0,4,0,52,119,421,26,47,29,12,11,8,13,688,65,80,10,21,23,4,5,10,5,218,1542,4037,548,669,362,231,164,318,93,7962,3,0,0,0,0,0,0,3,0,19,474,501,323,447,115,96,132,110,30,2227,793,586,661,646,247,174,213,239,55,3612,3316,934,13231,1504,822,974,3685,3044,480,27988,102,40,135,89,40,95,167,218,6,889,174,79,180,122,58,105,202,237,19,1173,50,65,68,25,17,23,42,46,7,346,173,96,227,100,41,65,288,257,173,1424,7430,8380,15504,3774,1891,1822,4932,4547,903,49175,13,62,0,0,6,0,0,0,0,93,49,343,4,8,20,3,0,0,0,443,472,2083,38,164,198,51,4,25,29,3069,14,78,4,4,7,4,0,3,0,118
SOSR121,3,8,0,0,0,0,0,0,0,18,34,114,0,3,0,4,0,0,4,157,161,314,26,9,30,8,12,16,4,583,0,12,4,0,0,0,0,0,0,15,43,127,5,8,9,3,11,5,4,225,17,31,9,8,9,6,3,0,0,72,485,1162,174,192,105,61,51,79,34,2340,0,0,0,0,0,0,0,0,0,4,164,141,126,119,37,24,53,42,15,711,208,164,202,210,69,44,59,70,10,1035,1008,269,3971,374,243,301,997,871,162,8198,30,13,37,23,21,21,39,50,0,230,57,24,60,40,15,34,35,73,5,351,20,16,17,12,5,9,6,12,3,97,44,37,65,32,15,24,71,75,50,412,2279,2432,4687,1027,554,535,1334,1299,296,14445,0,23,0,0,0,0,0,0,0,30,18,114,3,0,8,0,0,0,0,148,134,609,11,38,52,12,0,6,8,876,6,26,0,3,7,0,0,0,0,47
SOSR122,0,3,0,0,0,0,0,0,0,3,0,47,6,0,0,0,0,0,0,57,72,122,15,14,18,9,7,0,3,260,3,4,0,0,0,0,0,0,0,9,17,60,7,5,9,4,0,7,0,98,11,14,0,0,0,0,0,0,0,27,207,475,62,91,55,34,27,35,11,990,0,0,0,0,0,0,0,0,0,3,87,62,45,71,26,21,16,13,4,332,110,63,88,106,42,14,25,33,6,496,506,133,1729,168,120,135,504,467,72,3831,14,10,15,16,8,8,20,21,6,116,27,10,33,20,8,10,23,35,3,179,7,10,10,4,6,0,5,9,0,47,31,7,36,15,9,3,42,48,28,224,1105,1019,2034,504,294,248,671,670,139,6684,0,6,0,3,0,0,0,0,0,12,10,40,0,0,3,0,0,0,0,57,77,235,5,23,23,0,0,10,9,381,0,11,0,0,3,0,0,0,3,18
SOSR131,18,54,4,0,5,0,3,0,0,84,271,707,15,16,19,9,3,10,5,1048,1391,1755,123,100,186,52,25,80,53,3766,33,71,8,5,8,3,0,3,0,134,355,599,54,62,51,19,14,34,19,1203,134,134,21,33,23,5,10,10,5,361,5586,6913,889,761,696,456,289,645,212,16448,28,10,11,6,5,0,3,5,6,75,2228,854,614,455,217,199,212,285,79,5153,2250,929,1004,737,350,302,331,458,107,6468,11681,1426,20618,1743,1221,1399,6135,5317,925,50478,481,60,213,123,59,113,208,327,20,1604,930,195,293,158,93,228,351,370,43,2658,198,117,94,34,23,36,55,88,23,673,882,181,402,103,54,146,465,468,333,3028,26466,13999,24368,4333,3021,2966,8103,8105,1825,93183,34,112,3,11,15,0,0,4,0,174,197,717,6,27,49,9,0,9,16,1023,1247,3338,84,204,404,76,3,62,84,5495,56,160,5,9,29,0,0,0,3,262
