SOSR_CODE_2021,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SOSR101,3809,14072,324,4092,2864,524,84,234,190,26182,1506,4879,88,312,912,131,10,45,56,7940,53067,179424,9236,27782,52064,17272,2513,6877,4537,352775,114,142,61,252,199,84,15,37,34,947,7008,11141,2023,7273,12838,3679,568,1843,621,46990,10645,12758,3779,20038,21377,7040,1139,2993,1195,80976,8023,7650,8691,24458,24913,8170,2036,4458,1220,89621,1183,843,565,1687,4464,1715,401,946,137,11946,2364,2093,953,3765,8724,2355,485,1205,286,22229,989,2404,372,1084,2248,758,161,523,186,8727,1360,2974,537,2248,3501,1281,370,1142,2637,16051,115946,329970,29427,100295,152323,48308,8565,22077,13096,820016,678,2203,75,127,313,80,27,39,40,3572,4260,26425,523,359,967,205,108,136,293,33280,56159,146638,8109,10368,27356,10501,4423,4751,3924,272231,1680,4210,188,329,834,315,165,162,156,8038,7390,22542,956,4664,3976,935,377,482,347,41669,2894,6983,313,549,1304,287,99,127,113,12664,120601,331893,29764,41716,77598,32642,14172,17487,9397,675282,200,231,188,320,246,147,95,134,69,1624
SOSR102,629,3358,64,1096,561,83,10,33,30,5867,322,1572,16,101,225,20,0,8,21,2290,6224,33791,1199,5064,6440,1753,184,765,460,55879,19,33,7,84,50,28,0,10,4,244,1371,2752,352,2082,2579,586,74,259,100,10156,2511,3380,1000,6859,5412,1449,187,613,273,21676,3164,3406,4453,13191,11500,3935,726,2262,446,43076,337,223,201,794,1367,685,114,425,38,4191,488,457,245,1354,2261,687,122,423,70,6098,121,341,76,228,440,126,20,83,26,1461,287,610,144,741,868,363,60,281,444,3809,18048,61818,8030,32422,32966,10016,1541,5326,2068,172227,91,416,15,21,25,10,3,7,0,587,543,4647,78,68,145,13,25,31,44,5594,5141,15494,672,1230,1781,659,393,403,257,26031,154,521,17,32,47,25,11,7,8,817,1107,4870,179,1275,706,129,52,74,55,8453,627,2088,78,171,328,38,25,28,31,3415,13352,54840,3660,7736,8780,3137,1112,1905,871,95394,29,58,35,107,52,33,14,13,5,357
SOSR111,119,563,11,247,95,9,6,14,7,1068,48,266,0,12,40,3,0,0,0,374,855,5550,161,795,947,271,30,179,60,8855,5,12,0,24,7,0,0,0,0,44,216,474,66,361,402,86,8,53,20,1673,437,569,194,1421,963,323,30,152,60,4150,680,615,1023,3129,2547,958,190,558,94,9794,66,25,41,181,255,173,29,100,3,879,89,53,51,278,348,124,13,78,18,1046,17,51,3,36,67,24,4,21,0,218,56,104,33,182,131,63,11,103,91,770,2895,9774,1633,6796,5941,2076,333,1295,368,31115,7,68,0,0,6,0,0,4,0,86,68,416,11,4,22,0,0,3,4,521,576,1929,91,198,197,83,56,62,31,3210,21,88,3,6,10,7,0,0,0,142,203,829,32,282,117,12,15,21,7,1521,104,342,8,29,51,3,4,12,0,551,1761,8456,527,1177,1215,457,198,366,104,14253,8,13,6,30,10,4,3,0,0,66
SOSR112,285,1668,35,597,225,44,4,27,23,2909,119,698,12,66,89,3,0,5,3,993,2345,14552,547,2438,2246,655,74,639,185,23699,7,14,3,50,20,12,0,0,4,114,523,1237,163,1018,1018,264,33,147,56,4452,1029,1478,401,3448,2187,633,60,390,119,9736,1671,1671,2329,7248,5622,2226,365,1555,257,22948,184,135,114,427,719,404,57,312,17,2374,211,187,108,709,1017,334,41,243,34,2886,50,160,26,115,160,64,9,69,15,668,125,281,85,447,399,230,33,236,247,2082,7474,27042,3954,17093,14153,5028,689,3799,1014,80246,24,175,3,15,15,0,0,3,3,242,275,1812,45,29,65,11,8,26,13,2285,1737,6216,372,750,616,303,145,359,108,10610,58,215,11,15,23,8,0,8,6,351,495,2400,86,678,283,83,22,57,26,4137,245,940,42,137,122,10,4,16,11,1526,4796,22172,1674,3692,3046,1195,421,1425,335,38759,15,21,12,56,27,13,3,13,9,169
SOSR113,89,593,12,210,77,25,0,16,9,1033,48,252,4,25,19,3,0,0,0,351,856,4854,180,876,795,259,32,196,80,8138,3,3,0,21,3,8,0,3,3,46,239,477,70,434,398,95,17,65,22,1816,460,568,160,1455,904,305,54,176,60,4147,706,743,1041,3442,2391,1084,286,675,100,10464,84,48,50,202,292,192,39,119,3,1028,121,77,59,303,380,168,23,96,15,1245,23,50,15,54,75,30,0,28,3,280,71,127,34,211,172,114,19,130,114,994,3001,9206,1650,7370,5650,2312,483,1524,420,31613,9,52,0,3,3,0,0,0,6,73,44,361,8,12,14,0,0,0,5,445,580,1858,86,185,175,47,25,45,22,3025,30,68,4,4,9,3,0,4,5,119,170,830,30,234,91,31,11,25,14,1443,98,323,18,34,29,3,0,7,0,509,1768,7303,568,1295,1038,400,142,390,141,13037,10,3,8,23,4,9,7,6,3,65
SOSR114,119,731,14,271,121,20,4,19,3,1302,56,242,4,22,31,3,0,0,0,366,1104,6163,238,980,1032,283,36,257,71,10159,7,6,0,36,10,0,0,4,0,66,273,577,75,513,461,129,15,83,18,2145,544,679,177,1622,1036,338,42,190,51,4676,888,812,1136,3635,2751,1143,182,768,124,11443,85,61,63,221,350,198,30,157,10,1171,123,81,61,369,441,178,26,138,16,1424,31,44,20,48,79,38,0,30,8,282,84,149,46,258,226,125,20,143,111,1150,3686,11246,1895,8107,6714,2487,353,1812,438,36733,10,69,0,4,5,0,0,0,0,92,64,389,16,19,20,6,0,3,8,523,697,2276,121,196,229,64,31,64,37,3715,19,76,0,3,16,4,3,4,0,133,235,1023,39,303,141,29,13,27,11,1813,118,319,18,33,43,10,3,8,0,552,2242,9269,661,1469,1301,461,174,547,136,16255,12,15,6,39,17,3,0,5,0,98
SOSR115,204,1004,20,393,158,33,4,17,17,1860,82,353,7,30,44,6,0,8,5,544,1578,8373,328,1363,1395,416,51,288,139,13927,8,16,4,35,18,7,0,10,0,88,465,909,110,838,699,179,31,116,41,3375,750,994,280,2222,1485,432,65,269,83,6575,1156,1063,1713,4866,3676,1423,288,1121,172,15477,146,68,90,319,480,280,35,208,13,1636,177,123,83,499,611,212,39,177,16,1942,44,90,11,62,108,41,4,39,5,416,131,210,67,345,283,187,27,202,187,1634,5296,15783,2755,11159,9194,3266,554,2483,708,51204,25,88,0,7,6,0,0,0,0,129,102,669,17,10,33,7,0,5,4,845,1022,3247,122,255,319,99,28,62,43,5195,25,111,7,3,9,9,0,4,0,172,323,1423,48,446,191,43,21,30,27,2546,151,431,15,55,66,13,8,18,6,760,3112,12419,878,2036,1758,642,213,609,232,21894,12,18,3,37,18,7,0,9,4,109
SOSR121,58,296,8,87,54,13,0,7,3,524,19,119,0,3,16,0,0,0,4,160,502,2467,87,369,440,115,0,81,46,4109,0,3,0,15,4,0,0,4,0,20,137,260,43,212,214,47,12,27,7,952,210,307,79,575,450,124,24,65,29,1866,326,262,462,1304,1058,374,72,274,47,4189,40,27,20,98,158,75,8,63,4,498,45,43,29,130,196,73,12,39,8,578,14,31,4,14,38,12,0,5,3,130,35,61,17,98,76,53,9,52,45,445,1545,4656,766,2949,2775,901,131,629,208,14564,4,29,0,0,0,0,0,0,0,44,49,229,4,3,10,6,0,0,11,307,295,919,31,46,85,28,14,17,18,1456,6,32,7,7,5,0,0,0,0,62,97,427,12,95,62,20,11,14,8,750,39,148,9,12,23,6,3,0,4,235,987,3630,262,555,542,178,56,161,79,6446,0,3,0,15,4,0,0,4,0,23
SOSR122,27,134,0,54,24,7,0,0,0,249,9,57,3,6,8,5,0,0,0,85,234,1036,42,165,176,33,7,61,15,1767,0,0,0,5,0,0,0,0,0,9,53,104,17,109,123,13,3,13,6,446,100,109,30,276,198,45,8,42,11,815,198,165,214,658,539,181,49,144,22,2179,27,20,8,47,91,25,4,27,5,243,19,24,13,60,77,27,5,16,8,260,8,9,6,3,13,5,0,5,0,54,18,31,18,37,45,26,3,24,20,230,780,1979,365,1451,1316,371,88,347,97,6795,0,6,0,3,0,0,0,0,0,17,14,84,4,0,5,0,0,0,0,116,154,360,18,39,42,12,7,9,5,641,3,17,0,4,7,0,0,0,3,24,45,190,7,57,33,11,0,4,0,351,24,69,3,8,10,5,0,0,0,113,443,1504,98,259,231,64,31,97,33,2754,0,0,0,9,0,0,0,4,0,14
SOSR131,594,1759,50,474,315,47,6,61,25,3331,191,625,11,55,106,3,0,8,4,1001,5070,14496,633,1865,3351,683,106,667,294,27173,19,22,3,28,30,7,4,10,4,125,1595,1736,234,1048,1548,322,56,279,96,6898,1825,1558,476,2601,2650,618,120,431,141,10411,2712,1498,2531,5481,5961,1741,482,1679,319,22408,415,125,184,398,966,346,67,329,30,2866,728,279,179,643,1344,388,82,299,66,4000,181,154,40,108,225,51,13,53,24,854,611,387,134,439,614,284,53,314,322,3159,15471,26976,4569,13380,17598,4574,986,4197,1436,89188,53,171,8,13,12,3,3,3,0,256,466,1419,26,38,71,14,3,16,21,2071,2639,5091,206,298,582,130,33,143,137,9269,91,237,9,10,36,5,0,8,3,397,950,2357,104,533,370,73,13,88,42,4533,326,756,34,85,131,5,10,11,9,1360,10659,21414,1519,2622,4056,1139,396,1309,508,43627,43,32,15,40,40,10,4,15,14,200
