SOSR_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOSR101,309,48,839,362,791,93,2439,465,53,784,240,560,56,2162,6688,825,15599,8009,20360,1527,53010,1961,249,3047,1214,3058,227,9761,5917,805,20537,11213,58524,2409,99418,5490,653,11633,4647,7721,870,31016,8077,964,19469,8854,13484,1760,52606,3303,412,10477,8798,8457,1251,32701,6415,957,15351,10075,17022,2147,51977,5620,848,13399,3943,3247,622,27676,19546,3472,39939,7879,4247,1557,76639,2878,508,6798,3490,4320,564,18549,33205,4939,68241,11096,7205,2399,127083,3101,480,8815,4271,6141,871,23676,9597,2373,17877,9798,11905,1182,52726,17358,2608,17418,3377,3677,642,45080,16708,2468,27593,6874,6845,1606,62092,1500,336,5079,2029,2678,294,11915,2684,480,5676,3151,16055,637,28681,6731,689,13936,5341,10587,5047,42323,157545,24149,322505,114677,206893,25754,851529,221,57,625,299,388,70,1656,171,34,318,99,72,20,700,3775,636,10552,4701,5071,934,25668,879,141,1608,490,535,79,3731,2965,505,7835,4519,4755,697,21273,4146,610,9510,3752,3400,637,22048,6834,1081,22857,11467,12769,2050,57055,2690,452,10658,7176
SOSR102,31,9,173,114,414,25,765,231,84,736,682,3386,110,5233,645,148,2223,1930,8583,271,13805,222,67,568,601,1813,63,3329,398,113,2287,2402,24460,631,30290,248,77,733,661,2332,98,4147,664,112,1902,1345,4841,277,9143,411,61,1313,1151,3321,225,6486,432,112,1143,1347,5331,317,8688,208,73,829,502,820,62,2500,612,203,2029,1106,905,118,4972,109,39,491,516,1123,87,2365,2151,588,6858,2232,2254,264,14342,211,62,739,675,2438,139,4263,1717,659,3960,3469,4786,323,14915,3094,745,4983,942,1490,139,11397,2975,688,5993,2305,3883,396,16249,132,57,549,313,792,57,1905,309,76,773,579,5232,132,7095,433,65,1226,747,3514,754,6748,15242,4026,39510,23632,81732,4486,168630,15,14,136,85,177,26,451,52,23,196,107,185,21,582,298,87,1179,841,1471,142,4020,90,25,205,150,246,26,743,144,84,865,997,1756,151,3999,134,40,484,379,646,52,1738,480,159,2383,2192,5486,526,11222,307,82,1528,1480
SOSR111,23,12,82,70,231,15,426,35,21,153,176,1318,33,1740,104,25,310,312,1913,65,2737,19,8,63,124,324,12,548,43,13,265,354,3926,94,4702,27,7,93,118,710,21,977,68,12,296,260,1126,56,1813,39,11,178,252,754,48,1287,49,11,136,242,981,67,1486,22,11,58,44,92,5,230,41,31,190,137,125,12,538,12,4,63,66,220,16,376,196,101,757,293,366,35,1750,16,6,98,123,518,42,803,183,93,552,560,978,33,2404,304,145,843,167,301,17,1786,416,130,989,422,776,57,2790,11,3,58,49,139,4,268,28,12,91,132,1139,24,1436,44,7,122,133,700,168,1171,1675,673,5394,4037,16648,832,29262,16,7,59,46,78,16,220,10,7,30,34,119,7,206,40,21,226,159,356,41,840,6,0,39,22,58,5,131,26,22,118,188,421,32,802,15,7,65,54,166,3,305,72,23,379,449,1329,82,2335,42,16,232,308
SOSR112,119,21,425,245,907,90,1807,84,18,215,190,1964,40,2502,268,74,881,652,4226,227,6325,90,42,269,328,973,31,1737,130,32,639,662,9882,246,11591,57,17,243,246,1354,56,1979,276,45,775,615,2751,176,4639,229,31,690,647,1924,175,3699,100,30,308,409,2157,143,3150,65,18,237,120,255,15,712,151,58,440,355,240,46,1292,23,16,203,167,475,27,909,642,237,1826,585,796,78,4162,92,37,250,286,1263,92,2012,582,302,1562,1530,2821,144,6937,1371,488,2337,508,869,78,5646,1356,341,2855,1140,2239,210,8140,71,18,203,129,401,28,856,142,23,376,284,2797,62,3688,138,30,331,269,1691,415,2883,5980,1881,15061,9358,39987,2400,74666,71,30,239,136,251,30,743,10,7,93,50,147,5,323,128,39,579,384,902,129,2161,47,24,134,100,204,9,511,42,39,276,325,769,62,1519,32,10,134,154,359,26,715,221,90,981,951,3229,279,5748,180,53,731,736
SOSR113,17,5,64,53,272,32,441,73,35,303,300,2400,71,3183,41,24,197,199,1464,60,1983,25,7,85,144,521,13,798,41,12,242,296,4301,142,5032,16,9,59,95,605,17,807,60,14,221,184,1168,92,1742,78,20,300,345,999,86,1824,21,11,113,172,919,77,1312,11,9,52,44,101,11,225,42,19,155,91,96,10,411,8,5,65,82,233,23,422,181,74,648,269,338,40,1552,25,9,99,128,606,48,910,210,89,515,665,1344,59,2875,271,154,687,158,289,42,1598,342,95,776,395,867,70,2556,10,9,70,41,186,14,321,30,14,107,92,1209,32,1480,32,7,144,120,742,194,1247,1542,621,4905,3854,18649,1132,30710,11,8,59,40,92,9,215,32,15,114,74,276,19,532,18,20,121,138,284,30,621,10,0,38,33,76,8,170,19,11,100,163,360,33,683,8,8,44,57,159,12,287,48,35,350,437,1541,158,2579,56,24,409,470
SOSR114,28,24,285,213,807,98,1460,63,21,136,94,913,44,1262,90,16,335,279,2125,124,2972,50,10,127,138,607,21,948,56,18,281,361,5602,138,6457,25,8,122,109,677,31,984,74,19,279,221,1348,90,2030,49,13,254,244,968,91,1628,26,22,122,174,1192,82,1620,10,3,84,58,138,4,305,36,23,178,140,111,16,500,10,6,69,84,234,25,427,203,107,787,261,366,39,1759,17,11,103,123,578,47,868,319,131,776,845,1347,98,3524,371,180,967,206,373,37,2133,317,90,834,370,739,74,2424,20,10,86,61,196,13,380,47,12,140,101,1546,33,1889,40,16,126,117,884,232,1425,1865,742,6093,4207,20740,1333,34987,28,16,184,111,211,47,599,8,6,62,31,99,0,206,26,22,215,195,486,64,1010,18,8,61,35,82,7,220,20,10,126,173,409,29,764,11,6,76,85,212,12,402,83,35,448,461,1629,170,2825,56,29,321,368
SOSR115,41,12,256,183,1298,148,1939,36,17,169,172,1734,53,2185,102,28,340,363,2924,130,3884,42,20,117,179,832,27,1217,43,16,438,553,8220,230,9497,26,6,128,126,853,39,1173,112,17,358,310,1688,106,2585,60,11,286,354,1306,88,2106,40,22,167,275,1636,128,2263,29,9,117,102,185,10,460,59,35,194,148,136,11,583,23,12,104,105,339,13,595,347,131,1112,398,540,71,2604,36,8,146,158,894,55,1296,397,179,1004,1195,2240,134,5145,565,252,1397,281,495,50,3039,442,124,1073,553,1059,101,3354,34,18,156,93,337,18,659,75,21,190,154,2010,47,2488,72,13,214,161,1333,308,2104,2573,957,7962,5866,30052,1769,49175,32,18,188,149,330,65,778,10,9,72,51,165,9,312,35,27,240,271,646,63,1289,18,6,71,52,81,12,237,27,31,217,284,610,51,1214,18,9,106,129,292,21,572,114,53,573,685,2039,224,3687,64,28,466,563
SOSR121,21,8,71,70,381,37,589,9,9,39,74,420,11,560,15,0,88,102,829,26,1069,6,7,45,62,224,10,357,20,8,137,163,2554,87,2963,14,3,48,49,272,12,401,39,8,93,83,493,28,734,9,4,69,78,354,35,541,8,11,53,100,526,33,733,6,0,33,27,38,3,120,28,14,60,49,49,9,204,3,0,33,30,90,3,155,101,40,338,124,163,17,782,11,12,47,53,273,19,424,99,51,284,343,509,32,1309,163,75,387,78,136,21,864,137,40,352,154,309,29,1026,15,13,50,31,97,5,212,14,10,47,45,659,13,787,30,0,69,47,393,87,623,751,315,2340,1748,8779,515,14445,9,3,58,41,93,18,224,0,0,10,16,25,0,60,17,6,91,67,169,15,369,5,4,10,11,34,5,69,15,6,62,112,182,22,397,7,7,29,37,54,3,145,27,24,151,211,572,55,1042,15,8,133,151
SOSR122,3,6,34,40,235,27,342,3,0,4,20,201,4,233,14,4,38,42,368,21,493,3,7,17,27,125,0,182,9,0,51,71,1092,37,1278,4,0,9,21,129,5,168,14,3,47,49,201,12,326,7,6,43,54,188,17,318,16,5,13,36,245,17,328,6,0,25,4,17,3,58,14,7,32,20,12,0,90,0,0,16,15,47,0,89,55,16,159,55,67,3,353,0,0,22,17,134,11,193,41,24,107,168,295,14,647,68,30,150,26,83,4,366,36,19,133,88,129,14,425,3,6,23,15,44,3,94,9,6,20,21,309,4,367,12,7,31,29,212,62,345,327,141,990,832,4135,263,6684,3,4,28,29,60,3,131,0,0,4,0,17,0,23,0,10,38,32,92,13,186,0,3,3,8,20,4,37,7,3,37,37,108,10,203,7,0,19,27,44,3,98,5,10,62,74,272,38,467,15,9,75,72
SOSR131,520,212,3091,2689,9501,931,16949,106,31,338,392,2876,105,3849,154,43,719,637,4535,183,6272,67,25,201,321,1217,44,1869,120,48,924,1148,14191,485,16917,83,32,393,343,1598,103,2551,108,29,552,438,2193,163,3488,87,21,364,302,1251,126,2145,64,29,289,454,2850,186,3877,51,21,184,118,262,21,657,207,50,536,290,221,30,1339,46,27,269,264,621,49,1280,821,224,2431,683,887,117,5173,44,31,262,276,1232,78,1924,626,269,1476,1406,2792,148,6716,752,326,1839,437,872,91,4320,730,191,1609,716,1207,143,4592,67,30,260,150,486,37,1026,82,21,214,240,3687,76,4328,166,34,498,378,2261,597,3928,4905,1698,16448,11696,54740,3701,93183,366,354,2668,2083,2994,647,9109,30,14,150,82,319,20,612,110,54,619,517,967,126,2389,25,14,128,90,180,17,450,84,60,608,728,1428,149,3060,51,28,313,281,531,54,1263,133,99,1026,1027,2616,349,5249,93,54,615,665
