SOSR_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR101,15091,10285,6798,3476,12048,11309,2871,5103,735,67716,9188,11534,9579,5129,20975,21847,4056,8750,18601,109662,232114,277237,221875,127465,457091,487033,113773,236506,37858,2190950
SOSR102,2886,2851,1940,1125,3537,3205,831,1509,186,18073,1262,2176,1581,972,3230,3341,712,1507,3000,17779,41172,74466,57605,37570,99260,93829,25981,47065,6801,483747
SOSR111,168,547,428,289,763,773,228,378,44,3626,147,428,301,178,620,653,176,332,582,3417,4583,13327,10853,7570,19113,17022,5445,10029,1325,89270
SOSR112,484,1392,1058,708,2075,1849,519,997,88,9162,422,1023,652,462,1675,1469,353,809,1704,8567,12016,33807,26721,18730,51157,43591,13311,25696,3753,228784
SOSR113,191,635,464,300,812,748,219,391,51,3824,182,480,301,218,600,598,119,323,898,3721,5671,15359,11851,7841,18834,16628,5090,10703,1947,93937
SOSR114,296,622,541,311,967,957,255,527,47,4522,231,534,354,220,805,727,185,446,851,4359,6066,15961,12951,9119,22942,20396,6227,13225,1986,108869
SOSR115,409,911,679,405,1141,1163,336,712,68,5831,418,804,531,403,1017,1087,245,602,1244,6351,9452,23408,18576,12749,29219,27630,8314,18445,3032,150819
SOSR121,130,247,194,135,324,396,105,198,26,1759,109,255,149,110,313,305,58,171,328,1801,2608,6826,5345,3503,7943,7859,2153,5265,813,42319
SOSR122,45,123,90,60,161,157,59,99,21,806,64,127,75,52,141,160,43,107,192,967,1274,3195,2545,1712,3761,3711,1104,2581,464,20362
SOSR131,815,1548,1098,678,1704,1970,546,1489,139,9992,833,1620,1076,676,1554,1948,408,1543,2348,11997,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
SOSR201,6202,12802,11400,5990,15964,14045,3686,6380,756,77220,3856,11558,9921,6057,23805,22459,4396,9117,18458,109617,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
SOSR203,421,1141,880,463,1289,1181,272,556,49,6251,297,791,533,363,1166,1177,256,619,1153,6359,10093,29463,22780,16008,37811,36134,10191,18471,2525,183465
SOSR211,131,261,244,109,442,381,93,170,19,1855,86,237,175,141,537,444,95,141,513,2367,2472,6352,5362,4047,11840,10534,2731,4697,1101,49147
SOSR212,348,788,616,333,973,851,220,404,54,4591,218,537,387,253,811,867,192,474,938,4677,6864,18176,14284,10449,25690,25356,7508,13239,2106,123674
SOSR213,286,726,564,340,921,932,224,467,48,4512,192,471,321,258,781,802,179,392,789,4193,5950,17028,13326,9785,22517,22144,6196,11564,1913,110423
SOSR214,166,401,301,180,409,480,131,228,38,2330,150,312,200,137,384,421,84,212,480,2385,3808,9691,7346,5340,11123,11698,3216,6271,1193,59685
SOSR215,273,630,446,292,670,814,242,424,77,3870,236,543,339,207,725,767,175,415,817,4222,6068,14976,11704,8365,17710,19134,5559,11127,2096,96731
SOSR221,53,158,136,83,164,197,58,124,16,982,85,132,98,51,185,176,28,110,217,1074,1693,4382,3280,2373,4542,5147,1425,3133,587,26552
SOSR222,38,91,61,35,118,110,31,67,15,572,43,76,43,43,101,108,33,70,149,674,1001,2264,1807,1260,2513,2727,844,1789,362,14558
SOSR231,459,1257,908,544,1227,1597,373,1064,123,7549,554,1194,797,505,1181,1628,405,1092,2017,9381,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOSR299,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
SOSR301,6697,5665,4464,2785,8847,7694,2206,4024,409,42790,2359,4976,4155,2716,10630,10070,2319,5017,8185,50425,87144,146505,122052,83379,255511,233998,65977,132455,17019,1144039
SOSR302,3036,2648,1937,1197,3032,2856,738,1590,229,17266,1112,2455,2003,1273,3609,3784,806,2125,3474,20641,36604,64799,52836,36879,83203,76925,21303,48862,7544,428960
SOSR303,287,1194,1005,716,2056,1763,564,1075,63,8719,258,859,633,382,1365,1226,326,844,1449,7355,9606,27418,23408,17815,46611,39054,12698,27454,3191,207252
SOSR311,172,615,538,374,1202,996,370,669,46,4966,147,492,303,249,818,705,212,517,925,4363,4990,13955,12155,9353,24000,19087,6730,16579,2049,108908
SOSR312,149,259,176,132,321,292,98,165,16,1607,98,211,138,102,305,263,84,224,350,1779,2624,5532,4599,3238,7472,6443,2610,5328,757,38610
SOSR313,114,442,346,216,629,607,233,463,40,3084,133,326,228,170,467,448,134,386,584,2872,3644,9312,7783,5725,14330,12703,5403,12587,1361,72841
SOSR314,267,450,277,208,553,608,208,409,45,3023,166,360,280,192,596,594,190,498,716,3602,4395,9274,7820,5712,14128,13262,5067,12770,1620,74049
SOSR315,292,598,423,272,854,804,264,626,52,4193,285,531,374,254,788,707,216,580,972,4709,6591,13695,11438,8165,19787,17912,6303,17536,2365,103797
SOSR321,142,215,133,103,290,307,83,232,32,1534,111,223,143,103,249,284,79,215,456,1878,2536,5302,4363,3216,6962,6757,2089,6309,1009,38556
SOSR322,51,88,63,26,115,118,33,87,10,589,59,99,72,50,122,107,27,117,210,868,1020,2166,1799,1251,3029,2789,958,3149,496,16667
SOSR331,658,1177,762,558,1268,1533,482,1369,92,7906,601,1210,802,565,1356,1575,382,1547,2154,10202,12323,27606,21830,15441,31112,34997,11620,46939,5305,207163
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0,26,5,29
SOSR399,14,12,11,7,23,12,4,5,0,95,14,23,10,14,17,25,0,27,57,194,371,466,404,251,535,500,136,436,124,3219
SOSR401,727,3905,3414,2085,5892,4294,1275,2063,204,23860,682,2301,1956,1232,4545,3160,785,1568,3315,19542,24619,89863,78747,53966,145287,107432,34249,57851,7680,599698
SOSR412,54,276,201,141,425,393,113,182,16,1804,63,173,92,74,280,244,90,150,278,1434,2105,6581,5597,3793,10009,8115,2987,5440,686,45310
SOSR413,56,249,191,125,329,280,101,153,13,1499,53,150,110,67,190,156,43,115,235,1119,1873,6185,5021,3383,7278,6139,2330,4198,648,37053
SOSR414,17,84,76,53,114,100,30,54,0,530,22,64,50,23,95,59,15,44,86,455,648,2124,1779,1363,2688,2359,801,1328,226,13312
SOSR415,75,300,244,167,411,398,111,225,18,1942,93,199,163,103,330,260,74,167,345,1744,2506,7538,6228,4487,9651,9001,3055,6617,950,50029
SOSR421,18,65,54,53,102,115,47,71,11,537,37,76,48,30,82,86,24,47,97,529,772,2158,1795,1254,2434,2381,845,1939,282,13849
SOSR422,13,36,31,27,57,52,21,33,5,278,21,35,17,20,41,27,13,31,60,262,386,1189,961,693,1289,1172,407,1034,172,7295
SOSR431,86,389,307,220,474,527,154,328,51,2526,181,360,238,160,347,325,91,336,571,2609,3306,10822,8812,6061,10726,12779,4274,13648,1692,72129
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SOSR499,0,8,0,0,4,6,6,0,0,22,4,6,0,3,7,3,4,5,16,42,70,122,87,60,133,94,31,93,38,724
SOSR501,1189,6844,5455,3236,7802,7663,2481,4666,439,39786,1449,5749,4297,2730,8228,10103,2496,5867,7251,48169,42518,151333,122938,77567,194134,206899,65423,148248,15614,1024680
SOSR511,57,245,163,105,280,248,107,215,7,1428,61,159,88,66,185,209,78,211,223,1278,1848,5086,4053,2766,5948,6323,2410,6069,496,34998
SOSR512,99,325,247,165,429,497,167,486,25,2435,100,270,187,126,233,331,114,339,365,2058,2821,7922,6237,4401,9025,9702,4036,10918,911,55980
SOSR513,40,168,121,90,206,249,112,328,21,1329,66,147,87,62,205,251,96,360,316,1599,1921,3394,2698,2041,5375,6193,2626,8125,721,33096
SOSR514,21,101,57,33,71,99,31,56,12,481,29,84,59,39,60,68,26,89,86,539,792,2063,1669,1085,1876,2299,762,1851,221,12611
SOSR515,63,238,157,109,249,341,112,264,23,1546,79,246,141,97,203,267,86,276,319,1704,2466,5254,4177,2932,6389,7226,2827,8387,906,40565
SOSR521,21,77,59,33,74,94,41,88,3,497,60,86,55,26,89,94,43,122,172,743,961,2009,1561,989,2067,2601,1038,3255,442,14926
SOSR522,9,34,35,27,47,45,18,54,10,278,24,46,23,10,42,52,16,42,105,358,477,963,833,598,1094,1416,518,1607,216,7723
SOSR531,115,418,285,218,382,531,191,517,44,2699,221,468,306,194,331,520,145,534,626,3337,4595,10898,8540,5471,8991,12716,4920,21891,1763,79789
SOSR579,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
SOSR599,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
SOSR603,103,572,530,319,790,591,172,290,32,3405,89,280,260,134,416,339,77,161,574,2331,4015,14787,13598,9125,22546,16299,4954,8142,1357,94821
SOSR611,44,234,231,154,346,294,83,133,8,1531,45,127,98,74,172,163,31,71,221,1009,1584,5871,5270,3626,8486,6758,2118,3577,524,37810
SOSR612,34,135,91,74,178,159,29,87,6,807,22,72,53,34,84,84,27,42,120,531,901,3008,2442,1735,3995,3397,1054,2045,317,18895
SOSR613,11,47,15,21,53,44,11,8,0,202,6,18,14,8,16,31,8,10,34,135,273,864,700,490,1016,908,311,473,100,5122
SOSR614,4,36,40,24,75,58,16,16,5,272,7,18,16,16,45,30,12,13,39,205,381,974,946,652,1531,1299,360,637,129,6913
SOSR615,39,194,144,90,239,220,53,111,17,1106,47,96,69,49,139,124,35,82,185,822,1405,4117,3530,2332,5777,4763,1615,2893,480,26908
SOSR621,9,48,47,32,61,71,23,45,6,346,26,43,35,16,32,49,9,21,61,296,563,1542,1290,894,1729,1705,513,1093,192,9520
SOSR622,4,18,17,11,26,29,5,17,0,125,7,18,6,10,14,16,6,18,32,128,199,633,540,317,663,660,196,452,98,3760
SOSR631,55,294,259,148,345,378,102,214,39,1836,97,263,164,97,204,237,67,184,347,1671,2667,7866,6808,4520,8841,9020,2849,7018,1060,50648
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
SOSR699,0,0,0,5,3,6,0,0,0,10,5,0,0,0,0,4,0,4,7,18,26,48,49,24,56,56,18,23,10,309
SOSR703,68,257,260,172,621,569,177,299,27,2443,88,218,192,116,500,509,104,330,540,2598,3052,5959,5842,4532,16408,14488,4387,9502,1183,65347
SOSR712,22,49,45,34,183,152,34,74,3,596,26,49,27,25,86,91,25,60,105,494,624,1082,937,861,3745,2943,931,1796,227,13148
SOSR714,3,6,6,0,43,23,4,14,0,95,8,13,6,3,30,23,6,20,33,137,132,173,196,140,793,544,174,467,76,2698
SOSR715,3,30,17,9,63,29,7,21,6,184,29,10,8,10,18,28,0,7,111,221,261,431,305,298,1180,940,363,659,204,4632
SOSR721,10,18,19,16,39,25,6,15,4,139,16,17,9,5,16,11,3,11,62,144,208,323,314,234,825,830,216,598,106,3650
SOSR722,3,17,8,7,14,18,4,17,3,103,9,3,9,5,3,9,0,0,68,124,148,331,331,229,636,405,97,416,132,2728
SOSR731,28,53,45,40,110,148,39,131,12,604,30,55,54,37,102,133,37,108,138,694,798,1297,1071,858,2823,2797,943,3325,363,14269
SOSR779,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,7,5,4,0,0,0,0,0,42,3,56
SOSR799,0,0,0,0,0,0,0,0,0,11,5,6,0,4,3,0,0,4,15,39,92,62,38,34,83,59,22,82,27,500
SOSR802,244,1203,990,554,1505,1400,430,698,54,7080,135,508,437,234,957,879,163,364,1130,4812,10950,29416,24781,16911,63919,56757,16302,26038,2631,247706
SOSR822,0,0,5,0,4,0,0,0,0,15,0,0,0,0,0,6,0,0,5,10,20,41,37,30,62,87,21,34,7,335
SOSR831,0,0,0,0,0,0,0,4,0,9,0,0,0,3,0,0,0,3,0,4,20,31,24,26,42,64,21,122,0,352
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
