SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR101,45,23,29,26,8,84,15,96,98,13168,152,13749,9,40,14,5,0,21,4,139,72,3328,25,3659,3,31,6,8,0,28,8,329,110,2028,20,2572,0,12,3,10,0,41,7,300,140,1589,19,2116,16,110,40,24,10,63,25,647,245,8648,110,9949,15,120,45,30,5,235,51,1170,464,4660,57,6853,53,333,129,69,19,743,108,1877,768,29162,376,33648,97,720,247,175,39,1666,230,2578,985,14406,189,21334,218,1451,410,585,164,3213,502,3312,1197,13653,141,24843,747,2413,671,2021,619,4172,971,3634,1332,13262,165,30017,858,1434,474,2407,773,3910,777,2371,840,5332,83,19259,2199,1804,583,3354,1124,3788,870,2124,693,5649,82,22281,11348,3383,1207,8991,3706,8314,1780,3542,1094,7586,161,51115,14001,2017,644,8003,3151,3738,977,1857,491,3751,81,38720,13787,1283,382,5884,2180,3445,524,1097,296,2485,86,31450,13110,701,231,3495,1243,1341,293,537,112,1196,35,22298,40775,2208,390,9729,2673,7440,496,2432
SOSR102,12,13,3,10,0,14,3,20,14,1814,38,1939,0,18,5,3,0,7,0,44,9,719,3,809,5,11,5,5,0,5,0,81,26,420,0,563,0,3,0,0,0,11,0,74,17,373,3,486,8,37,11,3,0,21,8,201,34,2353,45,2717,0,45,8,4,6,56,10,350,77,1426,14,2009,9,128,11,43,3,169,30,741,184,12038,164,13518,36,244,32,90,11,444,59,1028,230,6801,75,9064,93,502,58,260,34,849,107,1131,222,6111,63,9446,263,793,104,942,139,1044,228,1189,242,5794,52,10787,353,462,79,1066,190,1041,174,633,161,1911,17,6090,797,525,91,1309,249,987,152,521,152,1864,24,6673,3644,881,148,3123,652,1835,373,796,222,2125,36,13823,3547,499,126,2503,573,754,210,394,104,926,17,9655,3057,275,89,1657,369,612,122,213,65,571,29,7052,2315,149,31,802,214,192,53,100,29,244,4,4136,4392,330,86,1545,378,996,94,331
SOSR111,0,4,0,7,0,0,0,5,0,263,4,282,0,0,0,0,0,0,0,8,0,116,0,127,0,5,0,0,0,0,0,18,4,59,0,85,0,0,0,0,0,4,0,13,6,56,0,78,5,5,0,3,0,4,0,40,7,403,11,482,3,13,0,3,0,18,0,69,13,228,0,352,6,26,5,12,0,36,6,163,27,2268,28,2571,19,58,6,38,0,104,9,227,28,1189,14,1689,32,120,6,71,10,209,10,218,30,1045,9,1750,99,178,12,280,14,240,21,202,33,981,13,2077,113,84,8,303,27,185,14,112,29,275,3,1156,241,109,10,350,32,168,17,88,24,271,7,1311,1002,149,22,722,79,347,42,113,35,305,3,2806,807,66,20,466,67,116,22,48,11,133,3,1760,621,36,16,275,50,87,15,45,7,76,3,1224,344,25,5,138,24,26,13,10,6,34,0,620,553,33,7,238,44,106,13,41
SOSR112,11,4,0,6,0,9,0,12,10,755,19,824,4,10,0,0,0,0,0,30,8,349,8,412,0,11,3,0,0,5,0,52,5,211,5,299,0,0,0,0,0,9,0,37,9,170,4,234,7,30,3,11,0,19,0,85,13,1165,19,1353,8,29,0,9,4,41,4,227,25,583,11,934,18,108,10,32,3,117,24,482,60,6130,95,7082,31,170,13,85,7,285,19,611,73,3226,39,4560,78,273,15,184,27,520,54,645,99,3058,39,4990,245,495,44,773,51,597,103,574,96,2922,39,5932,367,276,24,692,70,468,55,316,62,867,15,3217,746,280,29,871,74,454,44,274,55,892,18,3743,2632,440,75,1764,219,761,97,354,81,953,12,7396,1994,215,32,1168,154,297,78,192,31,462,7,4634,1458,118,30,729,122,259,36,84,30,297,12,3172,892,51,15,302,42,87,20,47,4,123,0,1591,1652,130,47,646,113,379,35,122
SOSR113,0,0,0,0,0,7,0,11,4,444,9,480,0,5,0,3,0,0,0,12,0,197,0,222,0,3,0,0,0,5,0,34,3,115,0,163,0,0,0,0,0,4,0,17,0,85,0,116,4,7,0,6,0,3,0,51,16,688,15,792,3,11,4,5,0,21,0,112,12,367,11,543,7,45,11,12,0,59,5,263,24,3498,68,3992,20,72,0,40,11,113,8,307,43,1818,17,2450,43,175,8,113,9,216,25,303,59,1604,18,2577,131,209,16,332,29,283,41,291,46,1523,28,2925,116,112,15,309,27,261,36,134,30,485,7,1536,213,137,13,348,46,187,26,112,32,458,4,1573,823,206,44,733,99,363,63,153,53,546,5,3098,621,95,29,506,75,145,30,81,18,219,5,1816,541,58,11,281,52,122,17,29,17,119,6,1261,333,18,4,148,28,39,6,22,0,51,0,659,709,83,15,263,48,163,20,78
SOSR114,8,4,5,3,0,6,0,9,3,496,13,548,3,7,0,0,0,5,0,19,0,216,4,255,0,3,0,6,0,4,0,32,0,109,4,158,0,0,0,0,0,7,0,33,6,111,0,159,4,19,0,12,0,15,6,80,13,781,22,946,0,15,0,9,0,36,6,115,24,416,7,627,19,57,13,30,6,79,8,292,39,4064,66,4681,28,94,5,44,5,158,17,381,32,1915,31,2707,64,163,6,119,16,333,28,357,45,1718,23,2875,175,253,25,375,23,308,43,316,49,1590,17,3165,171,125,16,386,17,211,20,151,41,454,7,1592,377,118,15,430,42,200,26,116,28,467,8,1824,1142,198,37,797,112,365,47,159,50,437,10,3367,942,89,16,580,73,121,31,68,8,212,5,2146,675,52,16,326,57,119,15,44,18,155,4,1479,452,26,14,129,34,41,12,13,5,50,0,775,757,61,22,278,57,144,14,61
SOSR115,12,12,0,8,0,11,5,10,9,757,21,835,8,13,0,0,0,11,0,29,5,371,3,443,3,7,5,0,0,9,0,51,5,169,3,249,3,0,0,3,0,0,4,25,7,171,0,221,11,24,7,9,0,22,0,112,18,1134,14,1353,5,23,4,17,3,47,6,207,31,639,14,995,15,87,13,33,4,77,16,478,61,6190,101,7069,42,147,14,66,11,244,22,595,73,2984,31,4239,83,258,25,167,23,452,32,535,105,2732,31,4446,211,414,32,579,57,416,57,450,92,2544,45,4895,226,179,27,507,38,357,59,236,50,710,12,2407,454,208,27,606,79,322,43,186,59,707,14,2708,1354,349,64,1184,161,616,100,298,63,748,16,4960,1137,140,36,775,109,208,48,127,31,311,10,2931,877,86,29,500,88,188,32,58,21,224,18,2126,585,41,14,175,51,59,15,26,14,81,0,1064,1050,103,24,426,92,244,24,96
SOSR121,4,0,0,0,0,5,0,0,3,205,4,226,4,0,0,0,0,0,0,11,0,105,0,119,0,0,0,0,0,0,0,14,0,47,0,69,0,0,0,0,0,7,0,11,0,47,0,66,4,8,0,5,0,0,0,27,8,301,4,368,0,6,0,0,0,20,5,56,11,165,5,265,7,30,5,12,0,27,3,123,16,1550,26,1799,13,48,4,15,5,81,0,148,36,708,10,1075,22,54,3,55,0,118,19,154,34,699,10,1168,51,110,15,147,25,115,24,155,32,675,4,1351,48,53,0,133,14,107,16,73,15,205,0,668,117,54,9,153,18,95,13,42,10,193,5,706,346,94,16,326,40,171,25,98,20,188,4,1323,286,62,5,233,38,62,15,39,3,97,3,860,239,29,8,152,24,44,11,25,9,63,4,602,171,9,0,72,14,20,7,6,6,28,0,333,315,28,8,132,30,86,5,31
SOSR122,0,0,0,3,0,0,0,3,0,94,3,101,0,0,0,0,0,0,0,3,0,51,0,65,0,3,0,0,0,0,0,12,0,22,0,43,0,0,0,0,0,4,0,10,0,24,0,42,3,4,0,0,0,7,0,20,7,171,4,209,0,5,0,4,0,6,0,44,9,103,0,180,11,8,5,10,0,20,0,68,17,838,19,989,3,28,5,17,0,38,7,77,11,356,4,539,23,46,0,42,0,70,3,69,14,304,3,584,41,58,10,86,3,80,7,58,13,255,4,626,28,28,3,78,9,54,9,27,5,68,3,320,61,33,6,93,3,50,5,22,4,81,0,364,200,56,7,158,23,82,15,38,10,97,6,688,149,9,9,93,21,37,9,14,6,51,0,401,102,7,6,53,20,22,3,13,5,35,0,263,73,3,0,25,3,9,0,0,0,5,0,133,136,12,5,52,18,37,3,12
SOSR131,209,48,29,83,12,55,3,38,21,1275,33,1814,59,30,10,26,5,32,3,66,20,566,8,831,11,27,4,19,0,30,0,84,20,280,7,487,14,7,3,17,0,29,0,91,7,285,3,461,136,106,19,101,10,78,14,224,36,1505,38,2261,55,69,3,71,5,108,14,317,39,812,14,1508,241,219,33,188,15,234,28,656,104,5929,85,7740,306,328,53,276,27,411,63,773,133,2872,54,5291,481,522,60,550,37,711,66,749,126,2707,33,6058,673,669,112,1025,83,725,132,770,135,2545,57,6921,405,320,38,841,78,567,88,398,100,853,13,3695,1011,412,64,966,90,562,68,319,85,988,21,4594,2396,637,111,1899,219,966,147,499,154,1164,36,8223,1915,361,76,1405,196,419,104,264,63,567,16,5390,1527,220,62,907,146,329,72,170,39,352,22,3844,1066,125,38,459,93,143,39,84,21,180,7,2236,2641,408,80,1342,224,773,76,323
