SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR101,1621,4967,216,189162,4006,854,748,3046,1100,2786,576,1260,1063,3720,13874,33032,340,68,346,253,137,216,72,90,230,635,2602,4998,139989,27277,11939,121463,37343,99302,15337,36787,18764,79432,18062,605701
SOSR102,179,420,31,25603,1162,236,120,1114,261,535,156,286,118,609,3411,7999,56,6,57,85,38,30,18,16,26,80,323,729,25119,6413,1688,35301,7741,15406,3050,6075,2019,9492,3941,116245
SOSR111,14,35,7,3222,246,44,21,241,29,98,23,45,16,85,840,1691,22,5,4,17,3,3,3,0,5,19,55,136,5048,1035,178,6699,1040,2791,334,996,273,1500,950,20844
SOSR112,38,110,4,7725,616,92,36,530,87,228,49,129,39,255,1906,3974,32,3,27,29,10,15,10,0,17,45,138,324,12836,2482,520,15391,2398,6644,869,2426,708,3962,2166,50405
SOSR113,19,49,9,2934,207,57,24,220,49,104,22,58,19,172,900,1837,10,3,15,21,6,8,0,0,7,31,56,155,4375,1139,230,6152,1022,2877,398,1154,353,2047,1035,20791
SOSR114,13,56,6,3555,348,53,29,276,47,108,22,58,22,125,934,2030,19,0,17,26,9,3,0,3,7,37,96,225,6064,1290,316,7574,1398,3240,447,1202,316,1960,1111,24915
SOSR115,35,73,7,4938,428,85,53,391,80,180,51,106,35,215,1455,3084,26,3,29,26,6,18,3,7,10,37,124,291,7741,1990,513,10370,1815,4385,744,1824,572,2982,1664,34597
SOSR121,8,24,4,1632,154,47,9,131,23,66,14,44,18,76,459,1046,7,3,6,12,7,0,0,0,8,8,37,90,2354,676,113,3160,504,1284,204,597,155,887,528,10462
SOSR122,6,23,0,676,55,17,4,66,8,29,3,26,14,43,187,444,12,0,7,9,3,5,0,0,0,10,20,55,1024,261,56,1344,209,595,106,278,102,495,216,4686
SOSR131,96,289,25,13706,1549,229,103,1292,185,475,89,268,95,465,2521,7275,111,20,76,103,32,38,10,8,36,73,262,772,17128,3623,1065,19824,3026,7581,1370,3186,1037,5114,2990,65939
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,676,2614,187,146656,4591,927,585,4516,791,2899,444,1355,747,2788,13873,33514,443,78,343,484,161,251,67,85,182,458,2113,4676,135868,27903,5181,163791,25536,100931,7535,34015,7888,52126,17539,578308
SOSR203,29,86,14,7075,376,80,38,417,57,217,32,84,43,169,1114,2626,23,3,19,27,10,12,4,5,12,40,112,272,8219,2105,401,14173,2111,5920,649,2050,483,2889,1312,40318
SOSR211,6,23,5,1213,86,16,20,106,24,65,13,38,17,63,404,844,9,0,5,8,5,3,5,0,5,7,61,114,2830,558,132,3387,606,2798,185,959,262,1265,518,13499
SOSR212,28,54,6,5158,347,61,23,361,57,138,25,72,33,136,869,2124,32,3,25,34,12,9,3,4,4,31,95,251,6564,1394,327,10219,1515,4098,487,1279,375,1982,1032,29278
SOSR213,26,51,3,3443,308,48,21,321,31,155,34,64,36,141,813,1964,21,3,16,31,11,7,10,0,15,19,75,210,5318,1282,245,9041,1268,3789,478,1266,371,1849,955,25875
SOSR214,7,23,5,1467,147,47,14,180,24,83,21,33,15,109,442,1118,16,0,16,17,9,8,4,0,7,16,48,143,2606,804,161,4317,697,1834,294,692,221,1058,534,13217
SOSR215,24,34,4,2973,284,68,29,297,50,153,28,67,32,119,724,1847,22,0,25,25,14,11,4,9,16,20,79,231,4491,1172,338,7727,1308,3306,442,1037,340,1597,858,22618
SOSR221,4,9,0,789,88,25,8,110,16,46,17,24,5,38,210,577,0,0,4,17,0,0,0,0,4,4,15,58,1146,358,100,2197,325,837,139,299,97,436,243,6185
SOSR222,0,9,0,377,52,17,3,58,3,18,7,15,0,33,141,352,3,0,4,0,0,0,0,0,0,7,18,40,644,177,45,1048,170,417,76,173,57,254,167,3234
SOSR231,57,121,26,8862,958,218,107,1071,127,396,78,182,82,305,1665,5192,106,9,78,107,22,35,18,15,13,68,206,681,11758,2655,776,17274,2210,6093,898,2143,704,3215,2049,49784
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
