SOSR_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR101,53,74,81,199,244,163,406,611,4583,47,5234,21,102,33,160,49,50,95,254,872,10,1139,24,248,105,378,123,140,262,642,1775,12,2431,45,482,189,720,160,197,355,1072,2833,18,3918,86,789,312,1187,206,251,457,1642,4970,27,6645,249,1687,590,2523,340,412,753,3272,6780,34,10083,746,2578,972,4294,322,297,618,4914,6965,50,11926,1789,3145,993,5932,268,237,503,6439,8893,70,15401,3499,3663,1141,8299,233,185,417,8721,8325,50,17098,4403,3423,1133,8956,246,214,459,9413,7122,53,16591,4671,2510,781,7960,171,112,286,8250,4986,35,13264,4608,2020,682,7309,142,104,244,7552,4131,30,11715,10367,3357,1288,15015,207,134,339,15350,6265,28,21650,4384,1649,667,6698,108,71,175,6877,3569,8,10454,4291,1128,411,5835,68,36,109,5944,1750,13,7705,1765,536,198,2493,33,18,52,2549,1012,5,3567,7269,1387,431,9089,112,43,152,9243,2182,29,11454,3478,1624,837,5934,181,127,303,6241,3878,471,10587,161,111
SOSR102,7,24,19,52,41,28,70,121,567,14,697,6,18,13,35,24,7,30,69,152,0,222,7,93,31,127,31,22,54,183,360,9,548,14,149,37,196,56,50,111,307,716,11,1035,28,274,95,397,65,82,145,545,1386,15,1948,107,802,226,1130,106,144,254,1383,2082,8,3471,238,1365,339,1940,92,109,198,2135,2054,11,4204,709,1571,348,2626,83,81,166,2791,3004,42,5831,1404,1641,320,3360,60,79,135,3493,2646,32,6172,1620,1433,266,3314,48,51,100,3419,1991,12,5422,1575,910,188,2670,36,19,58,2726,1168,13,3910,1589,695,171,2447,20,18,41,2492,872,15,3372,2835,1010,265,4110,43,15,59,4168,1099,6,5278,1197,410,103,1714,12,10,24,1737,541,9,2283,924,233,58,1216,11,11,17,1239,192,3,1437,350,83,23,453,0,0,0,455,91,0,543,765,170,49,982,14,3,12,999,229,5,1229,1211,625,202,2045,61,35,97,2139,1103,98,3330,42,54
SOSR111,5,8,0,12,9,4,12,20,85,0,112,0,3,0,3,0,4,4,12,42,0,51,3,13,0,19,16,16,26,48,72,0,124,0,36,9,49,21,14,31,85,131,4,214,7,72,6,85,27,26,54,137,301,4,443,29,216,30,277,25,45,72,351,464,4,812,74,342,66,477,36,38,72,549,432,5,982,204,373,50,624,16,23,34,660,524,8,1189,364,425,34,822,14,14,32,853,467,0,1325,406,252,46,696,17,14,28,728,323,3,1056,363,178,32,574,7,6,11,587,199,0,786,286,135,22,448,5,3,7,456,153,3,609,548,163,33,742,9,3,7,748,147,0,904,208,59,12,278,0,0,0,280,58,0,336,119,37,11,163,0,0,0,169,19,0,190,46,7,5,54,0,0,0,54,11,0,71,102,18,0,123,5,0,5,125,40,0,166,221,131,36,386,10,8,13,402,194,27,622,9,7
SOSR112,10,11,13,30,22,18,37,74,236,6,314,8,16,6,26,12,4,16,42,78,0,119,12,63,9,83,26,18,42,122,196,0,322,4,101,32,143,37,49,89,228,403,3,638,12,209,41,263,52,73,123,387,827,8,1220,80,562,95,739,88,103,189,934,1253,12,2193,237,865,137,1235,56,87,144,1385,1189,22,2598,551,1006,113,1672,46,48,91,1764,1519,13,3295,993,914,124,2026,26,43,68,2099,1279,14,3393,955,691,107,1760,26,28,53,1812,931,11,2749,816,462,73,1362,11,16,23,1382,497,3,1881,770,319,70,1156,8,7,21,1173,386,5,1563,1311,397,76,1781,16,10,23,1808,431,0,2245,551,138,39,729,6,5,18,741,186,6,929,321,82,20,424,3,5,11,436,69,4,514,122,23,5,151,0,0,0,158,41,0,198,229,76,19,326,7,4,9,334,91,6,433,583,339,85,1011,25,26,48,1059,584,49,1688,30,24
SOSR113,4,3,7,13,9,8,16,30,139,0,173,0,12,5,14,3,5,4,24,37,0,64,0,29,5,33,11,14,23,59,104,0,165,7,68,11,82,31,22,50,135,203,0,337,10,99,26,133,36,33,67,201,448,9,654,37,325,62,429,36,49,81,508,622,0,1131,119,406,74,603,35,30,67,664,593,10,1273,203,466,71,735,20,30,49,787,831,8,1627,400,475,63,936,19,21,40,973,701,12,1683,414,302,47,765,14,12,29,794,437,6,1237,312,206,40,561,12,9,17,582,251,6,836,317,136,27,477,3,0,8,486,161,3,648,524,158,37,715,8,3,7,725,209,0,936,187,62,12,260,10,0,10,267,85,0,353,120,29,8,163,3,0,5,166,43,5,212,39,12,9,59,0,0,0,61,19,0,74,102,33,6,142,0,0,3,143,40,3,186,222,193,52,462,22,13,33,489,321,28,842,16,19
SOSR114,0,6,0,13,13,7,12,27,120,9,160,0,6,0,7,0,5,9,20,42,0,61,4,34,0,42,13,14,28,67,88,0,152,7,55,9,67,19,21,37,110,196,4,302,12,120,13,147,25,37,66,206,406,3,624,41,281,45,372,41,55,97,465,596,5,1064,129,413,64,601,38,40,72,675,576,0,1250,283,464,63,814,22,25,49,857,797,9,1668,426,439,62,924,25,15,44,967,656,9,1628,441,311,34,785,13,20,35,819,426,7,1248,381,220,35,628,6,5,12,645,268,4,913,353,120,21,497,5,5,6,505,146,3,653,577,185,39,793,8,6,13,807,173,0,984,195,56,23,273,0,5,8,277,81,0,359,142,31,6,183,0,0,0,183,26,0,213,56,15,10,83,0,0,0,82,20,0,101,115,27,11,152,6,3,8,156,53,0,208,258,200,48,501,21,11,24,534,304,33,868,14,16
SOSR115,7,13,0,22,12,9,24,39,192,3,233,7,9,3,16,9,6,12,29,60,0,86,10,27,3,41,17,16,31,68,130,6,204,6,82,7,92,29,34,60,155,242,6,398,14,169,26,207,32,49,84,288,513,3,809,55,442,74,567,58,68,121,689,793,6,1490,159,599,85,838,48,51,95,934,733,10,1677,352,675,84,1109,36,35,69,1175,1042,17,2240,504,574,73,1160,20,27,42,1198,880,8,2087,540,487,65,1100,17,21,37,1137,603,8,1751,470,275,47,792,10,8,18,810,321,7,1135,410,167,31,607,3,4,12,619,216,0,841,756,239,53,1048,7,6,20,1069,254,3,1328,265,100,18,387,5,4,9,397,121,3,520,215,43,13,275,6,0,3,283,50,0,333,68,17,6,95,0,0,0,95,21,0,114,153,48,8,208,3,6,11,217,90,3,310,401,321,69,784,20,10,32,818,445,30,1298,14,17
SOSR121,4,0,5,7,6,0,6,15,49,0,67,6,4,0,6,0,0,3,10,16,0,23,0,9,3,19,0,0,3,19,33,0,53,3,17,12,28,6,5,12,44,60,0,112,6,26,7,39,6,14,20,57,126,0,188,10,114,14,132,13,14,25,154,180,3,335,32,147,15,198,5,11,17,219,166,0,382,65,138,11,215,0,5,10,229,258,0,487,146,137,19,307,8,6,21,325,205,10,532,119,99,21,234,6,0,5,243,163,4,411,110,58,23,192,0,0,4,199,80,0,279,95,52,10,158,0,0,0,155,70,6,225,174,68,15,265,0,0,3,272,65,0,335,60,31,9,97,0,0,0,97,26,0,130,41,12,0,55,0,0,0,55,14,0,74,20,0,4,26,0,0,0,26,3,0,31,40,12,0,53,0,0,0,53,18,0,77,79,60,18,152,11,0,12,165,116,10,288,4,3
SOSR122,0,0,0,0,0,3,8,5,38,0,40,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0,6,4,8,10,16,0,24,3,7,0,13,0,3,6,12,31,0,46,3,18,4,23,8,4,9,30,81,0,115,9,52,10,74,4,9,17,91,94,0,186,15,66,10,94,9,3,11,107,99,3,213,39,75,6,122,5,0,11,130,161,0,295,48,73,0,122,3,3,5,130,111,0,237,39,50,5,104,0,0,3,109,78,0,185,41,26,7,78,0,0,0,80,41,0,116,53,14,3,67,0,0,0,72,30,0,97,77,28,6,111,3,0,3,116,27,0,144,27,8,7,35,0,0,0,35,14,0,50,20,4,0,30,0,0,0,30,8,0,31,13,3,0,12,0,0,0,12,0,0,12,30,4,0,39,0,0,0,37,15,0,53,54,36,8,102,4,4,4,103,66,7,176,3,6
SOSR131,19,12,11,37,9,8,15,55,228,3,289,17,21,0,36,0,3,3,41,83,0,122,13,34,15,58,14,4,18,77,148,4,228,27,63,19,113,29,22,50,159,258,3,418,52,151,28,228,28,27,62,288,482,0,770,61,335,71,467,36,57,96,563,626,12,1194,149,417,78,647,29,38,68,719,620,13,1349,290,441,77,809,24,12,42,854,881,20,1747,453,473,67,993,22,16,34,1028,805,14,1842,434,388,57,887,21,18,36,919,578,11,1512,387,212,56,648,10,3,15,665,354,7,1025,410,212,53,676,3,3,8,686,278,4,970,735,281,71,1089,6,6,14,1104,367,10,1479,319,115,31,460,8,4,10,472,180,4,652,255,73,21,349,0,0,0,349,84,0,426,95,34,13,139,0,0,0,139,44,0,180,335,102,33,474,9,0,6,480,108,5,592,481,297,74,858,27,18,42,899,565,51,1511,35,26
