SOSR_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOSR101,235,514,15,7,24,542,907,1203,2649,51918,30504,11076,93494,3227,2788,6018,99510,81802,2201,183509
SOSR102,62,159,9,6,11,171,290,278,742,14615,11553,2807,28969,818,769,1594,30558,20545,576,51679
SOSR111,21,41,5,0,5,44,58,55,159,2984,2495,410,5885,207,211,417,6302,3723,113,10147
SOSR112,40,99,0,9,6,101,199,203,504,7599,6312,1110,15021,466,552,1013,16037,10397,372,26802
SOSR113,21,52,5,4,5,62,116,107,286,3040,3023,571,6632,268,247,518,7152,5358,200,12711
SOSR114,18,45,0,4,6,52,106,111,266,3426,3004,494,6925,253,270,524,7450,5077,208,12735
SOSR115,25,58,0,4,4,56,138,170,369,4410,4309,700,9416,320,351,670,10086,6856,291,17235
SOSR121,10,10,0,0,0,14,39,43,100,1018,992,194,2200,66,74,142,2345,1690,82,4115
SOSR122,0,7,0,0,0,7,22,34,63,484,477,85,1046,44,35,85,1130,937,44,2109
SOSR131,35,101,3,0,4,101,117,161,386,4571,3689,804,9067,267,248,516,9584,6795,313,16692
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,266,615,21,19,39,659,893,1104,2648,55665,39186,6487,101337,3307,3429,6729,108070,70919,2108,181096
SOSR203,23,60,8,5,9,67,119,117,300,5252,5036,753,11034,341,378,719,11758,7083,220,19064
SOSR211,18,37,4,0,4,41,37,33,116,1597,1332,271,3197,163,176,341,3540,2699,63,6300
SOSR212,15,51,0,5,8,55,85,92,231,3745,3229,513,7485,209,233,443,7926,4250,177,12349
SOSR213,14,44,0,0,4,49,83,88,221,3142,3254,515,6914,212,246,462,7374,4539,166,12075
SOSR214,7,31,3,0,6,33,46,50,131,1686,1716,292,3685,109,139,247,3934,2697,93,6722
SOSR215,16,47,0,0,0,47,91,97,234,2352,2617,396,5374,151,154,308,5685,3634,170,9482
SOSR221,3,11,0,0,0,11,22,21,49,573,565,89,1230,39,37,80,1310,860,29,2210
