SOSR_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
SOSR101,11236,12269,9198,6112,34097,58279,17101,50215,1879,200392,8245,21866,15274,11621,72378,106620,22302,53433,2732,314474,35021,19096,13862,7542,34701,42776,8807,15025,3575,180404,13271,9580,6645,3570,10425,8352,4064,4288,1099,61290,4647,7113,5945,3355,26182,23104,5371,10086,852,86656,8879,14987,9249,3902,12802,13558,3019,6033,1038,73467,12249,11503,11631,6098,23418,19143,5611,10632,2231,102522,18490,19662,13045,5236,15308,12009,2716,4495,2055,93016,2402,1952,1688,817,3806,4157,738,2120,6758,24434,114445,118028,86544,48251,233120,288002,69729,156325,22207,1136652,11460,10503,10261,7910,27822,34244,10350,22388,976,135910,19690,38855,38090,26553,77811,88425,19714,37821,2812,349771,8360,5557,5033,2578,7177,5339,947,1603,484,37079,27064,30201,23612,13371,20812,11598,2442,4199,2136,135435,16872,32413,30658,16869,60378,40797,6860,8820,1878,215553,21253,24917,14392,6152,13084,9069,1901,2632,1199,94601,2179,2800,2771,1493,5040,2446,531,597,318,18170,8975,12081,8932,3537,8474,4373,867,1190,884,49299,1823,1873,1575,750,3384,2733,439,931,4960,18469,117668,159210,135334,79211,223968,199031,44047,80183,15653,1054301
SOSR102,1365,1746,1439,1165,5776,9010,3362,8856,248,32969,1571,3332,2658,2495,10716,13507,3517,7350,237,45386,4384,4347,3493,2716,13575,18559,4144,6749,823,58790,2680,3219,2297,1612,3375,2529,1436,1319,260,18722,657,1130,891,571,4326,3278,993,1518,89,13455,1359,4137,1982,987,2778,2389,672,1133,169,15607,1702,2628,1807,1252,5722,5568,2188,4150,418,25437,2909,6990,3448,2050,5058,4821,1167,2054,529,29021,360,375,248,159,778,839,236,444,1018,4459,16991,27916,18256,13007,52100,60504,17701,33569,3790,243837,2014,2046,2054,1763,5106,4885,1619,3323,149,22962,4553,8290,9817,7190,13131,12893,3257,5742,391,65271,1804,1767,1665,980,2028,1347,287,393,130,10399,6178,11178,8903,5642,6968,3657,955,1263,615,45352,3133,7638,8678,5265,13562,7291,1360,1546,350,48837,4015,9280,4752,2173,3503,1656,371,474,272,26495,288,767,509,242,607,340,153,206,45,3145,1830,5216,2661,1134,1668,891,195,390,226,14212,367,377,306,175,576,373,80,152,838,3234,24181,46548,39346,24561,47160,33327,8273,13495,3010,239908
SOSR111,132,197,195,186,965,1504,655,1684,43,5565,205,389,369,366,1568,1700,541,1061,36,6230,380,520,512,431,2853,3510,1084,1791,143,11234,244,556,482,367,661,464,220,256,35,3288,83,189,165,118,675,551,201,269,14,2260,139,796,367,209,619,476,160,306,40,3091,253,449,425,293,1252,1392,610,1347,104,6131,306,1369,709,464,1174,1172,270,488,137,6077,38,66,42,37,159,158,49,99,202,855,1778,4533,3272,2470,9930,10921,3778,7304,754,44728,177,269,351,307,904,883,292,618,31,3829,687,1145,1513,1240,2122,1879,583,1024,54,10250,121,377,369,227,512,302,85,113,9,2110,631,2221,1935,1388,1550,799,208,319,147,9208,425,1206,1490,997,2551,1426,286,326,57,8766,396,2088,1098,497,814,372,81,108,53,5514,50,124,104,41,112,92,34,79,7,638,281,1277,662,354,493,285,74,113,64,3607,42,88,52,36,124,67,28,33,148,620,2806,8796,7582,5095,9192,6100,1663,2728,577,44538
SOSR112,457,661,602,475,2589,3580,1598,4442,127,14537,501,1322,1051,946,4152,4587,1428,2959,130,17078,1020,1565,1362,1208,6960,8235,2329,4266,383,27327,654,1515,1202,1035,2184,1487,648,803,122,9651,212,476,325,281,1791,1364,408,657,46,5568,346,2026,978,522,1655,1385,477,768,100,8265,561,1050,923,618,2718,2704,1047,3056,244,12914,800,3430,1852,1240,3730,3353,856,1384,340,16977,132,179,98,87,437,391,104,231,605,2254,4681,12216,8386,6409,26211,27098,8891,18579,2094,114568,583,719,875,707,2442,2183,817,1594,74,9988,1742,3290,3803,2934,6174,5836,1660,2767,186,28398,388,909,859,570,1220,740,207,268,61,5220,1739,5278,4751,3419,4487,2181,573,899,348,23670,970,3019,3465,2353,6441,3240,638,780,155,21063,931,4636,2528,1244,2122,945,251,287,168,13107,100,267,196,123,249,172,63,132,21,1314,763,3307,1688,877,1495,1009,180,318,165,9801,129,178,167,89,304,188,38,70,472,1641,7337,21592,18332,12316,24943,16492,4425,7121,1656,114220
SOSR113,195,357,293,240,989,1465,571,1590,48,5741,207,503,399,341,1283,1463,472,973,48,5690,515,807,649,613,3076,3664,988,2070,220,12602,325,657,487,391,781,532,232,324,59,3796,84,205,143,105,527,425,138,253,17,1892,145,851,404,242,612,443,156,244,47,3145,371,486,451,280,1245,1454,635,1804,124,6850,456,1568,802,568,1318,1069,291,537,178,6778,55,85,67,37,121,162,40,114,338,1016,2360,5511,3695,2806,9958,10682,3525,7909,1068,47508,250,362,450,318,966,848,262,605,27,4089,624,1228,1497,1027,1919,1874,549,955,83,9756,151,473,393,253,444,275,69,121,34,2216,827,2493,2164,1436,1639,851,225,381,211,10220,450,1331,1471,988,2365,1253,248,297,67,8464,492,2098,1238,578,894,405,104,106,95,6014,65,125,120,50,142,130,51,163,12,859,403,1640,769,335,424,249,57,126,91,4102,55,94,60,46,96,62,8,40,258,714,3314,9847,8153,5042,8881,5949,1570,2792,880,46426
SOSR114,207,364,294,287,1246,1842,724,2371,87,7409,228,446,389,363,1626,1897,585,1237,53,6821,615,802,711,680,3260,4101,1191,2317,209,13886,269,567,464,413,754,526,250,331,59,3628,85,181,152,97,706,533,174,281,25,2232,152,859,426,251,652,658,207,353,56,3616,354,524,500,334,1370,1468,581,1922,151,7200,442,1689,911,703,1993,1747,417,734,196,8832,71,100,55,50,181,169,43,127,323,1116,2420,5533,3900,3173,11800,12938,4166,9661,1143,54731,270,390,472,386,1137,1125,376,867,32,5063,810,1382,1637,1281,2456,2285,773,1223,80,11932,235,439,448,282,578,370,79,157,33,2619,853,2506,2425,1670,2045,988,240,410,154,11302,560,1573,1757,1169,2913,1536,314,384,84,10301,436,2190,1226,627,1077,468,122,180,101,6428,59,127,107,51,139,104,38,128,8,767,336,1729,905,432,653,509,111,180,87,4947,78,90,68,50,133,73,17,35,247,779,3641,10428,9053,5945,11144,7464,2059,3561,843,54137
SOSR115,377,559,531,389,1603,2590,963,3168,123,10309,304,851,693,608,1991,2344,693,1633,62,9191,1020,1369,1180,993,4505,5989,1607,3267,376,20298,475,814,645,488,1184,794,390,521,92,5398,127,305,230,174,851,643,197,344,27,2893,223,1046,489,297,725,730,200,390,69,4170,686,766,696,452,2004,2324,912,2803,240,10879,720,2255,1217,897,2140,2232,589,1084,245,11383,132,145,79,56,221,264,56,197,470,1614,4061,8109,5760,4357,15226,17913,5608,13403,1708,76136,465,651,686,566,1522,1437,502,1335,59,7211,1054,2156,2550,1867,3093,3149,957,1721,132,16672,366,701,656,406,752,508,128,219,65,3795,1336,3729,3271,2285,2552,1262,366,584,273,15652,794,2525,2447,1715,3637,1898,387,507,129,14040,622,2719,1735,833,1300,629,145,211,128,8324,85,174,181,97,185,162,58,168,16,1122,565,2480,1178,569,763,572,144,250,131,6659,104,172,110,64,189,107,17,50,395,1207,5395,15302,12810,8389,13986,9719,2707,5047,1330,74678
SOSR121,115,151,163,130,452,751,264,988,34,3048,110,226,200,173,611,702,165,451,26,2651,311,400,349,325,1275,1807,418,908,104,5905,126,246,200,105,318,221,90,131,24,1457,50,100,77,52,219,183,47,115,4,844,52,345,124,80,195,204,58,121,16,1196,160,219,187,117,572,628,223,785,57,2952,196,646,336,226,568,582,147,291,74,3059,31,51,16,19,77,86,21,60,135,498,1156,2377,1644,1219,4286,5171,1434,3843,484,21611,122,180,199,158,436,435,148,376,14,2062,300,680,763,550,867,913,258,511,45,4887,105,194,180,125,190,134,40,64,21,1047,337,1058,938,562,610,325,80,146,51,4117,211,777,797,479,970,545,110,138,29,4063,174,817,455,221,329,158,40,57,29,2281,15,50,47,30,29,34,23,38,3,269,154,654,279,147,174,115,22,71,24,1645,31,40,33,18,50,32,5,19,111,338,1458,4443,3698,2286,3661,2690,717,1421,332,20708
SOSR122,67,90,100,59,207,384,123,509,26,1559,40,107,84,78,220,312,78,207,9,1125,116,193,194,147,561,737,213,418,50,2632,82,128,91,61,160,99,52,50,13,734,23,47,31,27,98,108,33,47,8,422,26,107,72,47,105,99,29,58,4,548,101,118,97,63,243,319,130,379,40,1489,111,289,196,123,316,332,99,175,50,1696,16,20,14,11,37,42,11,19,78,249,580,1094,876,623,1950,2426,762,1864,285,10456,52,104,96,68,200,212,80,222,22,1058,140,275,313,252,393,381,91,221,20,2084,44,108,71,56,106,63,15,32,11,506,165,534,424,297,307,158,50,79,35,2040,113,368,375,226,502,267,53,74,21,1997,85,338,193,96,169,73,21,16,6,996,15,28,27,9,24,20,8,25,4,162,78,333,156,71,91,84,22,40,22,892,12,25,22,7,30,19,0,12,41,166,695,2105,1669,1086,1819,1289,344,717,180,9901
SOSR131,1109,2098,2058,1701,3545,8037,3039,18627,752,40976,601,1568,1191,982,2644,3776,1191,3375,154,15481,1853,2347,1835,1530,6123,9064,2379,6126,561,31817,661,1129,681,500,1134,1114,405,700,128,6453,217,490,371,200,1039,1030,291,680,47,4361,391,1495,683,384,905,1143,307,938,130,6364,1081,1324,1119,728,2457,3609,1365,4974,443,17092,1241,3507,1875,1279,2913,3659,991,2609,460,18546,259,253,175,117,346,517,126,467,861,3125,7411,14216,9972,7421,21111,31948,10086,38495,3545,144209,1036,2376,2542,1828,2841,4181,1279,5423,393,21910,1850,4118,4610,3195,4552,5254,1483,3167,260,28481,606,1249,1084,704,1060,937,207,475,102,6415,1843,4759,3999,2485,2822,1636,397,717,356,19018,1504,5299,5152,2910,5863,3754,712,1210,306,26713,1009,4092,2148,1009,1543,878,227,386,194,11484,155,372,350,152,312,236,102,319,46,2038,735,3383,1702,845,1184,978,268,673,230,9995,216,298,216,114,267,243,52,152,775,2330,8951,25942,21811,13227,20437,18094,4741,12512,2670,128384
