SOSR_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOSR101,30453,28810,59260,12452,15408,27856,619,288,903,657,573,1233,1633,1633,3265,431004,285742,716747,20570,36049,56616,10732,166,10899,8057,1048,9103,6630,1996,8627,6134,4256,10390,24659,27888,52545,553597,403852,957450,9737,11874,21610,102,81,184,402,450,850,3374,1965,5336,675,1355,2031,899,512,1406,15194,16230,31427,106,78,184,246,264,506,659,511,1167,435,1010,1444,403,452,855,1842,2310,4155,4785,2750,7530,21819,21291,43106,3011,3171,6181,275,295,576,174,81,255,3463,3548,7012,418888,461371,880258,133637,160377,294009,5249,3861,9110,1136652,1054301,2190950
SOSR102,1348,736,2091,1441,1891,3325,54,35,89,45,34,80,215,226,443,142554,112547,255102,7250,8964,16218,3004,70,3074,1677,216,1894,1568,521,2090,1064,690,1758,3745,4283,8030,163967,130222,294189,329,241,572,5,7,8,17,10,21,460,182,645,77,66,146,78,31,116,964,534,1499,12,6,18,7,8,17,102,116,219,120,244,364,50,78,127,289,453,741,1413,742,2160,2671,1731,4398,172,120,295,56,62,117,50,23,78,281,203,486,46765,62158,108921,29164,44737,73903,994,858,1851,243837,239908,483747
SOSR111,96,68,166,158,180,342,18,4,20,0,0,3,61,71,137,30841,26493,57328,1829,2121,3949,515,7,521,330,39,370,348,101,447,198,115,309,769,869,1636,35167,30070,65228,15,19,30,0,0,0,6,7,12,26,11,40,6,5,10,20,5,22,72,49,117,0,0,0,0,0,0,11,6,13,14,25,34,6,4,6,24,38,59,273,161,437,370,248,613,22,19,41,0,3,8,18,3,23,46,28,71,4476,6839,11314,4474,7194,11670,201,165,369,44728,44538,89270
SOSR112,193,127,317,407,330,739,38,35,72,10,3,8,205,319,531,77325,68753,146076,5799,6857,12652,1691,49,1736,832,93,917,682,202,884,500,329,830,2961,3075,6042,90633,80159,170793,27,31,51,0,0,0,0,0,0,39,26,60,9,6,21,20,6,26,96,69,167,0,0,0,0,0,0,41,30,69,22,42,70,15,29,38,79,100,172,766,466,1235,943,635,1578,28,17,44,10,14,20,46,12,55,80,45,124,11669,16192,27863,10622,16632,27257,614,555,1171,114568,114220,228784
SOSR113,29,16,50,136,138,277,16,4,18,4,0,6,69,78,146,31324,27250,58575,2150,2373,4525,760,18,779,342,33,376,477,203,686,240,143,378,1352,1467,2822,36902,31737,68637,4,6,10,0,0,0,0,0,0,18,8,26,5,0,6,5,8,14,34,17,53,0,0,0,0,5,5,14,8,20,17,21,40,9,0,11,42,32,76,353,215,567,430,266,694,4,3,9,3,0,5,12,7,20,22,15,31,4500,6659,11159,5314,7452,12768,347,292,642,47508,46426,93937
SOSR114,89,56,146,310,185,490,12,7,13,4,0,4,66,59,125,37541,33181,70721,2699,2860,5561,1025,43,1070,376,44,421,361,124,489,283,149,433,1645,1881,3520,44409,38591,82997,12,9,24,0,0,0,0,0,0,32,13,48,6,5,8,4,0,5,53,32,87,0,0,4,0,0,0,33,16,54,20,21,42,12,5,12,63,45,106,375,193,568,494,266,759,6,7,13,5,0,9,17,9,24,27,18,40,4709,7326,12039,4692,7630,12320,398,310,708,54731,54137,108869
SOSR115,102,52,151,370,238,605,14,14,27,7,0,10,27,33,61,49985,43165,93154,3240,3226,6460,1790,55,1849,398,46,445,436,193,628,418,231,650,2722,3250,5969,59517,50504,110016,8,9,15,3,0,5,0,0,0,52,31,81,9,8,15,5,0,4,74,57,126,0,0,3,0,0,0,32,16,55,42,29,66,4,0,12,80,53,133,536,231,767,690,337,1026,11,11,26,8,6,7,14,5,24,33,20,59,7899,12094,19999,7453,11230,18687,545,492,1043,76136,74678,150819
SOSR121,38,19,59,59,46,106,3,0,4,0,0,5,3,0,11,14107,12041,26141,818,786,1601,625,18,638,97,11,116,92,41,133,116,51,167,584,649,1236,16554,13664,30219,0,6,5,0,0,0,0,0,0,23,13,32,0,4,8,0,0,0,22,26,48,0,0,0,0,0,0,8,8,14,3,3,8,0,0,3,9,12,21,188,75,272,224,113,337,5,5,10,3,0,9,5,0,3,15,6,16,2538,3640,6173,2123,3129,5249,171,145,316,21611,20708,42319
SOSR122,11,13,21,59,27,85,4,4,5,0,0,3,14,0,14,6586,5598,12187,368,400,766,302,8,315,52,8,61,43,16,60,85,36,124,496,539,1037,8021,6648,14664,5,0,5,0,0,0,0,0,0,7,5,16,0,0,0,0,4,6,20,7,24,0,0,0,0,0,0,9,0,11,4,3,8,0,0,0,12,8,11,90,54,145,116,68,185,0,0,0,0,0,4,6,0,6,8,0,9,1191,1675,2863,1011,1447,2461,109,64,167,10456,9901,20362
SOSR131,100,66,168,302,239,541,28,5,27,7,0,5,27,10,43,81756,68867,150626,4212,4432,8642,5326,152,5484,1012,186,1196,305,98,402,1531,609,2142,5904,3452,9361,100502,78126,178630,4,9,17,3,0,0,0,0,0,71,58,129,16,5,19,4,4,7,95,75,173,5,0,3,0,0,3,57,31,85,27,35,68,11,9,20,99,80,183,1149,433,1586,1350,584,1935,22,16,39,13,20,34,114,24,139,150,56,204,28776,31585,60369,12039,16857,28900,1384,1172,2551,144209,128384,272591
