SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
1000,512521,509868,1022386,27405,26018,53421,65731,61635,127373,29618,27767,57384,23450,21421,44872,50050,51383,101435,53303,56041,109347,64200,66528,130732,77761,78512,156274,73355,68746,142106,37359,37089,74446,10281,14721,25000,480611,483382,963997,31916,26481,58397,35093,34687,69778,582,507,1097,730,709,1439,36406,35904,72314,419091,415599,834689,46354,49602,95957,447469,448603,896076,18323,20177,38503,451536,453131,904666,7871,7685,15555,58932,55306,114240,19134,19265,38395,4436,6025,10461,7994,18465,26459,147738,181906,329646,31774,31133,62915,132339,118969,251313,37992,32694,70688,23040,16870,39908,1585,1155,2736,453052,458525,911576,59974,52034,112007
1001,47384,50407,97793,3104,3077,6185,6456,6249,12706,3086,2921,6009,3029,2941,5973,6437,6650,13092,5815,6309,12123,5607,6047,11653,5510,6097,11600,4950,5449,10394,2565,3258,5823,831,1401,2228,45295,48519,93812,2086,1893,3976,1600,1797,3402,38,50,91,50,48,101,1692,1895,3591,38906,41750,80657,5777,6025,11801,40908,43873,84788,3810,3958,7769,42340,45395,87730,902,935,1836,6014,5833,11848,2113,2164,4277,822,1045,1866,1376,2469,3851,16021,19605,35624,5100,5026,10131,9340,9109,18447,2886,2734,5617,1747,1750,3502,302,322,625,43489,46625,90117,3556,3468,7024
1002,11358,12607,23967,685,636,1315,1440,1520,2954,907,1118,2028,1025,1092,2111,1567,1687,3251,1278,1350,2626,1163,1356,2521,1324,1432,2760,1069,1188,2253,683,859,1542,226,378,599,10745,11904,22644,616,710,1320,872,964,1829,14,12,26,17,11,34,899,996,1896,8453,9283,17731,1855,2086,3937,8958,9869,18828,1335,1463,2802,9216,10177,19394,222,190,407,1280,1353,2631,589,732,1319,427,564,994,609,875,1480,4933,5862,10795,605,614,1217,1799,1814,3607,540,583,1121,377,351,731,77,115,193,9765,10613,20382,1548,1882,3433
1003,22225,23969,46190,1146,1053,2196,2786,2530,5318,1269,1147,2416,977,902,1877,1989,2266,4253,2509,2724,5234,2768,3124,5897,3078,3419,6499,3185,3516,6697,1824,2135,3961,691,1146,1833,21291,23054,44344,929,913,1850,806,903,1715,27,23,48,21,22,45,858,945,1808,18235,19380,37622,2694,3180,5875,20044,21417,41457,957,1232,2189,20166,21626,41794,387,322,705,2609,2362,4975,905,866,1766,247,314,568,532,1008,1539,8477,9996,18475,1385,1416,2801,5022,5437,10453,1360,1409,2769,750,717,1467,55,53,112,20749,22264,43013,1480,1691,3174
1004,8492,9027,17524,396,362,756,905,909,1811,447,396,837,329,307,641,699,752,1452,739,812,1552,1034,1041,2069,1255,1492,2748,1570,1615,3186,855,942,1797,258,404,664,8025,8648,16670,469,383,853,560,614,1172,4,5,12,12,10,18,570,635,1206,6541,6897,13442,1251,1444,2698,7434,7924,15359,437,493,928,7566,8092,15659,106,113,213,802,832,1636,287,266,553,63,65,131,133,312,449,2726,3119,5844,577,564,1144,2245,2386,4632,609,663,1272,378,352,736,28,19,50,7674,8195,15867,960,965,1924
1005,18603,18791,37396,1120,1057,2180,2532,2409,4943,1323,1199,2520,1382,1248,2631,2653,2510,5163,2277,2175,4447,2171,2301,4470,2062,2210,4268,1751,1879,3631,999,1156,2162,335,641,977,17855,18088,35944,751,701,1451,1457,1326,2778,14,14,31,38,34,75,1507,1376,2883,15698,15950,31646,1945,1921,3867,15928,16744,32668,1093,1161,2255,16202,17032,33237,368,349,714,2377,2253,4629,932,931,1867,380,494,870,492,905,1396,6410,7716,14125,1126,1071,2198,4085,3865,7955,1076,1141,2214,617,561,1175,57,57,110,16457,17222,33683,2344,1548,3888
1006,19838,21763,41600,1060,1063,2125,2534,2458,4989,1169,1151,2322,897,865,1763,1929,1993,3919,2117,2237,4355,2465,2769,5232,2536,2857,5395,2593,3228,5825,1893,2271,4162,634,881,1515,19101,21020,40125,731,742,1475,481,495,977,3,6,14,13,14,27,490,521,1009,15161,16738,31905,3698,3957,7654,17344,19052,36393,1519,1677,3195,17610,19359,36963,327,346,673,2399,2321,4716,859,931,1791,254,336,599,439,835,1277,8365,9724,18082,1128,1277,2400,4216,4502,8714,1074,1138,2213,485,462,945,58,44,101,18636,20394,39035,1198,1398,2589
1007,8565,9020,17588,486,483,972,1008,1019,2030,519,452,971,475,424,896,1050,1128,2182,921,962,1883,1015,993,2010,1244,1320,2570,1101,1112,2214,542,735,1272,205,388,590,8064,8561,16632,502,464,961,827,880,1708,7,0,10,25,15,34,858,891,1751,7393,7726,15119,407,493,907,7548,7938,15480,264,334,596,7634,8034,15670,130,132,266,899,895,1794,263,273,538,68,69,132,191,397,590,1837,2310,4145,636,577,1211,2449,2414,4858,776,874,1650,616,604,1218,33,15,44,7646,8090,15738,994,1033,2023
1008,5267,5648,10914,245,235,477,504,507,1014,208,199,413,221,329,544,983,1134,2118,843,870,1711,688,695,1387,675,705,1375,620,604,1225,237,241,483,50,121,171,4921,5307,10230,346,341,688,93,85,172,5,7,14,7,11,17,107,101,201,3370,3572,6942,1435,1599,3032,4128,4348,8469,681,824,1502,4038,4269,8302,60,58,117,460,457,919,152,146,300,53,85,135,244,424,665,2871,3281,6157,296,251,547,710,678,1385,116,164,282,83,60,144,9,8,12,4482,4895,9373,953,927,1889
1009,8977,9512,18484,307,277,590,897,909,1810,488,418,905,316,254,574,513,539,1058,649,793,1443,1013,1088,2098,1361,1630,2996,1876,1910,3785,1201,1229,2429,348,462,811,8523,9065,17585,454,446,900,391,384,780,8,11,16,13,8,21,412,401,815,7614,8005,15613,911,1081,1996,8407,8920,17330,167,242,406,8373,8872,17241,108,91,195,855,848,1706,331,316,651,84,87,170,145,311,457,2692,3193,5888,560,585,1143,2760,2911,5673,884,837,1719,418,348,767,16,27,38,8441,8987,17428,497,529,1022
