SUA_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
1000,175221,94595,93957,103130,123666,146394,132701,70580,23744,963997,311,307,265,285,339,527,579,460,170,3234,5461,7057,5705,4739,5628,7546,6395,2374,798,45698,110,329,438,284,360,576,974,446,61,3583,158,534,494,350,501,628,414,114,21,3218,23,77,105,70,83,108,96,35,8,610,4,67,72,34,34,74,83,21,4,395,8,38,34,24,36,102,95,28,4,374,0,17,12,7,14,13,13,4,0,91,227,261,356,265,278,483,385,128,19,2393,0,0,0,0,4,4,0,0,0,3,5996,8388,7206,5771,6937,9531,8459,3159,903,56355,6304,8696,7471,6051,7277,10062,9042,3611,1071,59589,181525,103294,101427,109185,130942,156450,141742,74195,24813,1023581
1001,18576,11412,12596,11724,11263,11033,9581,5508,2122,93812,11,18,25,11,17,26,31,27,12,184,179,295,219,170,141,164,137,74,52,1430,156,287,264,193,183,153,123,54,32,1445,3,45,38,16,13,21,7,0,0,145,0,10,7,5,3,7,5,0,0,38,0,3,5,6,3,7,5,0,0,30,0,8,0,0,0,10,0,0,0,17,0,5,4,0,3,0,0,0,0,15,0,14,7,4,0,5,0,0,0,30,0,0,0,0,0,0,0,0,0,0,333,667,546,390,347,359,292,131,84,3148,351,684,569,400,364,385,322,160,97,3329,18925,12091,13165,12130,11624,11416,9904,5667,2219,97141
1002,4136,3690,3095,2555,2419,2619,2090,1466,567,22644,5,10,8,5,4,12,5,7,5,55,86,351,139,97,97,69,51,35,20,939,0,11,9,0,7,0,0,0,0,32,0,38,13,0,9,24,3,0,0,96,0,4,0,0,0,0,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,87,409,165,104,115,107,66,38,21,1109,87,419,169,106,123,115,67,45,27,1165,4222,4110,3269,2665,2541,2730,2160,1511,592,23814
1003,7347,4100,4074,5068,5674,6158,6330,3831,1755,44344,14,5,11,7,9,9,16,14,10,97,131,193,174,121,144,219,188,87,45,1306,0,12,7,5,4,22,79,22,10,167,8,26,36,29,28,33,27,7,0,196,4,3,0,0,3,3,8,0,0,26,0,0,0,0,3,0,0,3,0,13,0,0,0,0,0,4,9,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,152,239,221,158,185,292,319,127,56,1743,166,250,234,164,192,297,337,140,65,1839,7510,4347,4308,5233,5869,6461,6669,3971,1827,46187
1004,2522,1399,1373,1498,1969,2576,2972,1716,644,16670,0,0,3,0,8,5,8,6,3,41,87,111,87,79,95,132,68,43,13,708,6,0,7,0,5,13,6,3,0,36,0,0,12,4,13,3,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,16,29,38,79,54,26,7,289,0,0,0,0,0,0,0,0,0,0,106,130,121,109,160,230,130,67,24,1083,107,126,121,109,165,235,141,79,33,1118,2634,1527,1496,1609,2132,2815,3112,1792,669,17793
1005,7013,4899,4953,4326,4302,4047,3413,2050,929,35944,0,11,7,0,5,10,13,6,14,73,132,402,235,165,185,129,118,75,26,1466,0,12,4,0,3,0,4,0,0,24,4,0,8,0,0,4,4,0,0,23,0,5,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,140,422,251,172,198,146,125,76,29,1557,139,439,256,170,211,152,133,87,36,1626,7156,5338,5210,4500,4514,4204,3544,2139,973,37573
1006,6964,3880,3769,4207,5082,5195,5549,4036,1455,40125,6,0,0,8,4,12,15,8,4,46,182,242,176,135,149,160,185,95,42,1372,0,0,0,0,0,6,6,0,0,16,0,13,0,3,9,5,3,6,0,36,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,186,256,184,138,155,176,204,103,44,1453,192,256,183,146,161,187,214,112,50,1496,7150,4134,3953,4352,5252,5378,5762,4144,1502,41619
1007,2890,1752,2055,1769,1909,2411,2068,1207,572,16632,5,5,3,12,0,8,19,13,0,65,92,85,100,86,91,154,114,34,11,768,0,14,6,5,5,10,18,0,0,57,0,0,3,7,0,11,9,0,0,22,3,25,18,18,23,32,44,12,0,175,0,0,0,0,0,0,7,0,0,11,0,0,0,3,0,0,3,0,0,14,0,0,6,0,0,0,0,0,0,10,0,0,3,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,95,133,135,113,125,210,198,52,11,1070,100,140,144,126,127,215,215,60,16,1131,2992,1894,2194,1896,2032,2628,2284,1268,583,17767
1008,1450,888,1998,1603,1296,1268,1119,446,167,10230,0,0,10,0,9,4,4,3,0,26,86,81,131,100,96,101,68,23,3,695,8,17,23,14,22,41,34,17,0,176,6,14,17,12,10,8,9,0,0,71,0,3,0,0,0,3,4,0,0,17,0,0,3,5,0,0,0,0,0,14,0,0,0,3,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,3,0,0,11,0,0,0,0,0,0,0,0,0,0,102,123,177,136,130,170,126,40,7,1003,102,123,184,133,141,175,126,41,7,1028,1550,1004,2183,1733,1438,1442,1246,491,174,11258
1009,2316,1383,999,1355,2006,2824,3575,2340,788,17585,0,0,0,6,3,7,14,12,0,45,90,87,70,60,70,130,136,66,16,726,3,0,3,0,3,4,13,15,0,49,0,7,4,4,4,6,7,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,7,0,0,0,0,0,0,0,0,0,0,96,91,76,62,84,144,156,83,16,813,95,91,77,67,86,153,169,89,22,864,2413,1475,1073,1425,2092,2979,3748,2435,807,18451
