SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
1000,37,6,9,9,29556,29618,538,41,13,18,22836,23450,14520,845,685,38,33968,50050,28784,2259,2903,126,19226,53303,35997,3485,7342,454,16917,64200,45285,4100,12588,1464,14326,77761,46618,3677,12508,3560,6994,73355,24688,1251,4721,4640,2060,37359,5512,198,677,3395,494,10281,201982,15860,41453,13707,146382,419389,24,7,4,11,27722,27767,926,83,16,11,20385,21421,18715,1411,1107,85,30070,51383,31889,2869,4009,382,16894,56041,38908,3827,9259,1195,13341,66528,47401,3810,13657,3974,9668,78512,42080,2421,11256,9000,3981,68746,18086,647,4014,13152,1191,37089,2645,98,722,10806,443,14721,200681,15174,44032,38616,123705,422206,57,17,7,22,57277,57384,1463,124,31,23,43225,44872,33234,2253,1785,125,64034,101435,60673,5127,6909,512,36122,109347,74908,7310,16602,1651,30260,130732,92692,7909,26245,5439,23992,156274,88704,6098,23772,12556,10976,142106,42771,1898,8732,17789,3255,74446,8161,296,1402,14205,934,25000,402658,31031,85486,52326,270083,841594
1001,5,0,0,0,3080,3086,54,8,0,0,2969,3029,1834,111,109,3,4386,6437,3207,266,393,13,1933,5815,3116,327,766,35,1363,5607,3348,299,885,101,873,5510,3315,211,765,249,396,4950,1785,74,284,303,121,2565,483,14,57,249,29,831,17137,1315,3258,967,15149,37822,3,0,4,5,2911,2921,108,17,5,0,2814,2941,2378,206,164,12,3889,6650,3419,413,560,50,1857,6309,3232,411,1048,127,1230,6047,3407,357,1339,296,688,6097,3050,246,1084,786,279,5449,1392,77,472,1207,112,3258,248,4,73,1042,39,1401,17239,1731,4742,3531,13829,41079,11,4,4,4,5993,6009,163,19,3,0,5780,5973,4214,309,270,18,8273,13092,6624,675,957,66,3796,12123,6342,744,1807,167,2593,11653,6755,660,2220,399,1564,11600,6372,462,1846,1038,676,10394,3173,151,759,1514,231,5823,731,16,134,1295,63,2228,34383,3050,8002,4502,28975,78903
1002,0,0,0,3,904,907,33,0,0,0,989,1025,470,24,20,0,1055,1567,714,54,70,3,442,1278,672,64,125,3,296,1163,746,74,212,19,270,1324,712,36,159,55,103,1069,462,22,61,89,46,683,143,4,9,64,3,226,3951,282,652,240,4107,9238,3,3,0,4,1110,1118,43,5,0,3,1039,1092,608,53,31,7,983,1687,723,68,90,17,453,1350,709,83,206,32,326,1356,781,85,258,76,237,1432,648,53,235,155,103,1188,398,17,107,283,50,859,67,0,22,280,5,378,3983,369,949,855,4303,10459,3,3,0,6,2016,2028,79,5,0,3,2026,2111,1075,75,53,7,2043,3251,1440,124,163,17,889,2626,1384,148,334,32,619,2521,1528,157,468,94,503,2760,1360,88,398,208,205,2253,866,41,169,376,95,1542,213,4,33,346,12,599,7937,647,1606,1092,8417,19697
1003,0,0,0,0,1271,1269,11,0,0,0,957,977,507,34,22,0,1421,1989,1299,92,131,10,986,2509,1510,137,348,14,764,2768,1760,162,483,50,631,3078,2123,117,551,126,272,3185,1285,32,206,227,75,1824,394,9,42,215,28,691,8897,565,1782,645,6403,18295,0,0,0,0,1140,1147,33,0,0,0,864,902,704,41,44,3,1475,2266,1430,124,206,13,949,2724,1663,194,496,58,717,3124,1854,189,729,133,510,3419,2025,114,745,417,216,3516,1001,35,278,760,59,2135,229,6,77,808,29,1146,8946,708,2569,2192,5966,20383,0,0,0,5,2412,2416,46,0,0,0,1825,1877,1210,76,72,4,2899,4253,2732,213,334,20,1933,5234,3177,329,844,68,1482,5897,3614,349,1209,188,1141,6499,4149,227,1293,541,485,6697,2285,65,485,986,139,3961,621,14,117,1021,56,1833,17839,1273,4348,2839,12372,38674
1004,0,0,0,0,446,447,8,0,0,0,324,329,160,17,0,0,528,699,343,33,43,0,316,739,479,68,137,7,341,1034,698,65,241,23,230,1255,1058,74,247,67,122,1570,599,30,101,105,29,855,160,3,18,69,10,258,3505,292,788,271,2331,7192,0,0,0,0,396,396,20,0,0,0,286,307,226,29,17,0,478,752,407,59,79,4,264,812,504,78,206,17,239,1041,817,96,304,82,196,1492,996,61,281,218,69,1615,452,25,120,327,20,942,74,0,27,296,10,404,3488,350,1033,944,1946,7762,0,0,0,0,840,837,19,0,0,0,611,641,380,43,18,0,1006,1452,748,97,125,4,577,1552,982,146,344,27,578,2069,1517,163,545,97,423,2748,2059,137,525,281,188,3186,1049,49,220,435,47,1797,230,5,41,369,10,664,6993,643,1830,1213,4277,14958
1005,3,0,0,0,1313,1323,41,4,0,0,1337,1382,745,52,37,3,1811,2653,1159,118,142,3,859,2277,1179,136,302,12,540,2171,1208,120,316,30,385,2062,1189,69,248,99,151,1751,684,24,108,135,43,999,195,3,19,101,16,335,6406,525,1174,386,6463,14952,0,0,0,0,1199,1199,55,3,0,0,1185,1248,859,85,58,3,1502,2510,1173,145,207,18,631,2175,1229,177,371,59,462,2301,1242,157,453,98,266,2210,1088,83,346,264,97,1879,495,25,151,427,56,1156,126,3,39,437,41,641,6273,680,1624,1308,5439,15324,3,0,0,0,2513,2520,99,12,0,0,2519,2631,1606,137,95,9,3314,5163,2329,263,350,24,1486,4447,2408,308,676,72,1007,4470,2450,276,767,129,649,4268,2282,150,593,363,246,3631,1180,50,257,565,107,2162,324,4,55,538,58,977,12679,1201,2793,1696,11904,30275
1006,0,0,0,0,1170,1169,22,0,0,0,877,897,725,15,19,0,1163,1929,1373,67,96,4,582,2117,1532,131,273,15,517,2465,1656,100,349,45,383,2536,1853,99,344,103,198,2593,1408,56,179,172,85,1893,395,4,25,175,27,634,8964,476,1285,514,5005,16248,0,0,0,0,1151,1151,36,0,0,0,822,865,944,37,41,0,967,1993,1439,84,187,7,515,2237,1647,160,444,52,462,2769,1706,144,564,122,323,2857,1885,104,616,392,232,3228,1092,29,306,723,118,2271,162,6,64,612,34,881,8913,561,2236,1911,4626,18242,0,0,0,0,2319,2322,62,0,0,0,1698,1763,1671,51,59,0,2132,3919,2806,152,288,9,1099,4355,3176,290,719,66,980,5232,3360,248,911,165,704,5395,3735,199,955,498,433,5825,2499,85,485,894,205,4162,554,13,89,790,69,1515,17879,1042,3521,2421,9635,34488
1007,0,0,0,0,519,519,5,0,0,0,467,475,210,22,17,0,802,1050,372,44,53,0,449,921,444,78,143,8,340,1015,634,65,207,23,316,1244,645,65,204,65,123,1101,338,15,84,71,32,542,102,8,9,77,8,205,2738,290,723,259,3059,7073,0,0,0,0,452,452,10,0,0,0,409,424,285,34,28,0,780,1128,405,71,73,7,400,962,457,70,154,19,298,993,671,78,284,81,210,1320,584,47,186,226,68,1112,300,20,91,301,19,735,53,5,24,298,6,388,2766,317,840,939,2658,7516,0,0,0,0,971,971,11,0,0,0,880,896,492,53,52,4,1583,2182,775,116,128,7,854,1883,901,144,299,27,639,2010,1304,146,491,104,525,2570,1229,104,390,296,194,2214,638,35,174,380,54,1272,156,9,34,376,12,590,5512,610,1565,1195,5714,14592
1008,0,0,0,0,208,208,3,0,0,0,216,221,81,3,7,0,886,983,269,18,43,0,508,843,294,37,88,0,258,688,312,29,118,8,210,675,322,26,155,15,98,620,124,0,55,38,22,237,23,0,8,16,4,50,1423,121,485,82,2415,4520,0,0,0,0,199,199,5,0,0,0,326,329,140,12,7,0,977,1134,340,19,69,0,440,870,303,34,100,5,255,695,313,29,174,25,173,705,251,11,215,61,71,604,87,0,59,84,12,241,16,4,15,84,0,121,1448,112,635,257,2450,4904,0,0,0,0,413,413,7,0,0,0,544,544,215,19,18,0,1870,2118,607,40,115,0,949,1711,604,73,192,5,509,1387,620,59,292,28,380,1375,574,41,374,74,166,1225,210,0,116,123,35,483,37,9,24,101,3,171,2874,231,1118,339,4865,9431
1009,0,0,0,0,483,488,4,0,0,0,313,316,144,11,13,0,354,513,363,34,48,0,200,649,555,64,133,6,249,1013,805,69,250,26,216,1361,1297,74,298,90,117,1876,832,33,154,142,42,1201,213,4,22,106,6,348,4218,284,915,373,1974,7767,0,0,0,0,420,418,10,0,0,0,242,254,186,17,14,0,321,539,429,62,61,4,239,793,605,72,181,22,206,1088,970,84,322,81,178,1630,1254,65,303,215,80,1910,678,29,136,353,39,1229,102,0,31,327,0,462,4235,326,1044,1004,1717,8322,0,0,0,0,896,905,15,0,0,0,556,574,331,22,25,0,671,1058,794,98,106,4,442,1443,1163,138,305,29,456,2098,1772,152,575,106,391,2996,2552,139,599,301,198,3785,1508,54,291,492,79,2429,316,4,53,431,7,811,8455,612,1957,1376,3695,16093
