SUA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
1000,3897,3692,7592,21518,20372,41895,1984,1955,3940,27405,26018,53421,4343,3773,8121,24553,23084,47632,2725,2589,5316,31620,29445,61063,4287,4087,8372,26899,25393,52294,2925,2718,5645,34112,32196,66308,3476,3442,6926,23710,22062,45773,2428,2258,4693,29618,27767,57384,2712,2606,5318,18661,17061,35725,2072,1756,3827,23450,21421,44872,2399,2402,4802,19794,19943,39738,2052,1947,3993,24251,24288,48541,2007,2070,4079,21653,22928,44577,2147,2098,4241,25807,27097,52901,1859,1847,3711,22551,23954,46505,2212,2260,4472,26620,28060,54681,1624,1762,3378,22774,23946,46718,2284,2275,4568,26686,27978,54661,1766,1956,3723,26437,27590,54030,2519,2462,4988,30732,32014,62741,1890,2004,3895,28875,30087,58965,2705,2426,5127,33474,34519,67987,1752,1816,3567,32444,33543,65984,2993,2752,5747,37190,38114,75304,1557,1622,3180,36036,36215,72248,2984,2561,5547,40574,40398,80971,2833,2824,5650,109622,109457,219081,8545,8278,16816,120999,120555,241552,36406,35904,72314,435535,435627,871160,40588,38336,78920,512521,509868,1022386
1001,251,233,488,2695,2698,5392,158,149,307,3104,3077,6185,250,217,467,2875,2812,5690,190,159,346,3318,3183,6501,199,236,440,2763,2673,5428,174,154,336,3137,3065,6201,181,192,368,2737,2592,5326,168,139,305,3086,2921,6009,171,168,343,2687,2627,5313,161,155,317,3029,2941,5973,112,140,252,3014,2935,5952,174,165,335,3300,3244,6542,89,123,216,2871,3126,5997,176,162,331,3137,3413,6551,75,109,181,2739,3023,5764,180,170,346,2986,3302,6289,51,84,139,2620,2791,5410,152,123,275,2825,3004,5830,52,85,142,2540,2798,5340,141,124,263,2742,3004,5746,69,83,161,2655,2831,5486,135,128,263,2866,3037,5907,45,63,109,2610,2820,5431,140,129,267,2803,3005,5810,46,57,101,2534,2920,5452,134,112,242,2708,3090,5797,80,85,167,7876,9555,17437,378,467,843,8337,10110,18451,1692,1895,3591,43222,46194,89420,2464,2321,4789,47384,50407,97793
1002,124,109,237,503,483,988,51,43,95,685,636,1315,117,119,235,540,552,1090,55,45,101,709,713,1422,100,111,212,556,602,1162,66,91,163,727,808,1536,97,123,221,671,792,1462,138,199,337,907,1118,2028,62,90,150,803,820,1622,162,179,343,1025,1092,2111,66,91,153,663,726,1384,85,80,164,811,889,1701,51,51,106,642,674,1318,64,68,134,758,798,1553,42,51,88,594,651,1245,48,53,103,684,756,1439,45,49,88,522,509,1033,32,34,67,598,595,1188,25,36,69,500,605,1105,31,36,65,557,683,1238,33,41,76,532,598,1131,35,37,78,609,676,1279,52,40,92,609,648,1250,47,47,93,708,732,1440,31,24,55,553,649,1203,33,27,64,612,704,1318,52,60,103,1768,2141,3906,157,227,387,1976,2426,4402,899,996,1896,9453,10443,19901,1004,1178,2179,11358,12607,23967
1003,82,62,145,1008,941,1951,53,49,102,1146,1053,2196,82,99,176,1147,1056,2201,76,59,141,1299,1216,2519,109,121,230,1304,1139,2438,68,61,133,1481,1321,2798,89,105,196,1115,990,2108,72,44,119,1269,1147,2416,85,68,155,830,790,1617,60,48,106,977,902,1877,52,52,100,819,893,1713,67,66,131,930,1008,1945,45,66,115,954,1123,2077,57,64,121,1055,1258,2317,28,54,84,1137,1217,2354,78,64,138,1247,1342,2588,44,33,76,1149,1288,2436,73,61,132,1266,1383,2647,49,74,120,1244,1399,2640,58,68,129,1351,1540,2886,50,60,116,1292,1454,2748,71,75,142,1414,1591,3004,44,40,85,1398,1509,2905,69,65,138,1507,1614,3126,44,28,73,1450,1685,3134,77,88,161,1570,1802,3369,54,72,128,5369,6383,11755,266,344,610,5699,6795,12496,858,945,1808,20220,21861,42085,1138,1160,2299,22225,23969,46190
1004,79,60,135,288,274,560,30,30,59,396,362,756,51,78,137,314,295,615,41,26,67,413,403,819,69,77,152,384,379,762,41,43,88,493,504,998,51,55,103,356,315,669,38,35,71,447,396,837,46,44,91,247,240,489,36,22,58,329,307,641,48,44,94,298,274,567,27,30,56,371,345,720,23,29,50,287,341,628,15,36,49,328,406,729,25,35,62,318,318,639,23,37,61,372,385,756,32,33,67,306,366,677,27,29,57,369,427,799,27,38,64,429,426,850,44,26,73,506,488,996,38,30,69,450,486,938,38,32,72,528,554,1083,20,37,56,492,601,1088,35,34,70,541,669,1210,18,28,43,651,764,1419,45,36,78,713,825,1539,36,48,84,2494,2733,5236,157,177,333,2690,2959,5648,570,635,1206,7320,7808,15130,601,587,1192,8492,9027,17524
1005,182,164,341,898,857,1754,43,39,81,1120,1057,2180,169,164,331,1020,953,1968,62,56,122,1253,1169,2421,144,169,308,1081,1025,2102,50,53,108,1282,1245,2521,137,137,276,1118,1019,2139,63,45,105,1323,1199,2520,177,125,306,1130,1056,2187,76,63,143,1382,1248,2631,143,112,257,1092,1047,2139,52,64,113,1290,1217,2507,132,103,235,1181,1139,2315,54,47,106,1363,1290,2655,83,68,152,1070,1005,2077,64,40,105,1218,1112,2331,76,65,143,927,948,1872,56,54,107,1055,1063,2122,81,72,148,966,1032,1995,48,64,107,1095,1159,2254,60,57,117,965,1030,1997,53,51,103,1073,1143,2218,22,44,70,950,1008,1953,46,40,83,1017,1090,2108,31,45,76,965,1025,1990,47,54,99,1043,1120,2161,62,67,126,2899,3453,6349,126,167,289,3087,3680,6765,1507,1376,2883,16259,16587,32848,839,830,1670,18603,18791,37396
1006,56,58,113,955,972,1925,47,29,77,1060,1063,2125,59,60,119,1086,1019,2106,50,51,107,1196,1130,2331,42,58,103,1231,1215,2449,65,52,114,1336,1326,2660,59,52,111,1072,1063,2140,41,38,77,1169,1151,2322,37,48,88,811,766,1581,48,50,95,897,865,1763,40,30,69,865,833,1696,26,37,58,922,896,1822,30,29,53,948,1036,1989,28,34,64,1010,1093,2101,23,22,40,1027,1031,2052,52,40,94,1098,1091,2192,21,36,55,947,1062,2011,45,53,95,1021,1144,2165,24,27,48,1127,1249,2376,57,53,110,1202,1325,2534,24,30,51,1186,1362,2547,53,52,104,1263,1440,2709,27,21,41,1181,1310,2495,49,54,102,1256,1387,2640,23,24,45,1218,1402,2620,42,45,88,1285,1474,2754,35,35,72,4783,5957,10744,309,377,682,5122,6375,11500,490,521,1009,18443,20278,38723,904,963,1866,19838,21763,41600
1007,86,102,191,363,347,706,41,34,78,486,483,972,121,87,206,339,363,700,40,52,87,498,500,995,95,105,192,374,364,733,45,60,108,511,522,1033,91,74,172,370,343,708,54,35,92,519,452,971,87,79,166,343,307,652,47,34,79,475,424,896,68,69,140,426,451,874,41,45,84,531,561,1093,54,60,112,428,460,890,43,47,89,519,569,1087,43,62,109,401,404,809,39,38,75,482,502,989,39,41,83,357,374,727,45,45,95,437,458,894,41,46,95,386,394,782,33,37,68,467,477,944,38,48,86,458,433,895,54,34,85,547,517,1066,29,27,56,520,566,1086,37,37,74,591,629,1218,35,32,64,582,625,1214,37,37,72,655,696,1348,37,49,90,1682,1971,3660,127,211,333,1846,2232,4080,858,891,1751,7027,7397,14423,687,730,1416,8565,9020,17588
1008,12,0,17,202,214,416,31,19,43,245,235,477,9,9,18,224,225,445,15,21,36,248,257,503,10,6,15,228,221,444,19,26,46,255,251,513,0,10,19,190,171,363,18,13,30,208,199,413,6,10,18,191,282,468,23,40,66,221,329,544,9,6,12,377,492,870,40,43,78,425,538,964,7,4,12,493,541,1037,56,53,104,553,600,1153,13,7,21,402,431,828,41,45,87,456,483,940,4,0,6,344,359,701,37,30,65,384,391,775,9,11,19,328,328,658,38,37,77,382,369,752,3,6,9,279,302,585,22,15,40,305,329,634,5,8,14,294,305,600,26,22,47,321,335,656,7,4,9,323,332,663,18,28,49,351,369,721,11,9,19,839,889,1726,69,69,132,912,967,1880,107,101,201,4711,5092,9809,448,455,905,5267,5648,10914
1009,33,30,63,269,238,508,9,5,17,307,277,590,54,43,92,355,363,725,7,16,26,420,419,842,53,47,99,414,414,828,14,28,41,474,490,966,49,41,83,415,370,778,22,16,39,488,418,905,32,16,47,274,225,502,13,7,25,316,254,574,19,23,40,232,215,444,18,17,31,265,248,513,20,11,36,221,267,490,11,3,17,253,290,543,17,22,33,277,346,621,16,12,33,308,375,688,17,25,36,304,380,685,21,19,35,340,421,756,17,22,47,415,459,873,13,9,24,447,495,941,16,30,45,526,548,1075,21,15,39,563,592,1161,12,19,37,611,687,1297,37,23,62,662,734,1398,30,32,56,649,833,1482,21,32,57,699,896,1593,48,41,94,3249,3437,6682,129,121,249,3427,3592,7022,412,401,815,8217,8782,16993,354,332,681,8977,9512,18484
