SUA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
1000,3,17,30,169,98,44,18,0,0,376,0,0,10,42,55,88,85,57,23,367,0,4,17,79,60,63,41,7,0,287,32,173,199,1344,752,943,931,558,185,5114,1864,5042,4110,9692,5709,6662,5930,3820,1830,44665,26018,61635,49191,107424,66528,78512,68746,37089,14721,509868,0,6,0,34,8,3,3,0,0,57,49239,114153,90096,169822,105569,123355,108808,54978,18675,834689,0,7,9,117,22,10,6,0,0,163,0,0,0,39,9,16,21,17,4,117,0,6,29,266,61,33,17,8,0,423,5,16,6,79,20,15,12,5,0,151,18,66,54,454,270,276,243,83,17,1479,0,3,7,130,77,83,82,41,3,434,12,81,91,819,353,280,164,60,19,1875,0,8,5,24,42,141,163,123,33,546,0,14,7,74,20,44,89,50,12,314,42,383,525,2510,3256,6640,7442,5038,1351,27184,5,45,68,433,177,136,103,42,0,1002,6,21,65,334,128,164,144,56,16,930
1001,5,25,7,73,9,0,8,0,0,128,0,0,3,3,3,12,4,0,0,39,0,0,8,16,7,0,5,0,0,43,6,95,101,318,166,126,119,122,50,1104,147,308,303,664,281,293,279,245,111,2635,3077,6249,5864,12960,6047,6097,5449,3258,1401,50407,0,0,3,4,0,6,0,0,0,11,5794,11349,10427,19940,9530,9528,8213,4237,1637,80657,0,8,0,58,18,0,0,0,0,91,0,0,0,0,0,9,11,11,0,31,0,0,0,11,0,0,0,0,0,14,0,4,0,14,5,0,0,0,0,28,3,6,7,36,21,22,12,3,0,98,0,0,0,10,4,4,4,0,0,27,3,13,9,99,41,34,21,5,0,222,0,0,0,7,13,28,27,51,26,150,0,4,9,13,4,0,5,6,0,37,4,45,73,247,237,422,405,314,92,1844,0,0,3,27,22,11,5,3,0,78,0,0,6,13,10,8,7,3,0,47
1002,0,10,5,25,4,0,0,0,0,42,0,0,0,0,0,7,0,4,0,9,0,0,4,3,5,0,0,0,0,18,8,27,22,108,26,18,20,18,8,253,50,138,391,253,82,82,81,94,72,1244,636,1520,2207,3040,1356,1432,1188,859,378,12607,0,0,0,0,0,0,0,0,0,3,1148,2274,2955,3895,1932,2181,1764,1151,422,17731,0,15,4,68,6,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,10,20,8,10,10,5,0,71,0,0,0,8,3,0,0,0,0,15,0,6,8,78,24,14,5,0,0,137,0,0,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,3,0,18,27,63,54,98,105,97,23,484,0,0,3,6,6,8,0,0,0,25,0,0,6,14,3,0,0,0,0,27
1003,0,0,0,9,9,5,0,0,0,24,0,7,0,3,3,6,12,8,5,43,0,0,0,6,10,4,5,0,0,24,0,10,4,123,38,43,37,29,13,304,44,122,93,287,151,180,205,159,156,1399,1053,2530,2045,4990,3124,3419,3516,2135,1146,23969,0,0,0,0,0,0,0,0,0,0,2077,4857,3842,7251,4732,5246,5283,3007,1335,37622,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,3,76,6,0,4,0,0,94,0,0,0,6,0,0,0,0,0,5,0,8,3,57,31,22,23,7,0,148,0,0,0,18,7,8,9,4,0,40,0,0,9,17,10,14,5,3,0,52,0,0,0,0,0,0,6,3,0,11,0,0,0,4,0,0,3,0,0,12,3,45,54,290,216,303,350,307,126,1699,0,0,0,16,5,8,6,4,0,35,0,3,0,43,12,3,6,5,0,76
1004,0,0,0,3,9,0,0,0,0,12,0,0,0,0,0,0,3,0,0,14,0,0,0,4,0,0,0,0,0,8,0,4,0,25,14,30,41,42,5,153,27,65,45,136,72,104,112,80,51,686,362,909,702,1561,1041,1492,1615,942,404,9027,0,0,0,0,0,0,0,0,0,0,692,1605,1310,2369,1614,2074,2228,1120,428,13442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,7,0,0,0,0,0,3,0,0,5,10,5,5,9,4,0,40,0,0,0,8,0,4,3,4,0,20,0,0,0,14,15,6,5,0,0,45,0,0,0,0,3,4,28,30,11,80,0,0,0,0,0,4,3,0,0,4,0,12,10,36,73,187,292,197,68,870,0,0,0,3,0,3,4,0,0,9,0,0,0,4,0,6,4,6,5,23
1005,0,0,4,18,9,7,0,0,0,44,0,0,0,0,4,0,3,0,0,7,0,0,0,5,4,6,0,0,0,15,3,7,9,44,33,12,26,13,8,162,41,102,114,220,123,109,92,70,49,919,1057,2409,2449,4683,2301,2210,1879,1156,641,18791,0,3,3,12,0,0,0,0,0,20,2070,4543,4599,7840,3677,3561,2917,1679,767,31646,0,5,0,34,0,5,4,0,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,3,0,0,0,15,5,3,3,7,14,4,6,5,0,47,0,0,0,6,0,0,3,3,0,13,0,6,9,37,17,11,18,6,0,95,0,0,0,4,0,7,6,6,6,28,0,3,0,11,0,0,3,0,0,25,0,11,29,78,85,143,150,127,55,686,0,0,8,13,13,10,4,6,0,46,0,0,0,8,0,3,5,0,0,20
1006,0,0,3,16,3,4,5,0,0,31,0,0,0,0,5,4,12,15,0,35,0,0,6,3,3,3,3,0,0,23,4,9,13,60,63,61,91,63,23,378,26,95,86,164,125,121,140,165,157,1065,1063,2458,2017,4228,2769,2857,3228,2271,881,21763,0,0,0,0,0,0,0,0,0,3,2025,4547,3589,6165,4025,3949,3999,2714,891,31905,0,0,0,22,3,0,0,0,0,27,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,0,4,0,0,15,0,0,3,6,0,0,0,0,0,13,0,3,8,23,19,18,15,14,3,110,0,0,0,5,8,16,4,5,0,34,0,10,29,51,23,30,11,4,0,161,0,0,0,0,0,16,9,3,4,37,0,0,0,0,0,4,3,7,0,20,3,43,52,197,270,428,608,475,184,2263,0,0,3,17,11,3,16,3,0,60,0,0,7,19,8,14,17,8,0,69
1007,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,7,0,0,6,11,7,6,7,0,0,33,28,107,71,179,75,87,76,95,87,802,483,1019,875,2089,993,1320,1112,735,388,9020,0,0,0,0,0,0,0,0,0,0,891,1781,1649,3422,1711,2279,1918,1045,431,15119,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,18,0,0,0,0,0,0,0,3,3,4,0,0,0,3,0,0,0,0,0,3,0,5,5,17,20,34,40,27,3,137,0,3,0,0,4,0,0,0,0,9,0,0,0,3,0,0,4,0,0,4
1008,0,0,0,4,0,3,0,0,0,6,0,0,4,4,0,0,4,0,0,13,0,0,0,0,0,3,3,0,0,3,0,6,29,247,23,19,15,4,0,349,18,41,59,175,55,55,38,17,16,479,235,507,530,2010,695,705,604,241,121,5648,0,0,0,0,0,0,0,0,0,0,419,851,669,1877,901,945,852,321,109,6942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,149,13,6,0,0,0,168,0,0,0,0,0,0,0,0,0,6,0,0,5,35,13,11,9,0,0,75,0,0,0,43,4,0,0,0,0,48,0,5,0,9,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,15,38,200,101,95,99,48,13,611,0,0,0,0,0,0,0,0,0,7,0,0,12,82,8,12,4,6,0,132
1009,0,0,0,6,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,11,13,21,16,16,4,81,9,27,19,46,37,72,103,86,33,428,277,909,673,1336,1088,1630,1910,1229,462,9512,0,0,0,0,0,0,0,0,0,0,572,1709,1380,2210,1784,2500,3017,1817,631,15613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,4,6,10,3,4,3,0,0,35,0,0,0,0,0,5,0,0,0,3,0,0,0,4,4,0,3,4,0,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,5,0,6,14,35,95,136,249,229,62,822,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,6,3,3,0,8
