SUA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,13,20,27,202,35,19,17,4,0,337,0,21,32,131,243,203,100,15,4,752,45,347,315,1524,629,560,385,73,16,3890,0,0,0,97,49,82,130,69,30,462,0,5,17,85,22,10,14,0,0,155,6,30,50,229,306,695,897,590,154,2963,7,41,26,61,94,104,68,19,5,413,17,182,227,856,693,556,478,209,32,3251,6,31,20,240,85,68,66,30,0,542,6,9,22,341,23,24,13,4,0,438,13,115,104,545,283,169,51,11,3,1295,3,11,0,36,36,36,25,10,4,162,39,226,182,807,410,563,673,228,33,3158,3,32,53,304,166,92,38,6,0,685,0,9,19,85,112,167,197,132,40,761,0,13,31,157,135,127,86,22,3,581,65,355,407,2526,1402,1793,1991,1321,388,10251,3739,10368,8671,19581,11803,14085,12686,7703,3113,91742,53421,127373,102254,210781,130732,156274,142106,74446,25000,1022386
1001,0,15,5,61,7,0,0,0,0,89,0,0,3,11,21,12,3,0,0,54,9,52,87,289,127,72,52,10,0,698,0,0,0,5,4,11,23,6,10,58,0,0,0,0,3,0,0,0,0,11,0,0,4,26,30,74,72,62,27,297,0,7,6,17,20,4,5,3,0,44,6,12,35,84,48,42,20,7,0,267,0,13,9,76,26,10,8,5,0,153,0,4,4,30,0,0,0,0,0,37,0,14,14,58,36,10,3,0,0,138,0,0,0,3,0,0,0,0,0,6,5,15,14,72,27,27,32,8,0,198,6,48,27,135,23,4,9,0,0,253,0,0,3,12,13,18,18,7,6,78,0,6,16,26,22,3,5,0,4,78,20,196,217,574,314,237,233,220,90,2103,294,656,634,1375,599,605,558,424,183,5337,6185,12706,11981,25211,11653,11600,10394,5823,2228,97793
1002,0,3,0,23,3,0,0,0,0,35,0,0,4,9,3,4,4,0,0,28,0,13,11,90,16,17,4,0,0,160,0,0,0,0,0,0,3,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,5,7,9,24,16,18,4,86,0,6,0,3,3,0,0,0,0,11,0,5,23,33,22,6,11,3,0,104,3,6,9,41,20,5,6,0,0,96,0,0,0,12,0,0,0,0,0,15,0,4,3,8,9,3,0,0,0,28,3,0,0,8,0,0,0,0,0,12,0,22,14,33,17,18,18,14,0,135,0,13,6,41,12,4,0,0,0,74,0,0,3,0,3,5,3,4,0,19,0,4,4,15,6,0,0,5,0,32,14,59,45,200,58,38,42,24,9,497,105,270,686,481,152,177,146,168,107,2297,1315,2954,4134,5886,2521,2760,2253,1542,599,23967
1003,0,0,0,7,0,0,0,0,0,5,0,0,0,11,29,23,9,0,0,70,0,15,10,71,22,25,15,8,0,164,0,0,0,10,3,4,7,4,0,20,0,0,0,3,0,0,0,0,0,6,0,0,7,22,26,27,41,27,11,172,0,3,5,5,5,3,0,3,0,26,0,10,17,64,48,28,44,34,11,254,0,0,0,13,0,3,6,4,0,25,0,0,0,3,0,0,0,0,0,9,0,9,19,53,24,19,0,0,0,128,0,0,0,0,0,0,0,0,0,5,6,13,17,81,40,34,44,10,3,236,0,0,0,12,15,5,0,0,0,46,0,7,0,14,3,10,18,13,4,66,0,0,0,11,18,7,6,4,0,43,11,21,17,208,80,81,73,64,23,578,92,254,219,564,289,350,401,288,237,2691,2196,5318,4293,9492,5897,6499,6697,3961,1833,46190
1004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,17,0,4,4,34,20,10,9,5,0,89,0,0,0,0,5,4,11,7,4,24,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,19,32,30,17,104,0,0,0,0,0,4,0,0,0,12,0,4,0,13,13,15,20,10,0,74,0,0,0,3,3,0,3,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,5,11,12,6,4,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,4,9,7,13,14,10,0,60,0,0,0,3,11,0,3,0,0,23,0,0,0,3,4,8,4,3,0,24,0,0,0,4,0,3,0,0,0,8,0,3,0,40,25,48,61,68,19,270,60,145,113,250,169,192,226,154,73,1389,756,1811,1479,3004,2069,2748,3186,1797,664,17524
1005,3,10,0,40,6,0,0,0,0,60,0,0,0,0,8,10,0,0,0,21,7,22,26,111,37,20,8,3,0,244,0,0,0,5,0,6,5,4,3,16,0,0,0,5,0,0,0,0,0,3,0,0,5,15,22,18,29,29,7,133,0,0,5,3,6,4,0,4,0,19,0,9,16,35,25,12,17,6,0,123,0,6,9,36,9,15,6,0,0,89,0,0,0,0,0,0,5,0,0,5,5,5,10,37,15,5,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,11,12,26,17,7,11,0,0,88,0,9,9,37,15,7,0,0,0,82,0,0,0,5,4,5,3,0,0,21,0,0,4,7,8,6,4,0,0,28,4,15,16,92,64,36,54,37,18,345,71,215,263,477,220,219,191,138,76,1882,2180,4943,5153,9615,4470,4268,3631,2162,977,37396
1006,0,0,0,27,0,3,5,0,0,35,0,0,0,6,19,13,0,0,0,35,0,16,14,125,30,17,15,0,0,235,0,0,3,12,9,13,23,11,4,70,0,0,0,0,4,0,0,0,0,5,0,4,7,19,25,54,94,68,22,290,0,14,10,3,10,0,0,4,0,43,0,12,13,56,50,45,37,41,7,259,0,0,6,16,10,3,0,3,0,45,0,0,0,18,11,0,3,7,0,47,0,7,8,66,14,16,0,0,0,115,0,0,0,3,4,5,0,0,0,17,8,23,21,48,23,28,36,21,3,213,0,3,7,20,7,0,3,0,0,42,0,0,3,3,8,10,14,17,3,65,0,0,6,14,10,5,6,0,0,35,8,16,20,119,112,126,179,128,44,748,70,195,173,322,246,239,261,284,256,2042,2125,4989,4084,8273,5232,5395,5825,4162,1515,41600
1007,0,0,0,5,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,10,3,21,25,80,27,19,18,5,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,17,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,7,0,0,0,27,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,6,0,7,0,4,0,0,0,0,0,10,0,4,6,21,10,10,12,15,3,71,71,184,181,357,174,169,170,144,124,1567,972,2030,1874,4066,2010,2570,2214,1272,590,17588
1008,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,12,0,0,6,20,0,3,0,0,0,36,0,0,0,7,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,8,8,3,40,0,0,0,3,0,0,0,0,0,4,0,0,3,26,10,12,13,5,0,70,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,5,0,0,0,11,0,3,3,15,10,8,7,0,0,37,0,0,0,10,0,0,0,0,0,9,6,10,9,67,22,19,25,12,0,168,0,0,0,3,0,5,0,0,0,13,0,0,3,8,5,0,3,0,0,19,0,0,0,0,4,6,3,0,0,14,3,12,35,444,59,30,26,11,5,624,40,79,106,360,121,104,82,39,21,942,477,1014,961,3832,1387,1375,1225,483,171,10914
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,0,0,18,0,0,5,10,9,17,4,0,0,43,0,5,0,9,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,13,38,43,0,112,0,0,0,0,0,0,4,0,0,6,0,0,3,4,7,6,13,4,3,48,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,7,3,15,6,0,0,0,0,24,0,0,0,0,0,3,0,0,0,4,0,11,7,12,10,9,11,6,0,71,0,0,0,6,3,0,3,0,0,8,0,0,0,0,5,0,6,5,0,19,0,0,0,0,3,0,4,0,0,12,0,0,6,21,15,40,25,27,12,150,13,49,53,104,77,150,217,153,66,875,590,1810,1479,2498,2098,2996,3785,2429,811,18484
