SUA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
1000,..,318,707,139,169,132,154,107,85,141,1940,..,78,306,99,112,151,205,99,51,64,1164,..,0,5,7,8,12,50,28,37,17,162,..,0,0,0,0,0,3,5,4,4,18,..,78,318,106,117,163,255,135,87,80,1346,..,0,0,0,0,0,0,0,0,13,19,..,397,1021,244,285,297,406,247,171,233,3308,435,722,304,37,53,67,111,66,36,97,1924,73,329,301,68,120,108,262,85,35,32,1407,5,3,5,9,11,22,25,8,10,3,99,0,0,0,0,0,7,0,0,0,0,7,74,332,306,77,127,133,285,93,47,35,1515,0,0,0,0,0,0,3,0,0,42,47,517,1052,614,116,184,202,399,157,83,173,3490,1228,588,884,186,213,218,315,140,60,119,3956,385,525,1152,413,504,593,860,319,131,95,4958,22,27,72,43,63,115,186,48,13,19,605,4,0,3,0,0,4,3,0,0,3,21,411,553
1001,..,39,85,15,13,18,14,18,9,10,227,..,20,129,60,63,92,75,22,16,16,492,..,0,0,4,6,20,26,9,4,0,68,..,0,0,0,0,0,0,0,0,0,4,..,20,132,63,68,114,101,28,13,14,561,..,0,0,0,0,0,0,0,0,0,3,..,61,213,74,83,137,117,48,28,25,792,60,120,50,6,9,8,3,4,0,9,268,19,117,162,50,58,83,76,12,0,10,591,0,0,6,0,4,26,16,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,19,117,168,53,63,107,92,13,3,16,655,0,0,0,0,0,0,0,0,0,0,0,77,239,215,65,71,115,100,22,8,16,919,169,76,84,17,14,30,20,8,11,15,435,55,222,497,140,168,127,104,31,11,13,1368,0,3,45,11,18,31,28,3,0,0,132,0,0,0,0,0,0,0,0,0,0,0,58,224
1002,..,9,44,8,13,9,8,6,0,0,91,..,8,35,11,20,83,123,11,0,13,308,..,0,0,0,0,10,40,9,5,0,69,..,0,0,0,0,0,4,0,0,0,7,..,8,35,11,26,96,168,19,5,16,376,..,0,0,0,0,0,0,0,0,0,0,..,19,77,20,38,103,174,29,5,11,471,30,55,24,0,0,3,0,9,0,7,132,14,43,31,20,22,57,82,24,0,5,295,0,0,0,0,0,15,37,9,0,0,56,0,0,0,0,0,0,0,0,0,0,0,14,43,31,20,24,70,118,32,0,5,353,0,0,0,0,0,0,0,0,0,3,3,41,100,52,25,25,77,121,35,0,11,493,47,14,26,10,18,4,11,9,0,5,137,21,37,101,36,60,138,176,28,7,10,622,4,3,0,0,0,8,31,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,25,38
1003,..,24,72,15,15,15,18,7,7,10,173,..,5,17,5,8,9,10,0,7,3,58,..,0,0,0,0,4,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,3,..,5,17,5,11,7,11,4,6,3,66,..,0,0,0,0,0,0,0,0,0,0,..,31,85,18,25,21,27,16,9,12,243,27,70,32,6,6,4,6,5,0,7,163,0,15,23,4,3,3,10,4,0,9,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,4,3,3,12,4,0,9,71,0,0,0,0,0,0,0,0,0,0,0,27,81,57,5,8,11,20,12,0,10,236,94,45,89,28,25,16,30,19,0,10,353,16,38,83,29,36,35,29,15,7,11,282,0,3,0,6,4,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,39
1004,..,9,13,0,3,0,7,0,0,7,40,..,0,0,0,0,0,9,0,0,0,19,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,11,0,0,0,24,..,0,0,0,0,0,0,0,0,0,0,..,8,17,9,7,6,15,0,0,7,68,4,8,4,0,4,0,3,0,0,0,29,0,4,4,0,4,4,3,0,0,0,20,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,3,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,9,16,10,0,5,3,6,4,0,0,52,25,10,9,4,0,5,4,4,5,5,65,6,10,24,15,12,19,13,8,0,0,96,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,10
1005,..,19,40,7,7,8,6,5,0,0,103,..,0,34,10,9,20,20,8,0,0,105,..,0,0,0,0,4,6,4,0,0,14,..,0,0,0,0,0,4,0,0,0,4,..,0,34,10,11,25,24,13,0,0,119,..,0,0,0,0,0,0,0,0,0,0,..,28,77,13,18,29,32,15,3,5,221,42,31,16,7,6,5,0,5,0,0,126,8,30,23,12,23,21,18,11,0,3,153,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,30,24,12,23,25,18,15,0,3,152,0,0,0,0,0,0,0,0,0,8,8,57,61,43,23,23,29,19,15,4,15,288,63,31,32,3,12,8,8,0,0,3,167,24,63,114,45,58,57,30,18,4,4,404,3,3,10,4,0,7,8,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,25,67
1006,..,30,66,7,12,9,11,16,10,16,173,..,4,27,18,10,17,15,11,0,0,99,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,4,25,18,10,17,13,10,3,0,106,..,0,0,0,0,0,0,0,0,0,6,..,33,92,22,29,27,26,29,8,21,278,49,71,24,6,10,7,0,3,0,0,175,5,22,19,8,14,21,28,14,0,0,126,0,0,0,0,0,5,10,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,22,19,14,12,23,41,13,0,0,145,0,0,0,0,0,0,0,0,0,0,0,52,95,43,13,16,31,37,19,0,7,318,75,34,55,7,8,9,16,5,0,9,212,16,89,180,57,64,93,54,26,0,11,590,0,3,4,0,0,4,5,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,22,87
1007,..,9,13,10,0,3,7,3,0,0,43,..,0,3,0,4,5,6,5,0,0,31,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,4,5,8,8,6,0,32,..,0,0,0,0,0,0,0,0,0,0,..,7,15,8,3,7,13,14,0,0,75,0,9,6,0,0,0,0,0,0,0,16,0,6,3,0,4,5,3,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,5,3,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,5,3,0,4,0,39,12,6,4,4,5,0,4,0,0,3,41,3,5,13,5,8,14,9,3,3,0,69,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5
1008,..,13,19,7,4,6,5,12,3,0,72,..,3,17,0,6,0,7,3,0,0,28,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,17,0,11,0,7,9,0,0,32,..,0,0,0,0,0,0,0,0,0,0,..,14,32,7,13,11,9,16,3,7,107,15,25,3,0,5,10,21,10,4,4,97,0,6,3,6,0,8,36,22,0,3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,8,36,19,0,3,85,0,0,0,0,0,0,0,0,0,0,0,18,37,10,5,8,20,51,34,0,3,183,34,26,87,34,44,54,64,36,3,7,396,12,8,98,58,54,117,158,60,0,19,581,0,0,4,0,4,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,12,8
1009,..,6,12,11,5,0,8,0,0,3,39,..,0,0,0,0,0,4,0,0,0,14,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,14,..,0,0,0,0,0,0,0,0,0,0,..,5,14,9,5,0,9,0,0,3,49,6,15,0,0,6,0,4,0,0,0,28,0,7,3,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,16,10,0,6,0,5,0,0,0,44,16,4,7,3,0,4,4,0,0,3,40,0,4,9,0,4,0,9,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
