SUA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1000,2476,6071,8955,8235,9472,11563,10927,5437,1404,64546,1506,6827,11864,10677,12392,13951,8683,3455,871,70221,753,5098,13111,12063,14188,15327,8300,2511,492,71837,235,2709,9203,9116,10417,10032,4697,1227,240,47875,100,1233,7625,8263,9185,8200,3512,1211,358,39680,41,598,5133,6485,7419,6200,2146,538,124,28683,35,546,6682,11542,13382,9523,2707,637,135,45175,11,71,1027,2221,2681,1969,701,242,50,8975,61,126,1073,3097,4638,3936,1923,701,155,15721,6435,4930,11201,11730,12651,13887,13007,9314,4960,88118,57384,44872,101435,109347,130732,156274,142106,74446,25000,841594
1001,254,930,1224,892,817,892,920,493,134,6555,221,1027,1873,1326,1159,1168,798,317,125,8014,120,774,2135,1585,1547,1395,700,181,37,8465,30,378,1531,1327,1202,954,392,108,23,5945,12,148,1121,1151,990,772,293,81,34,4595,7,66,639,839,875,573,166,46,9,3217,5,42,689,1265,1229,814,187,40,8,4266,0,6,75,168,195,133,51,13,9,656,0,11,114,276,314,254,104,41,10,1130,392,386,830,729,657,624,661,593,348,5216,6009,5973,13092,12123,11653,11600,10394,5823,2228,78903
1002,49,225,293,199,150,175,198,128,58,1490,34,186,421,211,238,264,160,105,37,1655,16,153,421,290,253,302,195,91,15,1734,9,78,280,270,190,202,113,34,17,1193,4,37,238,212,200,172,69,54,7,992,0,13,187,157,174,150,62,14,9,760,0,13,165,358,360,256,61,21,6,1224,0,0,20,28,65,57,28,8,0,203,0,4,25,58,101,121,37,11,0,358,367,361,330,210,170,182,153,179,117,2066,2028,2111,3251,2626,2521,2760,2253,1542,599,19697
1003,89,315,463,444,435,526,583,344,133,3325,58,303,559,581,642,701,530,205,84,3663,11,192,643,645,696,732,493,178,48,3638,8,80,429,497,554,433,252,98,20,2370,7,42,319,433,482,434,194,69,26,2004,0,19,184,336,398,301,107,39,5,1395,0,12,226,571,655,471,165,48,10,2160,0,0,28,103,108,108,40,17,9,422,8,6,59,233,256,214,88,29,9,901,175,134,322,334,335,355,415,362,378,2803,2416,1877,4253,5234,5897,6499,6697,3961,1833,38674
1004,23,99,148,157,172,244,282,138,42,1320,13,89,237,188,227,244,208,105,20,1341,9,67,186,176,251,268,206,80,16,1260,0,34,108,137,161,168,128,45,13,795,0,4,76,90,131,145,87,27,7,568,0,9,62,89,79,96,53,14,0,400,0,0,57,114,130,128,45,16,10,499,0,0,9,22,28,41,12,7,5,122,0,0,14,38,45,44,32,11,7,193,79,59,129,128,185,189,197,203,167,1346,837,641,1452,1552,2069,2748,3186,1797,664,14958
1005,111,310,443,297,298,303,338,183,55,2337,74,424,658,425,448,356,279,111,35,2803,36,299,665,535,490,462,267,73,17,2832,14,189,594,421,387,326,159,31,6,2116,5,92,437,390,406,309,110,34,14,1793,3,34,311,334,343,263,69,17,8,1377,0,26,349,586,611,393,87,15,8,2077,0,3,46,71,102,62,16,5,0,314,0,3,35,103,132,116,28,12,3,432,157,279,560,469,352,271,216,196,139,2647,2520,2631,5163,4447,4470,4268,3631,2162,977,30275
1006,93,248,357,339,323,386,507,389,83,2718,49,294,523,391,430,485,417,271,72,2937,24,218,587,512,572,590,473,225,63,3266,5,102,440,388,429,411,298,129,38,2235,6,40,350,353,438,377,244,106,29,1940,0,17,222,288,331,277,137,65,10,1354,0,21,307,569,727,470,184,89,21,2383,0,0,42,164,157,140,64,32,8,609,0,0,48,273,412,316,172,79,15,1323,123,129,167,222,285,253,305,398,437,2316,2322,1763,3919,4355,5232,5395,5825,4162,1515,34488
1007,44,115,160,132,133,163,154,90,23,1017,20,102,201,165,165,197,125,47,23,1038,16,92,253,175,191,221,102,27,3,1093,5,65,188,168,143,152,51,14,0,787,8,46,183,143,127,139,45,14,4,706,0,25,148,118,125,122,29,4,3,584,0,19,250,209,239,208,37,0,0,959,0,0,25,40,40,38,3,0,0,149,0,0,13,45,53,43,14,8,5,172,126,99,225,219,191,197,169,186,133,1547,971,896,2182,1883,2010,2570,2214,1272,590,14592
1008,10,99,312,136,99,85,93,41,6,870,3,88,331,177,120,121,80,23,4,941,0,47,276,188,134,139,107,34,0,924,0,8,167,138,113,80,65,19,8,598,0,10,109,127,83,88,51,12,4,490,0,7,74,83,88,51,41,5,0,350,0,0,71,171,125,101,51,11,0,522,0,0,25,41,51,24,15,3,0,158,0,3,30,108,107,79,57,12,0,399,36,78,244,182,132,122,95,63,67,1017,413,544,2118,1711,1387,1375,1225,483,171,9431
1009,41,99,113,138,177,244,329,212,67,1416,20,91,146,166,256,290,232,151,32,1382,9,61,154,193,245,264,197,75,16,1217,0,30,97,136,184,186,123,38,9,804,0,9,62,98,159,162,56,22,10,585,0,0,36,111,118,104,42,14,4,438,0,0,50,124,200,154,39,22,3,597,0,0,4,19,35,21,11,5,3,95,0,0,3,31,42,30,13,10,4,135,52,30,64,70,72,147,174,148,90,855,905,574,1058,1443,2098,2996,3785,2429,811,16093
