SUA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
1000,11990,3661,25000,146470,223212,116654,90654,183360,81241,841594
1001,1131,236,2228,15811,22067,9776,6452,20041,4750,78903
1002,212,114,599,3749,5691,2441,1420,4375,2024,19697
1003,871,288,1833,7618,11284,5477,3555,8247,2486,38674
1004,384,53,664,2366,4019,2118,1516,3790,1142,14958
1005,565,79,977,5937,8381,3716,2484,7383,2375,30275
1006,599,275,1515,6480,10017,5274,3638,7180,1903,34488
1007,289,127,590,2192,3458,1608,1331,4566,1432,14592
1008,90,23,171,2114,2645,1022,597,2129,922,9431
1009,424,75,811,2658,4497,2512,1829,3820,779,16093
1010,4728,2169,10520,52376,76723,37833,28074,68873,17558,281435
1011,1030,410,2277,11383,16883,8226,5341,14977,4233,61051
1012,503,116,909,6028,8328,3634,2535,8397,2911,31834
1013,628,279,1355,2935,4668,2500,1786,5222,1440,18557
1014,417,63,733,3755,5223,2367,1648,5374,1706,20071
1015,386,104,777,2694,3907,1968,1464,4360,1229,15625
1016,253,143,603,2923,3731,1569,1243,5726,1399,16593
1017,250,82,460,1782,2645,1403,1260,3789,1921,12802
1018,435,116,862,4632,6802,3002,2010,5699,1714,23865
1019,213,23,388,1691,2571,1300,1008,2831,990,10392
1020,71,17,166,2262,3370,1679,1394,2554,606,11876
1021,647,93,1138,4231,6087,3153,2454,5950,1201,23078
1022,191,49,353,1899,2729,1239,956,2426,637,9889
1023,86,29,179,1683,2370,1083,875,2623,934,9573
1024,477,211,1104,4308,6881,3488,2439,5935,1550,24604
1025,6049,1957,12437,82964,118771,53687,35460,101380,23111,415368
1026,591,93,1054,5468,7939,3788,2988,8169,2992,31332
1027,510,152,1045,6386,9201,4067,2657,8454,2086,32841
1028,966,409,2162,8337,12146,5566,3487,10093,2499,42132
1029,188,15,306,2400,3654,1691,1317,3498,887,13458
1030,323,77,656,2930,4617,2400,1742,4224,1148,17055
1031,44300,15605,94315,751353,1023183,458085,332987,1136573,238167,3940349
1032,537,214,1193,6363,8976,4150,2847,9619,2873,34829
1033,529,192,1086,3432,5207,2713,2259,6199,1985,21798
1034,307,72,644,2534,4068,2185,1466,3269,906,14419
1035,722,224,1488,9434,12858,5381,3523,11645,2747,45591
1036,3641,1387,7966,48590,69622,33371,24005,62197,13147,250927
2000,8829,2852,18413,105366,160664,85297,66829,126086,53807,598038
2001,274,34,431,3925,5426,2395,1843,5028,942,19557
2002,209,154,567,2233,3364,1762,1366,3144,1108,12979
2003,1363,456,2851,18192,26031,11578,8097,21725,5320,90958
2004,1358,425,2812,16664,23534,10617,7600,20168,5052,83646
2005,114,201,472,1593,2873,1520,1002,1418,1340,9742
2006,274,57,502,1961,2572,1276,1017,3131,624,10580
2007,338,181,753,3496,5018,2372,1785,4744,1347,18753
2008,3535,923,7134,47627,68443,31040,20853,55194,13959,237121
2009,129,73,319,3636,5301,2900,1964,2779,862,17437
2010,285,58,589,2676,3733,1766,1291,3536,822,13824
2011,50090,11533,98370,806114,1066316,443649,305230,1106027,218479,3945813
2012,747,181,1391,7608,10621,5155,3937,12265,4003,43582
2013,341,52,602,3101,4479,2264,1948,5033,1488,18322
2014,206,35,346,1651,2447,1283,946,2498,644,9468
2015,253,73,465,2230,3379,1673,1238,3138,843,12493
2016,737,176,1406,7686,10352,4652,3718,13181,3621,43207
2017,205,49,417,1635,2259,1033,823,2631,655,9037
2018,604,233,1221,6092,9031,4192,3334,9812,2996,35452
2019,399,120,795,3036,4484,2055,1463,4374,1039,16453
2020,586,95,1045,6774,9623,4597,3546,7862,2104,34506
2021,477,186,1073,5858,8366,3793,2509,7072,1892,29490
3000,6199,1995,13151,106961,150956,77018,67006,141574,72659,616182
3001,29,9,51,2529,3159,1143,746,2931,1738,12251
3002,20876,5504,41514,420663,572463,238731,158390,474829,111340,1976418
3003,1254,266,2337,10561,15611,7652,6002,17256,4101,61189
3004,1124,370,2244,24524,33697,13608,9020,31185,12255,124294
3005,23,27,79,2116,2869,1121,940,2399,1087,10530
3006,256,87,520,6752,9832,4149,3296,8702,2568,35298
3007,7849,2785,15985,118096,155361,67086,44413,146970,40595,572532
3008,428,70,754,3540,4620,2354,1952,4769,1149,18388
3009,1008,333,2010,8209,12581,6366,5013,13146,3516,48828
3010,158,47,315,1482,2156,996,897,2270,635,8440
3011,779,262,1552,13142,17962,7211,5540,16809,6719,67384
3012,459,90,825,3850,5506,2848,2495,6220,2277,23197
3013,51,26,114,2676,3615,1377,1066,3623,1642,13992
3014,799,289,1683,11838,16475,7114,5257,16435,5924,63041
3015,4900,1492,10225,63027,92578,44034,28989,69087,19484,317195
3016,1831,390,3564,22944,32227,14070,10143,28283,6374,114043
3017,1299,328,2506,28769,39900,15770,10881,35981,13043,144347
3018,231,73,465,2365,3221,1636,1284,3129,999,12634
3019,258,50,480,3082,4568,2101,1550,3874,1332,16510
4000,3395,866,6809,41609,62350,32447,24777,47026,18732,226935
4001,18914,3051,36015,238636,327926,141902,91036,284256,50149,1133898
4002,379,128,824,4793,6819,3130,2186,5644,1513,24089
4003,283,60,570,2670,3693,1874,1341,4119,1478,15178
4004,123,27,248,1689,2529,1223,901,3155,1493,10995
4005,228,43,434,2368,3661,1782,1221,3100,1147,13282
4006,233,35,439,1839,2858,1436,1140,3468,777,11521
4007,758,150,1540,4267,7084,4187,2807,5553,1226,25123
4008,237,58,449,2849,4464,2107,1634,4990,1315,17361
5000,1779,732,4317,40901,56204,27386,23840,49169,35284,232781
5001,507,124,1133,5598,8253,3833,2870,6387,2032,28964
5002,31,18,63,2251,3052,1049,643,2317,1920,11236
5003,663,270,1539,11840,16942,7638,6065,14420,4368,61269
5004,483,107,1045,6560,9449,4650,3419,6645,2233,32951
5005,115,26,275,1976,2590,1163,898,1995,1075,9700
5006,368,150,828,5550,8205,3615,2931,7311,3249,30859
5007,115,35,202,4305,5694,2162,1752,5981,2703,22592
5008,6,4,11,2411,3417,1134,978,2559,2013,12514
