SUA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
1000,..,427,12351,25011,31585,39409,40812,21704,4475,175769,..,3538,11379,8109,8173,7716,4830,1398,181,45318,..,93,617,1626,2446,1942,1087,602,412,8821,83675,..,..,..,..,..,..,..,..,83675,..,16157,..,..,..,..,..,..,..,16157,..,18298,8156,3750,2930,1630,266,3,0,35034,..,1971,1196,671,925,1438,1490,812,384,8889,..,1254,1398,713,753,683,411,155,38,5400,..,1455,2164,1003,1466,2232,2136,777,133,11367,..,1528,3753,3927,6906,12312,12806,7106,2404,50743,1439,1918,2012,1533,1545,1585,1460,615,141,12257,85116,46637,43028,46349,56714,68943,65299,33174,8172,453418,..,833,16718,28583,35010,41854,37130,15859,2025,178012,..,5285,12385,8475,8461,7370,3678,854,91,46595,..,1194,5473,7375,7592,4012,2322,1938,1391,31291,78531,..,..,..,..,..,..,..,..,78531,..,17470,..,..,..,..,..,..,..,17470,..,11328,4199,1507,1275,1061,245,13,0,19629,..,1623,608,314,632,1663,2193,1654,987,9668,..,1480,951,422,423,409,262,90,30,4064
1001,..,48,1667,2967,2885,3037,2918,1569,367,15471,..,528,1613,842,678,473,236,84,8,4462,..,19,79,228,291,153,83,41,20,914,8927,..,..,..,..,..,..,..,..,8927,..,1759,..,..,..,..,..,..,..,1759,..,1841,762,281,207,96,13,0,0,3204,..,232,188,90,61,87,66,37,11,781,..,172,196,74,35,29,12,3,0,520,..,413,525,127,171,157,135,30,14,1574,..,255,761,632,829,989,872,476,205,5014,117,158,147,131,84,58,78,23,8,812,9043,5420,5935,5381,5242,5084,4424,2266,629,43422,..,99,2208,3211,3054,3101,2670,1207,173,15726,..,737,1619,875,628,436,179,70,6,4555,..,166,784,1073,1029,440,205,182,102,3985,8729,..,..,..,..,..,..,..,..,8729,..,1957,..,..,..,..,..,..,..,1957,..,1125,391,117,87,71,18,0,0,1818,..,210,116,53,69,178,172,94,63,951,..,171,99,29,26,13,5,4,0,340
1002,..,31,381,637,605,660,620,389,115,3437,..,145,331,153,132,121,59,19,0,961,..,5,25,44,46,42,19,9,8,192,1887,..,..,..,..,..,..,..,..,1887,..,439,..,..,..,..,..,..,..,439,..,335,160,61,45,31,3,0,0,631,..,65,44,16,19,21,13,8,4,192,..,49,36,16,6,7,0,3,0,122,..,173,149,44,33,36,21,10,0,459,..,81,162,158,163,259,195,126,53,1194,44,130,40,37,31,18,26,9,3,336,1934,1446,1329,1169,1074,1189,962,575,182,9853,..,42,515,663,629,679,565,333,44,3459,..,193,320,153,135,111,38,13,0,970,..,32,156,224,218,101,41,47,26,837,1877,..,..,..,..,..,..,..,..,1877,..,468,..,..,..,..,..,..,..,468,..,210,77,29,21,19,5,0,0,365,..,57,34,11,20,30,41,13,20,220,..,33,29,7,3,3,0,0,0,86
1003,..,15,447,1197,1404,1575,1915,1186,316,8055,..,119,523,472,375,337,219,72,11,2135,..,5,24,78,152,101,47,28,16,458,3679,..,..,..,..,..,..,..,..,3679,..,820,..,..,..,..,..,..,..,820,..,809,328,163,141,90,19,0,0,1560,..,76,68,41,44,57,62,32,22,395,..,83,114,67,39,26,14,4,0,349,..,81,187,94,115,130,99,32,3,748,..,32,102,194,266,492,502,312,156,2066,51,64,56,42,55,42,47,21,6,376,3726,2109,1855,2348,2596,2854,2933,1690,540,20638,..,30,643,1328,1555,1705,1838,908,162,8173,..,179,620,469,410,313,174,49,0,2219,..,30,185,412,498,237,123,115,84,1680,3353,..,..,..,..,..,..,..,..,3353,..,825,..,..,..,..,..,..,..,825,..,528,197,80,74,71,3,0,0,951,..,77,46,19,40,62,131,63,63,501,..,82,97,29,24,22,16,3,0,277
1004,..,11,138,303,422,603,941,533,121,3080,..,52,168,131,129,153,106,31,8,772,..,0,17,28,60,35,16,9,6,174,1177,..,..,..,..,..,..,..,..,1177,..,232,..,..,..,..,..,..,..,232,..,253,144,68,61,38,8,0,0,574,..,54,16,23,14,20,19,13,9,174,..,23,26,11,17,5,0,4,4,91,..,23,43,20,31,50,42,11,3,213,..,30,53,73,157,202,261,154,47,980,13,34,24,18,31,31,35,9,5,194,1186,701,634,671,916,1127,1432,770,201,7649,..,14,204,362,458,728,890,403,50,3112,..,75,187,125,131,159,86,29,7,798,..,32,110,157,168,89,50,45,31,676,1154,..,..,..,..,..,..,..,..,1154,..,231,..,..,..,..,..,..,..,231,..,196,57,27,29,19,11,0,0,331,..,21,7,0,16,45,31,30,24,184,..,29,14,0,9,5,0,4,0,55
1005,..,24,634,1008,1060,1080,1065,608,138,5615,..,221,602,337,233,175,74,30,3,1682,..,3,39,80,129,66,29,21,7,379,3405,..,..,..,..,..,..,..,..,3405,..,761,..,..,..,..,..,..,..,761,..,742,312,107,76,51,6,0,0,1296,..,97,76,25,31,34,32,21,6,326,..,63,70,28,30,16,7,3,0,215,..,201,167,61,52,65,49,14,0,609,..,106,259,234,286,360,295,173,66,1773,46,69,57,38,45,33,19,8,7,319,3455,2297,2217,1909,1938,1886,1575,878,233,16384,..,48,807,1097,1153,1116,979,427,82,5709,..,326,635,317,219,170,57,15,4,1731,..,66,302,397,398,182,87,63,40,1531,3239,..,..,..,..,..,..,..,..,3239,..,741,..,..,..,..,..,..,..,741,..,404,158,58,35,32,9,0,0,691,..,91,56,8,33,57,77,46,32,400,..,61,38,9,14,11,0,0,0,149
1006,..,20,655,1259,1425,1535,1675,1300,318,8194,..,104,392,269,297,250,181,78,9,1591,..,0,15,44,96,64,43,22,16,301,3371,..,..,..,..,..,..,..,..,3371,..,782,..,..,..,..,..,..,..,782,..,808,384,158,136,56,8,0,0,1546,..,75,55,26,31,51,42,29,16,323,..,45,89,26,31,17,13,4,3,233,..,40,108,52,49,66,61,30,0,410,..,24,92,124,225,329,340,258,106,1498,39,43,57,37,27,23,38,17,9,282,3409,1939,1845,1985,2327,2397,2403,1744,481,18539,..,33,875,1357,1563,1570,1741,999,120,8251,..,153,413,285,305,196,150,38,5,1544,..,35,116,246,400,226,94,107,87,1310,3311,..,..,..,..,..,..,..,..,3311,..,876,..,..,..,..,..,..,..,876,..,489,204,70,55,66,15,0,0,902,..,41,48,8,27,69,83,108,48,432,..,60,70,15,11,3,11,4,0,178
1007,..,0,168,304,377,551,566,300,91,2361,..,87,292,163,106,122,54,14,0,838,..,8,34,38,67,26,21,19,12,226,1313,..,..,..,..,..,..,..,..,1313,..,215,..,..,..,..,..,..,..,215,..,377,166,90,72,36,8,0,0,750,..,62,26,19,31,23,19,8,4,192,..,17,13,6,13,5,5,4,0,63,..,20,40,20,28,27,21,5,3,171,..,61,144,125,196,300,284,130,52,1299,53,27,34,36,16,30,31,7,0,233,1363,880,929,801,902,1132,1006,492,169,7664,..,6,244,360,403,600,520,270,45,2437,..,135,317,143,125,105,47,9,0,882,..,33,189,217,162,106,68,36,26,838,1317,..,..,..,..,..,..,..,..,1317,..,220,..,..,..,..,..,..,..,220,..,186,74,28,28,28,0,0,0,343,..,48,15,8,9,45,40,20,14,203,..,28,5,0,4,0,0,0,0,47
1008,..,0,57,234,244,265,279,108,18,1208,..,14,220,175,125,82,63,10,0,696,..,0,7,13,36,22,14,4,0,95,661,..,..,..,..,..,..,..,..,661,..,127,..,..,..,..,..,..,..,127,..,100,55,29,14,15,4,0,0,207,..,15,6,7,8,7,12,3,0,57,..,22,76,34,16,9,7,0,0,160,..,41,317,117,58,48,32,8,0,629,..,9,40,86,90,125,113,64,16,529,3,10,29,24,17,18,20,0,0,117,667,337,806,711,600,585,537,203,33,4482,..,5,109,286,261,257,220,74,7,1219,..,37,241,172,103,97,40,5,0,693,..,4,14,77,90,55,29,14,15,292,669,..,..,..,..,..,..,..,..,669,..,129,..,..,..,..,..,..,..,129,..,68,31,17,17,3,6,0,0,139,..,10,11,5,3,13,19,19,10,86,..,27,102,24,3,8,3,0,0,170
1009,..,6,130,340,515,741,1189,775,190,3884,..,35,126,103,150,156,129,60,11,780,..,0,7,26,51,29,15,14,22,167,1150,..,..,..,..,..,..,..,..,1150,..,289,..,..,..,..,..,..,..,289,..,328,122,56,67,43,13,0,0,629,..,25,9,9,14,24,17,12,8,115,..,27,23,8,18,12,5,3,0,103,..,10,13,8,26,57,52,22,0,187,..,14,24,35,105,183,292,226,74,949,21,24,24,16,20,17,27,11,0,163,1170,758,480,601,958,1266,1743,1131,304,8412,..,11,178,402,570,888,1155,619,86,3910,..,57,139,124,162,175,108,47,4,826,..,12,65,131,163,84,30,37,40,562,1115,..,..,..,..,..,..,..,..,1115,..,282,..,..,..,..,..,..,..,282,..,185,62,33,30,39,7,0,0,357,..,27,3,3,8,28,41,41,36,185,..,19,14,5,5,5,3,0,0,65
