SUA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
1000,1800,1914,1181,762,924,305,113,6994,1864,2195,1475,1004,1156,278,78,8053,2365,2468,1524,972,1141,286,95,8857,33666,36350,23153,15165,16921,3677,1168,130095,177,249,165,108,76,20,3,788,39877,43179,27497,18011,20217,4563,1458,154793,99,223,180,156,199,52,25,932,480,723,532,400,446,100,29,2701,203,434,331,255,313,52,37,1623,7197,9857,6705,4792,4955,805,233,34547,334,335,256,165,111,24,3,1234,8317,11574,7998,5763,6024,1037,330,41038,48188,54753,35494,23775,26241,5597,1787,195830
1001,572,555,284,162,203,84,25,1880,237,224,156,90,102,22,10,841,251,234,114,74,82,24,4,789,3603,3474,1943,1282,1552,359,127,12343,17,21,9,8,4,0,0,59,4676,4512,2509,1612,1943,486,167,15915,34,68,55,34,49,32,8,279,46,62,64,33,53,17,4,279,21,45,24,24,40,3,0,174,957,1352,829,575,697,156,40,4606,34,34,29,18,7,0,0,119,1091,1563,995,687,848,209,58,5452,5772,6077,3504,2300,2788,695,227,21366
1002,213,230,137,56,91,44,26,793,48,60,34,25,31,5,0,206,59,63,38,19,29,10,3,208,594,612,328,262,327,58,17,2200,7,11,4,4,0,0,0,17,926,966,539,362,473,119,48,3434,8,41,33,20,22,12,7,134,17,26,20,19,20,7,6,116,8,7,9,9,17,0,3,43,219,252,157,112,149,20,7,912,8,10,7,7,0,0,0,35,260,331,214,169,206,42,25,1239,1185,1298,751,531,680,157,70,4673
1003,132,127,75,54,74,18,0,477,196,176,106,67,84,19,7,660,213,251,126,76,75,20,0,757,1238,1304,859,541,656,173,56,4831,5,17,11,7,3,0,0,45,1781,1865,1176,744,892,234,75,6766,12,18,14,17,24,10,0,88,32,49,45,40,53,13,0,231,16,40,38,29,21,4,0,153,217,346,305,215,241,59,23,1398,5,10,11,0,6,0,0,38,282,462,416,299,330,84,24,1905,2061,2328,1589,1043,1225,323,101,8672
1004,37,33,20,9,19,5,0,130,25,36,19,11,22,0,0,115,28,22,23,22,13,9,0,118,382,427,298,179,188,39,6,1520,0,0,3,0,0,0,0,4,474,526,361,225,237,49,4,1884,0,0,0,3,6,0,0,18,15,7,17,13,11,10,0,68,10,12,13,10,8,0,0,48,183,189,149,111,110,19,3,763,5,3,4,0,0,0,0,15,211,215,189,130,137,26,5,913,685,742,553,359,377,76,18,2795
1005,175,151,68,50,47,23,12,525,83,95,54,39,58,17,9,356,60,90,60,37,43,8,10,310,1300,1307,811,522,667,148,38,4795,8,6,4,0,0,0,0,24,1622,1649,1009,657,814,197,63,6005,10,6,12,8,13,5,4,56,15,28,27,22,24,3,0,117,20,31,9,11,24,4,0,95,368,534,330,237,276,57,14,1808,23,19,10,5,0,4,0,59,434,613,378,279,336,75,23,2138,2053,2260,1385,938,1149,271,80,8142
1006,231,191,111,63,77,31,17,732,141,198,141,78,105,42,10,723,154,181,112,77,80,23,9,642,1274,1300,838,532,611,190,69,4821,6,8,0,3,0,0,0,19,1820,1875,1208,759,879,288,111,6939,10,9,7,9,18,10,0,60,18,43,25,33,42,5,4,177,5,17,15,14,20,8,3,85,150,244,219,166,186,46,32,1039,11,8,11,0,6,0,0,40,200,320,280,222,271,61,46,1399,2017,2193,1488,977,1151,346,161,8340
1007,37,44,19,15,10,0,0,124,19,10,5,6,5,0,0,51,24,26,11,10,10,0,0,80,509,459,297,179,223,24,8,1703,0,4,3,0,0,0,0,8,592,546,337,208,247,28,11,1966,3,5,5,8,5,0,0,20,5,6,4,4,9,0,0,32,5,7,0,6,0,0,0,16,258,311,196,114,121,16,3,1013,8,11,3,0,4,0,0,27,277,334,213,136,133,20,3,1105,866,878,547,341,376,46,10,3070
1008,64,61,34,11,22,4,4,196,56,49,33,18,26,5,7,190,52,51,30,20,19,4,0,182,203,197,121,71,71,16,0,678,0,0,0,0,0,0,0,0,373,365,211,122,137,29,8,1241,3,14,8,8,4,0,0,40,9,16,16,13,13,0,0,71,9,22,14,11,10,5,0,64,13,41,23,28,40,4,0,153,8,8,0,0,0,0,0,12,43,90,61,64,72,6,4,340,417,454,270,182,205,37,9,1580
1009,8,21,23,10,13,0,0,72,30,35,25,12,12,8,4,130,37,42,23,12,14,4,3,133,379,519,334,210,261,63,23,1786,0,0,0,3,0,0,0,3,448,618,408,250,308,74,30,2129,0,5,0,0,0,0,3,5,7,16,15,9,10,0,0,66,5,5,9,3,9,0,0,33,99,145,136,78,103,25,4,588,0,6,3,0,0,0,0,17,107,177,159,95,128,25,9,703,559,792,564,343,437,101,37,2834
1010,1613,1857,1086,675,822,359,176,6587,1367,1484,879,610,718,278,120,5461,1484,1422,827,523,619,224,96,5191,10440,10253,6097,4064,4937,1697,763,38243,53,66,45,26,16,3,0,203,14954,15074,8937,5886,7113,2561,1157,55687,91,192,174,132,190,69,38,885,318,517,339,243,315,108,50,1893,145,327,240,169,218,78,44,1219,2622,3418,2372,1685,1964,531,232,12819,96,94,74,44,30,8,0,341,3270,4544,3192,2282,2712,799,362,17163,18225,19615,12131,8170,9828,3364,1518,72850
1011,448,499,308,164,202,68,26,1717,205,251,151,97,109,25,12,855,246,255,152,94,91,26,4,857,1937,2156,1401,883,1036,228,54,7695,9,13,7,3,0,0,0,45,2852,3177,2019,1239,1443,338,98,11172,37,62,47,40,55,30,11,287,51,68,76,41,48,8,3,302,27,60,41,25,32,8,5,193,603,792,571,432,432,81,21,2927,30,36,9,6,10,6,0,85,739,1015,747,544,577,135,40,3793,3592,4187,2761,1776,2021,476,142,14959
1012,406,275,97,64,67,20,5,926,78,57,33,20,23,3,0,221,114,65,21,22,22,7,0,251,1607,1513,896,569,625,117,27,5349,5,7,0,0,0,0,0,17,2200,1920,1053,664,729,154,36,6760,11,12,19,10,6,8,0,61,17,12,23,13,13,3,4,87,12,9,18,8,7,0,0,58,520,636,395,254,239,40,9,2089,9,13,8,7,4,0,0,36,567,687,445,297,275,48,13,2332,2770,2606,1502,965,1006,199,42,9091
