SUA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1000,3261,3828,7090,1559,1606,3160,1353,4050,5403,1619,8401,10016,5761,23567,29328,5920,13055,18973,21343,8176,29520,17093,10155,27246,19800,9446,29247,22537,6106,28639,14920,4727,19648,16164,3497,19665,31446,5078,36522,22145,556,22697,17218,1088,18303,10469,174,10643,26203,1906,28107,19806,1219,21031,4596,5485,10080,263201,112113,375313
1001,162,328,490,80,125,210,96,413,508,127,858,983,437,2153,2586,579,1516,2095,1653,1023,2672,1500,1277,2773,1791,1257,3043,2154,906,3064,1603,696,2300,1729,476,2203,3784,664,4453,2622,121,2741,1850,136,1985,1136,38,1171,2156,195,2351,1475,123,1600,315,527,843,25256,12815,38073
1002,50,73,122,26,44,67,28,121,144,28,212,240,96,489,583,119,377,496,378,252,633,332,322,655,400,287,683,469,227,689,341,189,531,393,134,526,727,235,960,525,34,556,380,50,435,269,10,277,590,67,657,321,64,382,54,86,141,5517,3269,8785
1003,92,162,252,59,80,142,36,173,207,50,349,398,207,1066,1269,216,824,1041,850,492,1347,798,564,1365,989,441,1432,1107,333,1439,749,252,1003,796,189,981,1603,292,1896,1136,62,1207,868,64,930,529,13,545,1403,116,1518,762,94,852,166,246,410,12427,5816,18244
1004,57,64,124,30,28,56,29,87,117,23,189,210,125,484,614,128,300,430,491,219,712,385,221,605,462,216,680,555,168,723,296,97,389,292,71,360,558,91,651,318,8,328,234,20,250,116,5,125,259,37,295,289,13,307,86,116,196,4730,2430,7162
1005,66,125,188,30,47,77,38,123,158,48,288,339,137,695,835,165,501,668,535,310,846,510,427,937,677,436,1105,752,308,1062,567,284,855,583,198,780,1291,311,1602,1010,51,1058,719,56,773,498,9,506,999,68,1067,650,57,705,112,141,258,9380,4428,13812
1006,116,165,277,68,67,141,44,136,184,41,266,306,178,809,987,143,513,658,606,393,1003,595,433,1027,732,439,1170,918,259,1175,563,248,814,724,156,879,1431,263,1694,1101,25,1132,917,72,994,538,6,549,1845,129,1974,695,39,740,118,192,309,11370,4624,15997
1007,55,77,138,15,34,52,21,114,137,35,211,249,113,690,800,118,321,440,389,193,579,335,229,562,362,200,560,374,153,524,218,130,349,247,98,349,492,163,657,386,12,401,295,29,324,193,0,200,323,44,370,362,21,380,94,144,237,4429,2875,7308
1008,28,49,78,5,17,26,15,26,40,9,71,84,46,179,224,50,171,224,90,101,192,96,122,216,116,137,250,163,98,263,117,85,200,146,62,202,292,119,416,223,55,279,163,56,219,119,23,141,408,124,535,196,104,296,17,44,65,2306,1645,3952
1009,67,76,138,39,33,71,31,89,123,28,159,190,132,599,727,160,422,585,678,195,870,473,229,701,517,186,707,613,95,711,318,63,376,326,38,367,528,71,596,384,9,395,268,10,275,155,5,156,315,17,333,290,17,303,71,114,188,5399,2414,7808
