SUA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1000,14360,117393,141147,57129,38020,368052,7262,375313
1001,2375,13938,14392,4398,2257,37363,711,38073
1002,717,3646,2956,900,441,8660,126,8785
1003,878,6650,7024,2202,1186,17942,306,18244
1004,384,2903,2630,761,358,7040,124,7162
1005,899,4989,5040,1733,958,13619,191,13812
1006,602,5548,6149,2138,1349,15795,199,15997
1007,700,3068,2366,718,297,7148,161,7308
1008,204,1485,1418,483,270,3860,91,3952
1009,277,2900,2878,862,516,7435,372,7808
1010,8430,49217,46922,15299,8933,128802,1874,130681
1011,1570,10652,10393,3301,1781,27701,493,28198
1012,833,5275,5568,1790,861,14325,259,14582
1013,663,4523,2959,810,330,9283,176,9463
1014,710,3600,3204,1168,640,9323,158,9486
1015,580,3216,2522,804,356,7476,146,7616
1016,422,2431,2654,941,579,7028,155,7182
1017,386,1957,1763,675,422,5205,138,5347
1018,830,4782,3975,1251,564,11394,177,11573
1019,584,2094,1516,519,315,5028,121,5149
1020,97,1349,2080,910,661,5096,54,5155
1021,443,3505,3766,1437,1057,10208,148,10362
1022,277,1546,1843,634,326,4625,106,4727
1023,294,1689,1650,551,280,4462,81,4545
1024,504,4765,4410,1207,648,11541,160,11695
1025,11907,66755,74026,23991,13353,190035,2260,192297
1026,884,5185,5122,1671,1008,13865,241,14108
1027,974,5706,5934,1857,883,15357,260,15616
1028,1388,8674,7166,2056,927,20212,334,20544
1029,274,1819,2408,930,530,5955,64,6020
1030,280,3342,3092,910,486,8108,114,8225
1031,194060,667954,536539,163302,93048,1654902,23818,1678712
1032,1200,6340,5968,1791,963,16271,285,16555
1033,856,4222,3319,1104,631,10132,295,10424
1034,299,2777,2682,737,368,6865,105,6970
1035,1459,7773,7950,2608,1317,21104,315,21419
1036,8377,39524,42176,14014,8393,112481,1384,113867
2000,8942,78824,102566,44621,31637,266583,5150,271738
2001,328,2707,3432,1364,946,8775,113,8888
2002,392,2304,2241,764,436,6145,136,6280
2003,2657,16577,16346,5103,2742,43429,565,43993
2004,2201,14438,15071,5035,2762,39505,514,40027
2005,302,2029,1574,467,285,4662,75,4737
2006,389,1881,1796,611,334,5013,115,5127
2007,485,3035,3323,1146,608,8598,173,8772
2008,5481,38126,44334,12953,7076,107966,1344,109315
2009,117,1613,3318,1380,1004,7432,57,7487
2010,470,2481,2580,896,410,6838,113,6953
2011,149839,646218,635953,189500,102463,1723976,22627,1746604
2012,1218,6626,7351,2705,1520,19419,504,19921
2013,774,3183,2833,1262,724,8774,218,8993
2014,258,1643,1715,609,290,4511,81,4596
2015,424,2415,2278,629,314,6060,97,6156
2016,1086,6837,7196,2601,1438,19163,402,19573
2017,319,1495,1667,528,253,4253,94,4348
2018,1222,6510,6135,1915,1013,16801,331,17127
2019,551,3113,2958,829,437,7877,264,8146
2020,572,5050,6269,2300,1474,15669,195,15861
2021,777,5153,5421,1679,886,13906,202,14111
3000,11713,80966,96639,40522,26324,256167,6238,262410
3001,314,1732,1673,492,252,4468,87,4558
3002,56674,317648,330011,107832,59748,871912,11411,883324
3003,1952,11281,10008,3405,1794,28447,455,28897
3004,3646,21013,20702,6325,2985,54676,986,55662
3005,163,1509,1881,717,384,4647,86,4736
3006,853,5921,6536,2306,1043,16653,220,16869
3007,12820,92867,97993,31545,17140,252366,3806,256170
3008,593,3298,3110,1054,568,8614,143,8759
3009,1428,9846,7858,2433,1201,22763,396,23163
3010,276,1502,1369,505,248,3903,88,3989
3011,1509,10150,11803,4231,2116,29817,625,30437
3012,922,4046,3475,1293,740,10474,229,10706
3013,461,2068,2371,762,395,6059,273,6328
3014,1836,10093,10418,3716,2003,28063,432,28494
3015,5586,49978,56382,18897,10783,141623,1914,143532
3016,3141,19487,20020,6595,3605,52838,627,53468
3017,3533,22578,25466,8303,3972,63856,946,64797
3018,400,2351,2098,687,450,5979,122,6109
3019,355,2475,2936,1039,508,7317,156,7473
4000,4009,30790,38747,16936,11845,102332,1844,104172
4001,40510,195534,192922,61328,33025,523321,6045,529364
4002,818,4210,4218,1495,900,11642,169,11808
4003,546,2666,2351,895,583,7047,129,7177
4004,519,1824,1637,602,301,4885,111,4993
4005,435,2197,2378,784,385,6174,126,6302
4006,640,2266,1801,662,344,5712,137,5847
4007,637,5635,4381,1242,627,12526,161,12684
4008,1085,3392,2760,999,525,8756,192,8952
5000,4612,26575,33039,14833,10779,89835,2182,92016
5001,650,4640,5016,1845,1103,13251,200,13451
5002,334,1409,1628,660,354,4381,150,4532
5003,1211,9563,11314,3961,1943,27996,406,28400
5004,465,5076,6031,2068,1090,14732,228,14957
5005,214,1407,1683,624,388,4311,67,4379
5006,666,4760,5386,1945,1030,13793,223,14020
5007,473,3049,3859,1516,863,9761,214,9975
5008,132,1278,2231,886,436,4965,100,5062
5009,38098,268701,304618,98849,53617,763875,9295,773166
5010,248,1413,1971,716,313,4662,108,4766
6000,2055,18928,23932,10938,7461,63317,1121,64438
6001,927,4573,3830,1363,701,11398,170,11572
6002,908,4795,4445,1671,961,12779,202,12982
6003,6281,31911,30364,10932,6608,86087,1110,87197
6004,2517,13298,12473,4532,2563,35379,653,36036
6005,330,2194,2244,815,505,6085,102,6188
7000,4356,5789,4484,1810,1297,17735,682,18416
7001,756,3213,3003,1128,582,8679,207,8891
7002,2517,14964,16854,5466,2681,42470,881,43351
8000,4,57,130,64,58,317,4,320
8001,9994,70847,69737,20068,10357,181004,1649,182655
9000,62,558,524,208,115,1469,61,1533
