SUA_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
1000,306,67,64,12,448,0,0,4,451,36,5,490,72,11,3,116,205,3,0,3,205,12,5,225,12903,1936,385,251,15479,125,38,159,15633,901,34,16575,68,10,4,0,85,30,0,35,119,13,0,128,74,29,5,4,112,8,5,15,131,11,0,138,143,47,7,4,200,39,10,47,246,19,0,268,13044,1980,397,252,15679,163,43,202,15877,926,34,16841,1354,283,66,57,1772,51,19,74,1837,605,8,2451,11,4,0,4,17,0,0,0,17,3,45,68,14412,2271,469,312,17460,210,61,276,17738,1539,88,19363,1665,185,44,6,1904,15,3,22,1925,118,3,2041,1168,242,31,10,1451,15,5,24,1467,103,0,1573,72,25,15,0,117,0,0,0,120,10,0,132,19,6,0,28,49,0,0,0,51,5,4,61,2923,453,93,55,3519,33,11,43,3571,228,6,3806,14,0,0,0,14,0,0,0,14,4,0,17,6,3,0,4,12,3,0,0
1001,29,0,0,0,32,0,0,0,34,0,0,32,3,0,0,0,12,0,0,0,12,0,0,10,1329,141,19,15,1508,19,4,23,1528,63,4,1599,5,3,0,0,8,3,0,3,12,0,0,10,9,0,0,0,13,0,0,0,13,0,0,10,18,4,0,0,20,3,0,3,21,3,0,27,1347,144,19,15,1528,19,4,23,1555,69,4,1623,131,29,5,4,170,0,0,5,170,59,0,232,0,0,0,0,0,0,0,0,0,0,0,0,1481,169,31,15,1694,21,3,30,1722,125,3,1855,165,22,0,0,185,4,0,4,187,5,0,194,150,21,0,0,166,0,0,0,168,9,0,169,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,318,36,7,3,362,4,0,4,366,13,0,378,0,3,0,0,7,0,0,0,7,0,0,8,4,0,0,0,4,0,0,0
1002,3,4,0,0,11,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,298,39,5,0,337,4,0,4,346,28,0,373,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,10,0,0,10,9,0,0,0,7,0,0,0,11,0,0,8,304,37,5,0,349,4,0,4,354,27,0,384,35,11,0,0,44,0,0,4,49,32,0,81,0,0,0,0,0,0,0,0,0,0,0,3,341,49,4,0,396,4,4,12,403,61,6,467,39,7,0,0,43,0,0,0,47,3,0,48,12,9,0,0,26,0,0,0,26,0,0,28,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,14,5,0,73,0,0,0,74,7,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,15,8,0,0,22,0,0,0,22,5,0,26,4,0,0,6,11,0,0,0,11,0,0,11,551,117,17,16,700,0,4,0,704,41,3,744,3,0,0,0,5,0,0,0,5,0,0,5,8,0,0,0,3,3,0,3,9,0,0,11,10,4,0,0,8,3,0,3,12,0,0,15,560,118,17,13,711,0,4,9,718,45,3,758,58,25,4,0,86,0,0,6,94,14,3,103,0,0,0,0,0,0,0,0,0,0,0,0,613,147,22,19,798,4,4,7,805,54,5,864,69,8,6,0,84,3,0,3,84,13,0,93,72,16,5,7,87,0,0,0,90,3,0,96,7,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,146,26,3,4,174,3,0,4,186,17,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,7,0,6,0,7,0,0,0,7,0,0,7,0,0,0,3,3,0,0,0,3,0,0,10,137,34,7,5,180,0,0,0,185,14,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,34,7,5,181,0,0,0,182,14,0,200,11,11,0,0,16,3,0,3,20,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,149,39,7,5,198,3,0,3,204,27,0,234,16,4,0,0,19,0,0,0,19,0,0,27,11,4,0,0,15,0,0,0,15,5,0,21,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,41,0,0,0,41,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,10,0,5,0,14,0,0,0,14,3,0,17,4,0,0,0,4,0,0,0,4,0,0,0,563,69,16,0,644,6,4,3,647,26,0,674,4,0,0,0,5,3,0,3,6,0,0,6,0,0,0,0,0,0,0,3,3,0,0,4,5,0,0,0,6,3,0,6,11,0,0,15,565,62,16,0,647,6,3,12,663,27,0,686,49,12,0,0,60,0,0,0,65,21,0,76,0,4,0,0,4,0,0,0,4,0,0,4,612,81,16,3,712,7,3,9,725,43,0,766,84,8,0,0,95,0,0,0,94,0,0,97,56,5,0,0,59,0,0,0,59,4,0,67,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,141,16,0,0,155,0,0,0,158,3,0,166,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1006,23,0,5,0,31,0,0,0,31,0,0,26,3,0,0,3,6,0,0,0,6,0,0,6,528,90,14,3,637,7,5,11,646,34,0,677,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,9,0,0,0,9,0,0,7,3,5,0,0,5,0,0,0,5,0,0,13,533,87,14,7,641,7,5,11,658,31,0,691,100,13,6,3,121,3,0,4,130,24,0,150,0,0,0,0,0,0,0,0,0,0,0,0,628,102,21,10,763,14,7,19,784,59,0,840,77,20,6,0,100,0,0,4,105,7,0,112,74,25,0,0,103,0,0,0,104,6,0,103,4,4,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,155,50,4,5,207,3,0,5,213,12,0,223,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0
1007,5,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,151,13,13,6,174,6,0,4,179,10,0,186,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,7,151,13,10,6,180,6,0,3,185,10,0,196,19,4,0,3,24,0,0,0,26,13,0,39,0,0,0,0,0,0,0,0,0,0,0,0,175,17,10,4,204,9,0,7,206,21,4,237,7,0,0,0,12,0,0,0,12,0,0,12,6,0,0,0,8,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,15,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,3,3,4,0,12,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,69,24,4,0,95,0,0,0,96,7,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,24,4,0,95,0,0,0,96,6,0,105,7,7,0,0,15,0,0,0,13,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,73,26,4,0,112,0,0,3,111,17,0,128,4,0,0,0,12,0,0,0,12,0,0,12,8,3,0,0,5,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,18,0,0,0,18,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,183,34,7,0,232,5,0,5,234,15,0,255,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,194,34,7,0,237,5,0,5,238,18,0,260,19,3,0,0,25,0,0,0,23,7,0,36,0,0,0,0,0,0,0,0,0,0,0,6,212,41,7,0,263,3,0,3,265,30,0,294,37,0,0,0,39,0,0,0,39,5,0,42,10,5,0,0,12,0,0,0,17,0,0,17,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,9,4,0,59,0,0,0,64,5,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
