SUA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
1000,9367,10525,10419,6569,2130,488,48958,2178,6048,6978,7865,8218,4802,1177,163,37430,535,1586,1816,1717,1614,1100,390,110,8870,1844,3640,3246,3105,2304,1447,480,87,16160,60,51,19,36,50,31,26,21,282,121,313,464,627,554,403,138,33,2660,5358,5325,5856,6406,7132,6980,5562,3115,45742,16617,38910,43666,47653,49978,36967,15659,5445,254890,255,1189,1544,1864,1896,1928,733,124,9534,351,1024,1262,1124,1175,800,162,10,5910,3673,10824,10944,13047,15800,13596,6212,1391,75487,2228,5238,5132,5519,6236,4843,1960,454,31610,1681,3876,4553,5196,5069,3345,1369,284,25377,2161,7629,7642,8771,11361,8663,3346,850,50429,1320,5889,7266,7869,8840,9193,3206,669,44253,3004,9900,13066,14911,15031,10508,3695,753,70864,2741,8004,9372,10760,11107,7592,2148,339,52068,863,2432,2695,2510,2436,1906,668,157,13667,2483,5164,4957,4808,3811,2466,896,178,24771,125,101,45,59,74,79,43,31,545,305,730,1006,1330,1331,1080,398,109,6280,11748,12225,13097,14273,15556,15036,10737,5099,97775,32938,74226,82593,92045
1001,1172,1080,856,465,144,41,5101,302,910,909,871,726,407,110,3,4245,66,156,161,104,95,58,35,12,690,257,543,421,313,196,158,68,22,1969,24,15,8,3,4,4,0,0,61,12,52,56,58,30,22,12,0,244,397,422,397,329,340,389,422,240,2935,1943,5285,5052,4324,3726,2696,1285,433,24734,35,136,161,163,124,94,33,6,759,52,250,241,134,133,61,11,0,882,413,1350,1174,1131,1153,916,427,133,6702,296,705,500,401,413,318,134,41,2805,69,235,227,245,182,155,68,19,1205,403,1353,1169,951,880,753,312,75,5899,187,859,910,748,743,714,309,50,4519,427,1644,1865,1733,1407,851,282,76,8276,424,1238,1220,1173,933,586,177,16,5764,134,274,259,161,134,100,49,15,1119,345,847,682,476,317,225,98,28,3025,47,24,15,3,14,4,0,0,112,43,116,131,134,79,63,40,7,622,850,935,860,744,718,763,709,377,5952,3730,9974,9414,8202
1002,189,248,203,120,65,11,1132,79,241,206,219,197,156,75,21,1178,14,39,46,48,39,25,10,10,229,67,65,54,42,30,13,6,0,284,6,5,0,0,0,0,0,0,12,3,9,20,21,13,10,12,3,93,406,176,118,98,99,97,125,88,1214,859,1358,1149,1079,1045,801,500,200,6984,46,158,141,94,106,93,52,17,705,24,77,85,35,40,11,3,0,269,63,186,127,133,161,141,88,25,932,43,115,85,92,114,62,37,14,568,71,163,152,101,100,57,40,11,699,108,349,227,183,233,180,110,33,1414,39,186,234,211,268,262,123,27,1344,128,372,317,369,311,197,116,20,1832,129,353,324,359,346,272,131,27,1942,34,78,72,80,58,49,14,10,385,94,122,122,76,51,34,10,6,507,7,6,0,0,3,0,0,0,18,12,16,39,34,25,22,10,0,158,740,350,222,190,207,177,223,128,2241,1542,2527,2143,1956
1003,454,574,546,403,164,63,2629,85,279,391,425,409,309,85,17,1995,29,131,158,111,83,64,29,7,610,87,184,170,150,107,90,27,9,829,4,0,0,5,0,0,6,0,17,9,26,25,30,29,22,13,0,150,137,191,183,199,212,252,247,225,1639,644,1831,2252,2437,2429,2107,987,447,13140,15,82,96,104,89,109,60,13,570,20,38,51,53,43,41,6,3,264,102,298,389,445,567,595,343,112,2843,80,268,287,295,347,259,97,50,1680,56,125,147,176,174,118,50,13,851,117,447,567,579,656,533,250,83,3231,66,296,424,501,553,676,274,69,2857,136,448,756,863,798,714,292,91,4102,110,378,540,607,581,478,147,34,2869,75,207,239,187,135,93,36,10,985,120,277,309,268,192,129,58,14,1378,8,0,0,5,3,5,3,0,25,13,43,42,53,65,56,24,3,299,310,373,397,386,428,483,427,343,3142,1221,3275,4253,4518
1004,149,181,227,207,83,11,991,42,81,102,156,163,128,52,11,731,8,14,25,14,23,17,9,6,120,33,63,72,63,64,43,6,0,351,0,0,0,0,3,4,5,0,9,5,4,9,8,9,11,9,5,53,72,72,80,88,115,139,146,71,781,228,514,621,723,966,890,456,153,4545,0,7,7,19,39,50,33,6,166,10,28,20,16,29,24,16,0,141,27,94,99,139,222,305,169,49,1105,35,99,98,132,139,130,56,14,709,9,22,27,47,45,43,17,3,220,28,103,117,131,217,187,92,34,896,12,65,91,84,168,213,81,25,736,48,141,217,265,322,334,134,21,1480,49,120,158,216,232,208,95,20,1088,9,23,32,27,32,32,20,7,193,48,116,114,93,96,72,20,0,558,0,3,0,3,3,4,5,0,19,11,7,17,25,24,30,15,12,132,159,155,144,222,221,282,236,110,1536,437,979,1143,1418
1005,440,426,331,239,75,28,2066,163,356,327,305,221,128,44,7,1547,50,103,56,63,38,26,16,7,370,86,157,130,117,52,37,17,0,579,8,7,5,0,3,3,0,0,24,5,19,19,12,7,8,8,4,80,142,153,135,149,126,113,141,113,1071,844,1948,1721,1692,1409,1028,499,233,9377,21,57,57,60,53,39,22,3,323,31,92,94,62,51,28,3,0,359,126,459,432,439,498,384,199,45,2578,110,229,183,153,153,101,51,23,997,26,70,73,90,70,55,31,5,430,211,438,349,315,350,265,97,39,2067,83,346,313,349,332,284,122,36,1866,162,633,664,645,529,374,129,54,3186,213,496,457,447,324,203,87,32,2259,76,155,87,107,60,54,31,4,580,119,258,223,181,95,69,29,4,981,17,13,7,4,4,4,0,0,48,18,33,34,32,32,14,12,8,185,421,608,513,388,281,243,250,159,2855,1628,3898,3495,3263
1006,416,511,481,477,240,56,2654,98,254,333,356,315,324,155,22,1858,40,84,127,105,98,93,50,19,613,74,159,137,155,111,69,38,3,752,0,0,0,3,3,0,3,0,15,8,12,37,40,33,19,17,5,178,110,106,123,146,155,168,244,251,1303,567,1581,1825,2112,1986,2033,1225,487,11820,17,55,59,89,112,121,68,21,537,18,67,89,62,67,30,10,0,343,101,369,378,524,606,514,412,115,3017,113,234,267,245,239,184,114,21,1428,44,120,108,121,96,79,49,10,624,105,333,366,405,444,466,257,100,2490,32,225,301,388,392,512,297,74,2226,128,640,699,824,773,820,456,98,4438,125,348,491,524,457,535,293,72,2835,70,148,188,172,154,136,74,25,967,117,253,233,233,169,98,57,3,1166,3,0,4,4,3,0,3,0,17,20,30,72,87,60,47,40,13,364,236,195,266,316,289,337,414,378,2432,1124,3014,3517,3988
1007,126,133,150,77,23,5,678,35,129,112,115,126,59,14,0,583,5,10,9,7,3,8,4,3,46,36,68,45,41,37,25,10,0,261,0,6,0,0,0,0,0,0,7,0,6,8,4,8,3,0,0,33,87,104,112,101,95,108,112,100,819,289,791,651,621,721,437,222,130,3853,4,11,14,15,17,10,8,6,74,7,26,33,31,25,16,3,0,142,90,249,226,221,261,238,94,24,1404,25,60,45,39,72,64,32,4,333,11,29,19,15,24,22,3,0,113,80,208,170,122,221,103,37,9,958,22,160,94,121,110,64,22,5,591,43,175,178,197,217,112,33,12,953,49,173,140,157,163,88,19,5,788,9,28,15,6,11,12,5,3,80,46,101,72,71,56,47,9,6,405,0,6,0,0,3,0,0,0,14,8,5,18,21,17,14,3,0,79,215,235,238,232,203,222,187,147,1676,597,1464,1262,1245
1008,158,103,89,56,14,4,651,29,141,142,110,112,72,21,3,636,30,179,127,68,36,40,3,0,490,20,68,41,42,22,20,0,0,217,0,0,0,0,0,0,0,0,0,4,11,13,16,9,3,0,0,60,71,141,88,68,61,41,24,19,510,211,961,763,585,539,412,133,51,3658,4,56,38,39,20,29,8,3,200,3,14,27,20,7,7,4,0,80,11,86,72,59,89,84,41,10,458,9,106,99,77,82,61,16,3,452,5,36,29,35,27,9,4,0,143,22,130,116,127,144,105,46,12,704,3,64,84,68,87,129,28,12,468,47,336,272,172,153,106,32,5,1135,34,199,184,165,171,145,41,3,950,46,254,175,130,54,59,13,5,732,22,152,90,67,46,29,4,0,418,0,0,0,0,0,0,0,0,0,7,19,30,22,18,12,4,0,111,116,276,197,147,119,91,47,26,1013,333,1728,1422,1129
1009,144,198,265,231,121,19,1068,37,72,126,145,167,124,38,10,724,12,16,23,20,32,19,7,3,131,32,60,66,56,72,52,30,6,376,9,0,0,0,0,0,0,0,7,0,3,5,10,5,4,5,0,40,33,27,37,42,97,102,110,49,502,199,420,635,798,1074,942,523,143,4740,3,0,19,26,43,48,26,0,167,3,11,18,20,17,23,9,0,118,41,75,139,219,328,489,307,90,1681,41,88,102,124,141,156,79,27,759,14,24,32,43,52,43,17,4,236,30,105,119,186,256,222,99,35,1056,19,90,134,179,224,275,144,25,1091,41,99,187,276,358,363,208,31,1569,57,103,170,201,234,182,64,5,1020,18,32,33,29,42,39,14,10,215,47,85,92,87,108,81,44,13,562,3,0,0,0,0,3,0,0,12,0,3,5,20,21,26,8,4,96,92,68,91,112,196,235,205,90,1091,425,780,1144,1526
