SUA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,99719,81026,35581,10439,508573
1001,7224,5613,2642,835,47637
1002,2008,1551,947,338,13027
1003,4633,4290,2072,834,25095
1004,1795,1911,987,302,8982
1005,2828,2112,1072,412,18698
1006,3864,3880,2551,935,22874
1007,1397,994,457,215,7621
1008,1017,875,290,86,6871
1009,2016,2186,1233,342,9653
1010,28841,23289,12930,5084,172472
1011,6461,5723,2822,1067,37598
1012,2719,1801,986,365,19494
1013,1943,2312,1457,625,10589
1014,1827,1469,769,324,11798
1015,1350,1174,650,334,8618
1016,1177,746,388,225,8747
1017,1195,971,453,178,7173
1018,2484,1934,864,347,14448
1019,1023,865,484,149,5839
1020,1258,935,426,58,7234
1021,2324,2184,1424,605,14085
1022,867,628,379,137,6038
1023,767,453,194,60,5313
1024,3091,3170,1933,576,15383
1025,39222,29798,14616,5480,257315
1026,2949,2386,1242,443,19127
1027,2861,2303,1181,456,20364
1028,4400,4123,2470,1081,26183
1029,1136,669,264,84,7760
1030,1893,1993,949,271,10221
1031,346683,227002,111360,44819,2606480
1032,2892,2270,1403,504,20143
1033,2110,1762,1110,481,11780
1034,1750,1750,868,292,8800
1035,4107,2969,1483,652,27260
1036,24872,18003,8782,3443,157459
2000,69314,57936,25355,7581,356178
2001,1531,1162,525,125,11615
2002,1158,1081,683,276,7269
2003,8016,6463,3161,1206,55681
2004,7461,5980,3087,1276,50332
2005,1158,1184,698,309,6468
2006,801,726,395,154,5386
2007,1706,1440,807,317,10359
2008,21731,17737,8675,3067,151309
2009,2133,1485,666,175,11693
2010,1181,893,458,189,7735
2011,326279,215484,106348,40510,2557875
2012,3656,2591,1253,464,23684
2013,1777,1425,659,225,10127
2014,930,785,336,116,5035
2015,1107,927,482,215,7379
2016,3398,2486,1354,597,23603
2017,677,493,293,131,4807
2018,3170,2359,1281,562,20232
2019,1470,1244,755,339,9549
2020,3300,2677,1354,370,20920
2021,2789,2096,1054,435,17493
3000,65513,48243,19890,4803,349790
3001,1141,742,233,29,8423
3002,169980,112477,52847,18112,1274650
3003,5573,4746,2743,814,33187
3004,12758,8219,3411,976,80522
3005,843,327,104,41,6452
3006,3290,1659,678,219,20920
3007,53617,40099,20821,7593,367724
3008,1662,1299,648,238,9924
3009,5075,5174,2908,882,27864
3010,694,552,262,95,4606
3011,6326,3466,1583,623,40397
3012,2227,1987,961,289,11941
3013,1138,405,182,37,8327
3014,5159,3072,1517,661,35035
3015,35338,27747,14043,4912,206225
3016,10113,7402,3823,1252,69037
3017,12552,7504,3252,954,86816
3018,1106,962,568,194,6706
3019,1867,1201,560,172,9970
4000,23478,18851,8050,2378,123065
4001,100762,76277,37118,13557,690917
4002,1937,1540,768,274,12654
4003,1163,918,515,188,7221
4004,923,584,279,56,5420
4005,1153,853,398,144,7207
4006,902,639,342,104,5302
4007,2738,3734,2127,625,14441
4008,1592,974,573,199,9116
5000,24103,16914,6852,1768,135594
5001,2999,2455,1251,486,16959
5002,1073,512,122,30,7887
5003,5890,4117,1828,638,36479
5004,3480,3042,1503,443,20530
5005,863,593,406,98,5441
5006,2906,1845,869,366,18006
5007,1869,867,284,92,13413
5008,907,237,41,3,8921
5009,154149,106561,51300,18573,1096428
5010,980,252,55,11,7678
6000,16468,13100,5331,1257,79656
6001,2170,1544,908,284,12383
6002,2289,1979,994,357,14356
6003,17263,13765,6886,2399,121152
6004,6599,4982,2746,957,44297
6005,1332,1076,554,161,7000
7000,4804,2356,567,62,30339
7001,2024,995,295,75,13353
7002,8648,4892,1723,378,68652
8000,173,104,29,8,977
8001,36919,26081,12671,4142,283799
9000,478,335,133,34,2618
