SUA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
1000,2372,13822,1256,5840,2246,830,191,836,229,27620,2979,13254,206,4091,1578,365,100,418,168,23168,6371,4432,743,2658,13893,3221,388,1687,427,33813,2766,5945,526,10102,3350,1106,219,1251,319,25585,926,1830,356,640,872,449,65,288,88,5514,1258,325,2520,2411,1665,1063,170,1121,158,10689,8,15,5,36,19,25,0,19,0,133,318,360,82,275,296,109,30,108,47,1627,547,439,214,794,737,476,81,554,603,4464,20264,43463,7562,27839,26660,8439,1679,7645,2211,145755,1437,2220,641,438,586,183,136,337,79,6057,798,1311,516,214,400,220,132,275,50,3914,8209,4023,21503,1272,1529,1300,7110,4648,732,50327,4700,1065,10371,485,510,378,1766,2428,330,22030,7652,2223,2695,678,1229,774,1289,2958,273,19771,3078,17179,1536,7043,2363,916,392,1063,289,33862,4043,16864,505,4505,1724,474,352,639,229,29330,11806,7412,1741,3420,15288,4810,1336,2661,652,49127,4524,8437,987,13296,3879,1368,581,1827,465,35374,1396,2831,784,905,1029,608,192,554,116,8411
1001,170,1930,113,741,260,103,22,48,26,3406,198,1406,27,543,147,48,6,32,14,2416,614,654,83,322,1582,349,32,153,46,3833,207,705,43,1425,366,137,32,127,27,3060,50,169,15,57,96,55,5,28,7,467,130,46,362,330,214,127,27,112,15,1348,0,0,0,10,9,9,0,8,0,31,15,41,8,42,30,14,0,12,3,163,23,29,22,59,51,29,4,46,52,314,1533,5231,807,3635,2936,959,159,650,191,16099,97,210,58,42,66,22,21,22,6,547,108,178,95,49,78,46,43,51,7,657,629,468,2172,145,203,170,537,440,70,4829,314,90,1251,58,68,59,114,187,28,2167,145,148,217,40,72,45,71,130,11,885,244,2534,142,919,274,113,55,70,37,4382,307,1909,54,609,161,60,36,57,19,3226,1322,1220,239,468,1849,569,267,281,69,6280,344,947,111,1848,421,173,95,193,45,4171,84,272,48,88,121,82,31,54,6,773
1002,43,441,20,169,42,18,0,25,4,758,57,416,4,87,44,12,0,22,3,645,125,156,16,66,307,64,0,37,11,773,90,290,14,205,105,26,5,30,13,783,11,70,11,20,32,7,3,4,0,155,20,6,63,43,19,24,0,17,0,191,0,0,0,0,0,5,0,0,0,3,0,17,4,8,7,4,0,6,0,49,3,15,0,14,18,4,0,4,11,65,426,1591,174,656,650,184,11,181,39,3926,70,216,34,29,41,7,0,23,7,443,31,74,33,11,9,5,3,14,0,193,76,94,256,31,32,29,68,53,3,637,92,23,216,8,16,12,17,37,6,422,92,138,74,26,47,24,12,87,3,512,49,575,24,218,48,18,6,43,10,992,91,563,15,109,51,20,8,23,4,880,271,287,50,98,351,116,19,91,14,1299,164,512,36,306,143,34,13,57,15,1294,23,104,21,39,33,17,11,12,0,258
1003,89,979,56,276,131,43,5,26,4,1602,121,727,9,242,86,23,0,22,4,1227,302,274,31,158,686,190,10,57,18,1725,127,396,14,485,183,66,9,41,12,1332,54,149,25,51,67,34,4,15,4,401,74,14,136,152,77,63,5,39,0,554,0,0,0,0,0,0,0,0,0,4,19,22,8,15,14,15,0,6,0,102,21,24,14,30,37,21,5,21,28,193,869,2740,359,1467,1339,484,39,253,81,7635,66,156,38,27,25,12,5,18,0,348,35,59,32,10,18,7,4,9,0,181,253,225,663,63,54,74,144,151,16,1644,233,68,603,25,36,30,52,103,15,1162,124,101,152,35,32,26,27,94,8,597,136,1364,83,368,142,54,14,48,8,2212,200,1003,28,288,90,23,11,33,6,1690,612,526,100,198,769,315,43,114,26,2702,198,586,38,688,211,82,30,74,22,1923,98,249,71,75,73,50,16,47,10,675
1004,18,214,12,93,24,11,0,13,0,390,25,155,0,60,16,9,0,0,4,271,103,62,10,49,217,87,3,28,7,564,28,83,7,187,60,31,0,25,5,431,4,16,11,3,12,3,3,4,0,64,24,7,59,52,35,21,3,21,5,228,0,0,0,0,0,3,0,0,0,3,0,5,4,0,4,9,0,0,3,27,6,13,0,15,13,13,0,8,3,78,224,588,121,475,411,203,19,108,30,2173,11,18,5,4,7,0,0,4,0,59,11,13,19,3,10,14,0,3,0,70,72,49,196,22,18,22,48,66,3,498,75,11,244,16,13,7,19,49,10,438,16,14,23,17,10,15,14,21,3,124,30,276,21,114,27,10,0,18,3,510,31,204,7,72,27,7,0,0,4,349,184,98,34,60,241,122,13,52,14,827,40,120,14,278,75,43,5,35,9,627,10,29,12,6,16,11,0,10,0,93
1005,64,630,45,276,87,35,4,33,5,1175,94,628,7,190,61,17,6,15,3,1007,210,249,32,126,615,137,9,69,27,1469,96,296,25,489,143,66,8,39,12,1180,39,96,7,38,51,22,0,7,0,272,35,8,134,108,59,38,7,34,0,415,0,0,0,7,3,0,0,0,0,21,12,6,0,8,15,4,0,6,3,48,8,9,3,34,16,15,0,8,16,111,596,2045,310,1304,1102,363,38,251,75,6093,36,87,22,18,18,5,15,12,3,224,43,88,49,12,21,22,13,15,3,266,202,197,846,72,74,50,194,146,23,1810,126,33,385,35,24,16,56,95,16,789,37,59,71,20,24,31,23,47,0,302,87,811,59,349,94,42,14,48,6,1506,143,832,12,217,67,21,10,23,8,1326,423,414,91,202,711,229,64,130,38,2303,136,448,46,691,169,86,35,61,19,1698,56,140,27,53,64,43,15,23,3,420
1006,70,665,48,223,102,50,10,30,4,1208,109,592,10,132,63,16,5,9,8,948,301,283,50,166,544,202,18,76,19,1657,136,342,18,356,194,60,3,61,15,1182,65,160,28,30,40,34,3,10,0,369,50,22,130,110,76,48,5,58,10,515,0,3,0,0,0,0,0,0,0,5,18,24,3,17,20,15,0,5,5,104,9,21,5,23,37,25,5,10,12,144,834,2232,376,1103,1148,492,53,288,82,6618,61,110,34,17,33,14,9,12,4,298,50,81,33,13,12,11,11,9,4,239,305,249,805,43,68,75,206,140,18,1907,179,103,559,13,28,29,53,92,14,1065,73,41,174,17,25,26,35,50,3,456,100,899,64,272,108,57,16,45,14,1563,162,793,21,148,71,21,12,16,11,1258,697,572,159,234,622,324,65,158,35,2861,257,570,58,487,231,78,21,81,24,1805,102,269,61,53,51,45,16,27,4,625
1007,34,347,18,146,30,12,0,12,8,616,32,203,5,94,17,5,4,3,0,365,74,49,5,47,229,44,3,20,8,485,26,113,3,207,34,14,4,13,16,427,6,3,4,5,10,0,0,0,0,21,12,8,54,45,23,19,0,11,0,172,0,0,0,0,0,0,0,0,0,3,9,0,0,6,3,0,0,0,0,22,3,4,0,13,9,9,0,11,13,68,213,762,104,582,379,117,13,81,42,2297,4,26,3,9,3,0,0,0,0,51,9,10,21,7,16,9,3,12,3,89,92,66,521,33,20,16,149,62,5,962,29,11,105,8,10,6,40,18,5,226,10,6,14,8,11,9,14,4,0,70,43,422,21,176,35,12,11,14,9,743,43,282,7,105,17,5,5,9,5,480,140,86,28,70,254,58,25,36,5,698,39,144,7,284,37,22,12,20,13,579,10,17,4,12,10,3,5,0,0,55
1008,23,179,0,70,19,12,0,10,0,325,22,100,3,28,13,3,0,3,6,185,109,108,14,53,94,67,7,28,6,481,66,143,9,113,39,30,0,23,0,427,51,138,23,51,30,30,3,23,6,350,22,10,42,31,14,15,5,19,0,160,0,0,0,0,0,0,0,0,0,0,10,10,0,7,10,0,0,4,3,39,5,7,3,5,0,0,0,9,15,53,355,745,111,391,232,169,18,124,43,2192,37,44,8,20,9,4,0,9,3,141,13,23,5,7,5,3,0,8,0,58,40,51,82,16,11,17,12,32,11,270,71,62,141,10,3,5,8,18,3,330,18,22,27,8,4,0,5,15,0,104,41,282,11,94,21,12,4,12,0,474,31,139,8,36,13,4,0,8,6,250,232,168,53,84,115,96,19,61,16,840,96,227,22,149,40,41,6,47,12,641,84,197,47,69,39,35,7,34,13,522
1009,27,244,22,103,44,21,5,16,0,467,40,242,0,85,21,6,0,0,0,401,89,80,13,51,220,64,0,15,0,530,31,100,9,194,60,22,0,20,7,442,4,34,3,11,7,0,0,6,0,69,23,8,77,57,32,24,0,10,0,236,0,0,3,0,3,0,0,0,0,4,0,4,0,3,5,0,0,0,0,17,7,3,3,11,9,13,0,10,8,59,232,747,147,536,419,168,10,88,23,2362,13,25,14,6,6,6,6,0,0,76,9,28,6,10,6,3,0,0,0,59,84,45,267,27,29,29,86,73,9,657,73,14,229,12,14,16,22,57,10,435,21,15,44,8,9,6,16,25,6,143,30,299,32,128,44,22,4,21,4,586,60,346,7,88,20,12,3,5,0,545,151,127,26,66,249,90,17,24,4,772,44,142,14,273,69,25,5,30,9,615,9,51,12,10,6,3,0,11,0,106
