SUA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
1000,19,68,5,0,0,4,3,0,0,98,285,927,20,18,34,13,7,15,10,1327,1799,2851,215,205,297,112,69,123,68,5734,40,105,11,5,12,5,5,7,0,189,490,1024,90,111,93,29,39,53,29,1945,199,252,28,63,49,10,12,12,8,630,6554,10694,1471,1568,1020,648,501,1070,278,23805,29,13,13,8,6,3,5,13,6,100,2455,1311,909,951,327,281,371,403,103,7112,2908,1463,1645,1526,595,469,574,744,157,10086,14331,2384,34368,3480,2172,2538,10581,9173,1450,80466,578,115,369,229,117,222,427,628,38,2722,1025,257,457,318,165,322,551,680,73,3845,249,167,160,70,29,62,109,146,36,1025,1051,282,690,231,116,237,870,909,573,4962,32017,21905,40453,8778,5041,4949,14109,13973,2826,144047,47,175,0,14,18,7,0,4,0,262,231,972,18,29,72,9,0,9,17,1359,1587,5226,113,396,566,123,12,99,104,8223,67,238,3,20,39,6,0,6,4,376
1001,4,4,0,0,0,0,0,0,0,14,17,114,0,0,5,0,0,3,0,141,170,388,23,36,42,20,30,19,10,737,9,25,0,0,3,0,0,0,0,38,70,179,12,22,9,4,10,5,4,307,37,45,5,5,3,0,0,9,0,111,553,1377,181,197,163,82,115,101,25,2797,4,0,0,4,0,5,0,0,0,10,154,135,168,103,45,36,55,44,8,743,282,234,259,224,92,79,147,82,31,1438,986,346,3657,490,327,343,869,793,125,7927,25,4,52,31,15,30,49,54,6,272,48,22,25,36,10,26,53,52,3,288,13,14,20,13,3,6,17,17,5,101,31,27,42,18,16,19,58,59,49,316,2398,2930,4457,1185,731,653,1399,1230,260,15243,0,18,0,0,0,0,0,0,0,22,14,117,3,0,3,0,0,0,5,143,136,641,13,82,66,21,6,18,12,999,13,31,0,9,5,0,0,0,0,55
1002,0,3,0,0,0,0,0,0,0,4,37,240,8,6,10,0,0,9,0,307,72,165,23,28,19,0,9,34,7,350,5,3,0,0,0,0,0,0,0,11,13,57,6,5,7,0,0,0,0,92,8,17,0,6,0,0,0,0,0,34,171,419,69,86,60,36,16,56,4,929,0,0,0,0,0,0,0,0,0,0,40,23,17,20,8,6,3,11,3,142,37,34,33,35,14,14,15,24,6,215,187,49,557,89,55,63,101,155,12,1277,8,5,18,21,0,14,12,21,0,87,8,6,6,8,5,9,9,10,0,75,7,8,7,5,7,0,0,3,0,37,11,5,11,4,3,6,6,6,11,62,610,1049,755,302,192,155,176,326,49,3620,0,4,0,0,0,0,0,0,0,7,30,223,0,0,14,0,0,0,0,274,53,300,20,47,20,9,0,23,4,475,4,9,0,0,3,0,0,3,0,19
1003,3,9,0,0,0,0,0,0,0,12,17,74,0,4,0,0,0,0,0,96,93,213,17,11,17,14,3,7,0,373,0,8,0,0,0,0,0,0,0,14,28,86,7,6,4,4,0,0,0,148,13,24,3,0,0,0,0,0,0,44,366,931,99,121,73,65,25,76,12,1768,0,0,0,0,0,0,0,0,0,3,106,82,58,55,27,15,22,27,8,400,123,98,113,94,33,42,17,46,7,577,459,110,1484,196,92,158,253,356,42,3149,20,9,22,8,8,15,4,32,0,108,24,18,28,26,6,19,23,28,3,174,13,20,8,6,0,3,3,5,4,66,31,20,24,17,5,8,13,23,31,187,1307,1697,1864,547,260,340,371,600,109,7100,3,21,0,0,0,0,0,0,0,24,8,58,0,4,5,0,0,0,0,72,93,400,4,49,39,8,0,7,8,609,3,19,0,0,5,0,0,0,0,26
1004,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,21,15,39,4,4,3,4,3,0,0,84,0,0,0,0,0,0,0,0,0,5,7,26,0,4,3,0,0,0,0,36,0,3,0,0,0,0,0,0,0,4,41,125,20,44,12,14,4,16,6,284,0,0,0,0,0,0,0,0,0,0,30,18,17,34,11,0,5,8,0,122,24,19,26,35,10,10,3,14,4,144,156,32,500,66,27,69,91,147,24,1106,8,3,11,10,3,4,4,10,0,46,9,5,8,10,6,6,5,12,0,68,0,0,5,0,0,0,7,3,0,20,8,3,12,11,5,8,7,10,8,75,312,293,603,212,83,121,123,231,45,2018,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,20,22,78,0,7,0,0,0,0,0,114,0,3,0,4,0,0,0,0,0,7
1005,0,7,0,0,0,0,0,0,0,13,6,72,0,0,3,0,0,0,0,87,71,176,10,17,24,8,7,10,0,326,0,3,0,0,0,0,0,0,0,9,17,53,0,16,3,4,0,3,0,100,11,23,3,4,3,0,0,0,0,44,198,537,81,107,69,44,38,51,14,1138,0,0,0,0,0,0,0,0,0,0,36,50,37,45,11,17,9,18,0,224,74,67,84,82,33,33,33,19,9,428,339,91,1323,247,115,130,327,301,54,2925,8,4,24,11,8,12,21,25,3,113,20,10,20,27,10,13,16,19,4,132,5,8,4,4,0,3,7,6,0,35,9,9,18,15,3,6,18,20,13,115,801,1110,1609,576,279,276,473,466,97,5701,0,9,0,0,0,0,0,0,0,12,11,54,0,3,0,0,0,0,0,72,61,259,9,28,29,12,0,10,7,404,0,11,0,0,0,0,0,0,0,14
1006,0,3,0,0,0,0,0,0,0,8,23,69,5,0,4,0,0,0,0,98,162,287,38,23,26,16,11,23,12,587,4,10,0,0,0,0,0,0,0,11,23,84,3,7,13,4,0,0,0,133,11,19,0,0,4,4,0,0,0,47,395,737,137,93,79,65,34,61,22,1609,0,0,3,4,0,0,0,0,0,5,106,93,64,48,21,25,15,27,0,397,128,98,111,60,21,25,17,34,5,511,402,104,1494,104,83,121,317,291,38,2959,4,3,24,5,3,17,11,20,3,98,40,26,38,11,7,15,24,23,3,178,7,6,10,4,5,0,6,9,4,52,25,14,32,7,3,15,22,21,15,149,1321,1558,1952,372,263,315,464,507,100,6849,4,10,0,0,5,0,0,0,0,17,14,55,0,0,3,0,0,0,5,84,111,428,12,49,45,17,0,7,7,678,0,13,0,0,3,0,0,0,0,24
1007,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,15,42,3,7,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,12,15,0,4,0,0,5,0,0,37,9,6,0,0,0,0,0,0,0,19,30,141,18,23,10,3,10,9,6,247,0,0,0,0,0,0,0,0,0,0,14,26,19,26,5,0,4,0,0,91,33,22,30,35,17,6,10,12,5,157,124,38,681,105,45,25,223,86,22,1347,0,0,6,9,0,6,10,11,0,47,7,3,4,10,4,4,18,9,0,51,0,8,0,0,0,0,4,0,0,9,8,5,10,10,0,8,15,13,8,63,247,328,765,218,81,55,285,139,42,2147,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,19,87,0,10,5,0,0,0,0,129,0,0,0,0,0,0,0,0,0,5
1008,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,37,42,80,10,12,3,3,0,0,5,161,0,3,0,0,0,0,0,0,0,4,9,18,0,0,0,0,0,4,0,33,0,5,0,0,0,0,0,0,0,8,157,267,67,61,28,29,8,52,16,680,0,0,0,0,0,0,0,0,0,5,19,24,28,14,4,3,0,11,0,106,34,24,51,37,3,7,3,22,0,187,97,27,287,27,13,23,31,54,20,574,11,0,3,4,0,3,3,3,0,27,8,9,8,7,0,3,0,6,3,48,4,7,5,0,0,0,0,4,4,27,12,11,7,4,0,6,0,5,15,63,404,506,460,171,46,87,58,169,59,1956,0,6,0,0,0,0,0,0,0,10,5,30,0,0,0,0,0,0,0,37,40,128,5,30,17,7,0,5,0,230,4,5,0,0,4,0,0,0,0,9
1009,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,10,53,9,0,3,0,3,0,0,78,0,0,0,0,0,0,0,0,0,3,5,20,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,5,50,186,20,23,13,3,0,10,4,312,0,0,0,0,0,0,0,0,0,0,28,22,12,21,5,5,3,5,0,95,30,33,40,22,8,15,9,12,5,172,156,40,571,100,56,58,135,162,20,1303,7,3,0,8,3,3,3,5,0,39,7,3,5,8,0,8,11,16,0,67,0,0,8,0,4,0,0,0,0,14,8,9,10,9,0,0,6,9,6,53,315,371,669,192,91,100,168,233,34,2172,0,4,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,10,15,82,0,6,6,0,0,0,0,110,0,4,0,0,3,0,0,0,0,9
