SUA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
1000,513,221,3325,2895,11099,1121,19169,175,68,537,586,5120,193,6674,243,77,1100,977,7835,397,10631,123,44,365,527,2320,75,3457,150,56,1151,1416,21158,699,24633,88,34,442,416,2540,134,3654,245,61,910,712,4262,300,6490,160,37,746,754,3099,297,5093,103,54,427,696,4640,355,6272,68,31,283,195,436,39,1048,199,82,591,406,324,47,1649,56,34,293,323,842,61,1608,1032,356,3152,976,1364,167,7051,79,40,397,411,2212,161,3294,1125,493,2629,2883,5469,341,12944,1240,630,3332,699,1395,142,7432,1080,302,2686,1309,2501,262,8142,108,54,420,247,883,61,1777,159,46,395,364,5757,122,6842,213,51,636,496,3748,1040,6177,7154,2775,23805,17294,87027,5986,144047,361,370,2818,2135,3287,675,9652,40,26,251,158,539,28,1047,134,93,862,751,1762,222,3822,51,23,211,132,296,24,736,95,64,639,789,1694,175,3455,52,22,333,369,822,66,1662,245,173,1574,1721,5316,645,9668,185,102,1207,1395
1001,10,14,51,48,133,4,262,0,0,4,6,51,0,64,75,28,294,233,1364,54,2044,7,5,20,33,121,4,193,18,8,117,191,2351,54,2735,8,5,59,59,300,11,440,41,12,157,163,603,25,996,19,5,94,124,359,18,612,22,11,81,153,533,42,839,7,8,33,24,49,3,125,26,14,76,65,40,3,234,4,0,24,26,80,5,150,84,51,337,134,148,16,771,8,3,51,51,186,25,331,114,67,358,392,666,28,1635,171,116,431,112,185,5,1027,217,88,486,228,365,27,1411,8,0,22,13,60,0,104,12,3,44,68,522,11,676,22,9,59,69,360,73,600,888,461,2797,2191,8488,421,15243,9,13,14,32,43,4,118,0,0,3,0,0,0,6,26,19,151,103,211,26,529,3,0,9,6,17,0,41,21,8,73,103,229,16,455,3,0,25,28,92,3,146,32,18,178,245,630,43,1143,22,3,113,137
1002,49,5,67,41,57,5,227,0,0,9,5,25,0,41,9,0,32,9,99,3,156,0,0,10,5,27,0,42,12,5,17,19,381,10,438,0,0,9,6,29,0,54,7,0,46,24,129,9,209,17,5,34,25,92,11,180,7,0,11,13,56,9,93,3,3,13,4,11,0,41,10,11,28,20,9,0,78,0,0,9,3,18,0,36,76,24,107,18,28,3,256,10,0,17,14,64,6,109,63,12,77,48,78,3,286,297,47,240,44,99,6,727,68,20,141,35,90,11,369,4,0,14,4,16,0,45,10,0,30,8,88,6,143,15,0,21,12,44,13,103,662,132,929,358,1441,96,3620,25,10,45,16,19,4,118,0,0,4,0,0,0,4,0,0,8,13,10,0,31,3,0,0,0,0,0,4,0,0,12,11,23,0,48,0,0,11,10,4,0,25,7,11,46,34,95,6,198,6,4,27,24
1003,26,7,89,56,156,16,350,6,0,9,13,48,3,76,12,0,56,46,251,3,367,3,3,16,17,54,3,93,9,0,113,107,1107,39,1382,6,3,24,26,76,4,138,20,0,70,57,244,15,419,6,3,92,74,219,23,422,5,5,35,32,139,11,228,0,0,28,21,16,4,71,24,9,47,31,28,8,141,3,0,30,27,79,9,138,54,31,283,75,57,10,498,6,4,31,30,122,14,209,41,23,140,105,177,10,495,105,57,284,73,81,9,611,130,36,305,115,191,18,790,3,7,29,23,41,0,111,8,3,43,19,224,8,297,8,5,54,26,121,42,264,478,203,1768,977,3427,252,7100,13,4,50,35,44,11,151,0,0,5,0,5,0,11,8,7,58,37,67,13,174,0,0,7,3,6,0,22,5,5,37,34,75,8,163,4,0,21,11,35,5,80,25,9,100,121,261,27,540,9,3,84,87
1004,0,0,4,5,16,0,28,0,0,0,0,9,0,17,0,0,4,11,63,3,85,0,0,0,9,20,5,38,6,0,25,27,417,14,491,0,0,0,7,31,0,40,0,0,15,21,114,8,159,6,0,24,21,82,4,130,0,0,0,6,48,3,66,0,0,0,0,12,4,28,4,0,5,13,5,0,24,0,0,7,8,15,0,29,12,0,46,18,25,3,104,0,0,10,18,51,3,85,21,14,31,63,86,4,218,19,15,40,9,23,6,102,28,8,60,19,59,6,177,0,0,0,0,3,0,15,7,3,4,7,81,0,101,0,0,5,5,52,17,88,106,49,284,262,1222,94,2018,0,0,0,4,5,0,14,0,0,0,0,0,0,0,0,0,0,7,19,0,31,0,0,0,0,3,0,7,0,0,10,22,42,0,76,0,0,0,0,10,0,13,3,4,21,34,133,15,209,6,0,26,42
1005,8,5,22,9,74,4,120,6,0,21,14,170,0,212,22,8,88,59,438,15,637,10,0,21,26,74,6,132,11,5,45,66,759,20,905,0,0,4,8,90,3,106,19,3,79,42,189,15,340,10,0,55,30,135,13,236,7,7,23,26,174,9,246,5,0,22,7,27,0,73,10,0,37,20,26,0,89,0,0,23,17,25,0,62,47,8,99,34,69,3,256,9,6,14,14,80,0,116,35,34,170,134,273,17,669,119,49,204,30,72,3,483,86,28,150,74,156,12,502,8,0,22,8,25,3,57,10,0,28,16,202,0,254,6,0,22,20,119,35,201,425,158,1138,653,3172,151,5701,0,0,13,10,18,0,51,0,0,0,0,5,0,12,15,0,40,35,98,6,190,5,0,10,11,14,0,43,6,0,23,31,56,6,124,0,0,3,9,21,5,40,17,11,68,66,255,13,425,17,0,46,44
1006,7,0,34,20,90,10,158,3,0,9,17,93,5,127,46,9,97,68,402,11,637,5,4,15,7,53,0,90,16,0,88,84,972,25,1187,25,4,63,40,149,5,284,28,8,69,45,175,17,339,30,4,108,70,155,10,389,14,5,39,62,193,14,332,8,3,36,17,20,6,86,32,12,83,40,21,0,194,8,3,46,25,48,6,137,115,34,299,91,93,3,638,15,4,40,42,132,7,243,51,20,106,102,125,3,403,122,41,161,47,58,6,432,108,25,200,70,78,12,495,13,4,35,15,26,4,96,16,3,27,26,232,6,305,23,4,53,35,118,33,266,695,190,1609,922,3229,201,6849,8,3,18,21,28,5,87,0,0,5,0,4,0,9,17,4,54,43,64,9,188,3,0,5,4,3,0,15,8,5,50,33,86,8,188,13,3,31,30,43,4,128,35,7,126,123,222,28,548,15,8,111,69
1007,0,0,0,0,13,3,16,9,7,37,44,368,8,471,0,0,0,0,72,4,74,4,0,4,13,62,6,85,6,0,6,15,208,3,234,0,0,0,8,56,0,68,4,0,13,9,89,7,118,0,0,9,13,71,9,99,4,0,3,12,78,11,104,0,0,9,9,8,0,19,0,0,0,5,6,0,14,0,0,0,4,4,0,14,6,3,16,8,14,4,46,0,0,0,0,28,5,41,6,10,27,43,109,5,195,25,8,49,18,20,8,123,24,15,70,37,97,4,236,0,0,0,4,13,0,23,0,0,0,4,87,0,100,0,0,7,4,40,13,64,81,56,247,248,1450,69,2147,0,0,3,6,3,0,8,0,4,9,8,20,4,39,0,0,0,5,9,0,11,0,0,0,0,7,0,11,0,0,0,0,21,3,22,0,0,0,0,7,0,8,0,3,15,9,100,8,138,0,0,17,20
1008,4,0,19,4,9,0,38,0,0,0,5,4,0,11,5,0,27,14,29,4,76,4,0,8,0,3,0,16,5,0,48,18,213,12,291,8,0,11,4,13,0,34,9,0,29,9,32,4,83,20,7,93,96,123,17,361,5,0,16,9,19,0,52,4,0,12,9,14,0,31,5,3,24,7,8,0,48,0,0,19,11,17,0,56,43,3,118,24,31,6,222,0,0,35,20,25,0,86,9,0,13,7,13,4,41,19,7,48,9,16,5,105,41,7,89,31,10,6,185,4,0,23,0,13,3,45,0,0,11,10,18,0,49,12,0,48,18,36,14,130,196,49,680,302,646,85,1956,5,0,5,3,0,0,20,0,0,0,0,0,0,0,4,0,21,12,13,0,45,0,0,3,0,0,0,3,3,0,13,3,13,0,37,0,0,11,5,0,0,20,0,5,81,44,45,5,179,26,3,160,97
1009,5,0,9,6,34,0,62,0,0,3,3,17,0,19,0,0,6,18,117,4,147,5,6,17,13,44,0,76,0,0,20,36,441,11,510,0,0,7,10,37,0,50,5,0,9,16,106,7,137,3,0,11,13,75,4,105,3,5,5,12,72,4,95,0,0,0,3,6,0,11,3,0,16,7,7,0,31,0,0,0,3,21,0,25,17,0,38,20,20,0,100,0,0,3,10,61,0,79,9,6,30,28,57,4,132,24,12,77,20,38,5,176,14,3,51,25,102,8,207,0,0,5,3,5,0,17,0,0,9,5,87,0,109,0,0,3,7,54,9,81,80,40,312,272,1403,67,2172,4,0,9,9,6,6,24,0,0,0,0,0,0,5,0,0,6,9,20,4,36,5,0,10,10,10,0,36,0,3,10,7,35,3,54,0,0,0,5,4,0,13,0,0,21,26,126,15,186,0,0,19,19
