SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1000,3210,14673,4367,6609,603,33868,3761,2452,13874,9150,15774,1657,46665,278,125,1074,563,1516,125,3684,309,138,963,1495,8906,279,12095,417,129,1509,1213,5266,1893,10425,17003,10081,65195,45133,139993,12395,289805
1001,477,1584,531,691,38,3856,676,503,2286,1308,2075,154,6996,13,14,58,31,107,0,228,32,16,102,218,902,30,1308,45,20,129,138,494,139,961,2056,1492,7470,5332,14132,868,31348
1002,175,671,181,242,31,1979,231,91,537,228,321,34,1443,9,4,25,13,30,5,86,17,3,57,28,161,8,271,30,0,37,19,60,25,174,1420,404,2222,956,2355,191,7544
1003,211,934,240,298,35,2032,407,177,1220,569,839,85,3290,22,8,60,42,73,10,217,17,12,101,101,389,14,628,19,14,107,62,171,75,451,1180,626,4362,2382,5665,513,14737
1004,54,139,49,76,11,387,74,52,223,148,314,42,853,4,0,18,3,14,0,45,7,5,14,33,140,6,201,3,0,13,9,81,39,148,240,164,749,700,2122,217,4190
1005,161,788,184,304,12,1752,239,138,780,431,748,58,2396,11,4,46,22,47,3,132,17,8,63,62,345,3,494,18,0,46,37,164,54,324,909,454,3095,1706,5302,322,11788
1006,171,633,185,237,28,1625,341,139,806,413,486,67,2255,23,8,63,44,54,7,205,24,13,56,95,392,11,601,44,7,95,80,178,53,459,1476,566,3700,2196,5090,446,13470
1007,49,222,63,118,13,526,91,80,337,223,449,34,1213,0,0,3,10,28,0,47,0,0,8,26,160,10,205,0,0,17,9,68,32,123,219,188,815,653,2392,184,4445
1008,31,154,40,40,9,350,130,31,273,99,68,16,615,8,0,42,16,22,3,96,10,4,32,23,62,9,137,16,4,130,35,58,40,273,473,132,1654,701,1009,187,4154
1009,55,290,85,144,12,654,52,46,271,181,384,41,972,0,0,7,10,16,0,31,7,0,14,32,173,9,233,3,5,10,18,68,22,122,207,143,941,707,2365,177,4534
1010,904,4920,1408,1785,165,10878,2031,1126,7188,4086,6984,669,22078,80,33,368,250,489,37,1253,140,66,491,661,2863,104,4310,194,38,727,551,1606,466,3582,7371,3400,25948,17985,44335,3340,102388
1011,261,1266,346,454,45,2690,526,277,1806,929,1551,178,5264,12,0,62,52,135,6,275,23,10,90,173,649,27,969,26,8,109,83,336,131,699,1430,845,5791,3690,9363,818,21936
1012,134,712,193,333,28,1589,437,163,1164,573,882,99,3316,11,4,40,30,100,8,191,19,3,45,71,396,21,549,29,8,56,40,203,76,407,1221,492,3478,1880,5646,476,13187
1013,48,241,69,117,8,539,91,46,323,213,488,75,1231,0,0,12,11,33,3,66,4,4,12,28,157,6,211,4,6,25,26,81,32,171,222,144,956,779,2288,257,4639
1014,76,294,101,140,3,706,131,86,445,314,503,34,1512,8,0,12,5,32,0,52,8,0,27,45,235,10,323,8,0,13,23,128,35,210,422,281,1359,1217,3488,232,6996
1015,49,219,89,130,12,545,75,53,261,205,488,30,1108,4,0,11,3,40,4,59,17,0,13,27,165,6,230,3,3,15,14,90,25,148,189,141,845,691,2585,173,4617
1016,54,285,69,105,7,572,89,48,344,207,282,28,1005,0,0,11,10,23,0,49,3,0,21,43,195,4,267,10,0,44,26,120,63,265,389,159,1531,916,2695,319,6002
