SUA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1000,13904,16530,37553,40480,47365,47315,19054,4254,566,227019,455,784,1733,2113,2856,3589,2887,997,131,15551,24,156,461,420,354,152,30,4,3,1589,500,522,1233,1350,1638,1388,326,47,6,7012,32,52,185,221,312,199,37,4,0,1043,181,278,1076,1251,1256,1050,312,30,0,5427,109,221,501,532,668,555,160,27,0,2774,3809,2062,3407,3551,4541,4235,1052,103,9,22756,4512,2125,2730,2435,2663,2539,680,82,4,17765,82,215,573,733,1103,1109,377,58,3,4244,43,113,211,260,280,277,101,8,0,1295,49,206,733,865,942,698,132,17,0,3648,107,258,557,530,630,491,209,37,5,2822,225,625,2138,2377,2485,1929,656,65,3,10499,152,425,1171,1479,1798,1754,435,47,0,7255,207,647,2681,3602,4198,2657,447,29,0,14465,578,1457,4990,6970,7908,6391,1602,95,4,29999,1009,3034,8086,8688,11191,11892,2680,125,6,46707,284,261,527,496,582,474,164,29,0,2815,444,601,1485,1419,1483,1154,340,41,4,6972
1001,1611,2321,5255,4747,4391,3630,1193,156,16,23314,8,16,27,26,35,37,24,10,0,178,0,0,0,0,0,0,0,0,0,5,67,55,208,208,188,165,33,0,0,916,0,3,7,19,17,9,5,0,0,58,21,51,153,170,125,111,39,0,0,674,6,16,39,50,63,50,15,3,0,234,558,407,503,426,464,380,94,3,0,2841,570,276,337,240,222,140,33,0,0,1808,9,28,69,76,112,94,33,8,0,433,11,19,37,39,18,14,4,0,0,139,5,29,119,99,100,67,10,0,0,432,8,27,61,57,69,36,27,0,0,283,14,56,195,235,179,147,50,4,0,881,21,46,151,174,173,142,39,0,0,740,53,187,371,449,485,317,52,3,0,1924,70,200,697,811,751,524,128,7,0,3187,130,552,1628,1372,1358,1182,276,8,0,6509,33,36,38,40,35,19,4,0,0,213,31,86,227,171,140,94,35,5,0,794
1002,355,561,1142,974,873,865,312,54,6,5147,12,23,45,19,24,15,21,11,0,153,0,0,3,0,3,0,0,0,0,6,10,9,11,14,4,12,3,0,0,75,0,0,0,0,0,0,0,0,0,6,5,9,15,21,11,18,3,0,0,73,0,3,9,7,4,10,0,0,0,40,110,91,78,60,71,69,20,4,0,503,153,92,64,38,33,41,10,4,0,434,0,0,4,10,8,4,8,0,0,43,4,13,4,5,13,3,4,0,0,54,4,5,27,24,21,14,4,0,0,102,4,8,16,9,14,5,4,0,0,58,4,30,65,64,69,37,14,3,0,286,0,12,34,34,36,31,5,0,0,159,3,14,62,63,69,33,10,4,0,262,36,92,246,339,332,308,64,9,0,1412,32,117,357,229,232,235,53,0,0,1259,4,11,17,13,4,3,4,0,0,55,16,13,46,28,31,30,6,0,0,163
1003,714,752,1603,2100,2220,2010,769,128,15,10306,6,16,36,34,43,61,40,25,3,259,0,0,3,3,4,7,0,0,0,14,21,17,61,63,67,58,17,0,0,297,0,0,6,10,8,5,0,0,0,27,4,12,32,60,67,39,28,0,0,236,3,7,20,24,30,34,14,0,0,129,248,135,181,193,213,191,71,7,0,1240,273,119,147,134,133,108,32,8,0,947,3,9,15,22,23,35,9,5,0,120,0,3,5,10,10,15,7,0,0,54,3,15,39,47,52,28,9,4,0,190,4,7,33,41,47,26,11,3,0,174,11,34,125,165,148,117,40,0,0,643,9,18,49,73,80,65,19,4,0,320,3,11,64,124,158,92,13,4,0,467,21,46,209,344,482,348,64,6,0,1529,46,168,507,579,679,767,177,5,0,2912,7,17,28,35,23,26,7,3,0,153,22,33,90,89,87,60,20,0,0,397
1004,211,220,515,550,689,666,258,34,3,3146,0,0,0,5,4,7,6,0,0,28,0,0,0,0,0,0,0,0,0,0,10,0,10,4,15,14,9,0,0,60,0,0,4,0,0,0,0,0,0,4,0,9,36,17,21,16,14,0,0,107,0,0,0,3,8,9,0,0,0,24,75,31,66,77,98,102,30,4,0,477,78,44,49,74,77,59,14,0,0,397,0,0,0,3,13,17,8,0,0,34,5,0,8,6,5,0,3,0,0,30,0,3,16,17,17,11,0,0,0,64,5,7,16,13,15,12,7,0,0,75,8,4,14,25,33,28,13,0,0,127,0,4,22,25,39,27,11,0,0,121,6,8,27,60,65,75,11,0,0,253,0,11,55,73,75,91,21,0,0,331,5,44,139,136,182,225,54,4,0,792,5,6,3,11,11,3,3,0,0,46,9,12,13,25,35,19,11,0,0,132
1005,615,947,1968,1699,1676,1346,424,59,7,8740,4,5,7,17,22,15,8,5,0,82,0,0,6,3,0,0,0,0,0,18,31,36,60,71,70,62,14,0,0,353,0,0,4,16,19,3,0,0,0,46,5,17,39,40,47,31,4,0,0,191,8,9,15,18,13,17,6,0,0,75,163,139,212,176,143,129,36,0,0,1000,222,105,120,69,85,54,18,0,0,674,0,3,19,27,30,36,6,0,0,126,5,18,24,28,21,12,0,0,0,97,3,19,35,39,34,31,12,0,0,162,3,6,19,16,24,19,5,0,0,97,10,28,98,80,55,55,25,0,0,339,11,20,63,54,75,46,14,0,0,275,4,38,184,170,177,114,19,0,0,707,40,104,291,319,390,246,47,0,0,1437,82,321,554,435,458,394,93,8,0,2350,23,17,26,19,17,14,0,0,0,111,18,45,77,62,62,42,12,0,0,313
1006,609,707,1649,1815,2045,1815,786,186,16,9631,7,8,20,17,17,23,18,12,0,124,0,0,0,0,5,5,0,0,0,14,24,18,43,65,72,56,25,5,0,304,0,0,5,7,12,3,0,0,0,23,7,15,50,69,59,55,20,4,0,270,10,4,28,41,56,43,12,0,0,188,134,121,175,159,242,205,79,13,0,1132,232,147,144,102,100,85,37,7,3,851,4,4,21,28,47,42,14,4,0,162,12,5,7,19,23,18,3,3,0,90,0,9,36,78,61,38,22,0,0,246,0,12,32,47,56,36,12,8,0,207,5,26,107,149,178,120,66,15,0,664,7,5,38,75,101,53,26,3,0,319,0,14,63,87,87,62,21,0,0,338,31,62,195,252,382,305,92,9,0,1335,34,136,415,398,457,458,167,18,0,2079,10,22,23,27,29,20,12,0,0,147,34,37,82,79,73,63,6,3,0,376
1007,232,321,772,653,662,715,224,14,6,3605,0,0,0,0,3,6,8,0,0,21,0,0,11,14,10,18,5,0,0,56,0,0,4,4,12,5,0,0,0,29,0,0,4,4,0,9,0,0,0,15,0,3,16,5,6,6,3,0,0,46,0,4,7,7,12,4,9,0,0,31,100,37,75,68,67,88,22,3,0,463,76,39,61,55,50,57,21,0,0,361,0,0,7,6,8,15,3,0,0,39,0,3,4,6,6,3,0,0,0,19,0,12,17,12,6,4,0,0,0,51,0,8,3,9,10,0,0,0,0,41,0,0,23,7,14,15,0,0,0,72,0,10,26,21,31,40,6,0,0,141,0,10,41,36,55,55,9,0,0,210,5,19,129,94,113,85,17,0,0,463,28,88,303,235,223,289,59,6,0,1227,3,10,15,8,10,4,3,0,0,48,9,24,31,16,21,22,11,0,0,137
1008,97,134,740,616,503,376,184,19,0,2677,0,3,10,4,10,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,8,4,29,10,11,11,0,0,0,65,0,0,0,0,0,0,0,0,0,6,0,6,10,15,12,7,3,0,0,54,0,0,10,6,8,3,0,0,0,28,41,37,85,58,28,32,24,0,0,301,47,87,208,99,57,40,15,0,0,548,0,0,10,6,3,6,4,0,0,32,0,5,14,20,6,13,0,0,0,58,0,0,5,13,3,10,0,0,0,37,0,4,9,13,22,8,3,0,0,66,0,8,86,86,43,27,11,0,0,265,0,6,46,28,21,17,3,0,0,131,0,3,11,20,14,17,4,0,0,63,3,14,49,66,69,57,11,0,0,270,0,17,105,97,100,106,35,0,0,463,0,7,14,18,10,4,0,0,0,59,5,4,41,24,16,14,0,0,0,122
1009,255,237,399,526,770,753,212,22,7,3177,0,4,4,3,18,10,4,0,0,41,0,0,0,0,0,4,0,0,0,5,3,0,3,15,14,26,4,4,0,70,0,0,0,8,20,10,0,0,0,43,0,4,16,14,27,24,3,0,0,84,0,0,0,8,8,3,4,0,0,22,69,27,37,58,78,116,34,0,0,424,101,41,31,56,46,52,10,0,0,333,0,3,0,8,15,9,5,0,0,38,4,0,0,0,5,3,0,0,0,18,0,4,4,18,19,17,0,0,0,55,0,0,11,13,20,10,3,0,0,55,0,0,13,41,44,30,18,0,0,149,0,5,14,19,34,40,7,0,0,125,0,7,19,30,37,31,4,0,0,130,18,26,65,131,150,130,21,0,0,538,33,37,120,159,264,279,49,7,0,946,10,4,0,0,9,6,5,0,0,35,7,11,22,27,34,33,10,0,0,145
