SUA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
1000,10119,22215,16214,12342,39809,51330,16660,52691,5643,227019,478,2729,2299,1383,1529,2546,666,3558,366,15551,130,94,130,60,187,293,172,510,17,1589,338,1234,939,679,1508,1337,353,539,73,7012,55,93,130,96,292,218,61,85,7,1043,295,1233,966,492,853,914,196,414,72,5427,115,424,360,266,626,568,149,241,20,2774,1480,6672,4573,2410,3667,1997,649,1029,283,22756,1663,7116,3069,1303,1614,1226,321,1155,295,17765,231,890,852,378,668,606,158,392,63,4244,89,217,214,112,283,175,54,131,14,1295,238,364,645,384,933,646,146,266,26,3648,122,374,359,253,825,511,114,244,23,2822,474,1795,1781,1189,2091,1658,473,958,83,10499,496,2359,1225,592,1081,779,181,415,121,7255,1150,1004,1670,997,5295,2524,736,960,123,14465,1608,4884,4811,3799,5121,4173,1709,3632,255,29999,3157,7296,9521,7170,8455,6731,1328,2518,525,46707,258,695,501,241,444,364,85,197,34,2815,535,1609,1276,713,1235,889,207,393,111,6972
1001,777,2126,1523,1183,5029,6447,2028,3815,387,23314,14,39,32,15,31,20,3,18,0,178,0,0,0,0,0,0,3,0,0,5,42,140,103,83,209,205,57,62,0,916,6,0,4,4,14,14,0,0,0,58,24,115,105,60,151,152,33,35,10,674,5,31,35,27,62,46,13,14,0,234,154,885,540,333,498,261,57,80,26,2841,141,757,298,134,220,132,35,89,16,1808,31,54,67,34,92,75,27,51,0,433,9,22,22,10,40,19,10,9,0,139,22,37,61,56,123,79,21,21,4,432,11,43,38,35,99,28,18,25,0,283,31,119,155,104,245,116,41,69,3,881,31,221,113,80,167,69,14,28,13,740,101,137,225,172,578,463,116,114,17,1924,181,495,480,376,675,404,201,345,21,3187,379,873,1299,1201,1299,872,210,313,53,6509,14,71,39,10,33,16,9,7,0,213,55,202,160,72,141,100,27,36,11,794
1002,191,685,422,309,1326,1014,370,753,82,5147,0,27,36,10,39,23,8,7,0,153,0,3,0,0,0,0,6,5,0,6,3,10,11,10,11,18,3,6,0,75,0,0,0,0,0,6,0,3,0,6,5,16,18,4,15,18,6,4,0,73,0,0,7,4,7,11,6,0,0,40,38,163,95,52,69,40,15,21,0,503,42,202,69,25,30,21,8,20,9,434,4,11,5,9,5,10,3,5,0,43,5,15,8,5,11,5,0,3,0,54,8,7,12,5,43,14,4,3,0,102,0,7,6,3,25,10,3,0,0,58,17,43,47,30,83,30,17,20,0,286,10,30,31,13,42,17,4,16,0,159,25,20,20,15,115,35,6,24,0,262,57,220,171,121,381,197,79,179,10,1412,86,201,210,211,253,177,49,72,13,1259,5,17,10,7,4,9,3,0,0,55,6,37,38,10,35,29,6,0,0,163
1003,468,1324,1030,836,2016,2285,615,1544,190,10306,10,61,48,23,44,36,8,23,7,259,5,0,0,0,0,0,3,8,0,14,8,68,53,36,57,44,9,20,0,297,0,0,3,3,13,3,0,4,0,27,12,66,46,22,35,39,3,10,4,236,3,13,23,18,31,25,9,11,0,129,76,412,236,129,201,117,25,45,8,1240,93,413,162,72,100,43,14,36,15,947,3,37,21,18,24,5,4,5,4,120,4,12,13,3,5,8,0,10,0,54,10,16,27,18,50,35,13,24,0,190,8,18,24,18,55,28,11,17,0,174,23,119,121,88,110,106,21,55,5,643,26,98,63,42,43,28,3,16,6,320,34,35,73,35,181,74,16,23,0,467,79,242,238,191,291,231,92,157,13,1529,191,458,656,492,521,366,78,141,27,2912,0,47,31,15,24,16,6,6,0,153,27,108,76,42,77,38,12,15,5,397
1004,171,438,305,247,673,663,185,392,85,3146,6,10,7,3,0,3,0,4,0,28,0,0,0,0,0,0,0,0,0,0,5,14,9,11,17,4,3,0,0,60,0,0,0,0,0,0,0,0,0,4,3,30,14,6,15,13,3,10,0,107,0,4,3,4,9,3,0,4,0,24,38,138,98,57,80,36,13,13,9,477,49,155,59,34,39,30,8,16,8,397,0,10,7,6,7,0,0,3,0,34,3,9,8,0,12,5,0,0,0,30,0,4,17,6,15,9,0,7,0,64,0,10,3,3,32,13,3,12,0,75,3,21,29,11,33,14,6,13,0,127,10,33,18,10,24,12,3,0,4,121,28,22,32,24,85,39,19,5,0,253,19,46,56,56,52,37,16,45,3,331,42,123,182,118,156,103,20,42,8,792,3,18,4,3,13,0,0,0,0,46,6,15,23,20,24,22,9,12,0,132
1005,326,854,643,424,1987,1999,740,1628,135,8740,8,20,19,4,18,12,5,10,0,82,0,0,0,0,0,4,0,14,0,18,26,54,38,34,56,88,29,28,4,353,4,0,10,0,12,19,0,5,0,46,6,32,34,21,37,46,6,14,0,191,3,18,11,10,21,12,5,8,0,75,68,300,202,89,177,83,26,43,11,1000,40,293,116,50,70,51,13,27,5,674,6,20,21,20,33,17,7,6,0,126,10,7,18,5,27,16,8,5,0,97,15,11,28,9,58,28,4,8,0,162,0,14,12,10,25,19,4,9,0,97,9,52,52,36,105,51,16,22,0,339,12,67,38,26,79,33,7,14,3,275,41,49,61,62,281,132,33,48,0,707,70,197,194,129,330,221,103,185,12,1437,130,300,395,376,530,373,91,146,15,2350,9,32,9,16,19,9,5,9,0,111,18,60,52,31,73,41,8,26,0,313
1006,466,1132,771,540,1738,2301,774,1745,165,9631,6,25,21,4,13,28,5,25,4,124,0,0,0,0,4,9,0,0,0,14,20,59,34,36,64,46,20,26,0,304,0,0,0,3,3,9,0,0,0,23,18,62,43,27,52,44,3,14,4,270,10,16,30,13,36,51,12,17,4,188,65,344,236,103,168,114,21,68,9,1132,121,354,127,50,74,60,8,35,26,851,11,31,27,13,24,31,6,22,0,162,9,22,14,6,8,21,6,8,0,90,13,32,33,17,47,60,13,28,0,246,12,25,27,25,54,35,10,18,0,207,23,133,112,59,124,105,37,74,0,664,11,120,70,28,37,27,4,12,0,319,24,28,38,21,123,72,10,21,7,338,66,247,208,133,212,189,89,187,4,1335,122,343,415,318,403,297,75,89,18,2079,10,44,37,15,8,10,12,13,0,147,35,101,62,42,51,50,12,19,7,376
1007,179,359,211,175,737,774,230,848,90,3605,3,0,0,0,0,0,3,4,3,21,3,0,3,4,8,13,6,18,0,56,0,11,11,6,0,0,0,0,0,29,0,0,0,4,9,5,0,0,0,15,3,6,4,4,7,13,0,6,5,46,0,3,5,3,7,6,0,3,0,31,24,147,87,37,92,46,12,15,7,463,26,149,63,25,42,24,9,12,0,361,0,12,8,9,13,4,3,0,0,39,0,4,0,0,8,0,0,0,0,19,9,0,10,7,20,10,0,5,0,51,0,8,0,6,18,3,0,6,0,41,0,9,13,10,21,5,3,10,0,72,0,36,25,8,39,15,0,12,0,141,14,12,15,9,103,33,11,11,0,210,30,51,55,65,91,80,30,58,7,463,88,107,151,134,266,307,56,98,17,1227,4,17,6,6,8,7,3,0,0,48,7,29,17,8,41,16,8,12,0,137
1008,150,566,349,246,381,503,115,286,72,2677,3,8,9,0,9,4,0,4,0,32,0,0,0,0,0,0,0,0,0,0,6,13,11,12,11,5,0,0,0,65,0,0,0,0,4,0,0,0,0,6,0,14,10,6,8,14,0,0,0,54,0,5,3,0,9,6,0,0,0,28,22,104,49,34,47,30,3,6,5,301,60,240,99,42,41,31,12,12,5,548,3,6,10,9,0,5,0,0,0,32,0,13,9,7,5,18,0,9,0,58,0,8,3,4,4,10,0,7,0,37,0,15,12,0,11,12,0,3,0,66,6,56,43,30,31,64,3,24,5,265,4,67,18,11,9,17,3,3,0,131,9,9,12,10,21,6,4,0,0,63,14,72,57,30,46,28,7,24,0,270,26,103,108,82,57,49,6,17,10,463,0,18,11,3,4,13,0,4,3,59,11,37,25,14,11,16,0,3,0,122
1009,130,403,265,206,719,698,210,474,67,3177,0,11,7,3,6,3,0,3,5,41,0,0,0,0,0,0,0,0,0,5,0,19,13,4,13,3,3,4,0,70,4,0,5,3,11,16,0,0,0,43,5,19,19,11,22,10,0,4,5,84,0,5,3,0,4,3,0,5,0,22,30,128,91,62,66,28,7,12,5,424,35,139,71,22,14,22,5,17,4,333,3,9,6,0,8,4,0,3,0,38,3,3,7,0,3,0,3,0,0,18,0,4,8,4,18,5,4,8,0,55,0,8,12,4,17,4,3,6,0,55,5,26,31,21,26,18,5,9,0,149,9,46,13,9,24,17,0,5,0,125,21,5,15,17,43,17,8,4,0,130,30,79,82,79,106,69,36,57,6,538,57,160,221,147,164,126,31,34,10,946,0,15,5,3,0,4,0,4,0,35,0,36,28,14,34,23,3,0,0,145
