SUA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1000,89,689,29,8136,117,45,26,89,44,173,35,121,61,410,4537,5666,202,69,105,102,28,81,14,55,49,1082,984,2765,21108,6751,1255,16414,2023,10204,1357,10059,1951,49533,6466,127126
1001,0,44,4,522,8,0,0,5,4,3,0,9,0,27,337,392,10,8,5,3,0,0,0,3,0,68,58,162,2045,461,53,1634,177,866,103,735,126,3720,455,10381
1002,0,3,0,197,7,0,3,0,0,0,0,0,0,7,73,92,0,0,4,0,5,0,0,0,0,10,17,34,495,138,17,396,39,195,28,191,30,819,97,2445
1003,3,45,0,409,3,7,0,6,0,5,0,6,0,14,162,210,6,0,4,0,4,0,0,6,0,40,34,99,769,389,48,777,80,355,88,473,73,2588,227,5884
1004,6,19,0,105,0,0,0,3,0,0,0,0,0,11,78,105,0,3,3,0,0,0,0,0,0,24,20,53,234,112,21,252,23,162,35,233,34,1431,122,2648
1005,0,12,0,254,4,0,0,4,6,5,3,0,3,14,136,165,5,0,0,0,0,0,0,0,0,28,21,58,788,158,25,506,59,326,41,290,42,1332,175,3755
1006,11,81,0,570,0,0,0,0,3,0,0,3,0,24,142,188,0,4,0,4,0,0,0,0,0,41,23,81,752,281,35,627,89,428,51,463,81,2423,206,5431
1007,3,8,0,88,0,0,0,0,0,6,0,0,0,8,100,117,3,3,3,0,0,4,0,0,0,32,13,55,347,60,18,216,39,194,18,125,33,755,127,1935
1008,0,24,0,155,0,0,0,0,0,0,0,0,0,4,51,64,0,0,3,0,0,0,0,0,0,3,0,9,146,145,14,169,21,71,22,127,10,310,59,1095
1009,0,9,0,87,3,0,0,0,0,0,0,0,0,20,82,103,0,0,0,3,0,0,0,0,0,33,17,58,233,136,15,244,34,150,18,231,37,2033,117,3245
