UCL_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
UCL101001,271,747,2860,5979,11994,22148,28661,21634,8947,103245,28962,22039,22629,21259,16531,13534,10320,5512,1889,142685,394,530,1199,2146,3933,9230,14791,12159,4477,48856,19,37,54,77,226,607,1950,4770,4685,12436,539,1238,2842,8784,16146,28179,31915,19425,5550,114619,674,634,1050,2716,7777,18525,28101,23006,9741,92224,492,369,659,1174,1891,3211,4713,4377,2249,19126,386,290,475,879,1908,4437,7058,6424,2660,24514,6178,15544,20718,19077,19025,16099,9908,4906,2168,113614,104,110,212,542,1345,3185,5157,5137,2544,18337,17555,11626,13653,17709,21616,26323,22775,12855,5933,150043,362782,227434,286546,262803,193244,132856,68819,26789,6681,1567951,32287,23243,30459,26395,21901,17601,11612,7541,4355,175395,445085,296670,372776,354942,292439,248972,179630,98353,35570,2324431,366,1210,3881,8724,20884,39692,52126,42048,21763,190695,18377,20256,26562,25128,22530,19618,16514,9718,3941,162635,329,461,1426,3722,8500,12987,15181,10943,4754,58309,15,18,35,58,208,570,1921,6138,9482,18461,543,1296,3141,6717,12234,21708,25970,17656,6898,96169,521,550,897,1554,3515,8343,15018,16030,11370,57812
UCL102001,4,14,53,99,225,327,287,182,69,1258,287,204,248,229,205,170,77,49,21,1495,0,3,11,26,51,114,128,94,26,456,0,0,0,0,5,3,16,32,35,96,7,12,33,65,170,273,221,121,29,933,6,5,15,35,81,176,209,162,62,747,5,3,10,13,32,35,57,38,25,219,3,0,6,8,34,69,87,66,29,306,88,200,278,244,307,219,108,44,23,1517,0,3,3,5,13,29,55,43,23,163,177,110,172,169,264,277,188,84,43,1480,2797,1604,2175,1783,1531,1124,502,147,27,11700,240,174,247,192,177,182,97,41,28,1390,3544,2246,3086,2656,2660,2379,1422,632,221,18852,0,16,91,155,360,508,491,359,158,2134,206,209,337,323,315,247,177,86,31,1927,0,3,25,29,108,132,133,86,22,545,0,0,0,0,0,0,6,43,68,129,8,19,53,66,126,204,198,128,38,833,0,5,5,20,63,79,120,121,74,485
UCL102002,33,65,254,651,1365,2812,4096,3244,1096,13619,2754,1740,1675,1726,1586,1446,1283,837,229,13268,33,45,71,152,349,971,1808,1615,518,5568,7,5,4,8,17,79,241,618,532,1504,49,108,164,430,1032,2057,3003,2258,560,9664,50,57,66,175,617,1720,3159,2944,1057,9841,44,25,39,83,150,281,587,614,266,2085,35,26,37,89,267,728,1154,1149,370,3858,1024,1916,2079,2161,2210,2107,1462,758,241,13956,15,11,23,40,159,352,694,705,298,2299,1828,1038,906,1171,1616,2196,2079,1238,501,12568,22750,12737,11919,12060,11607,9028,5494,2432,604,88630,2574,1662,1463,1541,1661,1480,1120,792,465,12751,30341,18588,17674,18763,19826,19597,17484,11152,3740,157170,32,110,407,888,2359,4666,6980,5666,2761,23877,1961,1877,2298,2423,2486,2625,2487,1498,580,18235,23,34,88,295,714,1375,1960,1540,591,6613,5,0,3,4,12,61,224,654,1081,2054,52,135,213,420,931,1677,2398,1731,657,8218,49,44,70,124,312,892,1762,1967,1383,6596
UCL102003,6,9,36,105,236,616,964,793,335,3099,410,215,193,279,279,296,301,215,69,2255,8,6,9,18,70,202,464,406,166,1349,4,0,0,0,6,22,70,175,159,437,9,14,21,37,141,275,524,470,136,1622,6,8,5,34,110,344,680,737,326,2249,6,5,4,17,23,48,103,123,74,402,7,5,4,15,55,147,269,291,130,922,152,278,245,298,415,450,378,201,77,2497,3,0,6,4,25,58,139,184,75,494,251,140,111,184,246,398,514,321,187,2355,3935,2141,1988,2211,2114,1863,1477,688,197,16608,508,309,324,332,374,316,297,203,109,2784,5183,3035,2836,3326,3653,3973,4261,2867,1118,30254,9,9,37,138,392,888,1521,1352,729,5080,256,247,291,392,401,490,542,391,156,3168,3,5,12,50,127,284,418,362,157,1431,0,0,0,0,10,10,44,174,253,494,5,16,27,49,128,218,396,334,144,1316,11,4,9,32,63,172,423,552,373,1634
UCL102004,26,92,288,618,1398,3010,4228,2995,1144,13793,3224,2179,2171,2088,1649,1469,1353,737,234,15107,32,35,114,185,396,1010,1859,1565,508,5706,0,0,3,3,19,87,257,625,515,1510,50,139,268,485,1074,2035,2882,1972,513,9423,63,69,107,201,682,1766,3117,2674,1111,9784,37,43,49,84,156,288,489,516,272,1934,43,33,61,85,304,617,1098,926,384,3552,953,2382,2852,2665,2703,2447,1620,780,250,16658,12,8,27,47,146,350,573,591,271,2017,1665,1167,1183,1424,1797,2289,2091,1269,583,13470,23299,15265,15964,13886,12203,9159,5442,2093,471,97779,2383,1980,1754,1628,1655,1426,1080,663,381,12954,30981,22388,23433,21542,21130,20237,17378,9949,3456,170489,32,135,404,928,2247,4728,6695,5209,2836,23210,2185,2250,2930,2742,2433,2456,2407,1372,517,19297,39,34,117,328,716,1197,1678,1252,535,5890,0,3,0,3,12,59,260,703,1060,2102,56,133,271,471,948,1606,2251,1729,774,8234,52,51,66,145,367,981,1820,2074,1505,7063
UCL102005,15,79,232,488,1145,2335,2952,2380,904,10527,2310,1670,1479,1382,1145,1029,782,504,143,10436,30,41,80,147,297,754,1273,1044,377,4044,0,9,0,4,14,66,156,430,349,1028,41,93,164,374,880,1725,2342,1655,463,7741,50,44,69,151,492,1347,2167,1839,784,6932,30,34,48,71,135,269,429,422,221,1661,20,30,40,82,194,559,823,786,312,2841,602,1685,1831,1764,1767,1649,963,454,221,10927,7,9,19,41,101,245,438,491,228,1577,1370,941,917,1163,1479,1821,1635,926,416,10659,19852,13310,13077,11276,10193,8038,4520,1808,441,82508,2060,1567,1359,1245,1303,1136,818,569,352,10401,25842,18712,18377,16924,16997,16645,13244,7912,2842,137502,34,150,356,818,2000,3862,5104,4293,2100,18705,1614,1854,2081,1993,1904,1802,1545,983,354,14130,23,52,97,263,582,1071,1288,1038,425,4836,0,3,0,3,10,35,143,462,723,1386,38,114,237,357,793,1457,1857,1536,622,7014,37,34,66,99,280,669,1103,1431,983,4700
UCL111001,4,12,62,102,205,414,589,410,160,1954,465,284,358,320,265,242,240,106,29,2308,3,11,16,47,64,171,301,226,85,923,0,0,0,0,0,6,26,80,69,192,10,18,46,81,161,272,413,285,75,1357,8,7,21,29,123,272,509,376,165,1500,7,10,5,14,21,45,65,73,32,269,5,9,14,29,36,109,201,134,50,574,151,323,410,418,401,357,243,110,35,2456,0,4,5,5,19,53,106,88,39,321,289,167,196,201,258,319,306,158,69,1962,3840,2220,2318,1960,1669,1407,886,372,98,14772,487,295,311,276,287,242,173,97,45,2219,5139,3220,3516,3196,3040,3029,2723,1495,497,25867,8,29,58,179,367,692,1015,796,425,3563,308,423,483,455,408,415,389,243,101,3218,6,6,19,40,106,202,264,218,84,945,0,0,0,3,3,9,37,100,120,282,9,27,55,100,168,252,357,230,110,1311,12,7,19,28,54,144,259,313,236,1075
UCL111002,0,14,47,117,257,527,714,524,230,2427,386,225,251,240,230,198,222,109,37,1911,3,4,8,31,64,151,311,292,107,966,0,0,5,4,5,21,42,99,83,256,11,10,26,56,142,247,406,297,93,1294,4,3,8,37,97,275,514,515,227,1671,3,5,4,19,25,48,79,108,53,337,4,5,3,12,51,151,244,185,64,724,134,270,332,381,382,359,275,127,42,2305,0,0,4,9,23,59,110,114,43,365,227,156,139,183,276,365,356,185,86,1969,3296,1887,1799,1737,1620,1327,970,400,92,13127,443,295,298,288,282,233,207,160,108,2321,4418,2761,2761,2838,2943,3049,2977,1816,694,24249,3,23,61,164,423,767,1154,995,453,4041,283,282,312,356,367,403,376,245,82,2693,6,7,21,53,107,177,304,230,118,1018,0,0,0,3,0,8,53,105,179,352,7,14,33,71,152,234,310,270,84,1181,9,9,8,21,46,160,306,377,277,1214
UCL111003,6,35,111,207,406,820,1078,679,193,3535,1061,506,713,598,437,383,323,168,41,4233,9,15,25,52,119,220,419,290,89,1235,0,0,0,0,7,32,52,101,63,259,17,36,98,181,401,611,790,476,88,2700,22,22,39,64,201,435,751,566,188,2293,19,11,15,17,42,70,121,121,48,471,12,11,15,36,90,174,322,217,61,934,408,667,834,775,715,578,376,160,37,4553,8,6,3,20,44,72,130,147,44,473,691,296,353,400,467,504,472,238,60,3492,7003,3646,4082,3595,2796,1968,1147,444,84,24755,834,448,505,455,362,343,195,124,51,3312,9710,5424,6326,5806,5178,4636,3877,2045,541,43540,9,40,159,360,715,1335,1746,1166,511,6034,797,665,959,833,767,680,655,305,111,5774,13,4,43,71,180,297,380,254,99,1348,0,0,4,7,8,21,53,129,138,357,30,49,121,161,340,517,620,444,138,2415,20,26,27,49,120,294,472,474,258,1749
UCL112001,0,12,17,30,66,147,172,135,57,630,150,172,138,97,75,83,68,47,12,844,0,3,12,12,17,58,104,98,21,334,0,0,0,0,0,6,11,29,13,54,7,6,13,42,57,108,132,96,20,469,8,8,11,21,34,91,127,136,71,505,0,4,4,4,15,18,17,26,6,100,3,0,9,5,21,38,57,38,17,183,32,183,159,134,107,113,59,27,3,823,0,3,0,8,5,15,22,39,16,107,84,77,76,80,98,139,110,62,26,756,1405,1074,944,730,541,495,277,142,39,5642,231,348,184,106,101,102,64,67,35,1250,1889,1784,1482,1146,985,1100,866,593,215,10063,3,7,27,46,124,229,319,316,121,1191,110,226,163,131,136,166,132,115,27,1205,4,8,3,18,35,70,84,87,29,340,0,0,0,0,0,0,8,34,29,84,4,13,16,40,63,90,93,86,35,435,0,12,5,11,23,73,67,124,71,375
