UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL101001,43244,15428,92069,731389,992709,441674,319624,1114343,232796,3832530
UCL102001,261,67,579,6886,9445,3447,2091,7171,1637,30675
UCL102002,4603,2097,10181,49667,72699,35531,26198,65789,16603,266486
UCL102003,1568,403,2908,10132,14427,6901,4378,14232,3695,53762
UCL102004,4548,1589,9530,59749,84595,37542,23380,67985,15160,288407
UCL102005,3413,1209,7298,44545,63043,30035,21849,58468,12104,230048
UCL111001,692,154,1379,8801,12210,5322,3437,11082,2772,43620
UCL111002,817,349,1807,7932,11483,5563,3500,10557,3145,42183
UCL111003,710,210,1528,13684,19969,9289,6616,17875,3186,70615
UCL112001,205,115,566,3310,4945,2070,1211,4075,1903,17514
UCL112002,550,79,949,5744,8096,3567,2364,7200,2338,29310
UCL112003,343,77,694,4617,8210,4167,2778,4415,1151,25338
UCL112004,407,186,1100,3674,5920,3188,2137,4043,1046,20007
UCL112005,403,91,646,2942,4193,2181,1759,5325,2559,18961
UCL112006,496,114,896,5741,7916,3385,2388,8185,2807,30419
UCL112007,90,57,215,1026,1474,754,535,1338,394,5518
UCL112008,623,278,1343,2866,4523,2437,1719,5133,1417,18099
UCL112009,413,63,717,3650,5066,2283,1591,5289,1697,19580
UCL112010,253,144,596,2960,3796,1607,1255,5783,1391,16787
UCL112011,181,36,322,2721,4142,1842,1492,4662,899,15750
UCL112012,422,114,837,4478,6600,2885,1930,5560,1681,23122
UCL112013,19,0,32,366,508,281,187,393,145,1884
UCL112014,521,82,938,3399,4814,2494,1873,4722,946,18262
UCL112015,566,82,986,4636,6694,3112,2483,7347,2774,27050
UCL112016,500,148,1020,6114,8726,3838,2504,8220,2029,31430
UCL112017,962,403,2147,7959,11592,5338,3304,9742,2410,40342
UCL112018,510,206,1116,5010,7064,3201,2241,8288,2548,28353
UCL112019,644,153,1283,8110,11185,4705,3089,10306,2411,39809
UCL113001,598,212,1190,2988,4380,2061,1291,4116,1241,16078
UCL113002,349,37,553,1626,2723,1322,1012,2965,864,10515
UCL113003,289,127,590,2175,3419,1603,1311,4542,1430,14478
UCL113004,94,23,168,2063,2537,971,568,2099,881,9121
UCL113005,361,103,708,2427,3435,1702,1246,3986,1123,13912
UCL113006,176,30,297,1202,1665,873,809,2833,1637,9029
UCL113007,175,120,519,2397,3912,1970,1179,2192,686,12332
UCL113008,209,18,382,1552,2354,1184,908,2689,672,9364
